real_time,qoe,bitrate,avg_bitrate,avg_bitrate_variation,avg_stall
0.003,7.722375000000003,84673,84673.0,66501.625,2.4299999999999997
0.466,16.234222222222225,84673,84673.0,59112.555555555555,2.1688888888888886
0.674,23.078530000000008,84673,84673.0,53201.299999999996,1.9518999999999997
10.467,18.4953,84673,84673.0,58547.545454545456,1.7744545454545453
21.171,80.64241792074064,196683,141304.95125407397,53668.58333333333,1.6265
30.467,102.20555139406824,196683,158201.73600945287,49540.23076923077,1.5013846153846155
60.468,125.2979390057551,196683,177294.08900575512,46001.642857142855,1.3940714285714284
90.469,135.1943156593603,196683,183723.76899269363,42934.86666666667,1.301066666666667
110.469,140.57335813163647,196683,186069.98938163646,40251.4375,1.2198125000000015
134.95,145.17516777455705,196683,187995.27365690997,37883.70588235294,1.148000000000001
140.47,147.89569994977177,196683,188336.672171994,35779.055555555555,1.0841666666666674
170.471,151.49303304081042,196683,189805.53304081043,33895.94736842105,1.0271052631578954
200.472,154.4380984999401,196683,190834.75849994013,32201.149999999998,0.9757000000000005
230.472,156.93252467309324,196683,191596.01038737895,30667.7619047619,0.9292380952380958
250.399,158.9131607777441,196683,192000.83805047142,29273.772727272728,0.886954545454547
250.473,160.3531387445041,196683,192002.22135319974,28001.0,0.8483913043478251
280.474,162.17271081983833,196683,192502.902486505,26834.291666666668,0.813
287.011,163.48112493310705,196683,192598.10893310708,25760.92,0.7804800000000001
290.474,164.64970856806463,196683,192646.80856806462,24770.115384615383,0.7504615384615385
320.475,166.0646421535741,196683,193024.6532646852,23852.703703703704,0.7226296296296284
360.476,167.43360963281881,196683,193430.6096328188,23000.821428571428,0.6967857142857139
400.477,168.6550659569584,196683,193755.46940523424,22207.689655172413,0.672724137931035
415.541,169.59801688935624,196683,193861.59688935627,21467.433333333334,0.650266666666668
420.478,170.41397894793772,196683,193894.72410922803,20774.935483870966,0.6292580645161292
450.479,171.33344582926588,196683,194080.41770426588,20125.71875,0.6095937500000002
490.48,168.84088897369554,196683,194292.67079187735,22910.090909090908,0.5910909090909082
495.152,168.55502939993235,84673,193258.35587052058,22236.264705882353,0.5737352941176472
500.48,168.10498576943277,84673,192102.38005514705,21600.942857142858,0.557314285714285
508.519,167.07266912928088,84673,190404.06635150308,21000.916666666664,0.5419722222222213
508.519,167.47604472988144,84673,190404.06635150308,20433.324324324323,0.5801621621621623
508.625,167.1196393619278,84673,190382.03146719094,19895.605263157897,0.7829736842105275
509.312,167.56591462362897,84673,190239.4428287572,19385.46153846154,0.7646666666666668
510.164,167.95645146431343,84673,190063.14146431343,18900.825,0.74555
517.554,166.9908044661488,84673,188558.30690517317,18439.82926829268,0.7273658536585367
517.554,167.2371021432684,84673,188558.30690517317,18000.785714285714,0.7721904761904765
517.649,167.62867887112336,84673,188539.24166182103,17582.162790697672,0.7740465116279067
518.303,167.96347763562488,84673,188408.1821810794,17182.568181818184,0.7586363636363636
526.606,166.78230671143973,84673,186772.58893366196,16800.733333333334,0.741755555555556
556.607,161.71373173715727,84673,181269.4426067225,16435.5,0.7256304347826091
559.889,161.5635743045534,84673,180703.20621944705,16085.808510638297,0.7101914893617025
559.889,161.3605853861137,84673,180703.20621944705,15750.687500000002,0.8353333333333335
559.983,161.22839045568327,84673,180687.08637405062,15429.244897959185,0.9370816326530618
560.664,161.49492266689495,84673,180570.46466689496,15120.66,0.9197400000000016
564.0,161.30181391426785,84673,180003.24136524822,14824.176470588236,0.9016862745098038
