real_time,qoe,bitrate,avg_bitrate,avg_bitrate_variation,avg_stall
0.035,21.693669999999994,95324,95324.0,47941.700000000004,5.9741
0.245,28.38694545454545,95324,95324.0,43583.36363636364,5.431090909090909
0.775,33.96180833333334,95324,95324.0,39951.416666666664,4.97925
10.248,38.6862769230769,95324,95323.99999999999,36878.23076923077,4.59523076923077
16.181,42.729985714285704,95324,95323.99999999999,34244.07142857143,4.267428571428572
16.262,46.177199999999985,95324,95323.99999999999,31961.133333333335,3.9966666666666666
16.906,49.22038749999999,95324,95323.99999999999,29963.5625,3.7535000000000003
19.931,51.93261764705881,95324,95323.99999999999,28201.000000000004,3.53264705882353
29.65,54.34301111111109,95324,95323.99999999999,26634.277777777777,3.3364444444444445
29.65,56.372642105263154,95324,95323.99999999999,25296.36842105263,3.1755789473684213
29.65,56.282654999999984,94110,95323.99999999999,24031.55,3.4906500000000005
29.73,57.98840945653741,94110,95320.73326606122,22887.190476190477,3.3593333333333337
30.41,59.64457816208782,94110,95293.65998026964,21846.86363636364,3.2098181818181826
37.968,60.958916082192786,94110,95058.03782132322,20897.0,3.0702608695652174
37.968,62.077937821323225,94110,95058.03782132322,20076.875,3.00075
37.968,61.95956582132322,95324,95058.03782132322,19273.8,3.2150399999999997
37.968,60.889414744400135,95324,95058.03782132322,18532.5,3.6363076923076925
37.968,61.11001930280471,95324,95058.03782132322,17846.11111111111,3.7446296296296286
37.968,62.18223782132322,95324,95058.03782132322,17208.75,3.6434999999999995
38.047,61.24116937000787,95324,95058.59005966304,16615.344827586207,4.000482758620689
38.744,62.36559475325211,95324,95063.36475325211,16061.500000000002,3.8689
43.92,63.45121626711323,95324,95094.08078324226,15543.387096774193,3.7440645161290314
49.898,64.46746674227924,95324,95121.62611727924,15057.656249999998,3.6270937500000002
49.898,64.8724321778853,95324,95121.62611727924,14601.363636363634,3.639030303030303
49.983,65.07369968165645,95324,95121.97026989175,14171.911764705885,3.692176470588235
50.635,65.92278312798882,95324,95124.57169941739,13767.0,3.589485714285714
54.355,66.7475925883339,95324,95138.22036611167,13384.583333333334,3.4897777777777783
62.009,67.53795453550117,95324,95161.15183279847,13022.837837837838,3.395432432432432
64.356,68.27081969259808,95324,95167.09074522965,12680.131578947367,3.306078947368421
67.798,68.96832345300254,95324,95175.05678633587,12354.999999999998,3.2213333333333325
67.798,68.91872178633587,95324,95175.05678633587,12046.124999999998,3.3046999999999995
67.798,69.34349093267734,95324,95175.05678633587,11752.317073170732,3.2742439024390246
67.798,69.14511154824064,95324,95175.05678633587,11472.5,3.385452380952381
67.798,69.56625911191726,95324,95175.05678633587,11205.697674418605,3.3495581395348837
67.798,69.35111587724498,95324,95175.05678633587,10951.022727272726,3.4588181818181813
67.798,69.53224789744698,95324,95175.05678633587,10707.666666666666,3.4732888888888893
67.798,69.55341548198805,95324,95175.05678633587,10474.891304347826,3.5225000000000004
67.798,70.08455891399545,95324,95175.05678633587,10252.021276595744,3.4508085106382973
67.798,68.20187553633588,95324,95175.05678633587,10038.4375,3.9383125
67.798,68.47600780674404,95324,95175.05678633587,9833.57142857143,3.9222040816326533
67.798,66.95854478633588,95324,95175.05678633587,9636.9,4.32084
67.798,66.99361757064959,95324,95175.05678633587,9447.941176470587,4.356627450980392
67.798,65.0547164017205,95324,95175.05678633587,9266.25,4.849788461538461
67.798,65.48858886180757,95324,95175.05678633587,9091.415094339623,4.789547169811321
67.798,65.37406789744699,95324,95175.05678633587,8923.055555555555,4.855333333333332
67.798,65.30131678633587,95324,95175.05678633587,8760.81818181818,4.909981818181818
67.798,65.67053178633587,95324,95175.05678633587,8604.375,4.860499999999999
67.798,63.92499713721306,95324,95175.05678633587,8453.42105263158,5.301543859649123
67.798,62.575720579439334,95324,95175.05678633587,8307.672413793103,5.649224137931033
67.798,62.79780763379351,95324,95175.05678633587,8166.864406779661,5.630322033898305
67.798,62.501221786335876,95324,95175.05678633587,8030.75,5.73095
67.798,62.44952072076211,95324,95175.05678633587,7899.0983606557365,5.773590163934425
67.798,61.29785517343265,95324,95175.05678633587,7771.693548387097,6.071048387096774
67.798,61.440875833954934,95324,95175.05678633587,7648.333333333332,6.06647619047619
67.798,61.14700834883587,95324,95175.05678633587,7528.828125,6.162609375
67.798,61.137096786335874,95324,95175.05678633587,7431.676923076923,6.187507692307692
67.798,44.043520422699515,94110,95175.05678633587,7337.469696969697,10.184666666666667
67.798,44.26442842812694,95324,95175.05678633587,7227.955223880596,10.158761194029848
67.798,45.01311413927704,95324,95175.05678633587,7121.661764705882,10.009367647058824
67.9,43.9990095156987,95324,95175.28053019146,7018.449275362319,10.269260869565219
68.593,44.72810019652149,95324,95176.78305366436,6918.185714285714,10.123371428571431
