real_time,qoe,bitrate,avg_bitrate,avg_bitrate_variation,avg_stall
0.023,1323.168525,1547320,1547320.0,219353.74999999997,1.1157500000000002
0.68,1367.91884,1547320,1547320.0,175483.0,0.9112000000000002
5.438,1397.8247666666668,1547320,1547320.0,146235.83333333334,0.7579999999999999
10.989,1419.181842857143,1547320,1547320.0000000002,125345.0,0.6495714285714284
15.439,1435.1996500000002,1547320,1547320.0000000002,109676.875,0.5682499999999999
18.286,1447.6569888888891,1547320,1547320.0000000002,97490.55555555556,0.5052222222222219
25.439,1457.6232900000002,1547320,1547320.0000000002,87741.49999999999,0.45470000000000005
25.687,1465.7775363636365,1547320,1547320.0,79765.0,0.4133636363636361
35.442,1472.5738166666667,1547320,1547320.0,73117.91666666667,0.3786666666666664
45.922,1478.3228615384617,1547320,1547320.0,67493.46153846153,0.34969230769230764
55.446,1483.2515357142856,1547320,1547320.0,62672.50000000001,0.3246428571428573
62.127,1487.522766666667,1547320,1547320.0,58494.33333333333,0.3029999999999996
65.44,1491.2600937500001,1547320,1547320.0,54838.4375,0.2840625000000001
72.934,1494.5577352941175,1547320,1547320.0,51612.647058823524,0.2673529411764707
75.439,1497.4884944444443,1547320,1547320.0,48745.277777777774,0.25261111111111173
77.025,1500.111657894737,1547320,1547320.0,46179.73684210527,0.2392105263157888
77.029,1502.472075,1547320,1547320.0,43870.75,0.2272500000000001
77.031,1504.6076904761903,1547320,1547320.0,41781.66666666667,0.21642857142857083
85.44,1506.5491590909094,1547320,1547320.0000000002,39882.5,0.20659090909090916
96.686,1508.320495652174,1547320,1547320.0000000002,38148.47826086957,0.19791304347826053
96.686,1508.3781250000002,1547320,1547320.0000000002,36558.958333333336,0.5541666666666665
96.686,1506.1428560000002,1547320,1547320.0000000002,35096.6,1.4140800000000002
96.686,1506.5445884615388,1547320,1547320.0000000002,33746.73076923077,1.634576923076923
96.686,1507.9273814814815,1547320,1547320.0000000002,32496.851851851854,1.603666666666667
96.686,1473.3908678571431,1547320,1547320.0000000002,62672.50000000001,2.6178214285714287
96.686,1475.7020172413797,669905,1547320.0000000002,60511.379310344826,2.5829310344827583
96.686,1477.831426666667,669905,1547320.0000000002,58494.333333333336,2.5568
96.686,1480.0723000000003,669905,1547320.0000000002,56607.41935483871,2.474483870967742
96.686,1482.1735218750002,669905,1547320.0000000002,54838.4375,2.3972187500000004
96.783,1482.6981995403028,669905,1546440.617722121,53176.666666666664,2.4571515151515153
97.473,1478.3603684207874,669905,1540235.7243031405,51612.64705882354,2.3866764705882355
98.84,1443.0223077984622,669905,1528198.673512748,75207.0,2.3184571428571434
103.673,1446.2793524736164,1547320,1529090.0663625053,73117.91666666667,2.254138888888889
119.29,1450.9043069401619,1547320,1531476.6609942159,71141.75675675676,2.1931621621621624
128.839,1454.1988731086858,1547320,1532650.9020560544,69269.6052631579,2.1354473684210533
144.245,1457.777408242831,1547320,1534217.626191549,67493.46153846153,2.0806410256410257
148.84,1431.2929036898686,1547320,1534622.1236898685,94606.02500000001,2.0286500000000003
166.363,1307.634165802595,395324,1414619.9536074728,92298.56097560977,3.4156341463414637
166.363,1302.4783131312822,395324,1414619.9536074728,97437.38095238096,3.419595238095238
166.363,1302.3331582586359,87195,1414619.9536074728,95171.3953488372,3.9803255813953484
166.363,1271.7004717892912,87195,1414619.9536074728,126193.06818181819,3.889863636363636
166.465,1274.9248999775061,1547320,1414701.2644219506,123388.77777777777,3.8110666666666675
