real_time,qoe,bitrate,avg_bitrate,avg_bitrate_variation,avg_stall
0.119,1251.280766666667,1547320,1547320.0,292471.6666666666,0.8296666666666666
0.875,1325.2970249999998,1547320,1547320.0,219353.75,0.62075
1.142,1369.70334,1547320,1547320.0,175483.00000000003,0.4962000000000001
7.844,1399.3054000000002,1547320,1547320.0,146235.8333333333,0.41366666666666635
7.844,1417.9250142857143,1547320,1547320.0,125345.0,0.9418571428571426
7.844,1432.422925,1547320,1547320.0,109676.87499999999,1.214
7.844,1293.3603444444445,1547320,1547320.0,248167.55555555553,1.347
7.844,1317.68905,191227,1547320.0,223350.8,1.4605
7.941,1321.9325615722773,191227,1530755.2070268227,203046.1818181818,1.3433636363636363
8.622,1233.5084352470421,191227,1424953.9185803756,186125.6666666667,1.2371666666666667
15.121,709.9771929674979,191227,894698.5621982672,179810.76923076925,1.1420000000000001
19.343,546.9176324421533,87195,718444.6181564389,166967.14285714287,1.0604285714285715
25.121,413.1610808253387,87195,573252.934158672,155836.0,0.9897333333333332
78.839,89.40479110100961,87195,242070.9036010096,146096.25,1.5278749999999999
78.839,96.69499771865665,87195,242070.9036010096,137502.35294117648,1.8310588235294118
78.839,100.44993693434294,87195,242070.9036010096,129863.33333333333,2.734333333333334
78.839,107.4714088641675,87195,242070.9036010096,123028.42105263157,2.6909473684210528
78.94,112.74461720040534,87195,241872.74720040534,116877.0,2.8491000000000004
79.638,117.5272302755683,87195,240517.04932318736,111311.42857142858,2.7159047619047616
82.933,117.02605863298186,87195,234425.4313602546,106251.81818181818,2.5924545454545456
90.792,109.38604091798925,87195,221681.0930919023,101632.17391304349,2.4797391304347833
92.933,110.96669699828543,87195,218582.7886649521,97397.5,2.3764166666666666
99.778,106.25766455170469,87195,209569.2845517047,93501.6,2.2814000000000005
99.778,109.93101532093547,87195,209569.2845517047,89905.38461538462,2.263461538461539
99.778,113.40791418133433,87195,209569.2845517047,86575.55555555556,2.2292592592592597
99.778,114.835223837419,87195,209569.2845517047,83483.57142857143,2.616392857142857
99.778,117.07436386204954,87195,209569.2845517047,80604.8275862069,2.765137931034483
99.778,119.13814121837139,87195,209569.2845517047,77918.0,2.9100333333333332
99.778,121.09226197105954,87195,209569.2845517047,75966.93548387097,2.9093225806451612
99.778,123.71285017670472,104630,209569.2845517047,73592.96875,2.8519687499999997
99.778,126.31429970321986,104630,209569.2845517047,71362.87878787878,2.7656060606060606
99.778,126.94104043405765,104630,209569.2845517047,69263.97058823529,3.1079705882352946
99.778,128.746778837419,104630,209569.2845517047,67285.0,3.1482571428571426
99.778,127.39193177392693,104630,209569.2845517047,67821.44444444445,3.338583333333334
99.879,127.99583910374791,191227,209550.7364010452,65988.43243243243,3.6201081081081083
100.571,130.00937711650678,191227,209424.6560638752,64251.89473684211,3.526368421052632
100.646,97.2604902953586,191227,209411.09542356373,97376.02564102564,3.4359487179487185
102.803,128.13620428200045,1547320,237482.93678200044,94941.625,3.350025
135.965,450.27366758948904,1547320,556953.511491928,92625.9756097561,3.2683414634146337
214.799,816.2912300115677,1547320,920430.7704877582,90420.59523809525,3.1904523809523813
215.967,788.5524129930058,1547320,923821.1339232383,121868.72093023255,3.116279069767441
216.243,783.9743545968803,104630,922775.5659605167,125705.6590909091,3.0454772727272736
217.747,783.4149970960386,395324,919132.4059849274,122912.2,2.977955555555555
225.967,761.3423964316835,395324,900077.8312142923,126209.34782608697,2.913043478260869
227.711,743.8629551891875,669905,898314.9764657833,142192.44680851063,2.851063829787234
245.55,794.230461739208,1547320,945464.6429892079,139230.1041666667,2.791645833333334
258.825,828.1857226860398,1547320,976333.492073795,136388.67346938775,2.7346734693877557
265.968,846.4834425045418,1547320,991668.2565045418,133660.9,2.679979999999999
341.849,972.6696534178461,1547320,1115007.5377315716,131040.09803921568,2.6273921568627454
345.97,980.556383258831,1547320,1120157.0005665233,128520.09615384614,2.5768653846153837
368.853,1009.6908894740752,1547320,1146657.4517382262,126095.1886792453,2.5282264150943394
375.971,998.4795161119204,1547320,1154242.9198156241,145093.35185185185,2.4814074074074073
383.256,986.8859868332963,395324,1139817.25046966,142455.29090909092,2.436272727272727
383.256,973.5371754696598,395324,1139817.25046966,155990.48214285713,2.3929285714285715
385.216,977.2483676037032,1295750,1140610.6447966855,153253.80701754385,2.3508070175438593
415.972,991.5356750032413,1295750,1152081.2870722068,150611.5,2.3102586206896554
429.752,998.8635979423213,1295750,1156688.0250609654,148058.7627118644,2.2710847457627112
435.973,1003.4783126811523,1295750,1158672.3326811523,145591.11666666667,2.2332333333333327
438.755,1006.8916409882582,1295750,1159541.4967259632,143204.37704918033,2.196622950819673
445.973,1011.5582477640372,1295750,1161746.0090543597,140894.62903225806,2.1611935483870965
475.973,1022.3882892503806,1295750,1170192.1178218091,138658.20634920633,2.1268888888888884
505.974,1032.142565147351,1295750,1177636.8917098509,136491.671875,2.093640625
535.975,1040.992342580703,1295750,1184248.2287345491,134391.8,2.0614153846153838
565.976,1030.7619475629122,1295750,1190158.6642295788,150667.0,2.0301666666666662
585.75,994.353323876571,87195,1152924.3432795561,149970.9552238806,2.000014925373134
590.112,988.0473097206273,191227,1145815.6523676862,149295.38235294117,1.970455882352941
615.316,946.9716381214656,87195,1102453.4207301612,147131.68115942032,1.9418840579710148
615.316,949.192806444447,87195,1102453.4207301612,145029.8,1.9141428571428571
625.977,934.0605636539723,87195,1085162.5777384792,142987.12676056338,1.8871830985915494
655.978,889.072560432146,87195,1039520.7645988128,142446.08333333334,1.8609583333333337
669.745,870.9001766663595,191227,1022083.5903649896,143290.61643835617,1.8355342465753428
674.54,868.4881356485581,395324,1017628.2397026123,141354.25675675675,1.8106621621621624
695.979,851.3072116755708,395324,998458.7236755707,139469.53333333335,1.786506666666666
725.98,824.7061246113421,395324,973534.2838218685,141247.31578947368,1.7629868421052626
726.424,826.4533755955807,669905,973348.7015696068,139412.93506493507,1.74009090909091
802.48,799.5775201948001,669905,944589.4625024924,137625.58974358972,1.7177564102564102
805.982,789.1130886262844,669905,943395.9557148919,146990.01265822782,1.696012658227848
