real_time,qoe,bitrate,avg_bitrate,avg_bitrate_variation,avg_stall
0.019,662.7985333333334,669905,669905.0,0.0,1.6526666666666667
0.704,664.505275,669905,669905.0,0.0,1.2557500000000001
4.958,665.58436,669905,669905.0,0.0,1.0048
34.959,666.3051833333333,669905,669905.0,0.0,0.837166666666666
64.96,666.8200571428571,669905,669905.0,0.0,0.7174285714285722
94.961,667.2062125,669905,669905.0,0.0,0.6276250000000001
124.963,667.5070333333333,669905,669905.0,0.0,0.5576666666666673
154.964,667.74726,669905,669905.0,0.0,0.5018000000000001
184.965,667.9438090909091,669905,669905.0,0.0,0.45609090909090877
214.966,668.1076,669905,669905.0000000001,0.0,0.4179999999999992
244.967,668.2461923076922,669905,669905.0,0.0,0.3857692307692297
274.969,668.3652928571429,669905,669905.0,0.0,0.35807142857142693
304.97,636.5563599999999,669905,669905.0,31911.86666666667,0.3341333333333296
328.898,603.8134309046042,191227,635080.1996546042,29917.375,0.3138124999999974
364.972,549.7790750865015,191227,591209.5456747367,40163.23529411764,0.29470588235294065
367.693,535.3750043858598,395324,589759.9543858599,53186.444444444445,0.278722222222222
390.716,542.9617397603375,669905,594482.513444548,50387.15789473684,0.2636315789473692
424.975,551.6183283737279,669905,600562.6333737279,47867.8,0.2503499999999974
454.976,558.5216320825505,669905,605135.0511301695,45588.38095238095,0.23838095238095103
484.977,564.64733145719,669905,609141.7632753717,43516.181818181816,0.22749999999999976
514.979,570.122232229554,669905,612681.7496208583,41624.17391304348,0.21752173913043168
544.98,575.0458489091342,669905,615831.8739091343,39889.83333333333,0.20841666666666467
574.981,579.4988557566736,669905,618653.2677566736,38294.24,0.20003999999999908
604.983,583.546774504846,669905,621194.9168125384,36821.38461538462,0.19226923076923166
634.983,587.2424755287935,669905,623496.2421954602,35457.62962962963,0.18514814814814903
664.985,590.6313750283573,669905,625590.0571712144,34191.28571428572,0.1784642857142842
694.986,593.749972629575,669905,627503.0346985406,33012.275862068964,0.17227586206896486
724.987,596.6298720615448,669905,629257.6887282116,31911.866666666665,0.16650000000000015
754.988,599.2977254470953,669905,630872.8931890308,30882.451612903224,0.16109677419354562
784.99,601.7765095093567,669905,632364.6845093567,29917.374999999996,0.1559999999999988
814.991,604.0854676324069,669905,633746.5979354372,29010.78787878788,0.1512424242424238
844.992,606.241765484379,669905,635030.3831314378,28157.529411764706,0.1467647058823532
874.993,608.2601708467838,669905,636226.1337039267,27353.02857142857,0.14254285714285483
904.995,610.1537491412935,669905,637342.6408079602,26593.222222222226,0.13852777777777683
934.996,611.9335211416484,669905,638387.4616821889,25874.486486486487,0.1347567567567565
964.997,613.6096461804789,669905,639367.3172331104,25193.578947368424,0.13118421052631615
994.998,615.1909762365042,669905,640288.0839288118,24547.589743589746,0.12779487179486984
1025.0,616.6855132858535,669905,641154.9782858535,23933.9,0.12454999999999927
1055.001,618.0999970221667,669905,641972.5409246057,23350.146341463416,0.12148780487804865
1085.002,619.4408436834567,669905,642744.8913025045,22794.190476190477,0.11857142857142901
1115.003,620.7136859282805,669905,643475.6789515363,22264.093023255813,0.11579069767441957
1145.004,621.9235936358458,669905,644168.1709085731,21758.09090909091,0.11313636363636513
1175.006,623.0752596680488,669905,644825.321890271,21274.577777777777,0.11057777777777522
1205.007,624.1725880980539,669905,645449.7294024016,20812.086956521736,0.1081521739130415
1235.008,625.2194558313722,669905,646043.8005122233,20369.276595744683,0.10582978723404113
1265.01,626.219387012553,669905,646609.712012553,19944.916666666668,0.10358333333333292
1295.011,627.1752764350122,669905,647149.3845982774,19537.87755102041,0.10144897959183681
1325.012,628.0900785868504,669905,647664.6185868504,19147.12,0.09940000000000054
1355.013,628.9663960681903,669905,648157.0372446609,18771.686274509804,0.09743137254902061
1385.014,629.8066154985047,669905,648628.1231908123,18410.69230769231,0.09553846153846297
1415.016,630.6130253832478,669905,649079.2480247571,18063.32075471698,0.09369811320754518
1445.017,631.3874499774369,669905,649511.6259033629,17728.814814814814,0.09194444444444293
1475.018,632.131847884918,669905,649926.4151576454,17406.47272727273,0.09025454545454441
1505.019,632.8479372636644,669905,650324.6676208073,17095.64285714286,0.08862499999999938
1535.021,633.5373952273799,669905,650707.3654028184,16795.719298245614,0.08703508771929847
1565.022,634.2015162023941,669905,651075.3782713596,16506.137931034482,0.08551724137931098
1595.023,634.8417556083791,669905,651429.5471338029,16226.372881355932,0.08405084745762814
1625.024,635.4593820826685,669905,651770.6387493352,15955.933333333334,0.08263333333333472
1655.026,636.0556570060342,669905,652099.375038821,15694.360655737704,0.08124590163934269
1685.027,636.6315155881248,669905,652416.3946203828,15441.225806451614,0.0799193548387085
1715.028,637.1880658063891,669905,652722.3229492462,15196.126984126982,0.07863492063491985
1745.029,637.7262648891588,669905,653017.7320766588,14958.6875,0.0773906249999996
1775.031,638.2470831938724,669905,653303.1647323341,14728.553846153845,0.07616923076923111
1805.032,638.7512058787809,669905,653579.0998181747,14505.39393939394,0.07500000000000069
1835.033,639.2394944544524,669905,653846.0123649001,14288.895522388058,0.07386567164179207
1865.034,639.7126848419415,669905,654104.337783118,14078.764705882355,0.07276470588235097
1895.035,640.1714679688221,669905,654354.4839108511,13874.724637681158,0.07169565217391143
1925.037,640.6165625427941,669905,654596.8411142225,13676.514285714286,0.07064285714285623
1955.038,641.0484395113691,669905,654831.7521874254,13483.887323943662,0.06963380281690085
1985.039,641.4677445213005,669905,655059.562576856,13296.611111111111,0.06865277777777755
2015.04,641.8750195759054,669905,655280.5894389191,13114.465753424658,0.0676986301369864
2045.041,642.270775913722,669905,655495.1313191274,12937.243243243243,0.06677027027027684
2075.043,642.6555603414539,669905,655703.476341454,12764.746666666668,0.06585333333333741
2105.044,643.0296995533133,669905,655905.8758691028,12596.789473684212,0.06497368421053365
2135.045,643.3936898815111,669905,656102.5872841086,12433.194805194806,0.0641168831168877
2165.047,643.7480007693352,669905,656293.8533334378,12273.794871794871,0.0632692307692359
2195.048,644.0928949322902,669905,656479.884805708,12118.430379746836,0.06245569620253989
2225.049,644.42880089221,669905,656660.89964221,11966.949999999999,0.06166250000000559
2255.05,644.7560659669092,669905,656837.0980656747,11819.20987654321,0.06088888888889189
2285.051,645.0750197837376,669905,657008.6697837376,11675.073170731708,0.06013414634146945
2315.053,645.3860326988421,669905,657175.8001687216,11534.409638554218,0.05938554216868123
2345.054,645.6892868483158,669905,657338.6487530776,11397.095238095239,0.0586666666666707
2375.055,645.9851232260723,669905,657497.3832260724,11263.011764705883,0.057964705882359885
2405.056,646.2738110360549,669905,657652.1575476828,11132.046511627907,0.057279069767446344
2435.057,646.5556065962064,669905,657803.1180904593,11004.09195402299,0.05660919540230617
2465.059,646.830807814497,669905,657950.4089508606,10879.045454545454,0.05594318181818442
2495.06,647.0995393801114,669905,658094.1528632576,10756.808988764045,0.05530337078652225
2525.061,647.362077714055,669905,658234.4810473883,10637.288888888888,0.05467777777778085
2624.64,647.9243348671529,669905,658677.2612407794,10520.395604395604,0.05407692307692612
