real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
0.018,0.0,360p,396,0.018,1152
0.545,0.0,360p,396,0.527,1152
5.332,0.009,480p,397,4.778,1152
5.393,0.024,480p,397,0.04600000000000026,1152
6.083,0.714,480p,397,0.0,1152
10.001,4.632,480p,397,0.0,1152
40.001,34.633,480p,397,0,1152
70.001,64.635,480p,397,0,1152
100.001,94.636,480p,397,0,1152
130.001,124.637,480p,397,0,1152
160.001,154.639,480p,397,0,1152
190.001,184.639,480p,397,0.0,1152
220.001,214.641,480p,397,0,1152
250.001,244.642,480p,397,0,896
280.001,274.643,480p,397,0,896
310.001,304.644,480p,397,0,896
340.001,334.646,480p,397,0,896
370.001,364.647,480p,397,0,896
400.001,394.648,480p,397,0,896
430.001,424.649,480p,397,0,896
460.001,454.65,480p,397,0,896
490.001,484.652,480p,397,0,1152
520.001,514.653,480p,397,0,1152
550.001,544.654,480p,397,0,1152
580.001,574.655,480p,397,0,1152
610.001,604.657,480p,397,0,1152
640.001,634.658,480p,397,0,1152
670.001,664.659,480p,397,0,1152
700.001,694.66,480p,397,0,1152
730.001,724.662,480p,397,0,896
760.001,754.663,480p,397,0,896
790.001,784.664,480p,397,0,896
820.001,814.665,480p,397,0,896
850.001,844.667,480p,397,0,896
880.001,874.668,480p,397,0,896
910.001,904.669,480p,397,0,896
940.001,934.67,480p,397,0,896
970.001,964.671,480p,397,0,1152
1000.001,994.673,480p,397,0,1152
1030.001,1024.674,480p,397,0,1152
1060.001,1054.675,480p,397,0,1152
1090.001,1084.676,480p,397,0,1152
1120.001,1114.678,480p,397,0,1152
1150.001,1144.679,480p,397,0,1152
1180.001,1174.68,480p,397,0,1152
1210.001,1204.681,480p,397,0,896
1240.001,1234.683,480p,397,0,896
1270.001,1264.684,480p,397,0,896
1300.001,1294.685,480p,397,0,896
1330.001,1324.686,480p,397,0,896
1360.001,1354.687,480p,397,0,896
1390.001,1384.689,480p,397,0,896
1420.001,1414.69,480p,397,0,896
1450.001,1444.691,480p,397,0,1152
1480.001,1474.693,480p,397,0,1152
1510.001,1504.694,480p,397,0,1152
1540.001,1534.695,480p,397,0,1152
1570.001,1564.696,480p,397,0,1152
1600.001,1594.697,480p,397,0,1152
1630.001,1624.699,480p,397,0,1152
1660.001,1654.7,480p,397,0,1152
1690.001,1684.701,480p,397,0,896
1720.001,1714.702,480p,397,0,896
1750.001,1744.704,480p,397,0,896
1780.001,1774.705,480p,397,0,896
1810.001,1804.705,480p,397,0.0,896
1840.001,1834.707,480p,397,0,896
1870.001,1864.708,480p,397,0,896
1900.001,1894.71,480p,397,0,896
1930.001,1924.711,480p,397,0,1152
1960.001,1954.712,480p,397,0,1152
1990.001,1984.713,480p,397,0,1152
2020.001,2014.715,480p,397,0,1152
2050.001,2044.716,480p,397,0,1152
2080.001,2074.717,480p,397,0,1152
2110.001,2104.718,480p,397,0,1152
2140.001,2134.72,480p,397,0,1152
2170.001,2164.721,480p,397,0,896
2200.001,2194.722,480p,397,0,896
2230.001,2224.723,480p,397,0,896
2260.001,2254.724,480p,397,0,896
2290.001,2284.726,480p,397,0,896
2320.001,2314.727,480p,397,0,896
2350.001,2344.728,480p,397,0,896
2380.001,2374.729,480p,397,0,896
2410.001,2404.731,480p,397,0,1152
2440.001,2434.732,480p,397,0,1152
2470.001,2464.733,480p,397,0,1152
2500.001,2494.734,480p,397,0,1152
2530.001,2524.736,480p,397,0,1152
2560.001,2554.737,480p,397,0,1152
2590.001,2584.738,480p,397,0,1152
2620.001,2614.739,480p,397,0,1152
2650.001,2644.74,480p,397,0,896
2680.001,2674.742,480p,397,0,896
2710.001,2704.743,480p,397,0,896
2740.001,2734.744,480p,397,0,896
2770.001,2764.745,480p,397,0,896
2800.001,2794.747,480p,397,0,896
2830.001,2824.748,480p,397,0,896
2860.001,2854.749,480p,397,0,896
2890.001,2884.75,480p,397,0,1152
2920.001,2914.752,480p,397,0,1152
2950.001,2944.753,480p,397,0,1152
2980.001,2974.755,480p,397,0,1152
3010.001,3004.756,480p,397,0,1152
3040.001,3034.756,480p,397,0.0,1152
3070.001,3064.758,480p,397,0,1152
3100.001,3094.759,480p,397,0,1152
3130.001,3124.76,480p,397,0,896
3160.001,3154.762,480p,397,0,896
3190.001,3184.763,480p,397,0,896
3308.318,3303.08,480p,397,0,896
