real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
0.017,0.0,480p,397,0.017,1152
0.557,0.0,480p,397,0.54,1152
7.509,0.016,480p,397,6.936,1152
8.26,0.724,480p,397,0.04299999999999926,1152
10.001,2.464,480p,397,0.0009999999999994458,1152
40.001,32.465,480p,397,0,1152
70.001,62.466,480p,397,0,1152
100.001,92.467,480p,397,0,1152
130.001,122.468,480p,397,0,1152
160.001,152.47,480p,397,0,1152
190.001,182.471,480p,397,0,1152
220.001,212.472,480p,397,0,1152
250.001,242.473,480p,397,0,896
280.001,272.475,480p,397,0,896
310.001,302.476,480p,397,0,896
340.001,332.477,480p,397,0,896
370.001,362.478,480p,397,0,896
400.001,392.48,480p,397,0,896
430.001,422.481,480p,397,0,896
460.001,452.482,480p,397,0,896
490.001,482.483,480p,397,0,1152
520.001,512.484,480p,397,0,1152
550.001,542.486,480p,397,0,1152
580.001,572.487,480p,397,0,1152
620.001,612.489,480p,397,0,1152
650.001,642.49,480p,397,0,1152
680.001,672.491,480p,397,0,1152
710.001,702.492,480p,397,0,1152
740.001,732.494,480p,397,0,896
770.001,762.495,480p,397,0,896
800.001,792.496,480p,397,0,896
830.001,822.497,480p,397,0,896
860.001,852.499,480p,397,0,896
890.001,882.5,480p,397,0,896
920.001,912.501,480p,397,0,896
950.001,942.502,480p,397,0,896
980.001,972.503,480p,397,0,1152
1010.001,1002.505,480p,397,0,1152
1040.001,1032.506,480p,397,0,1152
1070.001,1062.507,480p,397,0,1152
1100.001,1092.508,480p,397,0,1152
1130.001,1122.51,480p,397,0,1152
1160.001,1152.511,480p,397,0,1152
1190.001,1182.512,480p,397,0,1152
1220.001,1212.513,480p,397,0,896
1250.001,1242.515,480p,397,0,896
1280.001,1272.516,480p,397,0,896
1310.001,1302.517,480p,397,0,896
1340.001,1332.518,480p,397,0,896
1370.001,1362.519,480p,397,0,896
1400.001,1392.521,480p,397,0,896
1430.001,1422.522,480p,397,0,896
1460.001,1452.523,480p,397,0,1152
1490.001,1482.524,480p,397,0,1152
1520.001,1512.525,480p,397,0,1152
1550.001,1542.527,480p,397,0,1152
1580.001,1572.528,480p,397,0,1152
1610.001,1602.529,480p,397,0,1152
1640.001,1632.53,480p,397,0,1152
1670.001,1662.532,480p,397,0,1152
1700.001,1692.533,480p,397,0,896
1730.001,1722.534,480p,397,0,896
1760.001,1752.536,480p,397,0,896
1790.001,1782.537,480p,397,0,896
1820.001,1812.538,480p,397,0,896
1850.001,1842.539,480p,397,0,896
1880.001,1872.541,480p,397,0,896
1910.001,1902.542,480p,397,0,896
1940.001,1932.543,480p,397,0,1152
1970.001,1962.544,480p,397,0,1152
2000.001,1992.545,480p,397,0,1152
2030.001,2022.546,480p,397,0,1152
2060.001,2052.548,480p,397,0,1152
2090.001,2082.549,480p,397,0,1152
2120.001,2112.55,480p,397,0,1152
2150.001,2142.551,480p,397,0,1152
2180.001,2172.553,480p,397,0,896
2210.001,2202.554,480p,397,0,896
2240.001,2232.555,480p,397,0,896
2270.001,2262.556,480p,397,0,896
2300.001,2292.558,480p,397,0,896
2330.001,2322.559,480p,397,0,896
2360.001,2352.56,480p,397,0,896
2390.001,2382.562,480p,397,0,896
2420.001,2412.563,480p,397,0,1152
2450.001,2442.564,480p,397,0,1152
2480.001,2472.565,480p,397,0,1152
2510.001,2502.566,480p,397,0,1152
2632.0750000000003,2624.64,480p,397,0,1152
