real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
0.019,0.0,480p,397,0.019,64
4.42,0.0,480p,397,4.401,64
15.02,0.0,480p,397,10.6,64
18.835,0.0,480p,397,3.8150000000000013,64
18.843,0.0,480p,397,0.007999999999999119,64
20.001,0.0,480p,397,1.1580000000000013,64
21.029,0.0,480p,397,1.0279999999999987,64
30.001,0.0,480p,397,8.972000000000001,64
40.001,0.0,480p,397,9.999999999999996,64
47.058,0.0,144p,394,7.057000000000002,64
60.007,0.0,144p,394,12.948999999999998,64
61.84,0.006,144p,394,1.8270000000000053,64
62.59,0.687,144p,394,0.06900000000000261,64
69.521,7.617,144p,394,0.0009999999999976694,64
70.001,7.617,144p,394,0.480000000000004,64
71.988,7.704,144p,394,1.8999999999999986,64
72.738,8.369,144p,394,0.08499999999999375,64
80.001,15.632,144p,394,0.0,64
80.409,16.04,144p,394,0.0,64
90.001,16.04,144p,394,9.592000000000013,64
94.381,16.111,144p,394,4.308999999999983,64
95.131,16.793,144p,394,0.06799999999999784,64
100.001,21.663,144p,394,1.4210854715202004e-14,64
110.742,32.403,144p,394,0.000999999999990564,64
113.545,32.48,144p,394,2.725999999999999,64
114.295,33.148,144p,394,0.08199999999999363,64
120.001,38.854,144p,394,1.4210854715202004e-14,64
120.688,39.54,144p,394,0.000999999999990564,64
130.001,39.54,144p,394,9.313000000000017,64
139.149,39.625,144p,394,9.062999999999988,64
139.899,39.647,144p,394,0.7280000000000086,64
140.001,39.647,144p,394,0.10200000000000387,64
140.703,39.647,144p,394,0.7019999999999982,64
141.437,39.659,144p,394,0.7220000000000084,64
142.187,40.412,144p,394,0,64
146.025,44.249,144p,394,0.0010000000000047748,64
150.0,48.225,144p,394,0,64
160.43,58.655,144p,394,0.0,64
161.672,59.896,144p,394,0.000999999999990564,64
170.001,59.896,144p,394,8.329000000000008,64
185.634,59.896,144p,394,15.632999999999981,64
190.001,59.896,144p,394,4.367000000000033,64
192.076,59.896,144p,394,2.0749999999999886,64
200.001,59.896,144p,394,7.925000000000011,64
214.638,59.896,144p,394,14.637,64
220.001,59.896,144p,394,5.3629999999999995,64
230.001,59.896,144p,394,10.0,64
338.11,59.896,144p,278,108.10899999999998,128
352.142,59.983,144p,278,13.944999999999993,128
352.892,60.003,144p,278,0.7300000000000182,128
353.853,60.003,144p,278,0.9610000000000127,128
354.422,60.009,144p,278,0.5629999999999882,128
355.172,60.761,144p,278,0,128
360.001,65.59,144p,278,0,128
390.001,95.591,144p,278,0,128
