real_time (s),video_playback_time (s),video_quality,bitrate (kbps),stall_in_this_segment (s),bandwidth
0.018,0.0,480p,397,0.018,64
3.02,0.0,480p,397,3.0020000000000002,64
15.019,0.0,480p,397,11.999,64
17.433,0.0,480p,397,2.4139999999999997,64
17.438,0.0,480p,397,0.004999999999999005,64
20.001,0.0,480p,397,2.5630000000000024,64
21.063,0.0,480p,397,1.0619999999999976,64
30.001,0.0,480p,397,8.938000000000002,64
31.845,0.0,144p,394,1.8439999999999976,64
36.738,0.0,144p,394,4.893000000000001,64
50.001,0.0,144p,394,13.262999999999998,64
60.008,0.0,144p,394,10.007000000000005,64
64.406,0.02,144p,394,4.378000000000007,64
65.159,0.729,144p,394,0.04399999999999693,64
70.001,5.571,144p,394,0.0,64
72.055,7.617,144p,394,0.007999999999995566,64
80.001,7.617,144p,394,7.945999999999998,64
101.768,7.707,144p,394,21.677000000000007,64
102.526,7.728,144p,394,0.7369999999999948,64
103.601,7.728,144p,394,1.0750000000000028,64
104.048,7.732,144p,394,0.44299999999999784,64
104.798,8.484,144p,394,0,64
110.001,13.686,144p,394,0.000999999999990564,64
112.366,16.05,144p,394,0.0010000000000047748,64
119.826,16.133,144p,394,7.376999999999995,64
120.001,16.233,144p,394,0.07500000000000284,64
120.576,16.808,144p,394,0.0,64
130.001,26.233,144p,394,0.0,64
133.672,29.903,144p,394,0.0010000000000047748,64
140.002,29.903,144p,394,6.3300000000000125,64
330.001,29.903,144p,394,189.99899999999994,128
351.29,29.903,144p,394,21.289000000000044,128
360.001,29.903,144p,394,8.710999999999956,128
364.435,29.98,144p,394,4.357000000000028,128
365.185,30.002,144p,394,0.7280000000000086,128
366.174,30.002,144p,394,0.9889999999999759,128
366.922,30.208,144p,394,0.5420000000000869,128
367.672,30.96,144p,394,0,128
370.001,33.288,144p,394,0.0009999999999195097,128
400.001,63.289,144p,394,0,128
430.001,93.291,144p,394,0,128
436.629,99.918,144p,394,0.0010000000000331966,128
439.134,99.989,144p,394,2.433999999999969,128
439.884,100.668,144p,394,0.07100000000002638,128
440.001,100.785,144p,394,0.0,128
470.001,130.786,144p,394,0,128
