protocol,tcp_bytes,quic_bytes,real_time,
6,39,,0.206059,
6,0,,0.632705,
6,0,,0.632721,
6,0,,0.635517,
6,0,,0.635708,
6,0,,0.65049,
6,0,,0.650501,
6,517,,0.650508,
6,517,,0.650514,
6,0,,0.653112,
6,0,,0.653321,
6,1430,,0.727878,
6,1430,,0.728004,
6,1430,,0.728118,
6,1430,,0.728233,
6,933,,0.728315,
6,1430,,0.728495,
6,1430,,0.72861,
6,1430,,0.728743,
6,1430,,0.728856,
6,932,,0.728862,
6,0,,0.74007,
6,0,,0.758128,
6,932,,0.766095,
6,0,,0.776379,
6,0,,0.794524,
6,0,,0.811964,
6,0,,0.815651,
17,,86,0.827889,
17,,41,0.829395,
6,0,,0.830098,
6,0,,0.848214,
6,0,,0.866262,
6,0,,0.884356,
6,0,,0.903902,
6,0,,0.903908,
6,64,,1.046431,
6,64,,1.046607,
6,0,,1.048846,
6,0,,1.049076,
6,608,,1.049378,
6,608,,1.049574,
6,0,,1.064796,
6,0,,1.064804,
6,110,,1.091761,
6,110,,1.094729,
6,0,,1.094746,
6,0,,1.280264,
6,0,,1.280277,
6,0,,1.280281,
6,0,,1.282814,
6,0,,1.28283,
6,0,,1.283065,
6,0,,1.300231,
6,0,,1.300241,
6,0,,1.300246,
6,517,,1.30025,
6,517,,1.300255,
6,0,,1.302662,
6,0,,1.302712,
6,517,,1.316379,
6,0,,1.318917,
6,1430,,1.368794,
6,1430,,1.368823,
6,1430,,1.369017,
6,395,,1.369025,
6,1430,,1.369527,
6,1430,,1.369639,
6,1430,,1.369771,
6,1430,,1.369886,
6,932,,1.369891,
6,129,,1.371382,
6,0,,1.388139,
6,1430,,1.388366,
6,1430,,1.388497,
6,1430,,1.388612,
6,1430,,1.388726,
6,933,,1.388733,
6,0,,1.405944,
6,932,,1.412963,
6,0,,1.42425,
6,933,,1.432033,
6,0,,1.442427,
6,64,,1.460367,
6,92,,1.460386,
6,266,,1.460394,
6,0,,1.460402,
6,0,,1.462535,
6,0,,1.462554,
6,0,,1.462607,
6,608,,1.463163,
6,31,,1.463336,
6,266,,1.478816,
6,0,,1.478831,
6,0,,1.481032,
6,0,,1.496278,
6,0,,1.514623,
6,0,,1.514636,
6,64,,1.53248,
6,92,,1.532489,
6,0,,1.534709,
6,0,,1.53472,
6,608,,1.535262,
6,31,,1.535271,
6,31,,1.536856,
6,1266,,1.550739,
6,0,,1.550747,
6,0,,1.550751,
6,1266,,1.550754,
6,0,,1.55324,
6,0,,1.568485,
6,0,,1.586544,
6,0,,1.604681,
6,64,,1.622852,
6,92,,1.622866,
6,252,,1.622873,
6,0,,1.62288,
6,0,,1.622886,
6,0,,1.62571,
6,0,,1.625732,
6,0,,1.625734,
6,608,,1.625737,
6,31,,1.625857,
6,0,,1.640208,
6,0,,1.640218,
6,0,,1.640226,
6,0,,1.640232,
6,31,,1.640238,
6,31,,1.640244,
6,0,,1.64242,
6,0,,1.642446,
6,0,,1.657929,
6,0,,1.657949,
6,31,,1.657957,
6,0,,1.66581,
6,541,,1.697345,
6,487,,1.697363,
6,410,,1.698775,
6,1430,,1.698908,
6,1430,,1.698918,
6,892,,1.699021,
6,31,,1.69903,
6,39,,1.699099,
6,0,,1.712476,
6,35,,1.712492,
6,0,,1.719839,
6,0,,1.748244,
6,0,,1.761082,
6,0,,1.766142,
6,0,,1.766151,
6,39,,1.766154,
6,0,,1.768692,
6,1430,,1.783272,
6,1430,,1.783614,
6,1430,,1.783715,
17,,1358,1.784224,
6,0,,1.784237,
6,1430,,1.78504,
6,1430,,1.78514,
6,0,,1.785693,
6,1430,,1.786402,
6,1430,,1.786533,
6,1430,,1.787791,
6,1430,,1.787909,
6,596,,1.788496,
17,,1358,1.789055,
17,,1358,1.789154,
17,,1358,1.789269,
17,,1277,1.789384,
6,1430,,1.789498,
6,1430,,1.789613,
6,927,,1.790465,
6,1430,,1.791941,
6,666,,1.792071,
6,129,,1.80252,
6,244,,1.803775,
6,39,,1.803789,
6,0,,1.820016,
6,129,,1.848937,
6,0,,1.856233,
6,0,,1.874519,
6,517,,1.874533,
6,0,,1.875703,
6,1460,,1.877192,
6,1460,,1.877318,
6,1460,,1.877432,
6,589,,1.877436,
6,0,,1.891101,
6,0,,1.892523,
6,0,,1.892629,
6,1430,,1.903986,
6,1430,,1.904303,
6,1430,,1.904417,
6,1430,,1.905978,
6,1430,,1.906088,
6,1430,,1.907118,
6,933,,1.907171,
6,0,,1.928601,
6,39,,1.959848,
6,0,,1.970995,
6,0,,1.971015,
6,517,,1.97115,
6,0,,1.982673,
17,,1358,1.982685,
17,,49,2.000578,
6,0,,2.018655,
17,,49,2.018666,
