protocol,tcp_bytes,quic_bytes,real_time
17,,87,0.008054
17,,41,0.014584
6,110,,0.472816
6,110,,0.475546
6,0,,0.475577
6,0,,0.541012
6,0,,0.541039
6,0,,0.579363
6,0,,0.579384
6,0,,0.613051
6,0,,0.613074
6,517,,0.613083
6,517,,0.613091
6,0,,0.6511
6,0,,0.651238
6,1430,,0.711286
6,1430,,0.711395
6,1430,,0.71151
6,1430,,0.711641
6,931,,0.711648
6,1430,,0.711837
6,1430,,0.711952
6,1430,,0.712083
6,1430,,0.712199
6,932,,0.712206
6,0,,0.738806
6,0,,0.756879
6,0,,0.775171
6,0,,0.793514
6,0,,0.811134
6,0,,0.828991
6,0,,0.847113
6,932,,0.858169
6,0,,0.865216
6,0,,0.883072
6,0,,0.900468
6,0,,0.900491
6,0,,0.900504
6,0,,0.900513
6,0,,0.90052
6,0,,0.943352
6,0,,0.94337
6,0,,0.943594
6,0,,0.973191
6,0,,0.973209
6,0,,0.973215
6,517,,0.973221
6,517,,0.973228
6,517,,0.991346
6,0,,1.015625
6,0,,1.015645
6,64,,1.026477
6,64,,1.026495
6,0,,1.034051
6,0,,1.064216
6,0,,1.064486
6,608,,1.064701
6,608,,1.064898
6,1430,,1.075707
6,1430,,1.075729
6,1430,,1.075918
6,1430,,1.076032
6,932,,1.076038
6,1430,,1.07623
6,1430,,1.076378
6,1430,,1.076493
6,1430,,1.076653
6,931,,1.076682
6,0,,1.081092
6,0,,1.081103
6,1430,,1.094485
6,1430,,1.094605
6,1430,,1.094726
6,394,,1.094733
6,0,,1.098894
6,0,,1.116987
6,0,,1.135284
6,0,,1.152456
6,0,,1.170683
6,64,,1.170698
6,92,,1.170706
6,252,,1.170713
6,0,,1.188712
6,31,,1.196557
6,0,,1.206751
6,0,,1.213071
6,0,,1.21308
6,0,,1.213082
6,608,,1.213498
6,0,,1.22479
6,931,,1.22847
6,0,,1.242721
6,394,,1.24535
6,541,,1.256419
6,487,,1.256444
6,31,,1.25783
6,39,,1.25784
6,0,,1.261349
6,64,,1.261362
6,92,,1.261369
6,1266,,1.279021
6,0,,1.279038
6,0,,1.297145
6,0,,1.303603
6,0,,1.303642
6,608,,1.304183
6,31,,1.30419
6,0,,1.309755
6,0,,1.31505
6,0,,1.31506
6,0,,1.315067
6,0,,1.315073
6,31,,1.315078
6,64,,1.315085
6,92,,1.315092
6,266,,1.315098
6,0,,1.332981
6,0,,1.333
6,31,,1.341165
6,0,,1.344313
6,0,,1.351226
6,39,,1.351238
6,35,,1.351244
6,0,,1.357755
6,0,,1.357772
6,0,,1.357774
6,608,,1.358306
6,0,,1.368576
6,0,,1.368587
6,0,,1.368594
6,31,,1.368604
6,0,,1.376377
6,0,,1.376501
17,,1358,1.386972
6,0,,1.386985
6,0,,1.38699
6,31,,1.386994
6,0,,1.388433
6,0,,1.394142
6,0,,1.405193
6,517,,1.405352
6,0,,1.406643
6,1460,,1.408987
6,1460,,1.409006
6,1460,,1.409211
6,587,,1.409215
6,0,,1.41817
6,0,,1.440425
6,0,,1.458486
6,0,,1.476599
6,0,,1.495338
6,64,,1.495354
6,547,,1.495361
6,0,,1.496616
6,1460,,1.510659
6,1460,,1.510773
6,1460,,1.510904
6,1460,,1.511002
6,1460,,1.511133
6,1460,,1.51128
6,1460,,1.51228
6,1460,,1.512391
6,1460,,1.51344
6,1460,,1.513544
6,1460,,1.514544
6,1460,,1.514673
6,1460,,1.515996
6,1460,,1.516101
6,596,,1.535493
6,1430,,1.539275
6,657,,1.540314
6,0,,1.548408
6,1460,,1.549928
6,192,,1.549936
6,1460,,1.550108
6,39,,1.550114
6,1460,,1.550304
6,0,,1.584702
6,1460,,1.586102
6,1460,,1.58621
6,1460,,1.586735
6,1460,,1.586848
6,0,,1.62116
6,1460,,1.622628
6,1460,,1.622648
6,1460,,1.623218
6,1460,,1.623844
6,1460,,1.623974
6,0,,1.656452
17,,1358,1.65647
6,1460,,1.657838
6,1460,,1.657963
6,110,,1.689761
6,110,,1.692226
6,0,,1.692252
6,0,,1.693268
6,1460,,1.694661
6,1460,,1.694753
6,0,,1.711087
6,92,,1.711118
6,31,,1.711127
6,521,,1.711135
6,0,,1.728663
6,1460,,1.730109
6,1460,,1.730201
6,0,,1.740991
6,0,,1.748936
6,31,,1.748946
6,0,,1.749489
6,0,,1.764623
6,1460,,1.766054
6,39,,1.788032
6,0,,1.801418
6,410,,1.820593
6,1430,,1.820748
6,1430,,1.820863
6,892,,1.820944
6,0,,1.836751
6,521,,1.836773
6,1032,,1.84678
6,1430,,1.846797
6,1430,,1.847025
6,1430,,1.847036
6,1430,,1.851843
6,1430,,1.851936
6,0,,1.85454
6,39,,1.854553
6,1460,,1.855953
6,1460,,1.855963
6,1430,,1.856872
6,1430,,1.856998
6,1430,,1.861886
6,1430,,1.862021
6,1430,,1.866934
6,1430,,1.866962
6,0,,1.871663
6,1430,,1.871961
6,1406,,1.871973
6,24,,1.876678
6,0,,1.880246
6,0,,1.891211
6,1460,,1.892595
6,1460,,1.892752
6,1430,,1.893965
6,1430,,1.895226
6,1430,,1.895341
6,1430,,1.900306
6,1430,,1.900436
6,1430,,1.905493
6,1430,,1.905603
6,1430,,1.91045
6,1430,,1.910473
6,1430,,1.915544
6,1430,,1.915556
6,927,,1.920537
6,0,,1.926736
6,1460,,1.9282
6,1460,,1.928336
6,0,,1.950453
6,0,,1.951565
6,0,,1.962759
6,1460,,1.964221
6,1460,,1.964239
6,1460,,1.964825
6,0,,1.999204
6,1460,,2.000692
6,1460,,2.000819
6,0,,2.020304
6,0,,2.020331
6,517,,2.020527
6,1430,,2.028704
6,0,,2.03514
6,1460,,2.036628
6,1460,,2.036757
6,1430,,2.057381
6,0,,2.071189
6,1460,,2.072597
6,1460,,2.072713
6,0,,2.089207
6,644,,2.089219
6,1430,,2.090244
6,0,,2.090255
6,1430,,2.090348
6,0,,2.090353
6,1430,,2.090494
6,0,,2.090504
6,1430,,2.090607
6,0,,2.090617
6,922,,2.090619
6,0,,2.090622
6,64,,2.091018
6,208,,2.091385
6,0,,2.107132
6,0,,2.107149
6,1460,,2.108582
6,1460,,2.108708
6,0,,2.113338
6,39,,2.125215
6,0,,2.14262
6,0,,2.14264
6,0,,2.142654
6,1460,,2.144001
6,0,,2.145682
6,0,,2.150835
6,0,,2.159967
6,0,,2.160842
6,1430,,2.166892
6,0,,2.170245
6,0,,2.179047
6,0,,2.197219
6,1460,,2.198612
6,1460,,2.198721
6,1430,,2.205152
6,1430,,2.205207
6,1430,,2.207672
6,1430,,2.207695
6,0,,2.215046
6,0,,2.215058
6,0,,2.215065
6,529,,2.215455
6,0,,2.23293
6,0,,2.232943
6,1430,,2.241104
6,886,,2.24113
6,0,,2.250978
17,,1358,2.251
6,0,,2.252109
6,0,,2.255011
6,1430,,2.257178
6,1350,,2.257287
6,0,,2.257513
6,297,,2.269303
17,,1358,2.286749
6,0,,2.286774
