protocol,tcp_bytes,quic_bytes,real_time,
17,,41,0.726482,
17,,33,0.730389,
6,110,,1.362703,
6,110,,1.365453,
6,0,,1.365466,
6,110,,1.780294,
6,0,,1.789211,
6,110,,1.79023,
6,0,,1.790242,
6,0,,1.871455,
6,0,,2.166638,
6,0,,2.168629,
6,0,,2.226784,
6,0,,2.226811,
6,0,,2.229211,
6,0,,2.229679,
6,0,,2.238571,
6,0,,2.238603,
6,517,,2.238756,
6,0,,2.308542,
6,1430,,2.309708,
6,0,,2.309728,
6,1430,,2.309821,
6,0,,2.309827,
6,1430,,2.309935,
6,0,,2.309941,
6,1430,,2.310066,
6,0,,2.310072,
6,924,,2.310076,
6,0,,2.310079,
6,64,,2.310502,
6,208,,2.311081,
6,0,,2.381162,
6,529,,2.382628,
6,87,,2.38987,
6,0,,2.389905,
6,34,,2.391226,
6,0,,2.414549,
6,0,,2.414567,
6,0,,2.414577,
6,0,,2.414585,
6,0,,2.414593,
6,0,,2.414601,
6,0,,2.414608,
6,0,,2.414614,
6,517,,2.414621,
6,0,,2.416714,
6,0,,2.416913,
6,0,,2.416962,
6,0,,2.417202,
6,0,,2.417208,
6,0,,2.41745,
6,0,,2.417696,
6,0,,2.428326,
6,1430,,2.485931,
6,1430,,2.48595,
6,1430,,2.486176,
6,1430,,2.486186,
6,933,,2.486289,
6,0,,2.540123,
6,517,,2.600796,
6,0,,2.600811,
6,0,,2.600817,
6,0,,2.600822,
6,0,,2.600827,
6,0,,2.600832,
6,0,,2.600837,
6,517,,2.600842,
6,0,,2.60289,
6,0,,2.603148,
6,1430,,2.674109,
6,1430,,2.674245,
6,1430,,2.674367,
6,1430,,2.67448,
6,933,,2.674496,
6,1430,,2.678443,
6,1430,,2.678454,
6,1430,,2.678672,
6,1430,,2.678788,
6,932,,2.678798,
6,0,,2.708339,
6,0,,2.781937,
6,517,,2.788102,
6,517,,2.788116,
6,0,,2.790226,
6,0,,2.790238,
6,1430,,2.861405,
6,1430,,2.861467,
6,1430,,2.861626,
6,394,,2.861644,
6,1430,,2.862583,
6,1430,,2.862597,
6,1430,,2.862784,
6,1430,,2.862916,
6,933,,2.86292,
6,933,,2.869553,
6,517,,2.974828,
6,517,,2.974854,
6,517,,2.974863,
6,0,,2.974871,
6,0,,2.979743,
6,0,,2.979754,
6,0,,2.980079,
6,933,,3.049921,
6,1430,,3.051528,
6,1430,,3.051539,
6,1430,,3.05169,
6,1430,,3.051887,
6,934,,3.051897,
6,1430,,3.054043,
6,1430,,3.05417,
6,1430,,3.054283,
6,1430,,3.054426,
6,933,,3.05444,
6,1430,,3.054787,
6,1430,,3.054798,
6,1430,,3.055017,
6,395,,3.055027,
6,932,,3.060916,
6,0,,3.16224,
6,0,,3.162267,
6,0,,3.169057,
6,0,,3.172457,
6,0,,3.172486,
6,228,,3.172569,
6,0,,3.178026,
6,1250,,3.181011,
6,0,,3.181021,
6,444,,3.18216,
6,0,,3.182171,
6,0,,3.182173,
6,0,,3.182212,
6,0,,3.184901,
6,394,,3.240502,
