protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.9388,
6,110,,1.303589,
6,110,,1.309073,
6,0,,1.309085,
17,,41,1.475633,
17,,33,1.479523,
6,0,,1.822569,
6,0,,1.822613,
6,0,,1.825026,
6,0,,1.825036,
6,0,,1.910072,
6,0,,1.911374,
6,0,,1.982575,
6,0,,1.982597,
6,517,,1.982738,
6,0,,2.009212,
6,0,,2.009236,
6,0,,2.009245,
6,0,,2.009252,
6,0,,2.011812,
6,0,,2.012026,
6,0,,2.012035,
6,0,,2.012523,
6,0,,2.054763,
6,1430,,2.055044,
6,0,,2.055056,
6,1430,,2.055158,
6,0,,2.055163,
6,1430,,2.055289,
6,0,,2.055293,
6,1430,,2.055404,
6,0,,2.055408,
6,924,,2.055411,
6,0,,2.055414,
6,64,,2.055802,
6,208,,2.056158,
6,0,,2.127168,
6,529,,2.128604,
6,87,,2.136443,
6,0,,2.136481,
6,34,,2.137712,
6,0,,2.177129,
6,0,,2.195847,
6,0,,2.195854,
6,517,,2.195859,
6,517,,2.195863,
6,0,,2.195873,
6,0,,2.195878,
6,0,,2.199099,
6,0,,2.199198,
6,0,,2.199586,
6,0,,2.199596,
6,110,,2.261608,
6,110,,2.26484,
6,0,,2.264857,
6,1430,,2.266329,
6,1430,,2.266342,
6,1430,,2.266559,
6,1430,,2.26669,
6,933,,2.266699,
6,1430,,2.266887,
6,1430,,2.266997,
6,1430,,2.267119,
6,1430,,2.267227,
6,934,,2.267232,
6,0,,2.383378,
6,0,,2.383387,
6,0,,2.383391,
6,0,,2.383395,
6,517,,2.383399,
6,517,,2.383403,
6,0,,2.385908,
6,0,,2.386103,
6,0,,2.453104,
6,1430,,2.453666,
6,1430,,2.453711,
6,1430,,2.453883,
6,393,,2.453897,
6,1430,,2.454041,
6,1430,,2.454156,
6,1430,,2.454277,
6,1430,,2.454392,
6,933,,2.454398,
6,0,,2.522754,
6,517,,2.569949,
6,517,,2.569959,
6,0,,2.569973,
6,0,,2.569976,
6,0,,2.572286,
6,0,,2.572563,
6,1430,,2.638513,
6,1430,,2.638535,
6,1430,,2.638741,
6,394,,2.638751,
6,1430,,2.63974,
6,1430,,2.639872,
6,1430,,2.639882,
6,1430,,2.640101,
6,932,,2.640111,
6,517,,2.757207,
6,517,,2.75722,
6,0,,2.757235,
6,0,,2.759409,
6,0,,2.759537,
6,1430,,2.824541,
6,1430,,2.824568,
6,1430,,2.824681,
6,1430,,2.824896,
6,934,,2.824906,
6,1430,,2.827078,
6,1430,,2.827192,
6,1430,,2.827323,
6,1430,,2.827333,
6,933,,2.827437,
6,0,,2.931228,
6,0,,2.93455,
6,0,,2.934566,
6,228,,2.934615,
6,0,,2.936634,
6,1694,,2.939408,
6,0,,2.939436,
6,0,,2.939442,
6,0,,2.939852,
6,0,,2.941733,
6,0,,2.943725,
6,517,,2.943739,
6,0,,2.946255,
6,0,,3.013586,
6,934,,3.072793,
6,0,,3.131004,
6,517,,3.131016,
6,517,,3.131023,
6,0,,3.133346,
6,0,,3.133587,
6,933,,3.225812,
6,393,,3.250415,
6,517,,3.317918,
6,517,,3.317931,
6,517,,3.317938,
6,0,,3.317947,
6,0,,3.317953,
6,0,,3.320255,
6,0,,3.320326,
6,0,,3.320341,
6,394,,3.421286,
6,932,,3.443023,
6,64,,3.504848,
6,92,,3.504857,
6,520,,3.504861,
6,0,,3.504865,
6,0,,3.506892,
6,0,,3.506902,
6,0,,3.506974,
6,608,,3.507315,
6,31,,3.507831,
6,934,,3.579246,
6,933,,3.601982,
6,926,,3.630157,
6,1430,,3.63028,
6,1430,,3.630395,
6,1430,,3.643345,
6,1430,,3.656465,
6,1430,,3.669556,
6,1430,,3.682687,
6,0,,3.691862,
6,1430,,3.695782,
6,1430,,3.709003,
6,1430,,3.721979,
6,110,,3.7301,
6,1430,,3.735064,
6,0,,3.735085,
6,110,,3.735742,
6,0,,3.735756,
6,1430,,3.748228,
6,1430,,3.761279,
