protocol,tcp_bytes,quic_bytes,real_time,
6,73,,0.272226,
6,24,,0.274317,
6,73,,0.586037,
6,118,,0.858235,
6,0,,1.048756,
6,0,,1.04878,
6,0,,1.051912,
6,0,,1.051995,
6,0,,1.235991,
6,0,,1.23601,
6,0,,1.236016,
6,0,,1.236021,
6,0,,1.236027,
6,0,,1.236033,
6,0,,1.238722,
6,0,,1.238917,
6,0,,1.238924,
6,0,,1.238928,
6,0,,1.239161,
6,0,,1.239407,
6,0,,1.422015,
6,0,,1.422028,
6,517,,1.422032,
6,517,,1.422037,
6,0,,1.424989,
6,0,,1.425005,
6,1430,,1.493065,
6,1430,,1.49309,
6,1430,,1.493288,
6,1430,,1.493331,
6,1077,,1.493492,
6,1430,,1.494206,
6,1430,,1.49431,
6,1430,,1.494441,
6,1430,,1.494566,
6,1076,,1.494571,
6,118,,1.608168,
6,0,,1.608731,
6,0,,1.608745,
6,0,,1.608753,
6,0,,1.608759,
6,0,,1.608765,
6,0,,1.608771,
6,517,,1.608778,
6,517,,1.608783,
6,0,,1.611506,
6,0,,1.611662,
6,1430,,1.68017,
6,1430,,1.680186,
6,1430,,1.680415,
6,1430,,1.68053,
6,932,,1.68054,
6,1430,,1.686282,
6,1430,,1.686293,
6,1430,,1.686511,
6,1430,,1.686641,
6,932,,1.686651,
6,0,,1.688919,
6,517,,1.795679,
6,517,,1.795698,
6,0,,1.798323,
6,0,,1.798441,
6,151,,1.850967,
6,0,,1.851153,
6,1430,,1.868556,
6,1430,,1.868686,
6,1430,,1.868695,
6,1430,,1.868915,
6,933,,1.868925,
6,1430,,1.869538,
6,1430,,1.869663,
6,1430,,1.869685,
6,391,,1.869767,
6,0,,1.887419,
6,0,,1.888631,
6,0,,1.955606,
6,0,,1.955637,
6,517,,1.955793,
6,517,,1.982657,
6,517,,1.982667,
6,0,,1.982681,
6,0,,1.985566,
6,0,,1.985575,
6,73,,2.000262,
6,0,,2.022701,
6,1430,,2.024369,
6,0,,2.024379,
6,1430,,2.024383,
6,0,,2.024386,
6,1430,,2.024614,
6,0,,2.024623,
6,1430,,2.024626,
6,0,,2.024629,
6,925,,2.024728,
6,0,,2.024737,
6,64,,2.025104,
6,208,,2.025598,
6,1430,,2.053531,
6,1430,,2.053658,
6,1430,,2.053764,
6,391,,2.053778,
6,1430,,2.05576,
6,1430,,2.05577,
6,1430,,2.055983,
6,1430,,2.05612,
6,932,,2.056129,
6,0,,2.092896,
6,529,,2.094529,
6,87,,2.099977,
6,0,,2.099996,
6,34,,2.101221,
6,0,,2.137816,
6,151,,2.149362,
6,0,,2.169975,
6,0,,2.169987,
6,517,,2.169992,
6,517,,2.169996,
6,0,,2.172705,
6,0,,2.172938,
6,1076,,2.290613,
6,517,,2.35682,
6,0,,2.356834,
6,517,,2.356839,
6,517,,2.356844,
