protocol,tcp_bytes,quic_bytes,real_time,
6,36,,0.083294,
6,42,,0.083375,
6,36,,0.083387,
6,83,,0.083527,
6,36,,0.083539,
6,44,,0.083571,
6,34,,0.092552,
6,311,,0.382817,
6,311,,0.682467,
6,311,,1.282825,
6,0,,1.987023,
6,0,,1.987038,
6,33,,1.99632,
6,0,,2.029932,
6,0,,2.032378,
6,0,,2.173659,
6,0,,2.173669,
6,0,,2.173675,
6,0,,2.17368,
6,0,,2.213272,
6,0,,2.213757,
6,0,,2.21499,
6,0,,2.218426,
6,129,,2.268911,
6,33,,2.306141,
6,0,,2.35007,
6,0,,2.360694,
6,0,,2.360701,
6,517,,2.360705,
6,517,,2.360709,
6,0,,2.36072,
6,0,,2.360725,
6,0,,2.402996,
6,0,,2.403048,
6,0,,2.405819,
6,0,,2.414541,
6,1430,,2.461259,
6,1430,,2.461389,
6,1430,,2.461504,
6,1430,,2.461621,
6,933,,2.46163,
6,1430,,2.462915,
6,1430,,2.462925,
6,1430,,2.463142,
6,1430,,2.463274,
6,933,,2.463283,
6,311,,2.482556,
6,0,,2.547649,
6,0,,2.547658,
6,0,,2.547662,
6,0,,2.547666,
6,517,,2.547669,
6,517,,2.547674,
6,0,,2.587024,
6,0,,2.587706,
6,1430,,2.65089,
6,1430,,2.651022,
6,1430,,2.651031,
6,1430,,2.65125,
6,933,,2.65126,
6,1430,,2.651461,
6,1430,,2.651576,
6,1430,,2.651691,
6,1430,,2.651718,
6,933,,2.651905,
6,517,,2.735191,
6,517,,2.735202,
6,0,,2.735216,
6,0,,2.735228,
6,0,,2.776293,
6,0,,2.779684,
6,1430,,2.839621,
6,1430,,2.83964,
6,1430,,2.839847,
6,391,,2.839857,
6,1430,,2.840011,
6,1430,,2.840126,
6,1430,,2.840257,
6,390,,2.840267,
6,517,,2.922539,
6,517,,2.922553,
6,0,,2.922576,
6,0,,2.922581,
6,129,,2.95457,
6,0,,2.964618,
6,0,,2.97607,
6,1430,,3.025402,
6,1430,,3.025529,
6,1430,,3.025644,
6,1430,,3.025758,
6,934,,3.025771,
6,1430,,3.036556,
6,1430,,3.036575,
6,1430,,3.0368,
6,1430,,3.03692,
6,933,,3.036929,
6,0,,3.109193,
6,933,,3.213331,
6,517,,3.296623,
6,517,,3.296637,
6,0,,3.339622,
6,0,,3.339902,
6,0,,3.363012,
6,933,,3.42191,
6,933,,3.423779,
6,517,,3.483031,
6,517,,3.483044,
6,517,,3.483051,
6,0,,3.525502,
6,0,,3.52713,
6,0,,3.527572,
6,391,,3.603401,
6,390,,3.625009,
6,517,,3.670272,
6,0,,3.670281,
6,0,,3.670284,
6,64,,3.670287,
6,92,,3.670291,
6,520,,3.670305,
