protocol,tcp_bytes,quic_bytes,real_time,
6,0,,1.258371,
6,0,,1.258393,
6,0,,1.261186,
6,0,,1.261675,
6,0,,1.628549,
6,0,,1.628566,
6,517,,1.628573,
6,517,,1.62858,
6,0,,1.628593,
6,0,,1.628601,
6,0,,1.628607,
6,0,,1.628616,
6,0,,1.631498,
6,0,,1.631583,
6,0,,1.631671,
6,0,,1.675302,
6,0,,1.675323,
6,0,,1.675583,
6,1430,,1.69673,
6,1430,,1.69684,
6,1430,,1.696964,
6,1430,,1.697099,
6,1077,,1.697109,
6,1430,,1.700609,
6,1430,,1.700634,
6,1430,,1.700805,
6,1430,,1.700936,
6,1076,,1.701018,
6,0,,1.81526,
6,0,,1.815273,
6,0,,1.818089,
6,0,,1.863322,
6,0,,1.872516,
6,0,,1.873588,
6,0,,1.946408,
6,0,,1.946434,
6,517,,1.946568,
6,0,,2.001957,
6,0,,2.001967,
6,0,,2.001971,
6,0,,2.001974,
6,517,,2.001978,
6,517,,2.001982,
6,0,,2.004768,
6,0,,2.019037,
6,1430,,2.020096,
6,0,,2.020109,
6,1430,,2.020114,
6,0,,2.020116,
6,1430,,2.020341,
6,0,,2.020351,
6,1430,,2.020354,
6,0,,2.020356,
6,924,,2.020456,
6,0,,2.020465,
6,64,,2.020827,
6,208,,2.021308,
6,0,,2.048488,
6,1430,,2.071709,
6,1430,,2.071735,
6,1430,,2.071844,
6,1430,,2.072064,
6,933,,2.072074,
6,0,,2.093704,
6,529,,2.094791,
6,87,,2.099109,
6,0,,2.099167,
6,34,,2.100813,
6,1430,,2.108881,
6,1430,,2.108897,
6,1430,,2.109109,
6,391,,2.109119,
6,0,,2.138321,
6,517,,2.188921,
6,517,,2.188933,
6,0,,2.18894,
6,0,,2.234982,
6,0,,2.235684,
6,1430,,2.290277,
6,1430,,2.290301,
6,1430,,2.290512,
6,390,,2.290518,
6,1430,,2.29065,
6,1430,,2.290782,
6,1430,,2.290893,
6,1430,,2.291024,
6,933,,2.291034,
6,0,,2.376229,
6,0,,2.414348,
6,0,,2.486347,
6,1076,,2.507018,
6,0,,2.563239,
6,517,,2.563247,
6,0,,2.604599,
6,0,,2.750474,
6,0,,2.750493,
6,517,,2.750502,
6,517,,2.750509,
6,0,,2.753165,
6,0,,2.796351,
6,0,,2.823305,
6,933,,2.856949,
6,0,,2.880818,
6,391,,2.89922,
6,517,,2.937431,
6,74,,2.937462,
6,92,,2.93747,
6,521,,2.937477,
6,0,,2.937484,
6,0,,2.937489,
6,0,,2.937493,
6,0,,2.940259,
6,0,,2.940347,
6,0,,2.940353,
6,0,,2.94041,
6,910,,2.940806,
6,31,,2.941609,
6,0,,2.979331,
6,0,,3.000738,
6,933,,3.054153,
6,815,,3.058016,
6,1430,,3.058037,
6,1430,,3.067911,
6,1430,,3.07124,
6,390,,3.076873,
6,1430,,3.084092,
6,1430,,3.097031,
6,1430,,3.109987,
6,1430,,3.122965,
6,0,,3.124146,
6,1430,,3.135871,
6,1430,,3.148904,
6,1430,,3.16181,
6,1430,,3.174773,
6,1430,,3.187732,
6,0,,3.310997,
6,517,,3.311025,
6,0,,3.356859,
6,110,,3.49857,
6,0,,3.498718,
6,521,,3.498743,
6,0,,3.500295,
6,110,,3.500718,
6,0,,3.50073,
6,0,,3.501601,
6,0,,3.685341,
6,0,,3.685354,
6,0,,3.685361,
6,74,,3.685368,
6,517,,3.685374,
6,517,,3.685381,
6,0,,3.685396,
6,0,,3.685404,
6,0,,3.688092,
6,0,,3.68822,
6,910,,3.688574,
6,0,,3.726343,
6,0,,3.731658,
6,0,,3.748627,
6,1430,,3.756634,
6,1430,,3.79277,
6,0,,3.87199,
6,517,,3.871998,
6,0,,3.918814,
6,1430,,4.051192,
6,0,,4.059242,
6,1430,,4.209358,
6,1430,,4.233574,
6,0,,4.24618,
6,0,,4.433598,
6,74,,4.43361,
6,0,,4.436203,
6,1430,,4.46829,
6,0,,4.620483,
6,64,,4.620501,
6,92,,4.620507,
6,252,,4.620513,
6,0,,4.62052,
6,687,,4.620526,
6,0,,4.620534,
6,0,,4.62312,
6,0,,4.623131,
6,0,,4.623144,
6,608,,4.623483,
6,0,,4.623493,
6,31,,4.623631,
6,0,,4.666813,
6,0,,4.667554,
6,396,,4.697106,
6,487,,4.69713,
6,31,,4.701801,
6,39,,4.701891,
6,1430,,4.801109,
6,1430,,4.807412,
6,0,,4.807614,
6,517,,4.807629,
6,1430,,4.853963,
6,1430,,4.853991,
6,391,,4.853995,
6,0,,4.854564,
6,0,,4.994576,
6,0,,5.181355,
6,0,,5.181374,
6,64,,5.181379,
6,92,,5.181385,
6,266,,5.181392,
6,31,,5.210842,
6,608,,5.227428,
6,0,,5.227441,
6,0,,5.227443,
6,0,,5.227445,
6,0,,5.368292,
6,1430,,5.411313,
6,1430,,5.411331,
6,390,,5.411418,
6,261,,5.433328,
6,1430,,5.434752,
6,1430,,5.447801,
6,853,,5.460764,
6,1430,,5.515571,
6,1430,,5.521946,
6,1430,,5.535132,
6,1430,,5.548063,
6,0,,5.555243,
6,74,,5.555256,
6,0,,5.557883,
6,1430,,5.561298,
6,0,,5.700268,
6,0,,5.725556,
6,0,,5.742726,
6,0,,5.742738,
6,64,,5.742757,
6,0,,5.785505,
6,608,,5.805011,
6,0,,5.929012,
6,1430,,5.974737,
6,1430,,5.974757,
6,1430,,5.974966,
6,933,,5.987716,
6,0,,6.116179,
6,0,,6.303278,
6,64,,6.30329,
6,1430,,6.333467,
6,0,,6.36498,
6,0,,6.490287,
6,0,,6.63676,
6,941,,6.64419,
6,0,,6.677389,
6,64,,6.6774,
6,92,,6.677404,
6,0,,6.677408,
6,517,,6.677412,
6,517,,6.677428,
6,0,,6.680006,
6,0,,6.720699,
6,0,,6.7229,
6,0,,6.722927,
6,608,,6.724515,
6,0,,6.724528,
6,31,,6.729649,
6,608,,6.809617,
6,0,,6.864533,
6,0,,6.864544,
6,0,,6.864548,
6,687,,6.864552,
6,0,,6.867517,
6,0,,6.90557,
6,0,,7.051038,
6,0,,7.051051,
6,0,,7.051058,
6,0,,7.051068,
6,0,,7.238091,
6,0,,7.2381,
6,0,,7.238104,
6,31,,7.238107,
6,815,,7.241105,
6,1430,,7.244865,
6,1430,,7.257952,
6,1430,,7.270801,
6,0,,7.28345,
6,0,,7.425551,
6,0,,7.425559,
6,1430,,7.428753,
6,1430,,7.435241,
6,31,,7.538857,
6,910,,7.562754,
6,0,,7.612452,
6,205,,7.612462,
6,74,,7.612478,
6,0,,7.615358,
6,0,,7.615467,
6,0,,7.799845,
6,1430,,7.803042,
6,1430,,7.809381,
6,1430,,7.815412,
6,0,,7.986104,
6,0,,7.986139,
6,1430,,7.989254,
6,0,,8.17359,
6,1266,,8.173611,
6,1430,,8.17701,
6,0,,8.203306,
6,0,,8.360603,
6,205,,8.360612,
6,1430,,8.363744,
6,0,,8.370193,
6,450,,8.478197,
6,1430,,8.480582,
6,640,,8.493357,
6,93,,8.499184,
6,110,,8.501659,
6,0,,8.503352,
6,110,,8.503725,
6,0,,8.503736,
6,0,,8.547356,
6,1430,,8.550388,
6,1430,,8.556992,
6,1430,,8.569889,
6,1430,,8.58291,
6,1430,,8.595885,
6,1430,,8.60878,
6,1430,,8.62174,
6,1430,,8.634752,
6,900,,8.637976,
6,1430,,8.647658,
6,1430,,8.660619,
6,1430,,8.673569,
6,1430,,8.686522,
6,1430,,8.699535,
6,0,,8.733541,
6,0,,8.734584,
6,1430,,8.737708,
6,1430,,8.744209,
6,0,,8.92097,
6,1430,,8.924157,
6,1430,,8.930596,
6,1089,,8.957878,
6,0,,8.96432,
6,608,,9.093474,
6,0,,9.108528,
6,1430,,9.111674,
6,1430,,9.118113,
6,0,,9.295487,
6,1430,,9.298633,
6,1430,,9.305093,
6,408,,9.482408,
6,422,,9.482427,
6,0,,9.482435,
6,0,,9.485073,
6,1430,,9.485626,
6,0,,9.507248,
6,64,,9.669527,
6,0,,9.716182,
6,0,,9.856449,
6,0,,9.85646,
6,0,,9.856464,
6,517,,9.856467,
6,517,,9.856472,
6,0,,9.856478,
6,1430,,9.859677,
6,0,,9.902711,
6,0,,9.903071,
6,1035,,9.960702,
6,1430,,9.962878,
6,1430,,9.978387,
6,0,,10.04362,
6,1430,,10.046394,
6,1430,,10.046507,
6,932,,10.046589,
6,0,,10.230963,
6,1430,,10.273887,
6,1430,,10.273911,
6,933,,10.274,
6,0,,10.288018,
6,1422,,10.417198,
6,0,,10.417213,
6,0,,10.441174,
6,1430,,10.442295,
6,1430,,10.44885,
6,853,,10.461825,
6,0,,10.604096,
6,0,,10.791332,
6,1430,,10.988858,
6,1430,,11.01284,
6,0,,11.165587,
6,0,,11.165603,
6,0,,11.165614,
6,0,,11.165623,
6,0,,11.165629,
6,0,,11.165635,
6,31,,11.165643,
6,35,,11.16565,
6,0,,11.165679,
6,557,,11.168395,
6,1430,,11.168829,
6,0,,11.170826,
6,0,,11.170838,
6,0,,11.352144,
6,0,,11.539389,
6,0,,11.726613,
6,0,,11.913419,
6,0,,11.913428,
6,39,,11.913432,
6,0,,11.916059,
6,1430,,11.938298,
6,1430,,11.944902,
6,0,,12.100147,
6,0,,12.100157,
6,1430,,12.125048,
6,0,,12.287364,
6,0,,12.287377,
6,0,,12.287385,
6,0,,12.287389,
6,31,,12.287392,
6,0,,12.31192,
6,134,,12.412916,
6,1430,,12.468668,
6,0,,12.473977,
6,1422,,12.661462,
6,0,,12.661491,
6,0,,12.661528,
6,0,,12.661536,
6,64,,12.661543,
6,1430,,12.686565,
6,0,,12.686578,
6,1430,,12.693088,
6,0,,12.707132,
6,0,,12.848388,
6,517,,12.848466,
6,517,,12.848477,
6,0,,12.894552,
6,0,,12.910171,
6,0,,13.035659,
6,0,,13.222026,
6,0,,13.409099,
6,1089,,13.468067,
6,110,,13.504179,
6,0,,13.506167,
6,110,,13.506685,
6,0,,13.506697,
6,0,,13.596399,
6,31,,13.596423,
6,1430,,13.621293,
6,0,,13.627496,
6,0,,13.729267,
6,0,,13.729761,
6,0,,13.782912,
6,1430,,13.807992,
6,608,,13.898124,
6,0,,13.970187,
6,1430,,13.978009,
6,1430,,13.995035,
6,1430,,14.016707,
6,0,,14.156999,
6,0,,14.157012,
6,0,,14.157019,
6,0,,14.157026,
6,1430,,14.181855,
6,0,,14.344183,
6,1430,,14.368333,
6,733,,14.374733,
6,0,,14.531031,
6,0,,14.718267,
6,0,,14.90551,
6,0,,15.092519,
6,105,,15.092532,
6,0,,15.092539,
6,0,,15.095258,
6,1430,,15.117476,
6,1430,,15.12398,
6,1430,,15.137086,
6,1430,,15.150142,
6,1430,,15.163205,
6,1430,,15.176301,
6,1430,,15.189353,
6,1430,,15.202398,
6,1430,,15.21555,
6,1430,,15.228757,
6,0,,15.278935,
6,0,,15.278944,
6,0,,15.278947,
6,0,,15.466199,
6,236,,15.466216,
6,0,,15.466225,
6,0,,15.466231,
6,0,,15.469085,
6,0,,15.65342,
6,0,,15.840669,
6,1430,,15.998551,
6,0,,16.026858,
6,0,,16.214169,
6,0,,16.401858,
6,0,,16.401869,
6,0,,16.588092,
6,0,,16.588108,
6,0,,16.588135,
6,0,,16.635481,
6,0,,16.649958,
6,0,,16.77523,
6,0,,16.962452,
6,1266,,16.962476,
6,0,,16.986592,
6,1430,,17.140785,
6,0,,17.148972,
6,0,,17.336237,
6,1430,,17.339395,
6,1430,,17.345849,
6,1430,,17.358878,
6,0,,17.523195,
