protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.040772,
6,46,,0.502613,
6,110,,0.548525,
6,0,,0.550842,
6,110,,0.551123,
6,0,,0.551133,
6,0,,0.67169,
6,0,,1.277473,
6,0,,1.277495,
6,0,,1.277504,
6,0,,1.277512,
6,0,,1.280143,
6,0,,1.280356,
6,0,,1.280367,
6,0,,1.280376,
6,0,,1.464231,
6,0,,1.464241,
6,0,,1.464246,
6,0,,1.46425,
6,517,,1.464254,
6,0,,1.467068,
6,1430,,1.534961,
6,1430,,1.534989,
6,1430,,1.535158,
6,1430,,1.53529,
6,1077,,1.5353,
6,517,,1.651789,
6,0,,1.65183,
6,517,,1.651835,
6,0,,1.654546,
6,0,,1.654569,
6,0,,1.654652,
6,1430,,1.720647,
6,1430,,1.720671,
6,1430,,1.720871,
6,390,,1.720881,
6,1430,,1.721085,
6,1430,,1.721095,
6,1430,,1.721311,
6,1430,,1.721443,
6,1076,,1.721449,
6,517,,1.838715,
6,0,,1.838732,
6,0,,1.838739,
6,0,,1.838746,
6,0,,1.838752,
6,0,,1.838758,
6,0,,1.84154,
6,0,,1.841693,
6,0,,1.89309,
6,0,,1.905118,
6,1430,,1.906766,
6,1430,,1.906884,
6,1430,,1.906991,
6,392,,1.906997,
6,0,,1.922106,
6,0,,1.922693,
6,0,,1.931845,
6,252,,1.932623,
6,252,,1.933487,
6,0,,1.935042,
6,261,,1.936116,
6,84,,1.936934,
6,202,,1.937453,
6,0,,2.016694,
6,0,,2.016719,
6,517,,2.016854,
6,0,,2.025587,
6,390,,2.102933,
6,1076,,2.103442,
6,1430,,2.110878,
6,0,,2.110918,
6,1430,,2.110921,
6,0,,2.110925,
6,1430,,2.111142,
6,0,,2.111152,
6,1430,,2.111155,
6,0,,2.111157,
6,923,,2.111244,
6,0,,2.111258,
6,0,,2.111259,
6,0,,2.111261,
6,64,,2.111636,
6,208,,2.111993,
6,0,,2.205343,
6,529,,2.206547,
6,517,,2.212865,
6,0,,2.21289,
6,0,,2.215704,
6,87,,2.243427,
6,0,,2.243454,
6,34,,2.244922,
6,0,,2.281798,
6,392,,2.290533,
6,517,,2.399263,
6,517,,2.399286,
6,0,,2.399294,
6,0,,2.399302,
6,0,,2.401992,
6,0,,2.402029,
6,0,,2.473801,
6,0,,2.51783,
6,0,,2.553203,
6,517,,2.586333,
6,0,,2.586356,
6,74,,2.586364,
6,92,,2.586371,
6,520,,2.586378,
6,0,,2.588885,
6,0,,2.588896,
6,0,,2.588996,
6,0,,2.589165,
6,910,,2.589395,
6,31,,2.589896,
6,0,,2.650337,
6,0,,2.652745,
6,1430,,2.655473,
6,1430,,2.655483,
6,1430,,2.655702,
6,1430,,2.655833,
6,934,,2.655842,
6,0,,2.665409,
6,813,,2.702765,
6,1430,,2.702905,
6,1430,,2.703034,
6,1430,,2.703148,
6,1430,,2.711035,
6,1430,,2.715947,
6,1430,,2.716079,
6,1430,,2.719645,
6,1430,,2.729054,
6,1151,,2.729065,
6,1430,,2.7409,
6,1430,,2.740909,
6,1430,,2.753978,
6,1430,,2.754001,
6,1430,,2.767037,
6,0,,2.773213,
6,0,,2.773223,
6,0,,2.773227,
6,1430,,2.776093,
6,1430,,2.776178,
6,390,,2.776187,
6,0,,2.776189,
6,0,,2.824541,
6,1430,,2.882707,
6,0,,2.960799,
6,0,,2.96081,
6,24,,3.055595,
6,24,,3.058944,
6,0,,3.05896,
6,0,,3.149855,
6,0,,3.149871,
6,1430,,3.152816,
6,1430,,3.152831,
6,1430,,3.153046,
6,1076,,3.166529,
6,64,,3.334929,
6,92,,3.33494,
6,266,,3.334946,
6,520,,3.334957,
6,0,,3.337634,
6,0,,3.337748,
6,0,,3.337754,
6,0,,3.337763,
6,608,,3.338266,
6,31,,3.340453,
6,517,,3.521829,
6,0,,3.521845,
6,0,,3.521853,
6,0,,3.524573,
6,1430,,3.581043,
6,264,,3.585013,
6,1430,,3.585764,
6,1430,,3.592334,
6,853,,3.592344,
6,1430,,3.672281,
6,1430,,3.675668,
6,1430,,3.682156,
6,1430,,3.682286,
6,0,,3.706601,
6,0,,3.708801,
6,1430,,3.82548,
6,0,,3.830975,
6,0,,3.856016,
6,1430,,4.034723,
6,0,,4.083038,
6,0,,4.083046,
6,0,,4.08305,
6,0,,4.083053,
6,74,,4.083056,
6,517,,4.083068,
6,517,,4.083073,
6,0,,4.085858,
6,0,,4.085868,
6,910,,4.086397,
6,0,,4.136868,
6,1430,,4.152797,
6,934,,4.17833,
6,1430,,4.197688,
6,1430,,4.20713,
6,517,,4.269286,
6,0,,4.269301,
6,1430,,4.27249,
6,1430,,4.2725,
6,392,,4.272589,
6,0,,4.335212,
6,44,,4.392575,
6,1430,,4.398008,
6,0,,4.456208,
6,517,,4.456217,
6,686,,4.456223,
6,0,,4.458849,
6,0,,4.458961,
6,0,,4.643272,
6,910,,4.703655,
6,0,,4.830993,
6,0,,4.831003,
6,64,,4.83101,
6,0,,4.831023,
6,0,,4.831031,
6,0,,4.831039,
6,0,,4.831045,
6,0,,4.833654,
6,608,,4.834074,
6,0,,4.881888,
6,0,,4.882334,
6,0,,5.0182,
6,0,,5.018209,
6,0,,5.018213,
6,31,,5.018216,
6,1430,,5.020982,
6,1430,,5.024244,
6,1430,,5.024254,
6,0,,5.037031,
6,1430,,5.17433,
6,1430,,5.199914,
6,0,,5.205173,
6,109,,5.207926,
6,0,,5.243333,
6,0,,5.2441,
6,145,,5.251753,
6,1460,,5.252391,
6,94,,5.252396,
6,0,,5.253272,
6,903,,5.334975,
6,0,,5.392246,
6,1430,,5.437864,
6,608,,5.442054,
6,110,,5.552021,
6,0,,5.553727,
6,110,,5.554272,
6,0,,5.554284,
6,64,,5.578354,
6,0,,5.581064,
6,0,,5.765384,
6,0,,5.765452,
6,0,,5.765462,
6,31,,5.765469,
6,0,,5.767919,
6,0,,5.817988,
6,0,,5.820199,
6,910,,5.855992,
6,0,,5.953157,
6,0,,5.953177,
6,46,,6.07162,
6,64,,6.139319,
6,92,,6.13934,
6,0,,6.141949,
6,0,,6.141973,
6,608,,6.142401,
6,31,,6.142416,
6,1266,,6.327126,
6,0,,6.327136,
6,74,,6.327156,
6,0,,6.327161,
6,206,,6.327164,
6,1430,,6.330175,
6,1430,,6.330201,
6,0,,6.330206,
6,0,,6.334911,
6,0,,6.336383,
6,229,,6.336399,
6,333,,6.337581,
6,0,,6.513966,
6,0,,6.513977,
6,449,,6.570321,
6,1430,,6.573396,
6,600,,6.596523,
6,286,,6.607541,
6,422,,6.700871,
6,0,,6.700883,
6,0,,6.703574,
6,1430,,6.703896,
6,1430,,6.710438,
6,853,,6.710448,
6,0,,6.822701,
6,0,,6.849465,
6,0,,6.887753,
6,0,,6.93899,
6,517,,7.075015,
6,517,,7.075026,
6,0,,7.077671,
6,0,,7.128949,
6,517,,7.26132,
6,0,,7.261329,
6,0,,7.329723,
6,0,,7.449065,
