protocol,tcp_bytes,quic_bytes,real_time
6,27,,0.45961
6,0,,0.464178
6,80,,0.958275
6,129,,1.419603
6,110,,1.913261
6,0,,1.914743
6,110,,1.915184
6,0,,1.915201
6,0,,2.132168
6,0,,2.133994
6,0,,2.204253
6,0,,2.204355
6,517,,2.204664
6,0,,2.245286
6,0,,2.245303
6,0,,2.245311
6,0,,2.245317
6,0,,2.274716
6,1430,,2.275606
6,0,,2.275615
6,1430,,2.275723
6,0,,2.275729
6,1430,,2.275838
6,0,,2.275844
6,1430,,2.275969
6,0,,2.275973
6,923,,2.275975
6,0,,2.275977
6,64,,2.27634
6,208,,2.276751
6,39,,2.282452
6,0,,2.286841
6,0,,2.289804
6,0,,2.289811
6,0,,2.298883
6,0,,2.34684
6,529,,2.347325
6,87,,2.358326
6,0,,2.358377
6,34,,2.359384
6,0,,2.397913
6,611,,2.410384
6,0,,2.432347
6,0,,2.432371
6,0,,2.432381
6,0,,2.432389
6,0,,2.472888
6,0,,2.474857
6,0,,2.477077
6,0,,2.484934
6,0,,2.619346
6,0,,2.619358
6,0,,2.619363
6,0,,2.619367
6,517,,2.619372
6,517,,2.619376
6,0,,2.661095
6,0,,2.663578
6,0,,2.681897
6,1430,,2.720075
6,1430,,2.720096
6,1430,,2.720308
6,1430,,2.720431
6,932,,2.720437
6,1430,,2.724122
6,1430,,2.724252
6,1430,,2.724261
6,1430,,2.724482
6,1075,,2.724492
6,0,,2.755272
6,517,,2.806874
6,517,,2.806886
6,0,,2.806892
6,0,,2.806899
6,0,,2.806905
6,0,,2.806911
6,0,,2.851243
6,0,,2.860131
6,1430,,2.911351
6,1430,,2.911462
6,1430,,2.91161
6,1430,,2.911722
6,1076,,2.911736
6,1430,,2.911938
6,1430,,2.912046
6,1430,,2.912166
6,390,,2.912171
6,517,,2.993553
6,517,,2.993565
6,517,,2.993569
6,0,,3.03371
6,0,,3.035495
6,0,,3.038226
6,1430,,3.099321
6,1430,,3.099342
6,1430,,3.099547
6,1430,,3.099679
6,932,,3.099688
6,1430,,3.099874
6,1430,,3.09999
6,1430,,3.100121
6,391,,3.10013
6,1430,,3.107315
6,1430,,3.107326
6,1430,,3.107544
6,1430,,3.107674
6,932,,3.107684
6,517,,3.181116
6,517,,3.181147
6,0,,3.181156
6,0,,3.18117
6,0,,3.18118
6,0,,3.225716
6,0,,3.233514
6,1430,,3.293435
6,1430,,3.293457
6,1430,,3.293666
6,1430,,3.293769
6,932,,3.29385
6,517,,3.368128
6,517,,3.368142
6,0,,3.412435
6,0,,3.421893
6,1075,,3.532108
6,517,,3.554308
6,517,,3.554317
6,0,,3.554323
6,517,,3.554326
6,0,,3.599476
6,0,,3.600224
6,0,,3.606741
6,1076,,3.668163
6,390,,3.707269
6,517,,3.741501
6,0,,3.741514
6,64,,3.74152
6,92,,3.741529
6,0,,3.782126
6,0,,3.78214
6,608,,3.787967
6,31,,3.787977
6,0,,3.794711
6,932,,3.858637
6,932,,3.883628
6,391,,3.896162
6,1266,,3.928505
6,0,,3.928653
6,0,,3.958118
6,932,,4.061814
6,0,,4.117021
6,450,,4.184886
6,1430,,4.185046
6,737,,4.185056
6,181,,4.195793
6,39,,4.196499
6,1266,,4.302798
6,0,,4.302821
6,0,,4.302837
6,0,,4.326596
6,517,,4.489998
6,517,,4.490011
6,0,,4.535182
6,0,,4.543514
6,517,,4.676822
6,517,,4.676839
6,0,,4.676846
6,74,,4.676853
6,92,,4.676859
6,0,,4.717039
6,0,,4.717087
6,910,,4.72032
6,31,,4.72033
6,0,,4.720946
6,0,,4.720955
6,1430,,4.820112
6,1430,,4.858039
6,520,,4.864258
6,517,,4.864267
6,0,,4.864271
6,0,,4.892268
6,0,,4.904051
6,1430,,4.904768
6,1430,,4.9049
6,1430,,4.905011
6,1076,,4.917793
6,814,,5.000648
6,1430,,5.00067
6,1430,,5.009676
6,1430,,5.01385
6,1430,,5.026941
6,1430,,5.027056
6,1430,,5.040049
6,1430,,5.048154
6,1422,,5.050349
6,0,,5.050361
6,1430,,5.053156
6,1430,,5.066248
6,0,,5.074256
6,1180,,5.079307
6,1430,,5.090173
6,1430,,5.10326
6,1430,,5.116385
6,1430,,5.129454
6,1430,,5.142581
6,1430,,5.20206
6,0,,5.237939
6,0,,5.237963
6,39,,5.347906
6,520,,5.424624
6,0,,5.424636
6,0,,5.42464
6,0,,5.447349
6,1430,,5.478342
6,1430,,5.478454
6,390,,5.478462
6,74,,5.611773
6,0,,5.611784
6,0,,5.651859
6,910,,5.656619
6,0,,5.798964
6,0,,5.986204
6,64,,6.172742
6,92,,6.172757
6,608,,6.217533
6,31,,6.222454
6,0,,6.22602
6,0,,6.226037
6,1422,,6.359294
6,0,,6.359307
6,74,,6.359312
6,686,,6.359316
6,0,,6.382172
6,0,,6.38227
6,0,,6.403787
6,1430,,6.404196
6,1430,,6.404207
6,1430,,6.404425
6,932,,6.41722
6,0,,6.546464
6,266,,6.546477
6,0,,6.574019
6,910,,6.676189
6,0,,6.73339
6,517,,6.733402
6,0,,6.773697
6,263,,6.783685
6,1430,,6.785061
6,1430,,6.79817
6,853,,6.811105
6,1430,,6.858252
6,1430,,6.864805
6,1430,,6.877894
6,1430,,6.891035
6,1430,,6.904111
6,110,,6.916064
6,0,,6.917749
6,110,,6.918003
6,0,,6.918015
6,0,,6.920306
6,0,,6.920323
6,64,,6.92033
6,92,,6.920337
6,608,,6.964436
6,0,,6.964742
6,0,,6.964749
6,31,,6.969764
6,0,,7.108101
6,0,,7.108151
6,1430,,7.150038
6,1430,,7.15006
6,391,,7.150166
6,1089,,7.204511
6,0,,7.294795
6,1430,,7.330412
6,0,,7.482223
6,64,,7.482234
6,1430,,7.517945
6,0,,7.523872
6,608,,7.527902
6,252,,7.669245
6,422,,7.669262
6,0,,7.669269
6,0,,7.692221
6,0,,7.697622
6,1430,,7.709947
6,1430,,7.710076
6,1430,,7.718088
6,1430,,7.723052
6,932,,7.736101
6,31,,7.739235
6,395,,7.752915
6,487,,7.754755
6,31,,7.759068
6,39,,7.759442
6,0,,7.855735
6,0,,8.2302
6,64,,8.230216
6,0,,8.230222
6,0,,8.230231
6,64,,8.230236
6,0,,8.230247
6,0,,8.270516
6,608,,8.271131
6,0,,8.271792
6,0,,8.275358
6,941,,8.376357
6,0,,8.416646
6,0,,8.416666
6,1430,,8.455671
6,1430,,8.455686
6,0,,8.461015
6,1430,,8.468762
6,932,,8.481787
6,608,,8.505023
6,74,,8.603289
6,686,,8.60331
6,0,,8.626657
6,0,,8.647555
6,0,,8.79095
6,0,,8.790974
6,910,,8.975572
6,1422,,8.977814
6,73,,8.988285
6,0,,9.000931
6,64,,9.164675
6,0,,9.16472
6,0,,9.164727
6,0,,9.20502
6,1034,,9.212502
6,73,,9.236007
6,608,,9.246107
6,0,,9.286309
6,64,,9.3516
6,0,,9.351608
6,0,,9.351612
6,814,,9.375132
6,1430,,9.3789
6,0,,9.390286
6,1430,,9.391991
6,0,,9.395164
6,608,,9.404363
6,0,,9.474565
6,73,,9.484497
6,0,,9.538941
6,0,,9.538952
6,0,,9.538956
6,0,,9.53896
6,0,,9.592289
6,0,,9.72573
6,0,,9.913274
6,422,,9.913297
6,0,,9.913306
6,0,,9.913313
6,31,,9.91332
6,24,,9.923119
6,0,,9.936233
6,557,,9.936911
6,0,,9.937831
6,73,,9.980708
6,902,,10.022603
6,64,,10.099905
6,0,,10.099917
6,0,,10.099923
6,1430,,10.12311
6,957,,10.129577
6,0,,10.152273
6,73,,10.249558
6,0,,10.286632
6,608,,10.397207
6,31,,10.473472
6,0,,10.496381
6,73,,10.496809
6,293,,10.628583
6,0,,10.660828
6,0,,10.660846
6,0,,10.660853
6,64,,10.66086
6,39,,10.660866
6,252,,10.660873
6,0,,10.66089
6,0,,10.660898
6,0,,10.660905
6,0,,10.660918
6,0,,10.683777
6,1430,,10.684555
6,0,,10.684565
6,1430,,10.691013
6,0,,10.705523
6,73,,10.744961
6,608,,10.805569
6,0,,10.847828
6,73,,11.004078
6,0,,11.035134
6,31,,11.035153
6,408,,11.035159
6,0,,11.058396
6,1430,,11.058844
6,0,,11.058854
6,1430,,11.065468
6,853,,11.078459
6,0,,11.221818
6,73,,11.232897
6,0,,11.397431
6,0,,11.408705
6,0,,11.408717
6,0,,11.408724
6,0,,11.455456
6,0,,11.462352
6,0,,11.595742
