protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.650002,
6,0,,0.650013,
6,0,,0.690236,
6,0,,0.694899,
6,0,,1.023859,
6,0,,1.023872,
6,517,,1.023879,
6,517,,1.023887,
6,0,,1.023898,
6,0,,1.023907,
6,0,,1.023915,
6,0,,1.023922,
6,0,,1.023929,
6,0,,1.063909,
6,0,,1.065533,
6,0,,1.067986,
6,0,,1.068223,
6,0,,1.06854,
6,0,,1.069204,
6,0,,1.077808,
6,1430,,1.129066,
6,1430,,1.129088,
6,1430,,1.129308,
6,1430,,1.129319,
6,1076,,1.129421,
6,1430,,1.129635,
6,1430,,1.12975,
6,1430,,1.129876,
6,1430,,1.129992,
6,1076,,1.129996,
6,0,,1.211471,
6,0,,1.257217,
6,0,,1.398111,
6,0,,1.398126,
6,0,,1.398131,
6,0,,1.398154,
6,0,,1.398159,
6,517,,1.398164,
6,517,,1.398168,
6,0,,1.439175,
6,0,,1.441581,
6,1430,,1.502718,
6,1430,,1.502745,
6,1430,,1.50298,
6,391,,1.50299,
6,1430,,1.504062,
6,1430,,1.504072,
6,1430,,1.504291,
6,1430,,1.504423,
6,934,,1.504432,
6,517,,1.585397,
6,517,,1.585445,
6,0,,1.629497,
6,0,,1.63041,
6,1430,,1.687168,
6,1430,,1.687185,
6,1430,,1.687387,
6,1430,,1.687517,
6,933,,1.687531,
6,1430,,1.689515,
6,1430,,1.689525,
6,1430,,1.689743,
6,1430,,1.689873,
6,933,,1.689883,
6,517,,1.771932,
6,0,,1.771959,
6,0,,1.771989,
6,0,,1.825186,
6,0,,1.853423,
6,0,,1.855674,
6,1430,,1.8733,
6,1430,,1.873326,
6,1430,,1.873441,
6,1430,,1.873654,
6,932,,1.873663,
6,1076,,1.884348,
6,0,,1.92573,
6,0,,1.925761,
6,517,,1.925934,
6,0,,1.959527,
6,517,,1.959814,
6,517,,1.959821,
6,0,,1.995824,
6,1430,,1.997211,
6,0,,1.997222,
6,1430,,1.997326,
6,0,,1.99733,
6,1430,,1.997457,
6,0,,1.99746,
6,1430,,1.997572,
6,0,,1.997576,
6,923,,1.997578,
