protocol,tcp_bytes,quic_bytes,real_time
6,110,,0.317014
6,0,,0.31869
6,110,,0.319311
6,0,,0.319327
6,0,,0.636319
6,0,,1.188657
6,0,,1.188675
6,0,,1.23378
6,0,,1.242585
6,0,,1.562696
6,0,,1.562718
6,517,,1.562725
6,517,,1.562732
6,0,,1.562746
6,0,,1.562754
6,0,,1.562762
6,0,,1.562769
6,0,,1.562777
6,0,,1.60265
6,0,,1.604845
6,0,,1.607379
6,0,,1.608009
6,0,,1.608373
6,0,,1.608526
6,0,,1.616378
6,1430,,1.66734
6,1430,,1.667365
6,1430,,1.667588
6,1430,,1.667697
6,1076,,1.66772
6,1430,,1.667887
6,1430,,1.668049
6,1430,,1.668058
6,1430,,1.668248
6,1075,,1.66836
6,0,,1.749625
6,0,,1.794332
6,0,,1.936345
6,0,,1.936359
6,0,,1.936368
6,0,,1.936375
6,0,,1.936382
6,517,,1.936389
6,517,,1.936395
6,0,,1.975922
6,0,,1.977907
6,1430,,2.040053
6,1430,,2.040113
6,1430,,2.040266
6,390,,2.040273
6,1430,,2.041266
6,1430,,2.04138
6,1430,,2.041512
6,1430,,2.041627
6,934,,2.041632
6,0,,2.096425
6,0,,2.097158
6,517,,2.123562
6,517,,2.123574
6,0,,2.166915
6,0,,2.166942
6,517,,2.167076
6,0,,2.168456
6,0,,2.168679
6,1430,,2.229075
6,1430,,2.229104
6,1430,,2.229218
6,1430,,2.229432
6,932,,2.229441
6,1430,,2.229628
6,1430,,2.229743
6,1430,,2.229857
6,392,,2.229875
6,0,,2.236777
6,1430,,2.237889
6,0,,2.2379
6,1430,,2.237905
6,0,,2.237907
6,1430,,2.238117
6,0,,2.238126
6,1430,,2.238234
6,0,,2.238243
6,925,,2.238246
6,0,,2.238249
6,64,,2.238624
6,208,,2.239085
6,0,,2.308782
6,529,,2.309876
6,517,,2.310029
6,0,,2.310094
6,0,,2.310106
6,517,,2.310118
6,87,,2.318564
6,0,,2.318598
6,34,,2.326054
6,0,,2.35463
6,0,,2.355419
6,0,,2.363522
6,1430,,2.415555
6,1430,,2.415689
6,1430,,2.415699
6,1430,,2.415919
6,932,,2.415928
6,1075,,2.469623
6,0,,2.497715
6,517,,2.497725
6,0,,2.541205
6,0,,2.639521
6,0,,2.684456
6,0,,2.684464
6,517,,2.684468
6,517,,2.684472
6,0,,2.708585
6,0,,2.729475
6,0,,2.729497
6,0,,2.827301
6,390,,2.828864
6,934,,2.841192
6,517,,2.871703
6,0,,2.871718
6,74,,2.871727
6,92,,2.871734
6,520,,2.871741
6,0,,2.871748
6,31,,2.896633
6,910,,2.912947
6,0,,2.916503
6,0,,2.916579
6,0,,2.916669
6,0,,2.916678
6,0,,2.916765
6,932,,2.984009
6,814,,3.000686
6,1430,,3.000707
6,1430,,3.000929
6,1430,,3.01389
6,1430,,3.026975
6,392,,3.036241
6,1430,,3.040107
6,1430,,3.05319
6,0,,3.058104
6,517,,3.058123
6,1430,,3.06632
6,1430,,3.079411
6,1430,,3.092518
6,0,,3.102799
6,1430,,3.105625
6,1430,,3.118699
6,1430,,3.131799
6,932,,3.211551
6,0,,3.245659
6,517,,3.24569
6,0,,3.28938
6,0,,3.432682
6,520,,3.432695
6,0,,3.456503
6,0,,3.619542
6,0,,3.619562
6,74,,3.619568
6,517,,3.619575
6,910,,3.661919
6,0,,3.66369
6,0,,3.664349
6,1430,,3.733357
6,0,,3.806579
6,517,,3.806589
6,517,,3.806595
6,0,,3.85259
6,0,,3.860406
6,517,,3.99365
6,1430,,3.993812
6,0,,3.993868
6,0,,4.038785
6,1430,,4.144667
6,0,,4.149779
6,0,,4.149786
6,0,,4.180864
6,0,,4.181456
6,64,,4.181461
6,92,,4.181464
6,1430,,4.184784
6,608,,4.220911
6,31,,4.220928
6,0,,4.225059
6,0,,4.22507
6,0,,4.367334
6,74,,4.367343
6,1430,,4.372872
6,1430,,4.408344
6,1430,,4.408459
6,1430,,4.408594
6,0,,4.40916
6,934,,4.421336
6,1430,,4.463641
6,0,,4.554722
6,686,,4.554736
6,0,,4.578686
6,0,,4.741741
6,266,,4.741753
6,1430,,4.756117
6,0,,4.769531
6,0,,4.928176
6,263,,4.98085
6,1430,,4.981051
6,1430,,4.981166
6,853,,4.994011
6,1430,,5.05624
6,1430,,5.062792
6,1430,,5.075867
6,1430,,5.088942
6,1430,,5.102016
6,1430,,5.115062
6,0,,5.115122
6,64,,5.115128
6,92,,5.115131
6,1430,,5.128167
6,1430,,5.141239
6,0,,5.155852
6,0,,5.155905
6,608,,5.160557
6,31,,5.165678
6,0,,5.302381
6,110,,5.320329
6,0,,5.324582
6,110,,5.325042
6,0,,5.325053
6,1430,,5.356329
6,1430,,5.35646
6,1430,,5.35647
6,932,,5.369307
6,0,,5.489515
6,74,,5.489593
6,1266,,5.48961
6,0,,5.519278
6,0,,5.534205
6,0,,5.676553
6,450,,5.743783
6,1430,,5.74696
6,643,,5.758937
6,80,,5.764719
6,0,,5.863556
6,0,,5.903526
6,0,,6.049019
6,517,,6.050627
6,0,,6.050642
6,64,,6.050648
6,0,,6.095439
6,608,,6.09573
6,0,,6.104319
6,0,,6.237379
6,1430,,6.282541
6,1430,,6.282565
6,392,,6.282652
6,0,,6.424746
6,422,,6.424766
6,0,,6.448715
6,80,,6.532532
6,0,,6.611766
6,0,,6.611779
6,64,,6.611783
6,0,,6.611794
6,517,,6.611799
6,0,,6.611804
6,0,,6.656654
6,0,,6.656844
6,608,,6.657118
6,0,,6.65734
6,0,,6.665332
6,1430,,6.667941
6,941,,6.703583
6,0,,6.798722
6,64,,6.798731
6,1266,,6.798735
6,0,,6.823098
6,1430,,6.841081
6,1430,,6.841212
6,0,,6.843226
6,1430,,6.854173
6,932,,6.867178
6,686,,6.985422
6,0,,6.985432
6,0,,7.00907
6,608,,7.078927
6,0,,7.172144
6,0,,7.359396
6,64,,7.359406
6,0,,7.404414
6,910,,7.527206
6,0,,7.546445
6,0,,7.546463
6,64,,7.546469
6,92,,7.546476
6,0,,7.546487
6,0,,7.587566
6,0,,7.588532
6,0,,7.588542
6,608,,7.592261
6,31,,7.597293
6,608,,7.644017
6,0,,7.715125
6,0,,7.733318
6,0,,7.733333
6,0,,7.733341
6,0,,7.733348
6,74,,7.733355
6,1430,,7.755612
6,1430,,7.757519
6,0,,7.77444
6,0,,7.774581
6,0,,7.92073
6,0,,7.920739
6,0,,7.920742
6,0,,7.920746
6,0,,7.920749
6,0,,7.920764
6,31,,7.920768
6,1430,,7.944663
6,1430,,7.951182
6,814,,7.964209
6,1430,,7.971762
6,0,,7.984554
6,0,,8.108036
6,0,,8.294181
6,1430,,8.318096
6,1430,,8.324644
6,31,,8.395613
6,0,,8.481679
6,207,,8.481704
6,252,,8.481725
6,1430,,8.505604
6,0,,8.511302
6,1430,,8.512132
6,0,,8.525092
6,396,,8.565244
6,487,,8.567075
6,31,,8.571727
6,39,,8.571749
6,0,,8.638229
6,0,,8.669027
6,1430,,8.692919
6,1430,,8.69948
6,1430,,8.825886
6,1089,,8.836599
6,0,,8.855733
6,1430,,8.879641
6,1430,,8.886195
6,1430,,8.8993
6,1430,,8.912393
6,1430,,8.9255
6,1430,,8.938607
6,1430,,8.951704
6,1430,,8.964821
6,1430,,8.977917
6,1430,,8.991022
6,1430,,9.004118
