protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.682761,
6,0,,0.682793,
6,0,,0.724278,
6,0,,0.728704,
6,0,,0.86995,
6,0,,0.870462,
6,0,,0.870478,
6,0,,0.870486,
6,0,,0.870493,
6,0,,0.870501,
6,0,,0.909325,
6,0,,0.91252,
6,0,,0.912544,
6,0,,0.915997,
6,0,,0.917012,
6,0,,0.920652,
6,0,,1.056763,
6,0,,1.056772,
6,517,,1.056776,
6,517,,1.05678,
6,0,,1.06291,
6,0,,1.098177,
6,0,,1.102575,
6,1430,,1.158292,
6,1430,,1.158316,
6,1430,,1.158513,
6,1430,,1.158635,
6,934,,1.15864,
6,1430,,1.159141,
6,1430,,1.159255,
6,1430,,1.159386,
6,1430,,1.159501,
6,933,,1.159511,
6,0,,1.243739,
6,0,,1.243747,
6,0,,1.243751,
6,0,,1.243754,
6,0,,1.243758,
6,0,,1.243769,
6,517,,1.243774,
6,517,,1.243778,
6,0,,1.282882,
6,0,,1.285738,
6,1430,,1.34256,
6,1430,,1.342582,
6,1430,,1.342777,
6,390,,1.342785,
6,1430,,1.354114,
6,1430,,1.354138,
6,1430,,1.354358,
6,1430,,1.354471,
6,932,,1.354482,
6,517,,1.430673,
6,517,,1.430682,
6,39,,1.462126,
6,39,,1.462717,
6,0,,1.472439,
6,0,,1.475948,
6,1430,,1.532243,
6,1430,,1.532269,
6,1430,,1.532377,
6,390,,1.532516,
6,1430,,1.535956,
6,1430,,1.535972,
6,1430,,1.536175,
6,1430,,1.536305,
6,932,,1.536319,
6,517,,1.617491,
6,517,,1.617506,
6,0,,1.617524,
6,0,,1.663556,
6,0,,1.667491,
6,1430,,1.718728,
6,1430,,1.718751,
6,1430,,1.71897,
6,1430,,1.719084,
6,932,,1.719093,
6,1430,,1.719363,
6,1430,,1.719373,
6,1430,,1.719592,
6,1430,,1.719723,
6,934,,1.719732,
6,0,,1.804942,
6,0,,1.804954,
6,517,,1.804958,
6,517,,1.804962,
6,0,,1.846783,
6,0,,1.850222,
6,933,,1.957525,
6,517,,1.991734,
6,0,,1.991746,
6,517,,1.991751,
6,517,,1.991756,
6,0,,2.030092,
6,0,,2.033634,
6,0,,2.041861,
6,390,,2.116945,
6,932,,2.127886,
6,517,,2.178515,
6,0,,2.17853,
6,64,,2.178535,
6,92,,2.178539,
6,520,,2.178543,
6,31,,2.204269,
6,608,,2.216316,
6,0,,2.219806,
6,0,,2.219816,
6,0,,2.219823,
6,0,,2.21984,
6,926,,2.297956,
6,1430,,2.297981,
6,1430,,2.298197,
6,390,,2.304129,
6,1430,,2.311087,
6,1430,,2.324204,
6,1430,,2.337309,
6,932,,2.338423,
6,1430,,2.350416,
6,1217,,2.363476,
6,0,,2.365661,
6,1430,,2.374664,
6,1430,,2.38777,
6,1430,,2.400875,
6,1430,,2.413986,
6,1430,,2.42708,
6,932,,2.489947,
6,934,,2.494369,
6,0,,2.552564,
6,517,,2.552581,
6,0,,2.598064,
6,0,,2.739842,
6,0,,2.926694,
6,520,,2.926708,
6,517,,2.926715,
6,0,,2.951458,
6,0,,2.971256,
6,517,,3.114178,
6,0,,3.114191,
6,64,,3.114198,
6,517,,3.114206,
6,0,,3.156424,
6,0,,3.159279,
6,0,,3.160223,
6,608,,3.160485,
6,1430,,3.272632,
6,1430,,3.279839,
6,0,,3.300729,
6,1430,,3.343369,
6,1430,,3.343494,
6,390,,3.3435,
6,1430,,3.456199,
6,0,,3.488018,
6,1430,,3.491101,
6,1430,,3.613799,
6,1430,,3.645749,
6,1430,,3.650629,
6,0,,3.674767,
6,0,,3.674782,
6,64,,3.674789,
6,92,,3.674797,
6,266,,3.674804,
6,31,,3.705892,
6,0,,3.717323,
6,0,,3.717348,
6,0,,3.71735,
6,608,,3.717604,
6,0,,3.861867,
6,64,,3.86188,
6,0,,3.907614,
6,1430,,3.912152,
6,1430,,3.912283,
6,1430,,3.912293,
6,389,,3.914905,
6,1430,,3.916854,
6,932,,3.925128,
6,1430,,3.929959,
6,892,,3.942957,
6,1430,,3.989356,
6,1430,,3.995894,
6,1430,,4.008983,
6,1430,,4.022108,
6,1430,,4.035205,
6,0,,4.049125,
6,676,,4.049138,
6,517,,4.049145,
6,0,,4.073923,
6,0,,4.090639,
6,0,,4.235589,
6,0,,4.423082,
6,0,,4.610081,
6,64,,4.610124,
6,92,,4.610133,
6,0,,4.66011,
6,0,,4.660131,
6,608,,4.66058,
6,31,,4.665651,
6,1266,,4.796874,
6,0,,4.796932,
6,0,,4.830612,
6,1430,,4.83913,
6,1430,,4.839219,
6,390,,4.839223,
6,1430,,4.856061,
