protocol,tcp_bytes,quic_bytes,real_time,
6,56,,0.425434,
6,80,,0.526881,
6,0,,1.975804,
6,0,,1.977205,
6,0,,2.048926,
6,0,,2.048959,
6,517,,2.049113,
6,0,,2.120228,
6,1430,,2.121322,
6,0,,2.121335,
6,1430,,2.121452,
6,0,,2.121459,
6,1430,,2.121567,
6,0,,2.121572,
6,1430,,2.121698,
6,0,,2.121702,
6,924,,2.121704,
6,0,,2.121706,
6,64,,2.122072,
6,208,,2.122535,
6,63,,2.188352,
6,0,,2.193667,
6,529,,2.194577,
6,87,,2.201674,
6,0,,2.201729,
6,34,,2.20342,
6,0,,2.233373,
6,0,,2.233386,
6,0,,2.235988,
6,0,,2.235999,
6,0,,2.240458,
6,129,,2.355779,
6,0,,2.420333,
6,0,,2.420349,
6,0,,2.420356,
6,0,,2.420363,
6,0,,2.42037,
6,0,,2.422273,
6,0,,2.422485,
6,0,,2.422491,
6,0,,2.422498,
6,0,,2.422739,
6,0,,2.516462,
6,0,,2.588155,
6,0,,2.607232,
6,0,,2.607251,
6,517,,2.607261,
6,517,,2.607277,
6,0,,2.607292,
6,0,,2.609503,
6,0,,2.609741,
6,0,,2.60979,
6,31,,2.657867,
6,1430,,2.680363,
6,1430,,2.680383,
6,1430,,2.680594,
6,1430,,2.680718,
6,1075,,2.680724,
6,1430,,2.680922,
6,1430,,2.681046,
6,1430,,2.681168,
6,1430,,2.681266,
6,1077,,2.681364,
6,0,,2.794607,
6,0,,2.794619,
6,0,,2.794625,
6,0,,2.794631,
6,0,,2.794637,
6,517,,2.794643,
6,517,,2.794648,
6,0,,2.796543,
6,0,,2.796905,
6,1430,,2.864031,
6,1430,,2.864055,
6,1430,,2.864269,
6,1430,,2.864281,
6,933,,2.864388,
6,1430,,2.868715,
6,1430,,2.86874,
6,1430,,2.868915,
6,1430,,2.869051,
6,934,,2.869063,
6,517,,2.981494,
6,517,,2.981512,
6,0,,2.983466,
6,0,,2.983547,
6,1430,,3.051571,
6,1430,,3.051687,
6,1430,,3.051795,
6,391,,3.051803,
6,1430,,3.0559,
6,1430,,3.055915,
6,1430,,3.056117,
6,1430,,3.056232,
6,933,,3.056242,
6,517,,3.168163,
6,0,,3.168192,
6,517,,3.168203,
6,0,,3.168213,
6,0,,3.170151,
6,0,,3.170294,
6,1430,,3.241816,
6,1430,,3.241836,
6,1430,,3.24206,
6,1430,,3.242173,
6,932,,3.242183,
6,1430,,3.242436,
6,1430,,3.242567,
6,1430,,3.242577,
6,391,,3.242681,
6,0,,3.355557,
6,517,,3.355574,
6,517,,3.355582,
6,0,,3.357613,
6,0,,3.357643,
6,1077,,3.438329,
6,0,,3.466539,
6,0,,3.542547,
6,517,,3.542561,
6,517,,3.542567,
6,0,,3.544393,
6,0,,3.544563,
6,933,,3.620232,
6,934,,3.637385,
6,0,,3.679351,
6,517,,3.72943,
6,517,,3.729449,
6,0,,3.729458,
6,0,,3.729465,
6,74,,3.72947,
6,92,,3.729482,
6,0,,3.731392,
6,0,,3.731492,
6,0,,3.731685,
6,0,,3.731695,
6,910,,3.73208,
6,31,,3.73209,
6,933,,3.827515,
6,391,,3.84992,
6,143,,3.855432,
6,0,,3.887293,
6,520,,3.9162,
6,0,,3.916222,
6,0,,3.922638,
6,42,,3.951826,
6,813,,4.021342,
6,1430,,4.021365,
6,1430,,4.021589,
6,1430,,4.034407,
6,932,,4.045983,
6,1430,,4.047537,
6,1430,,4.060678,
6,1430,,4.073761,
6,1430,,4.086818,
6,1430,,4.100019,
6,73,,4.102628,
6,0,,4.103221,
6,1430,,4.11306,
6,1430,,4.12615,
6,1430,,4.139275,
6,1430,,4.152381,
6,0,,4.290543,
6,0,,4.303197,
6,73,,4.313465,
6,391,,4.408581,
6,26,,4.450839,
6,0,,4.477604,
6,520,,4.477617,
6,517,,4.477623,
6,0,,4.479654,
6,0,,4.479805,
6,73,,4.521562,
6,110,,4.535204,
6,0,,4.536915,
6,110,,4.537447,
6,0,,4.537458,
6,517,,4.664128,
6,0,,4.664137,
6,74,,4.664141,
6,517,,4.664146,
6,0,,4.666106,
6,0,,4.666116,
6,0,,4.666145,
6,910,,4.666727,
6,1430,,4.772238,
6,1430,,4.789508,
6,517,,4.85137,
6,517,,4.85139,
6,0,,4.851399,
6,1430,,4.853558,
6,1430,,4.85367,
6,1430,,4.85372,
6,0,,4.853732,
6,0,,4.853735,
6,933,,4.866558,
6,73,,4.937468,
6,1430,,4.979646,
6,1430,,5.001779,
6,0,,5.03819,
6,0,,5.167476,
6,1430,,5.198074,
6,0,,5.225147,
6,0,,5.351557,
6,0,,5.412537,
6,74,,5.412546,
6,0,,5.414437,
6,1430,,5.455005,
6,0,,5.59929,
6,64,,5.599651,
6,92,,5.599666,
6,0,,5.601422,
6,0,,5.601435,
6,608,,5.601899,
6,31,,5.606976,
6,73,,5.761502,
6,1266,,5.786287,
6,686,,5.786306,
6,0,,5.786314,
6,1430,,5.788714,
6,1430,,5.788841,
6,1430,,5.788868,
6,0,,5.788873,
6,0,,5.793204,
6,934,,5.80174,
6,0,,5.973477,
6,0,,5.973492,
6,449,,6.042897,
6,1430,,6.046042,
6,690,,6.058069,
6,306,,6.064362,
6,1430,,6.136815,
6,0,,6.16005,
6,0,,6.347331,
6,64,,6.347344,
6,0,,6.349199,
6,608,,6.349728,
6,0,,6.534725,
6,74,,6.534739,
6,1430,,6.536929,
6,1430,,6.537017,
6,391,,6.537027,
6,0,,6.537029,
6,0,,6.721237,
6,517,,6.72126,
6,0,,6.72326,
6,306,,6.8204,
6,0,,6.832332,
6,0,,6.908596,
6,517,,6.908608,
6,64,,6.908614,
6,0,,6.910539,
6,0,,6.910619,
6,0,,7.09545,
6,64,,7.095464,
6,92,,7.09547,
6,0,,7.097364,
6,0,,7.097375,
6,608,,7.098003,
6,31,,7.102932,
6,1051,,7.139463,
6,0,,7.282195,
6,1430,,7.283619,
6,1430,,7.284405,
6,1430,,7.284515,
6,1430,,7.297499,
6,933,,7.310522,
6,608,,7.349223,
6,73,,7.359114,
6,73,,7.425591,
6,0,,7.469441,
6,0,,7.46945,
6,1430,,7.502066,
6,73,,7.582757,
6,941,,7.630964,
6,0,,7.656141,
6,27,,7.695666,
6,0,,7.699867,
6,73,,7.806799,
6,0,,7.843504,
6,0,,7.843781,
6,266,,7.843801,
6,64,,7.84381,
6,92,,7.843818,
6,686,,7.843828,
6,0,,7.84384,
6,0,,7.845763,
6,0,,7.845777,
6,608,,7.846145,
6,0,,7.846154,
6,0,,7.846156,
6,0,,7.846349,
6,0,,7.850579,
6,31,,7.851376,
6,31,,7.882384,
6,143,,7.951651,
6,0,,8.030097,
6,1430,,8.032283,
6,1430,,8.032411,
6,1430,,8.045403,
6,932,,8.058467,
6,264,,8.084494,
6,1430,,8.085886,
6,1430,,8.098994,
6,853,,8.112001,
6,1430,,8.168905,
6,1430,,8.175442,
6,1430,,8.18855,
6,1430,,8.201658,
6,1430,,8.214747,
6,0,,8.217625,
6,73,,8.254918,
6,73,,8.3367,
6,0,,8.38744,
6,1422,,8.404157,
