protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.684258,
6,0,,0.68439,
6,0,,0.723338,
6,0,,0.727011,
6,0,,0.871135,
6,0,,0.871148,
6,0,,0.917516,
6,0,,0.920702,
6,0,,1.058744,
6,0,,1.058752,
6,517,,1.058756,
6,517,,1.058759,
6,0,,1.058768,
6,0,,1.058778,
6,0,,1.058784,
6,0,,1.058788,
6,0,,1.097661,
6,0,,1.097844,
6,0,,1.097894,
6,0,,1.101356,
6,0,,1.104547,
6,0,,1.109189,
6,1430,,1.157046,
6,1430,,1.157069,
6,1430,,1.157261,
6,1430,,1.157382,
6,933,,1.157401,
6,1430,,1.15812,
6,1430,,1.158253,
6,1430,,1.158368,
6,1430,,1.158483,
6,933,,1.158493,
6,0,,1.245445,
6,0,,1.245458,
6,517,,1.245465,
6,517,,1.245473,
6,0,,1.291706,
6,0,,1.294979,
6,1430,,1.351159,
6,1430,,1.351179,
6,1430,,1.351376,
6,391,,1.351393,
6,1430,,1.352098,
6,1430,,1.352212,
6,1430,,1.352312,
6,392,,1.352315,
6,0,,1.432232,
6,0,,1.432245,
6,0,,1.432252,
6,0,,1.432261,
6,517,,1.432268,
6,517,,1.432274,
6,24,,1.437602,
6,0,,1.437634,
6,24,,1.437817,
6,0,,1.470828,
6,0,,1.471102,
6,0,,1.522553,
6,1430,,1.530634,
6,1430,,1.530646,
6,1430,,1.530879,
6,1430,,1.530888,
6,933,,1.530993,
6,1430,,1.531189,
6,1430,,1.531321,
6,1430,,1.53133,
6,1430,,1.531521,
6,934,,1.531531,
6,517,,1.619323,
6,517,,1.619359,
6,0,,1.619403,
6,0,,1.66488,
6,0,,1.66939,
6,1430,,1.724597,
6,1430,,1.724722,
6,1430,,1.724837,
6,1430,,1.724969,
6,933,,1.724973,
6,1430,,1.729628,
6,1430,,1.729752,
6,1430,,1.729867,
6,1430,,1.730118,
6,934,,1.730131,
6,0,,1.80675,
6,517,,1.806775,
6,0,,1.852889,
6,933,,1.912898,
6,0,,1.993634,
6,517,,1.993648,
6,517,,1.993652,
6,0,,2.032461,
6,0,,2.038938,
6,392,,2.114338,
6,391,,2.135307,
6,517,,2.179948,
6,0,,2.179962,
6,0,,2.179969,
6,517,,2.179977,
6,517,,2.179984,
6,0,,2.21836,
6,0,,2.225812,
6,0,,2.230127,
6,934,,2.314073,
6,933,,2.315565,
6,64,,2.3677,
6,92,,2.367714,
6,520,,2.367721,
6,0,,2.36773,
6,31,,2.392821,
6,0,,2.405871,
6,0,,2.405882,
6,0,,2.405906,
6,608,,2.406708,
6,933,,2.485506,
6,926,,2.490994,
6,1430,,2.491018,
6,1430,,2.49125,
6,1430,,2.504227,
6,1430,,2.517369,
