protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.209111,
6,0,,0.705454,
6,0,,0.705468,
6,0,,0.708101,
6,0,,0.708343,
6,0,,0.892202,
6,0,,0.892221,
6,0,,0.89465,
6,0,,0.894662,
6,0,,1.079279,
6,0,,1.079294,
6,517,,1.079305,
6,517,,1.079317,
6,0,,1.079333,
6,0,,1.079341,
6,0,,1.081779,
6,0,,1.081851,
6,0,,1.081905,
6,0,,1.081911,
6,1430,,1.148959,
6,1430,,1.148974,
6,1430,,1.149188,
6,1430,,1.149303,
6,932,,1.149312,
6,1430,,1.149495,
6,1430,,1.149626,
6,1430,,1.14974,
6,1430,,1.149855,
6,934,,1.14986,
6,0,,1.266067,
6,0,,1.266079,
6,517,,1.266086,
6,517,,1.266091,
6,0,,1.266105,
6,0,,1.266112,
6,0,,1.26825,
6,0,,1.268485,
6,0,,1.268928,
6,0,,1.268938,
6,1430,,1.335315,
6,1430,,1.335446,
6,1430,,1.33556,
6,391,,1.335564,
6,1430,,1.336394,
6,1430,,1.336511,
6,1430,,1.336625,
6,392,,1.336729,
6,0,,1.452941,
6,0,,1.452959,
6,517,,1.452965,
6,517,,1.452971,
6,0,,1.455206,
6,0,,1.455314,
6,1430,,1.521665,
6,1430,,1.521682,
6,1430,,1.521893,
6,1430,,1.522025,
6,1430,,1.522035,
6,1430,,1.522255,
6,933,,1.522265,
6,1430,,1.522468,
6,1430,,1.522477,
6,932,,1.522582,
6,0,,1.603696,
6,0,,1.604945,
6,75,,1.605286,
6,0,,1.640496,
6,517,,1.640517,
6,0,,1.642651,
6,0,,1.826999,
6,73,,1.900994,
6,934,,1.917425,
6,0,,2.014635,
6,517,,2.014648,
6,0,,2.016957,
6,0,,2.071,
6,392,,2.137364,
6,391,,2.145059,
6,0,,2.201582,
6,0,,2.201622,
6,517,,2.201632,
6,517,,2.201641,
6,64,,2.201648,
6,92,,2.201656,
6,0,,2.203738,
6,0,,2.203775,
6,0,,2.203965,
6,0,,2.204111,
6,608,,2.204453,
6,31,,2.20446,
6,0,,2.282744,
6,932,,2.316871,
6,0,,2.332122,
6,933,,2.334859,
6,520,,2.388421,
6,0,,2.388433,
6,0,,2.388438,
6,0,,2.388443,
6,517,,2.388455,
6,0,,2.39067,
6,0,,2.391127,
6,0,,2.391372,
6,0,,2.395887,
6,926,,2.502453,
6,1430,,2.502584,
6,1430,,2.502595,
6,1430,,2.51564,
6,1430,,2.528725,
6,1430,,2.54184,
6,1430,,2.554963,
6,1430,,2.568056,
6,0,,2.575218,
6,1430,,2.581147,
6,1430,,2.594254,
6,1430,,2.60736,
6,1430,,2.620468,
6,1430,,2.633534,
6,0,,2.762516,
6,0,,2.949201,
6,520,,2.949811,
6,0,,2.952282,
6,0,,3.13632,
6,0,,3.136337,
6,0,,3.136348,
6,64,,3.136363,
6,517,,3.13637,
6,517,,3.136378,
6,0,,3.138825,
6,0,,3.139024,
6,608,,3.139235,
6,0,,3.139245,
6,1430,,3.206367,
6,1430,,3.206954,
6,1430,,3.289528,
6,1430,,3.297183,
6,0,,3.323352,
6,517,,3.323363,
6,517,,3.323368,
6,0,,3.325403,
6,1430,,3.325816,
6,1430,,3.325899,
6,391,,3.325905,
6,0,,3.325907,
6,1430,,3.468938,
6,1430,,3.487008,
6,0,,3.510157,
6,0,,3.656856,
6,0,,3.697382,
6,0,,3.697398,
6,64,,3.697406,
6,92,,3.697415,
6,266,,3.697424,
6,0,,3.699591,
6,0,,3.699684,
6,0,,3.699734,
6,608,,3.700049,
6,31,,3.705261,
6,0,,3.88457,
6,64,,3.884586,
6,1430,,3.886848,
6,1430,,3.886975,
6,392,,3.886985,
6,0,,3.887055,
6,1430,,3.905899,
6,388,,3.923924,
6,1430,,3.925834,
6,1430,,3.938928,
6,892,,3.951957,
6,1430,,4.001766,
6,1430,,4.008432,
6,1430,,4.021437,
6,1430,,4.034567,
6,1430,,4.047636,
6,0,,4.071573,
6,676,,4.071599,
6,0,,4.074096,
6,1430,,4.252146,
6,0,,4.258332,
6,0,,4.258349,
6,64,,4.258353,
6,0,,4.258363,
6,0,,4.258368,
6,0,,4.260361,
6,608,,4.260734,
6,0,,4.261169,
6,0,,4.261184,
6,1430,,4.26758,
6,0,,4.445618,
6,1430,,4.447928,
6,1430,,4.448057,
6,1430,,4.44817,
6,933,,4.460965,
6,0,,4.477964,
6,0,,4.632337,
6,64,,4.632458,
6,0,,4.63449,
6,0,,4.819722,
6,1430,,4.833181,
6,0,,4.962857,
6,0,,5.006514,
6,64,,5.006535,
