protocol,tcp_bytes,quic_bytes,real_time,
6,77,,0.750463,
6,29,,1.01338,
6,118,,1.324104,
6,31,,1.380305,
6,31,,1.740181,
6,0,,1.740309,
6,0,,1.907686,
6,31,,2.195728,
6,0,,2.352268,
6,0,,2.352279,
6,0,,2.352289,
6,0,,2.352298,
6,0,,2.352305,
6,0,,2.354757,
6,24,,2.390755,
6,0,,2.390774,
6,24,,2.390958,
6,0,,2.396792,
6,0,,2.397756,
6,0,,2.398511,
6,0,,2.399496,
6,0,,2.478631,
6,0,,2.538801,
6,0,,2.538822,
6,0,,2.58283,
6,0,,2.58653,
6,0,,2.692687,
6,0,,2.725804,
6,0,,2.725818,
6,0,,2.725823,
6,0,,2.725829,
6,0,,2.725835,
6,517,,2.725842,
6,517,,2.725847,
6,0,,2.728408,
6,0,,2.770287,
6,1430,,2.794495,
6,1430,,2.794515,
6,1430,,2.794697,
6,1430,,2.794829,
6,934,,2.794832,
6,31,,2.795657,
6,1430,,2.831444,
6,1430,,2.831466,
6,1430,,2.831676,
6,390,,2.831693,
6,517,,2.913324,
6,517,,2.913343,
6,0,,2.965775,
6,0,,2.966562,
6,1430,,3.021914,
6,1430,,3.021931,
6,1430,,3.022142,
6,1430,,3.022271,
6,1076,,3.022286,
6,1430,,3.02342,
6,1430,,3.023518,
6,1430,,3.023649,
6,1430,,3.023764,
6,933,,3.023768,
6,517,,3.100034,
6,0,,3.100053,
6,0,,3.100062,
6,517,,3.100071,
6,517,,3.100078,
6,0,,3.150987,
6,0,,3.154474,
6,0,,3.154812,
6,1430,,3.225989,
6,1430,,3.226007,
6,1430,,3.226206,
6,1430,,3.22635,
6,932,,3.226361,
6,1430,,3.227006,
6,1430,,3.227017,
6,1430,,3.227206,
6,391,,3.22721,
6,1430,,3.228939,
6,1430,,3.228949,
6,1430,,3.229204,
6,1430,,3.229213,
6,1076,,3.229315,
6,517,,3.287579,
6,0,,3.287594,
6,0,,3.287612,
6,0,,3.287619,
6,0,,3.35075,
6,517,,3.474097,
6,517,,3.474111,
6,0,,3.528278,
6,0,,3.528762,
6,390,,3.619741,
6,517,,3.660997,
6,0,,3.661006,
6,517,,3.661012,
6,517,,3.661016,
6,0,,3.661021,
6,0,,3.70705,
6,0,,3.708229,
6,0,,3.709601,
6,933,,3.778151,
6,1076,,3.78833,
6,64,,3.848623,
6,92,,3.848638,
6,0,,3.850828,
6,0,,3.850839,
6,608,,3.851601,
6,31,,3.85161,
6,31,,3.947803,
6,1076,,3.990464,
6,1266,,4.035688,
6,0,,4.035702,
6,0,,4.035717,
6,0,,4.043708,
6,123,,4.053849,
6,576,,4.278585,
6,1430,,4.278748,
6,819,,4.278754,
6,48,,4.289647,
6,39,,4.289834,
6,932,,4.336741,
6,391,,4.397636,
6,1266,,4.408992,
6,0,,4.409058,
6,0,,4.409102,
6,64,,4.409143,
6,92,,4.409163,
6,266,,4.409179,
6,0,,4.409208,
6,0,,4.422289,
6,31,,4.44385,
6,0,,4.466751,
6,0,,4.466765,
6,0,,4.466768,
6,608,,4.467039,
6,517,,4.596359,
6,517,,4.596371,
6,0,,4.596377,
6,0,,4.673052,
6,0,,4.674457,
6,390,,4.696598,
6,1430,,4.696741,
6,1430,,4.696845,
6,853,,4.71319,
6,1430,,4.769195,
6,1430,,4.774865,
6,517,,4.783087,
6,266,,4.7831,
6,0,,4.783107,
6,1430,,4.791343,
6,1430,,4.80295,
6,1430,,4.817694,
6,1430,,4.832668,
6,1430,,4.844351,
6,0,,4.848267,
6,1430,,4.854673,
6,0,,4.867154,
6,1430,,4.952127,
6,1422,,4.970377,
6,0,,4.987722,
6,1430,,5.141985,
6,0,,5.157238,
6,0,,5.15727,
6,74,,5.344541,
6,92,,5.34456,
6,520,,5.344569,
6,422,,5.344583,
6,0,,5.344591,
6,0,,5.368366,
6,31,,5.369687,
6,1430,,5.390641,
6,1430,,5.390765,
6,1430,,5.390889,
6,39,,5.392482,
6,0,,5.39255,
6,0,,5.392583,
6,0,,5.392676,
6,910,,5.39319,
6,933,,5.403461,
6,939,,5.473339,
6,1430,,5.473359,
6,1430,,5.487171,
6,1430,,5.499977,
6,1430,,5.512723,
6,1430,,5.525849,
6,0,,5.531103,
6,1430,,5.538923,
6,1430,,5.55203,
6,1430,,5.565033,
6,1430,,5.578231,
6,1430,,5.592074,
6,1430,,5.604445,
6,1430,,5.617554,
6,0,,5.905165,
6,0,,5.905181,
6,31,,6.004897,
6,1430,,6.066972,
6,0,,6.092209,
6,1430,,6.115831,
6,31,,6.251647,
6,64,,6.279234,
6,92,,6.279244,
6,0,,6.324788,
6,0,,6.32481,
6,608,,6.328999,
6,31,,6.334032,
6,1422,,6.466373,
6,0,,6.466383,
6,0,,6.466388,
6,0,,6.46877,
6,1430,,6.515391,
6,1430,,6.515414,
6,1430,,6.515598,
6,932,,6.534926,
6,252,,6.653252,
6,0,,6.653264,
6,0,,6.682907,
6,529,,6.737914,
6,503,,6.740322,
6,70,,6.744827,
6,422,,6.840582,
6,0,,6.840599,
6,0,,6.840606,
6,64,,6.840613,
6,0,,6.864425,
6,608,,6.884946,
6,0,,6.889882,
6,1215,,6.992598,
6,0,,7.027211,
6,1430,,7.070676,
6,1430,,7.070695,
6,391,,7.070787,
6,0,,7.214156,
6,0,,7.401411,
6,24,,7.429234,
6,0,,7.429255,
6,1430,,7.445955,
6,70,,7.530401,
6,686,,7.588016,
6,0,,7.588047,
6,0,,7.612065,
6,1029,,7.623119,
6,64,,7.775522,
6,64,,7.77554,
6,408,,7.775547,
6,0,,7.775557,
6,0,,7.775564,
6,0,,7.799879,
6,0,,7.818693,
6,0,,7.819361,
6,608,,7.819643,
6,1430,,7.820265,
6,1430,,7.820276,
6,1430,,7.833292,
6,1076,,7.846334,
6,0,,7.962645,
6,608,,8.239688,
6,0,,8.336478,
6,64,,8.33649,
6,0,,8.336501,
6,74,,8.336506,
6,0,,8.336515,
6,0,,8.380197,
6,0,,8.380943,
6,910,,8.384405,
6,0,,8.385415,
6,0,,8.522693,
6,0,,8.567043,
6,0,,8.710423,
6,0,,8.710441,
6,0,,8.710448,
6,1430,,8.734361,
6,1430,,8.734632,
6,1430,,8.74089,
6,853,,8.754052,
6,77,,8.89156,
6,1266,,9.084824,
6,0,,9.084842,
6,0,,9.08485,
6,0,,9.084857,
6,31,,9.084863,
6,0,,9.0873,
6,0,,9.087311,
6,608,,9.19083,
6,0,,9.27147,
6,0,,9.271486,
6,0,,9.271514,
6,1430,,9.273888,
6,906,,9.28047,
6,910,,9.364293,
6,0,,9.424249,
6,0,,9.458021,
6,0,,9.458032,
6,422,,9.458038,
6,0,,9.458044,
6,0,,9.458049,
6,0,,9.483322,
6,0,,9.501698,
6,0,,9.503169,
6,39,,9.644986,
6,0,,9.645015,
6,0,,9.645022,
6,0,,9.645028,
6,0,,9.645034,
6,0,,9.647235,
6,1430,,9.67033,
6,1430,,9.676852,
6,31,,9.832269,
6,1168,,9.834598,
6,0,,9.857441,
6,1430,,9.972388,
6,408,,10.019673,
6,0,,10.019687,
6,0,,10.019694,
6,0,,10.043601,
6,1430,,10.04508,
6,191,,10.092616,
6,39,,10.206477,
6,0,,10.206495,
6,0,,10.208825,
6,1430,,10.231748,
6,0,,10.393193,
6,1430,,10.418449,
6,0,,10.532949,
6,74,,10.58022,
6,31,,10.580237,
6,0,,10.580247,
6,0,,10.637071,
6,1430,,10.637337,
6,0,,10.655327,
6,686,,10.767623,
6,0,,10.767642,
6,0,,10.827729,
6,1430,,10.827967,
6,1430,,10.835241,
6,1430,,10.847912,
6,1430,,10.857834,
6,1430,,10.868501,
6,1430,,10.88417,
6,1430,,10.900041,
6,1430,,10.917278,
6,1430,,10.929892,
6,1430,,10.938707,
6,1430,,10.943627,
6,31,,10.949022,
6,0,,10.953908,
6,1430,,10.956141,
6,1430,,10.990416,
6,1430,,10.995298,
6,0,,11.141677,
6,1430,,11.19422,
6,1032,,11.202508,
6,541,,11.404969,
6,0,,11.51512,
6,0,,11.51514,
6,0,,11.515152,
6,64,,11.515162,
6,0,,11.614068,
6,0,,11.630037,
6,0,,11.63103,
6,0,,11.63371,
6,0,,11.702533,
6,608,,11.728717,
6,0,,11.889085,
6,0,,11.889097,
6,573,,12.01949,
6,0,,12.263121,
6,0,,12.263137,
6,0,,12.263142,
6,1430,,12.371453,
6,64,,12.449689,
6,0,,12.4497,
6,910,,12.52335,
6,0,,12.529487,
6,608,,12.595718,
6,0,,12.637001,
6,0,,12.637013,
6,74,,12.824384,
6,0,,12.824402,
6,0,,12.824409,
6,31,,12.824462,
6,1430,,12.852718,
6,0,,12.855725,
6,0,,12.872231,
6,0,,13.197789,
6,1430,,13.225655,
6,123,,13.274533,
6,1032,,13.384662,
6,0,,13.38532,
17,,1358,13.385338,
6,1087,,13.410392,
17,,1358,13.435687,
17,,352,13.495514,
17,,1358,13.495645,
17,,1358,13.495657,
17,,1358,13.495874,
6,206,,13.572154,
6,0,,13.572177,
6,0,,13.584399,
6,0,,13.596954,
6,423,,13.597817,
17,,1358,13.736755,
17,,1358,13.759027,
6,0,,13.759044,
6,64,,13.759062,
6,0,,13.759066,
6,1430,,13.785075,
6,1430,,13.790906,
6,0,,13.807083,
17,,1358,13.811079,
6,0,,13.946629,
6,1430,,13.975686,
6,0,,14.112847,
6,206,,14.133072,
6,1238,,14.134384,
6,0,,14.172401,
6,910,,14.236539,
17,,1358,14.31976,
6,0,,14.319774,
6,1430,,14.368436,
17,,1358,14.38726,
6,0,,14.507607,
6,408,,14.507623,
6,0,,14.507637,
6,0,,14.535561,
6,1430,,14.537798,
