protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.120885,
6,0,,0.125521,
6,0,,0.125545,
6,110,,1.313076,
6,110,,1.317039,
6,0,,1.317072,
6,0,,1.413616,
6,0,,1.41363,
6,0,,1.450357,
6,0,,1.457521,
6,110,,1.635905,
6,0,,1.642019,
6,110,,1.642032,
6,0,,1.642039,
6,0,,1.787749,
6,0,,1.787767,
6,517,,1.787773,
6,517,,1.78778,
6,0,,1.787793,
6,0,,1.787801,
6,0,,1.787808,
6,0,,1.787816,
6,0,,1.787823,
6,0,,1.824484,
6,0,,1.824939,
6,0,,1.825916,
6,0,,1.82861,
6,0,,1.830069,
6,0,,1.831311,
6,0,,1.831813,
6,1430,,1.890041,
6,1430,,1.890064,
6,1430,,1.890277,
6,1430,,1.89041,
6,1430,,1.890419,
6,1430,,1.890639,
6,1076,,1.890648,
6,1430,,1.890852,
6,1430,,1.890983,
6,1075,,1.890992,
6,0,,1.975075,
6,0,,2.017364,
6,0,,2.139154,
6,0,,2.140134,
6,0,,2.161919,
6,0,,2.161931,
6,0,,2.161935,
6,0,,2.161938,
6,0,,2.161942,
6,517,,2.161963,
6,517,,2.161968,
6,0,,2.198589,
6,0,,2.199752,
6,0,,2.208327,
6,0,,2.208347,
6,517,,2.208482,
6,1430,,2.258579,
6,1430,,2.258596,
6,1430,,2.258818,
6,1430,,2.258909,
6,933,,2.258991,
6,1430,,2.259806,
6,1430,,2.259921,
6,1430,,2.260052,
6,1430,,2.260062,
6,933,,2.260168,
6,0,,2.276235,
6,1430,,2.276992,
6,0,,2.277004,
6,1430,,2.277108,
6,0,,2.277118,
6,1430,,2.277226,
6,0,,2.277239,
6,1430,,2.27734,
6,0,,2.277353,
6,923,,2.277356,
6,0,,2.277358,
6,64,,2.277716,
6,208,,2.278138,
6,0,,2.345813,
6,529,,2.347501,
6,517,,2.349136,
6,517,,2.349148,
6,0,,2.387061,
6,0,,2.389896,
6,0,,2.391332,
6,87,,2.410805,
6,0,,2.410829,
6,34,,2.412322,
6,0,,2.412332,
6,1430,,2.446495,
6,1430,,2.446521,
6,1430,,2.44672,
6,1430,,2.446834,
6,932,,2.446848,
6,1430,,2.447032,
6,1430,,2.447146,
6,1430,,2.447262,
6,390,,2.447272,
6,517,,2.536123,
6,0,,2.536134,
6,0,,2.536153,
6,517,,2.536156,
6,517,,2.53616,
6,0,,2.572877,
6,0,,2.579235,
6,0,,2.579371,
6,1430,,2.638157,
6,1430,,2.63831,
6,1430,,2.63832,
6,391,,2.638427,
6,1075,,2.660779,
6,0,,2.675061,
6,0,,2.722683,
6,0,,2.744592,
6,0,,2.910206,
6,517,,2.910215,
6,517,,2.91022,
6,0,,2.947233,
6,0,,2.947302,
6,0,,3.029679,
6,933,,3.062236,
6,933,,3.07092,
6,517,,3.097082,
6,0,,3.097091,
6,0,,3.097095,
6,517,,3.097099,
6,517,,3.097102,
6,0,,3.134126,
6,0,,3.134201,
6,0,,3.138293,
6,0,,3.14122,
6,0,,3.141575,
6,0,,3.146012,
6,0,,3.146045,
6,239,,3.146132,
6,0,,3.14951,
6,1191,,3.158437,
6,0,,3.158462,
6,390,,3.22304,
6,932,,3.250214,
6,0,,3.284168,
6,0,,3.284175,
6,74,,3.284183,
6,92,,3.284187,
6,520,,3.284192,
6,31,,3.308166,
6,0,,3.32554,
6,0,,3.325561,
6,910,,3.325646,
6,0,,3.325661,
6,814,,3.41184,
6,1430,,3.411865,
6,1430,,3.412057,
6,391,,3.412379,
6,1430,,3.425047,
6,1430,,3.438169,
6,1430,,3.451233,
6,1430,,3.4644,
6,0,,3.470548,
6,1430,,3.477472,
6,1430,,3.49055,
6,1430,,3.503706,
6,1430,,3.516741,
6,1430,,3.529894,
6,1430,,3.543013,
6,0,,3.65781,
6,0,,3.845128,
6,0,,3.845141,
6,74,,3.845145,
6,517,,3.845149,
6,910,,3.882852,
6,0,,3.886718,
6,0,,3.889084,
6,1430,,3.946665,
6,0,,4.031953,
6,517,,4.032086,
6,517,,4.032099,
6,0,,4.0692,
6,0,,4.069233,
6,1430,,4.213591,
6,520,,4.218756,
6,0,,4.218822,
6,0,,4.241662,
6,1430,,4.380209,
6,1430,,4.402231,
6,0,,4.406396,
6,517,,4.406417,
6,0,,4.447891,
6,1430,,4.569383,
6,0,,4.592578,
6,74,,4.592588,
6,0,,4.629688,
6,0,,4.779997,
6,64,,4.780008,
6,92,,4.780013,
6,0,,4.821184,
6,0,,4.821198,
6,608,,4.821551,
6,31,,4.821561,
6,1430,,4.94842,
6,0,,4.966618,
6,1430,,5.017261,
6,1430,,5.017283,
6,1430,,5.017501,
6,933,,5.030266,
6,1430,,5.106267,
6,0,,5.154182,
6,1266,,5.154192,
6,0,,5.182528,
6,686,,5.340834,
6,0,,5.340847,
6,0,,5.36371,
6,0,,5.528028,
6,0,,5.528038,
6,64,,5.528041,
6,92,,5.528044,
6,252,,5.528048,
6,31,,5.55668,
6,608,,5.570021,
6,0,,5.578476,
6,0,,5.578488,
6,0,,5.57849,
6,395,,5.611937,
6,487,,5.613698,
6,31,,5.61812,
6,39,,5.61834,
6,449,,5.640952,
6,1430,,5.64464,
6,609,,5.654022,
6,276,,5.659551,
6,39,,5.662053,
6,0,,5.715635,
6,74,,5.715662,
6,1430,,5.752896,
6,1430,,5.752921,
6,1430,,5.753134,
6,0,,5.757736,
6,932,,5.765848,
6,0,,5.901908,
6,0,,6.089369,
6,0,,6.276217,
6,110,,6.31791,
6,39,,6.375679,
6,110,,6.378795,
6,0,,6.378812,
6,1422,,6.462965,
6,0,,6.462983,
6,64,,6.462986,
6,0,,6.486205,
6,0,,6.501087,
6,608,,6.505584,
6,110,,6.642697,
6,0,,6.645433,
6,110,,6.645825,
6,0,,6.645843,
6,0,,6.649884,
6,1430,,6.680317,
6,1430,,6.69367,
