protocol,tcp_bytes,quic_bytes,real_time,
6,24,,0.500583,
6,0,,0.669255,
6,0,,0.66932,
6,0,,0.711685,
6,0,,0.712416,
6,881,,1.016335,
6,0,,1.042622,
6,0,,1.042637,
6,517,,1.042644,
6,517,,1.04265,
6,0,,1.042661,
6,0,,1.042669,
6,0,,1.042677,
6,0,,1.042684,
6,0,,1.04269,
6,0,,1.085013,
6,0,,1.085039,
6,0,,1.08515,
6,0,,1.08548,
6,0,,1.085577,
6,0,,1.085742,
6,0,,1.08596,
6,1430,,1.141629,
6,1430,,1.141685,
6,1430,,1.141853,
6,1430,,1.141956,
6,933,,1.141963,
6,1430,,1.142152,
6,1430,,1.142283,
6,1430,,1.142398,
6,1430,,1.142529,
6,932,,1.142532,
6,0,,1.229375,
6,0,,1.273268,
6,0,,1.416511,
6,0,,1.416522,
6,0,,1.416526,
6,0,,1.41653,
6,0,,1.416534,
6,517,,1.416538,
6,517,,1.416543,
6,0,,1.458535,
6,0,,1.458553,
6,1430,,1.515314,
6,1430,,1.51534,
6,1430,,1.51554,
6,391,,1.515559,
6,1430,,1.515704,
6,1430,,1.515818,
6,1430,,1.515923,
6,1430,,1.516081,
6,934,,1.516091,
6,517,,1.603284,
6,517,,1.603298,
6,0,,1.645521,
6,0,,1.646035,
6,24,,1.652496,
6,1430,,1.701724,
6,1430,,1.70175,
6,1430,,1.70196,
6,1430,,1.702075,
6,933,,1.702084,
6,1430,,1.705402,
6,1430,,1.705528,
6,1430,,1.705633,
6,1430,,1.705749,
6,932,,1.705763,
6,517,,1.790792,
6,0,,1.790817,
6,0,,1.790826,
6,517,,1.790831,
6,517,,1.790835,
6,0,,1.828895,
6,0,,1.833828,
6,0,,1.833852,
6,1430,,1.893756,
6,1430,,1.893773,
6,1430,,1.894,
6,1430,,1.89401,
6,933,,1.894113,
6,932,,1.904115,
6,0,,1.977351,
6,0,,2.164618,
6,0,,2.164631,
6,517,,2.164635,
6,517,,2.164643,
6,0,,2.202787,
6,0,,2.203447,
6,934,,2.287337,
6,0,,2.287362,
6,391,,2.31709,
6,517,,2.351289,
6,64,,2.351305,
6,92,,2.351312,
6,521,,2.351318,
6,0,,2.351326,
6,0,,2.351332,
6,31,,2.378261,
6,0,,2.389928,
6,0,,2.389938,
6,0,,2.389996,
6,608,,2.391028,
6,0,,2.393663,
6,0,,2.394942,
6,933,,2.460137,
6,925,,2.476293,
6,1430,,2.476318,
6,1430,,2.476537,
6,1430,,2.489465,
6,1430,,2.502538,
6,932,,2.505421,
6,1430,,2.51565,
6,1430,,2.52869,
6,517,,2.538868,
6,517,,2.53888,
6,0,,2.538885,
6,1430,,2.541765,
6,1430,,2.554838,
6,1430,,2.567902,
6,0,,2.576687,
6,0,,2.57825,
6,1430,,2.580984,
6,1430,,2.594048,
6,1430,,2.607094,
6,933,,2.663874,
6,0,,2.725862,
6,0,,2.912908,
6,521,,2.912929,
6,0,,2.938103,
6,0,,3.099422,
6,0,,3.099444,
6,64,,3.099451,
6,517,,3.099459,
6,0,,3.138156,
6,608,,3.142733,
6,0,,3.142758,
6,1430,,3.198451,
6,0,,3.286679,
6,517,,3.286694,
6,517,,3.286699,
6,0,,3.329034,
6,0,,3.329059,
6,1430,,3.439302,
6,0,,3.473455,
6,1430,,3.611959,
6,1430,,3.657321,
6,0,,3.6604,
6,0,,3.660409,
6,64,,3.660413,
6,92,,3.660417,
6,266,,3.66042,
6,517,,3.660446,
6,31,,3.686027,
6,0,,3.699117,
6,0,,3.699127,
6,0,,3.699196,
6,608,,3.699578,
6,0,,3.703693,
6,1430,,3.819965,
6,0,,3.847974,
6,64,,3.848009,
6,1430,,3.886079,
6,1430,,3.886095,
6,1430,,3.886323,
6,0,,3.890803,
6,31,,3.893168,
6,0,,3.893369,
6,934,,3.899074,
6,1430,,3.918458,
6,389,,3.922205,
6,1430,,3.922372,
6,1430,,3.922515,
6,892,,3.93541,
6,1430,,4.004962,
6,1430,,4.011502,
6,1430,,4.024606,
6,0,,4.034766,
6,677,,4.034775,
6,1430,,4.037713,
6,1430,,4.050811,
