protocol,tcp_bytes,quic_bytes,real_time,
6,24,,0.37894,
6,0,,0.590538,
6,0,,0.59914,
6,24,,0.629399,
6,0,,0.79629,
6,24,,0.878326,
6,31,,0.888154,
6,129,,1.137541,
6,0,,1.206297,
6,73,,1.253705,
6,0,,1.284141,
6,0,,1.284158,
6,0,,1.286301,
6,0,,1.286541,
6,24,,1.374328,
6,0,,1.381452,
6,0,,1.471689,
6,0,,1.471702,
6,0,,1.471713,
6,0,,1.471721,
6,0,,1.473838,
6,0,,1.474046,
6,0,,1.47405,
6,0,,1.47505,
6,129,,1.506847,
6,0,,1.549533,
6,816,,1.63969,
6,0,,1.658614,
6,0,,1.658625,
6,517,,1.658631,
6,517,,1.658641,
6,0,,1.658656,
6,0,,1.658663,
6,0,,1.660902,
6,0,,1.661121,
6,0,,1.661323,
6,0,,1.661582,
6,129,,1.72189,
6,1430,,1.727963,
6,1430,,1.727981,
6,1430,,1.728183,
6,1430,,1.728313,
6,933,,1.728328,
6,1430,,1.728683,
6,1430,,1.728789,
6,1430,,1.728904,
6,1430,,1.729018,
6,933,,1.729022,
6,0,,1.84507,
6,0,,1.845115,
6,0,,1.845124,
6,0,,1.845134,
6,517,,1.845142,
6,517,,1.845151,
6,0,,1.847396,
6,0,,1.847414,
6,1430,,1.917235,
6,1430,,1.917276,
6,1430,,1.917463,
6,1430,,1.917608,
6,933,,1.917613,
6,1430,,1.919156,
6,1430,,1.919255,
6,1430,,1.919386,
6,1430,,1.919516,
6,934,,1.919538,
6,517,,2.032751,
6,517,,2.032767,
6,0,,2.032776,
6,0,,2.032783,
6,0,,2.035135,
6,0,,2.035454,
6,1430,,2.104739,
6,1430,,2.104765,
6,1430,,2.104982,
6,391,,2.104992,
6,1430,,2.105129,
6,1430,,2.105257,
6,1430,,2.105361,
6,391,,2.105375,
6,517,,2.2193,
6,517,,2.21931,
6,0,,2.219315,
6,0,,2.221401,
6,0,,2.221683,
6,31,,2.287603,
6,1430,,2.290646,
6,1430,,2.290778,
6,1430,,2.290788,
6,1430,,2.291008,
6,933,,2.29102,
6,1430,,2.291909,
6,1430,,2.292026,
6,1430,,2.292141,
6,1430,,2.292239,
6,933,,2.292321,
6,24,,2.406284,
6,0,,2.406481,
6,517,,2.40649,
6,517,,2.406494,
6,0,,2.408622,
6,0,,2.408961,
6,933,,2.509073,
6,517,,2.593613,
6,0,,2.593622,
6,517,,2.593626,
6,517,,2.59363,
6,0,,2.595637,
6,0,,2.595747,
6,0,,2.596007,
6,934,,2.683278,
6,933,,2.684497,
6,0,,2.780214,
6,0,,2.780227,
6,517,,2.780234,
6,64,,2.780243,
6,92,,2.780249,
6,520,,2.780254,
6,0,,2.782433,
6,0,,2.782443,
6,0,,2.782445,
6,0,,2.782648,
6,608,,2.782927,
6,31,,2.783646,
6,0,,2.811459,
6,391,,2.877734,
6,391,,2.884064,
6,926,,2.902005,
6,1430,,2.902135,
6,1430,,2.902253,
6,1430,,2.915251,
6,1430,,2.928368,
6,1430,,2.941465,
6,1430,,2.954649,
6,0,,2.957287,
6,1430,,2.967751,
6,0,,2.967812,
6,1430,,2.980876,
6,73,,2.981695,
6,1430,,2.994019,
6,1430,,3.007155,
6,1430,,3.0203,
6,1430,,3.033424,
6,933,,3.049237,
6,933,,3.080822,
6,0,,3.154563,
6,517,,3.154602,
6,517,,3.154643,
6,0,,3.156754,
6,0,,3.157094,
6,517,,3.341586,
6,0,,3.341601,
6,0,,3.343677,
6,63,,3.456851,
6,0,,3.528539,
6,520,,3.528561,
6,0,,3.530685,
6,0,,3.715627,
6,64,,3.715639,
6,517,,3.715643,
6,0,,3.717689,
6,0,,3.71794,
6,608,,3.718181,
6,1430,,3.835467,
6,1430,,3.836553,
6,0,,3.902631,
6,517,,3.902645,
6,1430,,3.905028,
6,1430,,3.90514,
6,1430,,3.905166,
6,0,,3.90517,
6,0,,3.916262,
6,933,,3.917936,
6,0,,3.938885,
6,1430,,4.029928,
6,1430,,4.036261,
6,0,,4.089932,
6,0,,4.104225,
6,75,,4.104374,
6,39,,4.113133,
6,1430,,4.201239,
6,1430,,4.232858,
6,0,,4.276113,
6,1430,,4.293418,
6,31,,4.343677,
6,24,,4.389395,
6,39,,4.463364,
6,0,,4.463476,
6,0,,4.463489,
6,64,,4.463496,
6,92,,4.463502,
6,64,,4.46351,
6,517,,4.463517,
6,0,,4.465743,
6,0,,4.465757,
6,0,,4.465885,
6,0,,4.465895,
6,608,,4.466163,
6,31,,4.471729,
6,0,,4.65058,
6,676,,4.650605,
6,517,,4.650614,
6,1430,,4.653309,
6,1430,,4.653319,
6,1430,,4.653469,
6,0,,4.653479,
6,0,,4.653621,
6,934,,4.66586,
6,129,,4.788099,
6,39,,4.815306,
6,0,,4.837222,
6,0,,4.946902,
6,0,,4.95008,
6,75,,4.950221,
6,0,,4.953772,
6,0,,4.953784,
6,46,,4.975957,
6,0,,5.024581,
6,1266,,5.02459,
6,0,,5.03146,
6,0,,5.211628,
6,31,,5.244424,
6,574,,5.264715,
6,1430,,5.26781,
6,710,,5.280524,
6,315,,5.286946,
6,0,,5.368777,
6,0,,5.398394,
6,64,,5.398405,
6,0,,5.400445,
6,608,,5.400865,
6,39,,5.519185,
6,0,,5.58563,
6,64,,5.585647,
6,0,,5.587717,
