protocol,tcp_bytes,quic_bytes,real_time,
6,129,,0.097185,
6,33,,0.158439,
6,31,,0.20474,
6,0,,0.699382,
6,0,,0.699394,
6,0,,0.70192,
6,0,,0.702168,
6,194,,0.756111,
6,129,,0.940204,
17,,41,1.068493,
6,0,,1.073146,
6,0,,1.073153,
6,517,,1.073157,
6,517,,1.073161,
6,0,,1.073175,
6,0,,1.073179,
6,0,,1.073183,
17,,33,1.074207,
6,0,,1.078993,
6,0,,1.079108,
6,0,,1.079448,
6,0,,1.122965,
6,0,,1.128603,
6,1430,,1.143681,
6,1430,,1.143798,
6,1430,,1.143912,
6,1430,,1.144027,
6,932,,1.14404,
6,1430,,1.145314,
6,1430,,1.145437,
6,1430,,1.145551,
6,1430,,1.145666,
6,932,,1.145679,
6,1250,,1.173391,
6,1250,,1.174751,
6,218,,1.174763,
6,233,,1.215951,
6,61,,1.228732,
6,0,,1.260071,
6,0,,1.26008,
6,0,,1.260085,
6,0,,1.265759,
6,0,,1.308478,
6,0,,1.310198,
6,129,,1.341533,
6,0,,1.447433,
6,0,,1.447443,
6,0,,1.447446,
6,517,,1.44745,
6,517,,1.447455,
6,0,,1.449734,
6,0,,1.496581,
6,1430,,1.520142,
6,1430,,1.52025,
6,1430,,1.520364,
6,394,,1.520369,
6,1430,,1.556774,
6,1430,,1.55689,
6,1430,,1.55702,
6,1430,,1.557138,
6,932,,1.557146,
6,517,,1.633899,
6,0,,1.633909,
6,0,,1.68834,
6,1430,,1.74873,
6,1430,,1.748746,
6,1430,,1.748959,
6,1430,,1.74909,
6,933,,1.749099,
6,0,,1.821261,
6,932,,1.907238,
6,0,,1.907581,
6,0,,1.90885,
6,0,,1.985108,
6,0,,1.985134,
6,517,,1.985282,
6,0,,2.008477,
6,0,,2.066616,
6,1430,,2.067435,
6,0,,2.067445,
6,1430,,2.06755,
6,0,,2.067558,
6,1430,,2.067666,
6,0,,2.067674,
6,1430,,2.067795,
6,0,,2.067803,
6,924,,2.067806,
6,0,,2.067809,
6,64,,2.068205,
6,208,,2.0687,
6,50,,2.118335,
6,0,,2.139819,
6,0,,2.195513,
6,0,,2.195523,
6,517,,2.195527,
6,517,,2.195531,
6,0,,2.197981,
6,0,,2.244168,
6,0,,2.281249,
6,0,,2.316148,
6,932,,2.322046,
6,394,,2.328264,
6,0,,2.364294,
6,517,,2.382482,
6,64,,2.38249,
6,92,,2.382495,
6,520,,2.382499,
6,0,,2.382504,
6,0,,2.382508,
6,0,,2.38251,
6,0,,2.382514,
6,0,,2.384888,
6,0,,2.384897,
6,0,,2.38492,
6,0,,2.384931,
6,608,,2.385254,
6,31,,2.385894,
6,0,,2.42994,
6,0,,2.431166,
6,0,,2.436561,
6,0,,2.448552,
6,1046,,2.506464,
6,1430,,2.506488,
6,1430,,2.506674,
6,0,,2.519158,
6,1430,,2.519637,
6,933,,2.531481,
6,1430,,2.532745,
6,1430,,2.545835,
6,1430,,2.55896,
6,33,,2.566924,
6,0,,2.569193,
6,1430,,2.572051,
6,1430,,2.585159,
6,110,,2.597649,
6,1430,,2.598265,
6,110,,2.607682,
6,0,,2.607716,
6,1430,,2.611751,
6,1430,,2.625242,
6,1430,,2.639946,
6,529,,2.701889,
6,87,,2.718322,
6,0,,2.718387,
6,34,,2.721386,
6,0,,2.756211,
6,0,,2.76057,
6,0,,2.930629,
6,0,,2.943273,
6,520,,2.943282,
6,0,,2.948608,
6,0,,3.13045,
6,0,,3.130458,
6,0,,3.130462,
6,0,,3.130466,
6,64,,3.130469,
6,517,,3.130474,
6,517,,3.130478,
6,0,,3.132729,
6,0,,3.13298,
6,608,,3.133665,
6,0,,3.181638,
6,1430,,3.203676,
6,1430,,3.238586,
6,517,,3.317786,
6,0,,3.317796,
6,517,,3.317801,
6,0,,3.366172,
6,0,,3.372273,
6,1430,,3.428511,
6,1430,,3.475752,
6,0,,3.503946,
6,120,,3.661527,
6,1430,,3.683568,
6,0,,3.691587,
6,0,,3.691594,
6,64,,3.691598,
6,92,,3.691601,
6,266,,3.691604,
6,0,,3.693818,
6,0,,3.693827,
6,0,,3.693829,
6,608,,3.694284,
6,31,,3.694549,
6,0,,3.740016,
6,110,,3.788632,
6,110,,3.790707,
6,0,,3.79072,
6,0,,3.878635,
6,64,,3.878645,
6,0,,3.880922,
6,408,,3.920546,
6,1430,,3.92071,
6,1430,,3.920841,
6,1430,,3.92745,
6,1430,,3.927572,
6,1430,,3.927676,
6,892,,3.934372,
6,932,,3.942355,
6,1430,,3.943778,
6,1430,,3.999552,
6,1430,,4.009119,
6,1430,,4.020673,
6,1430,,4.034154,
6,1430,,4.048654,
6,1430,,4.061631,
6,0,,4.0658,
6,676,,4.065808,
6,0,,4.072951,
6,1430,,4.075627,
6,1430,,4.086751,
6,0,,4.252046,
6,1430,,4.261716,
6,1430,,4.283785,
6,0,,4.39633,
6,1430,,4.428112,
6,0,,4.43927,
6,1,,4.569214,
6,0,,4.627182,
6,0,,4.627214,
6,64,,4.627217,
6,92,,4.627222,
6,252,,4.627226,
6,0,,4.627233,
6,0,,4.631297,
6,0,,4.631321,
6,31,,4.667723,
6,0,,4.676335,
6,0,,4.676345,
6,0,,4.676347,
6,608,,4.676854,
6,542,,4.718173,
6,487,,4.71988,
6,70,,4.723976,
6,0,,4.73889,
6,0,,4.813268,
6,110,,4.844695,
6,0,,4.846414,
6,110,,4.847035,
6,0,,4.847046,
6,1430,,4.867797,
6,1430,,4.867818,
6,1430,,4.868024,
6,933,,4.880745,
6,0,,4.881251,
6,0,,5.000722,
6,64,,5.000733,
6,0,,5.003095,
6,45,,5.019301,
6,0,,5.187412,
6,0,,5.374079,
6,0,,5.374085,
6,64,,5.374088,
6,92,,5.374092,
6,0,,5.379611,
6,0,,5.380116,
6,0,,5.380684,
6,75,,5.380831,
6,0,,5.381753,
6,75,,5.382076,
6,0,,5.430283,
6,0,,5.430309,
6,608,,5.430721,
6,31,,5.435871,
6,70,,5.498411,
6,0,,5.56164,
6,0,,5.56165,
6,0,,5.561654,
6,0,,5.561658,
6,0,,5.561661,
6,0,,5.564222,
6,0,,5.564714,
6,0,,5.748051,
6,0,,5.748062,
6,0,,5.748066,
6,0,,5.748069,
6,1430,,5.752095,
6,0,,5.82917,
6,0,,5.935339,
6,0,,5.935349,
6,0,,5.935352,
6,0,,5.935358,
6,31,,5.93536,
6,1430,,5.942278,
6,1430,,5.947207,
6,0,,5.958412,
6,1430,,5.958637,
6,517,,6.122796,
6,517,,6.122803,
6,0,,6.125155,
6,0,,6.172213,
6,31,,6.204694,
6,31,,6.243579,
6,517,,6.309426,
6,0,,6.309434,
6,0,,6.309437,
6,0,,6.35781,
17,,87,6.482123,
17,,33,6.482537,
17,,41,6.484809,
17,,1358,6.485465,
17,,85,6.485628,
17,,496,6.485747,
17,,1358,6.496105,
6,317,,6.496118,
6,0,,6.496132,
17,,1358,6.499328,
6,0,,6.503157,
17,,1358,6.513833,
17,,1358,6.568864,
17,,630,6.56888,
17,,34,6.568883,
17,,86,6.569212,
17,,41,6.56928,
17,,1358,6.578712,
17,,1358,6.578738,
17,,1358,6.578909,
17,,1358,6.579023,
17,,84,6.585146,
17,,33,6.585221,
17,,41,6.585296,
6,0,,6.609967,
6,0,,6.636504,
17,,1358,6.68338,
6,0,,6.683408,
6,0,,6.683414,
17,,1358,6.700282,
17,,336,6.700296,
17,,321,6.783445,
17,,43,6.783642,
17,,41,6.784397,
17,,43,6.784443,
17,,273,6.784697,
17,,33,6.784965,
17,,33,6.788533,
17,,33,6.78897,
17,,36,6.789052,
17,,41,6.790311,
17,,41,6.810488,
17,,34,6.813404,
6,0,,6.87059,
6,317,,6.8706,
6,0,,6.873045,
17,,1358,6.986313,
17,,94,7.020215,
17,,44,7.020365,
17,,33,7.024332,
6,608,,7.025292,
6,0,,7.057502,
17,,1358,7.057515,
17,,1358,7.060244,
6,64,,7.244199,
6,0,,7.244209,
6,0,,7.249686,
6,1430,,7.270924,
6,1430,,7.292355,
6,0,,7.431609,
6,1266,,7.431616,
6,1430,,7.436124,
6,0,,7.46272,
6,110,,7.609031,
6,0,,7.618751,
6,0,,7.618775,
6,0,,7.618781,
6,408,,7.618791,
6,110,,7.622157,
6,0,,7.622186,
6,0,,7.62275,
6,0,,7.623003,
6,1430,,7.641483,
6,0,,7.644246,
17,,1358,7.660539,
6,595,,7.683622,
6,1430,,7.686538,
6,701,,7.699389,
6,245,,7.705724,
6,1181,,7.802631,
6,0,,7.80575,
6,77,,7.943328,
6,0,,7.992677,
6,422,,7.992685,
6,0,,7.994979,
6,349,,8.016587,
6,0,,8.179696,
6,129,,8.189631,
6,0,,8.222483,
17,,1358,8.366017,
17,,1358,8.370708,
6,0,,8.436785,
6,1234,,8.52279,
6,0,,8.553209,
6,0,,8.553216,
6,0,,8.647886,
6,0,,8.740241,
6,1430,,8.742873,
6,395,,8.742883,
6,110,,8.776383,
6,110,,8.79152,
6,110,,8.794241,
6,0,,8.794269,
6,0,,8.927221,
6,1430,,8.97729,
6,1430,,8.977399,
6,932,,8.977403,
6,0,,9.064723,
6,1422,,9.114483,
6,0,,9.114494,
6,0,,9.142461,
6,1430,,9.16385,
6,1430,,9.163874,
6,931,,9.163971,
6,0,,9.301308,
6,557,,9.326811,
6,0,,9.488627,
6,0,,9.488637,
6,0,,9.488641,
6,31,,9.488645,
6,1430,,9.501377,
6,1430,,9.508259,
6,0,,9.520907,
6,1430,,9.521134,
6,1430,,9.524951,
6,946,,9.530081,
17,,1358,9.573174,
6,0,,9.634386,
6,0,,9.675588,
6,0,,9.677887,
6,1430,,9.685541,
6,1430,,9.690058,
