protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.16738,
6,0,,0.686892,
6,0,,0.686905,
6,0,,0.690336,
6,0,,0.690355,
6,0,,1.061427,
6,0,,1.061437,
6,517,,1.06144,
6,517,,1.061444,
6,0,,1.061452,
6,0,,1.061458,
6,0,,1.061463,
6,0,,1.061467,
6,0,,1.061472,
6,0,,1.069998,
6,0,,1.070061,
6,0,,1.070255,
6,0,,1.07033,
6,0,,1.070343,
6,0,,1.102034,
6,0,,1.103721,
6,1430,,1.145578,
6,1430,,1.145601,
6,1430,,1.145804,
6,1430,,1.145938,
6,931,,1.145944,
6,1430,,1.146891,
6,1430,,1.14699,
6,1430,,1.147105,
6,1430,,1.147236,
6,933,,1.147242,
6,0,,1.24863,
6,0,,1.254876,
6,0,,1.435185,
6,0,,1.435194,
6,0,,1.435198,
6,0,,1.435201,
6,0,,1.435204,
6,517,,1.435208,
6,517,,1.435212,
6,0,,1.44375,
6,0,,1.443762,
6,1430,,1.505688,
6,1430,,1.50571,
6,1430,,1.50593,
6,1430,,1.505939,
6,933,,1.506044,
6,1430,,1.509653,
6,1430,,1.509767,
6,1430,,1.509898,
6,1430,,1.510014,
6,932,,1.510023,
6,517,,1.622217,
6,517,,1.622228,
6,0,,1.624816,
6,110,,1.656403,
6,110,,1.662776,
6,0,,1.662791,
6,0,,1.666955,
6,1430,,1.700022,
6,1430,,1.700048,
6,1430,,1.700246,
6,394,,1.700255,
6,1430,,1.730566,
6,1430,,1.730702,
6,1430,,1.730819,
6,1430,,1.730933,
6,932,,1.730942,
6,517,,1.809239,
6,0,,1.809249,
6,0,,1.809269,
6,517,,1.809273,
6,517,,1.809276,
6,0,,1.821506,
6,0,,1.85852,
6,0,,1.858924,
6,0,,1.883032,
6,0,,1.884157,
6,1430,,1.911541,
6,1430,,1.911604,
6,1430,,1.911768,
6,1430,,1.911881,
6,932,,1.911891,
6,933,,1.941127,
6,0,,1.955838,
6,0,,1.955866,
6,517,,1.956016,
6,0,,1.996394,
6,0,,2.033282,
6,1430,,2.033896,
6,0,,2.033905,
6,1430,,2.03401,
6,0,,2.034013,
6,1430,,2.034124,
6,0,,2.034127,
6,1430,,2.034255,
6,0,,2.034257,
6,922,,2.034259,
6,0,,2.034261,
6,64,,2.034658,
6,208,,2.035114,
6,0,,2.106662,
6,529,,2.108062,
6,87,,2.114633,
6,0,,2.114694,
6,34,,2.116691,
6,110,,2.145105,
6,0,,2.147879,
6,110,,2.148367,
6,0,,2.148378,
6,0,,2.153413,
6,0,,2.183575,
6,0,,2.183582,
6,517,,2.183586,
6,517,,2.18359,
6,0,,2.18966,
6,0,,2.189677,
6,933,,2.265584,
6,932,,2.299416,
6,0,,2.31165,
6,517,,2.369989,
6,64,,2.370009,
6,92,,2.370013,
6,519,,2.370018,
6,0,,2.370026,
6,0,,2.370031,
6,0,,2.379573,
6,0,,2.379592,
6,0,,2.379594,
6,0,,2.379752,
6,608,,2.380039,
6,31,,2.381235,
6,24,,2.395068,
6,0,,2.395234,
6,0,,2.40482,
6,0,,2.404823,
6,0,,2.421473,
6,0,,2.425395,
6,1048,,2.489947,
6,1430,,2.489963,
6,1430,,2.490186,
6,394,,2.495407,
6,0,,2.504625,
6,1430,,2.504885,
6,1430,,2.515322,
6,1430,,2.526498,
6,1430,,2.542816,
6,932,,2.545072,
6,1430,,2.553257,
6,0,,2.557226,
6,517,,2.557237,
6,517,,2.557242,
6,0,,2.561798,
6,1430,,2.563376,
6,1430,,2.575798,
6,1430,,2.590174,
6,0,,2.599812,
6,1430,,2.603472,
6,1430,,2.620125,
6,932,,2.671483,
6,0,,2.744167,
6,0,,2.931497,
6,519,,2.931508,
6,0,,2.951013,
6,31,,3.099643,
6,0,,3.099847,
6,0,,3.118286,
6,0,,3.118296,
6,64,,3.118299,
6,517,,3.118302,
6,0,,3.121466,
6,0,,3.121491,
6,608,,3.121685,
6,1430,,3.201773,
6,0,,3.276055,
6,0,,3.305071,
6,517,,3.30508,
6,517,,3.305084,
6,0,,3.307863,
6,0,,3.347293,
6,1430,,3.450751,
6,0,,3.491932,
6,0,,3.542735,
6,0,,3.542741,
6,31,,3.579329,
6,1430,,3.640405,
6,0,,3.678736,
6,1430,,3.690869,
6,1430,,3.837083,
6,110,,3.861278,
6,110,,3.863294,
6,0,,3.863309,
6,0,,3.866233,
6,64,,3.866238,
6,517,,3.866241,
6,0,,3.870312,
6,0,,3.90627,
6,1430,,3.930225,
6,0,,4.053475,
6,64,,4.053484,
6,92,,4.053487,
6,675,,4.053491,
6,0,,4.055819,
6,0,,4.055829,
6,0,,4.055905,
6,608,,4.056243,
6,31,,4.056252,
6,0,,4.066866,
6,31,,4.164769,
6,1430,,4.235577,
6,0,,4.239767,
6,1430,,4.252024,
6,1430,,4.252141,
6,1430,,4.252255,
6,932,,4.262802,
17,,41,4.296167,
17,,33,4.301635,
6,0,,4.341726,
6,0,,4.427083,
6,0,,4.427089,
6,1266,,4.427094,
6,0,,4.435153,
6,0,,4.614349,
6,0,,4.711726,
6,596,,4.729324,
6,1430,,4.732336,
6,819,,4.738386,
6,91,,4.745128,
6,39,,4.745904,
6,0,,4.801066,
6,64,,4.801073,
6,0,,4.804261,
6,608,,4.804631,
6,0,,4.988614,
6,64,,4.988627,
6,0,,5.000676,
6,1430,,5.000925,
6,1430,,5.000934,
6,394,,5.001039,
6,0,,5.174875,
6,31,,5.318157,
6,0,,5.362523,
6,0,,5.362533,
6,64,,5.362536,
6,92,,5.362539,
6,517,,5.362543,
6,0,,5.365593,
6,0,,5.36567,
6,608,,5.366093,
6,31,,5.370899,
6,0,,5.40932,
