protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.621623,
6,0,,0.621633,
6,0,,0.621649,
6,0,,0.621654,
6,0,,0.621658,
6,0,,0.663458,
6,0,,0.666429,
6,0,,0.666438,
6,0,,0.667147,
6,0,,0.667708,
6,0,,0.808387,
6,0,,0.808398,
6,0,,0.808402,
6,0,,0.808406,
6,0,,0.808409,
6,0,,0.808412,
6,0,,0.808416,
6,0,,0.808419,
6,0,,0.849501,
6,0,,0.849999,
6,0,,0.853695,
6,517,,0.995145,
6,517,,0.995156,
6,0,,1.038215,
6,0,,1.03958,
6,1430,,1.096985,
6,1430,,1.097095,
6,1430,,1.097209,
6,394,,1.097213,
6,1430,,1.100037,
6,1430,,1.100071,
6,1430,,1.100276,
6,1430,,1.100391,
6,933,,1.100398,
6,517,,1.182577,
6,517,,1.182583,
6,517,,1.182586,
6,0,,1.18259,
6,0,,1.182593,
6,0,,1.182599,
6,0,,1.226966,
6,0,,1.228146,
6,0,,1.228401,
6,1430,,1.286879,
6,1430,,1.286987,
6,1430,,1.287113,
6,1430,,1.287244,
6,934,,1.287261,
6,1430,,1.287931,
6,1430,,1.288035,
6,1430,,1.288166,
6,1430,,1.288281,
6,934,,1.288363,
6,1430,,1.288478,
6,1430,,1.288609,
6,1430,,1.288723,
6,1430,,1.288854,
6,933,,1.288857,
6,110,,1.338945,
6,110,,1.345284,
6,0,,1.3453,
6,517,,1.37013,
6,517,,1.370142,
6,0,,1.410766,
6,0,,1.410953,
6,110,,1.467832,
6,1430,,1.470789,
6,1430,,1.470899,
6,1430,,1.47103,
6,395,,1.471034,
6,1430,,1.471292,
6,1430,,1.471424,
6,1430,,1.471538,
6,1430,,1.471653,
6,932,,1.471734,
6,0,,1.472808,
6,110,,1.472833,
6,0,,1.47284,
6,394,,1.480336,
6,933,,1.482343,
6,517,,1.556638,
6,517,,1.556647,
6,0,,1.556652,
6,517,,1.556669,
6,0,,1.601068,
6,0,,1.601621,
6,0,,1.60188,
6,1430,,1.661765,
6,1430,,1.661873,
6,1430,,1.662034,
6,1430,,1.662132,
6,932,,1.662141,
6,934,,1.665227,
6,934,,1.667424,
6,933,,1.672207,
6,517,,1.743449,
6,0,,1.743459,
6,0,,1.743461,
6,517,,1.743465,
6,0,,1.784149,
6,0,,1.789212,
6,517,,1.930626,
6,517,,1.930637,
6,0,,1.930642,
6,64,,1.930645,
6,92,,1.930649,
6,266,,1.930652,
6,31,,1.956958,
6,0,,1.971502,
6,0,,1.971993,
6,0,,1.972002,
6,0,,1.972004,
6,608,,1.972709,
6,0,,1.975593,
6,1430,,2.098492,
6,517,,2.117787,
6,0,,2.117795,
6,0,,2.117798,
6,0,,2.162329,
6,1430,,2.162602,
6,1430,,2.162701,
6,1430,,2.16274,
6,933,,2.1756,
6,409,,2.177984,
6,1430,,2.178101,
6,1430,,2.178203,
6,892,,2.178285,
6,1430,,2.235565,
6,1430,,2.240366,
6,1430,,2.252077,
6,1430,,2.255303,
6,1430,,2.255436,
6,395,,2.257547,
6,932,,2.263674,
6,1430,,2.268375,
6,1430,,2.268493,
6,1430,,2.281439,
6,1430,,2.281538,
6,1430,,2.289353,
6,266,,2.304591,
6,0,,2.304612,
6,1418,,2.330188,
6,24,,2.44565,
6,932,,2.450202,
6,517,,2.491468,
6,0,,2.491487,
6,0,,2.49149,
6,0,,2.532119,
6,64,,2.678523,
6,92,,2.678531,
6,252,,2.678535,
6,0,,2.678539,
6,31,,2.706469,
6,0,,2.722853,
6,0,,2.722872,
6,0,,2.722874,
6,1430,,2.723174,
6,1430,,2.723305,
6,1430,,2.723419,
6,608,,2.723426,
6,24,,2.730479,
6,934,,2.736213,
6,491,,2.764363,
6,487,,2.765365,
6,31,,2.767432,
6,39,,2.767564,
6,517,,2.865477,
6,517,,2.865486,
6,0,,2.865491,
6,0,,2.906334,
6,0,,2.910481,
6,24,,3.010523,
6,422,,3.052823,
6,252,,3.052832,
6,0,,3.052836,
6,0,,3.078076,
6,0,,3.078195,
6,39,,3.151042,
6,0,,3.239357,
6,1048,,3.384505,
6,1430,,3.387517,
6,1430,,3.392316,
6,116,,3.403206,
6,116,,3.403374,
6,116,,3.403565,
6,116,,3.403751,
6,172,,3.403948,
6,172,,3.404138,
6,172,,3.404263,
6,1430,,3.409747,
6,1430,,3.415756,
6,0,,3.426997,
6,1430,,3.602248,
6,64,,3.613496,
6,92,,3.613503,
6,408,,3.613508,
6,0,,3.613511,
6,24,,3.617867,
6,0,,3.638863,
6,0,,3.658068,
6,0,,3.658079,
6,608,,3.658444,
6,1430,,3.65905,
6,1430,,3.659163,
6,1430,,3.659295,
6,31,,3.660779,
6,934,,3.672042,
6,0,,3.800382,
6,1266,,3.987713,
6,0,,4.018766,
6,31,,4.022201,
6,517,,4.174559,
6,0,,4.17457,
6,0,,4.174573,
6,0,,4.215177,
6,545,,4.247996,
6,1430,,4.2525,
6,687,,4.255562,
6,170,,4.262955,
6,39,,4.263236,
6,1130,,4.319171,
6,422,,4.361421,
6,0,,4.361432,
6,0,,4.386891,
6,64,,4.548215,
6,92,,4.548222,
6,520,,4.548227,
6,31,,4.576656,
6,0,,4.593337,
6,0,,4.593357,
6,0,,4.593465,
6,608,,4.593716,
6,998,,4.676117,
6,1430,,4.678455,
6,1430,,4.684992,
6,1430,,4.685001,
6,1430,,4.698043,
6,1430,,4.698153,
6,1430,,4.711144,
6,1430,,4.711164,
6,0,,4.735426,
6,0,,4.735435,
6,1184,,4.766523,
6,110,,4.767359,
6,110,,4.769534,
6,0,,4.769548,
6,24,,4.769826,
6,1430,,4.781413,
6,1430,,4.78151,
6,1430,,4.781644,
6,933,,4.794423,
6,0,,4.88451,
6,1430,,5.103743,
6,0,,5.109414,
6,1422,,5.29628,
6,408,,5.296293,
6,517,,5.296298,
6,0,,5.32163,
6,0,,5.321972,
6,0,,5.341393,
6,517,,5.483794,
6,0,,5.483803,
6,0,,5.483807,
6,64,,5.483811,
6,0,,5.483814,
6,0,,5.483867,
6,1430,,5.524747,
6,1430,,5.524808,
6,395,,5.524814,
6,0,,5.524815,
6,0,,5.529589,
6,608,,5.530119,
6,0,,5.670955,
6,0,,5.670966,
6,64,,5.670969,
6,0,,5.711559,
6,608,,5.711991,
6,1430,,5.719817,
6,0,,5.857332,
6,1430,,5.898327,
6,1430,,5.898373,
6,1430,,5.906322,
6,1430,,5.911413,
6,932,,5.924471,
6,0,,6.044829,
6,608,,6.144169,
6,0,,6.231507,
6,1048,,6.280458,
6,110,,6.346376,
6,110,,6.35023,
6,0,,6.350247,
6,64,,6.418866,
6,0,,6.418873,
6,0,,6.459689,
6,110,,6.473474,
6,0,,6.475617,
6,110,,6.476059,
