protocol,tcp_bytes,quic_bytes,real_time,
6,68,,0.049085,
6,31,,0.700231,
6,0,,0.829841,
6,0,,0.829854,
6,0,,0.832064,
6,0,,0.832546,
6,110,,0.857244,
6,110,,0.861759,
6,0,,0.861788,
6,0,,1.016535,
6,0,,1.016547,
6,0,,1.016553,
6,0,,1.018599,
6,0,,1.018858,
6,0,,1.019098,
6,0,,1.203966,
6,0,,1.203977,
6,517,,1.203982,
6,517,,1.203987,
6,0,,1.204001,
6,0,,1.204007,
6,0,,1.204012,
6,0,,1.206019,
6,0,,1.206206,
6,0,,1.206377,
6,0,,1.206865,
6,0,,1.207112,
6,1430,,1.271631,
6,1430,,1.271764,
6,1430,,1.271876,
6,1430,,1.271997,
6,931,,1.272011,
6,1430,,1.273485,
6,1430,,1.273603,
6,1430,,1.273716,
6,1430,,1.273834,
6,932,,1.273838,
6,0,,1.391044,
6,0,,1.391055,
6,0,,1.391059,
6,517,,1.391064,
6,517,,1.391068,
6,0,,1.393135,
6,0,,1.393201,
6,0,,1.393216,
6,1430,,1.46037,
6,1430,,1.460403,
6,1430,,1.460595,
6,395,,1.460605,
6,1430,,1.461428,
6,1430,,1.461543,
6,1430,,1.461674,
6,1430,,1.461789,
6,932,,1.461798,
6,129,,1.481521,
6,517,,1.577295,
6,0,,1.577323,
6,0,,1.577328,
6,0,,1.577332,
6,517,,1.577336,
6,0,,1.579409,
6,0,,1.579467,
6,1430,,1.645294,
6,1430,,1.645315,
6,1430,,1.645507,
6,1430,,1.645622,
6,932,,1.645626,
6,1430,,1.646359,
6,1430,,1.646474,
6,1430,,1.646588,
6,1430,,1.646704,
6,933,,1.646707,
6,517,,1.764536,
6,517,,1.764547,
6,0,,1.764561,
6,0,,1.766935,
6,0,,1.767048,
6,1430,,1.832582,
6,1430,,1.832604,
6,1430,,1.832822,
6,395,,1.832831,
6,1430,,1.832988,
6,1430,,1.833114,
6,1430,,1.833219,
6,1430,,1.833334,
6,932,,1.833347,
6,0,,1.841053,
6,0,,1.845055,
6,0,,1.911992,
6,0,,1.912023,
6,517,,1.912202,
6,0,,1.952133,
6,0,,1.978869,
6,1430,,1.979724,
6,0,,1.979736,
6,1430,,1.979839,
6,0,,1.979847,
6,1430,,1.979959,
6,0,,1.979968,
6,1430,,1.980087,
6,0,,1.980096,
6,923,,1.980099,
6,0,,1.980102,
6,64,,1.980496,
6,208,,1.980949,
6,932,,2.025722,
6,0,,2.047589,
6,0,,2.138937,
6,517,,2.138946,
6,517,,2.13895,
6,0,,2.140951,
6,0,,2.140986,
6,53,,2.204494,
6,932,,2.222754,
6,395,,2.237946,
6,517,,2.325604,
6,517,,2.325612,
6,517,,2.325616,
6,0,,2.327749,
6,0,,2.327937,
6,0,,2.328124,
6,0,,2.373806,
6,933,,2.400013,
6,0,,2.44184,
6,932,,2.445539,
6,517,,2.512357,
6,0,,2.512371,
6,0,,2.512375,
6,64,,2.51238,
6,92,,2.512387,
6,520,,2.512392,
6,0,,2.512397,
6,0,,2.514537,
6,0,,2.514549,
6,0,,2.514586,
6,0,,2.514736,
6,608,,2.514966,
6,31,,2.515575,
6,932,,2.591853,
6,53,,2.598505,
6,395,,2.60237,
6,1048,,2.61901,
6,1430,,2.619119,
6,1430,,2.619251,
6,1430,,2.632184,
6,1430,,2.645289,
6,1430,,2.658422,
6,1430,,2.671513,
6,1430,,2.684617,
6,1430,,2.697728,
6,0,,2.699597,
6,1430,,2.710818,
6,1430,,2.723929,
6,1430,,2.737034,
6,129,,2.748683,
6,1430,,2.75014,
6,0,,2.887138,
6,46,,2.998742,
6,529,,3.062909,
6,0,,3.074026,
6,520,,3.074037,
6,0,,3.076364,
6,87,,3.100009,
6,0,,3.100028,
6,34,,3.105058,
6,0,,3.149801,
6,608,,3.151796,
6,0,,3.260942,
6,64,,3.260953,
6,517,,3.260958,
6,517,,3.260963,
6,0,,3.262827,
6,608,,3.263241,
6,0,,3.263251,
6,0,,3.263453,
6,1430,,3.374819,
6,1430,,3.390136,
6,517,,3.447919,
6,517,,3.447931,
6,0,,3.447938,
6,0,,3.449985,
6,1430,,3.450318,
6,1430,,3.450395,
6,395,,3.450408,
6,0,,3.45041,
6,1430,,3.552063,
6,1430,,3.59763,
6,0,,3.635065,
6,1238,,3.710725,
6,1430,,3.744725,
6,1430,,3.754539,
6,0,,3.822046,
6,0,,3.822057,
6,64,,3.822061,
6,92,,3.822066,
6,266,,3.82207,
6,0,,3.824021,
6,0,,3.824032,
6,0,,3.824046,
6,608,,3.82445,
6,31,,3.82964,
6,0,,3.844499,
6,0,,3.845597,
6,0,,3.845617,
6,289,,3.845689,
6,254,,3.852414,
6,0,,3.852428,
6,1138,,3.853333,
6,0,,3.853342,
6,1238,,3.978373,
6,0,,4.009039,
6,64,,4.009052,
6,0,,4.010954,
6,1430,,4.011275,
6,1430,,4.011392,
6,1430,,4.011508,
6,932,,4.024284,
6,411,,4.051402,
6,1430,,4.053449,
6,1430,,4.066577,
6,892,,4.079624,
6,238,,4.084939,
6,1430,,4.087742,
6,1430,,4.130283,
6,1430,,4.136861,
6,1430,,4.14998,
6,1430,,4.163124,
6,1430,,4.17624,
6,0,,4.196132,
6,676,,4.19614,
6,0,,4.198425,
6,1238,,4.315057,
6,110,,4.362133,
6,0,,4.364618,
6,110,,4.365338,
6,0,,4.365353,
6,129,,4.370252,
6,0,,4.382627,
6,0,,4.569888,
6,266,,4.5699,
6,0,,4.571895,
6,110,,4.611336,
6,110,,4.613699,
6,0,,4.61371,
6,0,,4.756462,
6,0,,4.75648,
6,64,,4.756485,
6,92,,4.756489,
6,252,,4.756493,
6,0,,4.756499,
6,0,,4.758392,
6,0,,4.758405,
6,0,,4.758447,
6,608,,4.758864,
6,0,,4.758954,
6,0,,4.758968,
6,31,,4.764041,
6,541,,4.825619,
6,487,,4.828075,
6,70,,4.832466,
6,0,,4.943848,
6,1430,,4.946113,
6,1430,,4.94624,
6,1430,,4.946355,
6,1250,,4.95284,
6,932,,4.959115,
6,1430,,4.990018,
6,1060,,5.059259,
6,0,,5.131071,
6,64,,5.131082,
6,0,,5.133095,
6,0,,5.317911,
6,517,,5.317924,
6,0,,5.320404,
6,0,,5.505012,
6,0,,5.505021,
6,64,,5.505024,
6,517,,5.505028,
6,0,,5.507063,
6,608,,5.507523,
6,0,,5.507532,
6,70,,5.614614,
6,0,,5.691756,
6,0,,5.691768,
6,0,,5.691772,
6,1430,,5.694175,
