protocol,tcp_bytes,quic_bytes,real_time,
6,110,,0.683259,
6,110,,0.685859,
6,0,,0.685886,
6,0,,1.06083,
6,0,,1.060842,
6,0,,1.060861,
6,0,,1.098324,
6,0,,1.098346,
6,0,,1.102747,
6,0,,1.126646,
6,0,,1.24172,
6,0,,1.241723,
6,0,,1.247016,
6,0,,1.247025,
6,0,,1.247029,
6,0,,1.247032,
6,517,,1.247034,
6,0,,1.284404,
6,0,,1.286644,
6,0,,1.298895,
6,1430,,1.344717,
6,1430,,1.344826,
6,1430,,1.344957,
6,1430,,1.345073,
6,933,,1.345077,
6,110,,1.37549,
6,0,,1.377705,
6,110,,1.378313,
6,0,,1.378331,
6,517,,1.434492,
6,517,,1.4345,
6,0,,1.434508,
6,0,,1.434514,
6,0,,1.434519,
6,0,,1.471837,
6,0,,1.476262,
6,0,,1.476568,
6,0,,1.48592,
6,1430,,1.532208,
6,1430,,1.532226,
6,1430,,1.532432,
6,1430,,1.532554,
6,931,,1.532568,
6,1430,,1.536262,
6,1430,,1.536389,
6,1430,,1.536504,
6,394,,1.536509,
6,517,,1.621783,
6,0,,1.621799,
6,0,,1.621805,
6,0,,1.621812,
6,0,,1.66386,
6,0,,1.663882,
6,0,,1.673342,
6,1430,,1.733557,
6,1430,,1.733574,
6,1430,,1.733753,
6,394,,1.733762,
6,517,,1.808999,
6,0,,1.809007,
6,24,,1.849915,
6,0,,1.850765,
6,0,,1.886317,
6,0,,1.887512,
6,931,,1.910291,
6,394,,1.912057,
6,0,,1.957077,
6,0,,1.957098,
6,517,,1.957258,
6,517,,1.995492,
6,0,,1.995516,
6,0,,1.99552,
6,0,,2.026509,
6,1430,,2.027893,
6,0,,2.027903,
6,1430,,2.028008,
6,0,,2.028017,
6,1430,,2.028126,
6,0,,2.028134,
6,1430,,2.02824,
6,0,,2.028253,
6,923,,2.028255,
6,0,,2.028257,
6,64,,2.028646,
6,208,,2.029096,
6,0,,2.047177,
6,0,,2.098291,
6,529,,2.100017,
6,394,,2.113652,
6,87,,2.126926,
6,0,,2.126947,
6,34,,2.128493,
6,0,,2.169783,
6,517,,2.182238,
6,0,,2.182246,
6,0,,2.18225,
6,0,,2.182254,
6,0,,2.219621,
6,517,,2.369007,
6,517,,2.369027,
6,64,,2.369033,
6,92,,2.369037,
6,0,,2.40629,
6,0,,2.406321,
6,608,,2.407471,
6,31,,2.40748,
6,0,,2.410801,
6,0,,2.419972,
6,0,,2.421778,
6,1430,,2.47124,
6,1430,,2.47135,
6,1430,,2.471465,
6,1430,,2.471596,
6,932,,2.4716,
6,1430,,2.47969,
6,1430,,2.479709,
6,1430,,2.479932,
6,1430,,2.480047,
6,932,,2.480056,
6,0,,2.489861,
6,1430,,2.502382,
6,1430,,2.512308,
6,520,,2.556558,
6,0,,2.556571,
6,0,,2.556574,
6,0,,2.556578,
6,0,,2.556581,
6,0,,2.584451,
6,1430,,2.594263,
6,1430,,2.594273,
6,1430,,2.59449,
6,0,,2.598264,
6,0,,2.598753,
6,931,,2.607204,
6,1048,,2.682571,
6,1430,,2.682703,
6,1430,,2.682815,
6,1430,,2.682933,
6,1430,,2.689778,
6,1430,,2.695664,
6,1430,,2.695793,
6,1430,,2.708707,
6,1300,,2.708728,
6,1430,,2.721141,
6,1430,,2.721151,
6,1430,,2.73414,
6,1430,,2.734267,
6,517,,2.743529,
6,0,,2.743539,
6,0,,2.795108,
6,0,,2.91186,
6,0,,2.912794,
6,0,,2.912807,
6,289,,2.912864,
6,254,,2.919082,
6,0,,2.919109,
6,1138,,2.91944,
6,0,,2.919444,
6,0,,2.931005,
6,520,,3.117204,
6,1418,,3.141316,
6,0,,3.304676,
6,64,,3.304686,
6,0,,3.304689,
6,0,,3.341954,
6,608,,3.342465,
6,1430,,3.346647,
6,1430,,3.346755,
6,394,,3.34676,
6,0,,3.616967,
6,0,,3.61894,
6,0,,3.678565,
6,0,,3.678574,
6,0,,3.678577,
6,0,,3.67858,
6,0,,3.678583,
6,517,,3.678586,
6,517,,3.678589,
6,110,,3.714017,
6,110,,3.718018,
6,0,,3.718091,
6,0,,3.720286,
6,0,,3.720582,
6,1430,,3.779961,
6,1430,,3.780818,
6,1430,,3.841789,
6,64,,3.864967,
6,92,,3.864974,
6,266,,3.864977,
6,31,,3.892466,
6,0,,3.90659,
6,0,,3.906607,
6,0,,3.906635,
6,608,,3.907145,
6,608,,3.974118,
6,932,,3.992156,
6,932,,4.01052,
6,1430,,4.011767,
6,0,,4.053,
6,0,,4.053017,
6,1430,,4.104865,
6,1430,,4.104886,
6,394,,4.104976,
6,408,,4.118783,
6,1430,,4.119883,
6,1430,,4.126424,
6,892,,4.126442,
6,1430,,4.201939,
6,1430,,4.205181,
6,1430,,4.205297,
6,1430,,4.218242,
6,1430,,4.218263,
6,676,,4.239985,
6,517,,4.239993,
6,0,,4.263858,
6,0,,4.281845,
6,517,,4.426144,
6,0,,4.426152,
6,0,,4.426155,
6,64,,4.426158,
6,0,,4.477057,
6,0,,4.47776,
6,608,,4.478223,
6,1430,,4.606381,
6,0,,4.614033,
6,0,,4.614044,
6,0,,4.614047,
6,0,,4.614051,
6,0,,4.614054,
6,0,,4.614063,
6,1430,,4.638037,
6,1430,,4.641279,
6,1430,,4.641396,
6,0,,4.66444,
6,0,,4.80028,
6,1430,,4.83328,
6,1430,,4.834502,
6,0,,4.838937,
6,608,,5.057652,
6,608,,5.126652,
6,0,,5.174885,
6,0,,5.174894,
6,64,,5.174898,
6,0,,5.1749,
6,0,,5.226423,
6,0,,5.361793,
6,110,,5.69001,
6,110,,5.69229,
6,0,,5.692308,
6,0,,5.712144,
6,0,,5.735406,
6,64,,5.735414,
6,92,,5.735417,
6,1047,,5.758289,
6,0,,5.777083,
6,0,,5.777116,
6,608,,5.777521,
6,31,,5.777526,
6,0,,5.843885,
6,1266,,5.922047,
6,0,,5.922058,
6,0,,5.922062,
6,0,,5.922066,
6,422,,5.922071,
6,0,,5.946111,
6,0,,5.951496,
6,0,,5.960595,
6,0,,5.972657,
6,0,,6.110006,
6,0,,6.110026,
6,596,,6.182414,
6,1430,,6.185103,
6,620,,6.208618,
6,276,,6.219923,
6,520,,6.29624,
6,0,,6.296248,
6,0,,6.320024,
6,110,,6.378703,
6,0,,6.382392,
6,110,,6.383259,
6,0,,6.38327,
6,64,,6.483411,
6,64,,6.483421,
6,0,,6.483424,
6,0,,6.520699,
6,0,,6.534981,
6,64,,6.670384,
6,92,,6.670393,
6,252,,6.670397,
6,0,,6.670401,
6,31,,6.69541,
6,0,,6.721201,
6,0,,6.721218,
6,0,,6.721273,
6,608,,6.72172,
6,541,,6.755817,
6,487,,6.755834,
6,31,,6.764622,
6,39,,6.765135,
6,33,,6.803792,
6,517,,6.857547,
6,517,,6.857555,
6,0,,6.85756,
6,31,,6.857564,
6,0,,6.881385,
6,1430,,6.881859,
6,1430,,6.885105,
6,892,,6.885113,
6,0,,6.898944,
6,0,,6.899463,
6,0,,6.936689,
6,0,,7.044826,
6,1048,,7.275719,
6,608,,7.361653,
6,608,,7.366736,
6,0,,7.419008,
6,422,,7.419018,
6,0,,7.419021,
6,0,,7.419024,
6,0,,7.419027,
6,0,,7.41903,
6,0,,7.442945,
6,31,,7.605649,
6,0,,7.605677,
6,0,,7.62935,
6,249,,7.629497,
6,0,,7.792888,
6,0,,7.792896,
6,0,,7.792901,
6,0,,7.83138,
6,1430,,7.841301,
6,1430,,7.842526,
6,0,,7.843205,
17,,1358,7.979596,
6,1047,,7.998265,
17,,1358,8.018642,
17,,1358,8.078335,
