protocol,tcp_bytes,quic_bytes,real_time,
6,110,,0.26713,
6,0,,0.28433,
6,110,,0.285067,
6,0,,0.285082,
6,0,,0.467817,
6,0,,0.493275,
6,110,,0.889075,
6,110,,0.892271,
6,0,,0.892286,
6,0,,1.072522,
6,0,,1.072537,
6,0,,1.07496,
6,0,,1.075206,
6,0,,1.445704,
6,0,,1.445711,
6,517,,1.445715,
6,517,,1.445718,
6,0,,1.445729,
6,0,,1.445734,
6,0,,1.445738,
6,0,,1.447869,
6,0,,1.448535,
6,0,,1.44854,
6,0,,1.448542,
6,0,,1.448688,
6,1430,,1.515494,
6,1430,,1.515609,
6,1430,,1.515737,
6,1430,,1.515858,
6,931,,1.515871,
6,1430,,1.520855,
6,1430,,1.520954,
6,1430,,1.521085,
6,1430,,1.5212,
6,931,,1.521203,
6,0,,1.63267,
6,0,,1.63268,
6,0,,1.632686,
6,0,,1.635087,
6,0,,1.63534,
6,0,,1.635569,
6,0,,1.647676,
6,0,,1.819966,
6,0,,1.819974,
6,0,,1.819977,
6,517,,1.81998,
6,517,,1.819985,
6,0,,1.822216,
6,0,,1.822297,
6,0,,1.887839,
6,0,,1.888819,
6,1430,,1.889696,
6,1430,,1.88981,
6,1430,,1.889941,
6,1430,,1.890058,
6,932,,1.890067,
6,1430,,1.894834,
6,1430,,1.894952,
6,1430,,1.895067,
6,1430,,1.895177,
6,932,,1.895183,
6,0,,1.96196,
6,0,,1.962005,
6,517,,1.962211,
6,517,,2.006661,
6,0,,2.00667,
6,0,,2.009218,
6,0,,2.035891,
6,1430,,2.036167,
6,0,,2.036184,
6,1430,,2.036286,
6,0,,2.03629,
6,1430,,2.036399,
6,0,,2.036401,
6,1430,,2.036513,
6,0,,2.036516,
6,923,,2.036595,
6,0,,2.036598,
6,64,,2.037117,
6,208,,2.037743,
6,1430,,2.076717,
6,1430,,2.076848,
6,1430,,2.076857,
6,395,,2.076963,
6,0,,2.110695,
6,529,,2.112747,
6,87,,2.121921,
6,0,,2.121976,
6,34,,2.122944,
6,0,,2.159958,
6,0,,2.193933,
6,931,,2.292775,
6,0,,2.380993,
6,0,,2.419936,
6,0,,2.488603,
6,0,,2.56813,
6,0,,2.568137,
6,517,,2.568141,
6,517,,2.568144,
6,0,,2.570474,
6,0,,2.570495,
6,932,,2.650899,
6,0,,2.669818,
6,0,,2.68107,
6,932,,2.683586,
6,0,,2.69386,
6,517,,2.75501,
6,64,,2.755019,
6,92,,2.755022,
6,520,,2.755025,
6,0,,2.75503,
6,0,,2.755037,
6,0,,2.755041,
6,0,,2.755046,
6,0,,2.757499,
6,0,,2.757508,
6,0,,2.757641,
6,0,,2.757649,
6,0,,2.757651,
6,0,,2.757653,
6,608,,2.758001,
6,0,,2.75801,
6,31,,2.759251,
6,1048,,2.872468,
6,1430,,2.87251,
6,1430,,2.872692,
6,395,,2.877131,
6,1430,,2.885575,
6,1430,,2.898677,
6,1430,,2.911748,
6,1430,,2.924863,
6,1430,,2.937935,
6,0,,2.942223,
6,1430,,2.950975,
6,1430,,2.96405,
6,1430,,2.977141,
6,1430,,2.990199,
6,1430,,3.003289,
6,0,,3.129138,
6,110,,3.237536,
6,110,,3.241563,
6,0,,3.241577,
6,0,,3.316222,
6,520,,3.316247,
6,0,,3.318646,
6,2,,3.345389,
6,0,,3.503207,
6,0,,3.503229,
6,0,,3.503234,
6,0,,3.503239,
6,64,,3.503243,
6,517,,3.503247,
6,517,,3.503253,
