protocol,tcp_bytes,quic_bytes,real_time,
6,110,,0.500549,
6,0,,0.520617,
6,110,,0.521002,
6,0,,0.521016,
6,110,,1.00822,
6,110,,1.014537,
6,0,,1.014551,
6,24,,1.791474,
6,73,,1.844385,
6,73,,2.060182,
6,0,,2.16718,
6,73,,2.276448,
6,0,,2.52137,
6,0,,2.521381,
6,0,,2.523875,
6,0,,2.524096,
6,73,,2.700171,
6,0,,2.70931,
6,0,,2.709322,
6,0,,2.709326,
6,0,,2.70933,
6,0,,2.709335,
6,0,,2.709338,
6,0,,2.711604,
6,0,,2.711846,
6,0,,2.711858,
6,0,,2.712348,
6,0,,2.712356,
6,0,,2.712358,
6,0,,2.895434,
6,0,,2.895441,
6,517,,2.895445,
6,517,,2.895448,
6,0,,2.897599,
6,0,,2.897773,
6,1430,,2.964561,
6,1430,,2.964577,
6,1430,,2.964786,
6,1430,,2.964921,
6,933,,2.964929,
6,1430,,2.965102,
6,1430,,2.965213,
6,1430,,2.965343,
6,1430,,2.965457,
6,933,,2.965547,
6,0,,3.083284,
6,0,,3.083291,
6,0,,3.083294,
6,0,,3.083299,
6,0,,3.083306,
6,0,,3.08331,
6,517,,3.083314,
6,517,,3.083318,
6,0,,3.085355,
6,0,,3.085441,
6,1430,,3.152047,
6,1430,,3.152069,
6,1430,,3.152276,
6,393,,3.15229,
6,1430,,3.152588,
6,1430,,3.152704,
6,1430,,3.152849,
6,1430,,3.152965,
6,931,,3.152978,
6,110,,3.196618,
6,110,,3.199203,
6,0,,3.199214,
6,517,,3.269951,
6,517,,3.269959,
6,0,,3.272249,
6,0,,3.272393,
6,1430,,3.340381,
6,1430,,3.340439,
6,1430,,3.340607,
6,1430,,3.340721,
6,933,,3.340726,
6,1430,,3.345625,
6,1430,,3.345647,
6,1430,,3.34585,
6,394,,3.345872,
6,517,,3.457215,
6,517,,3.457225,
6,0,,3.457229,
6,0,,3.457255,
6,0,,3.45726,
6,0,,3.459646,
6,0,,3.45981,
6,1430,,3.525565,
6,1430,,3.525672,
6,1430,,3.525802,
6,1430,,3.525918,
6,933,,3.525921,
6,1430,,3.53673,
6,1430,,3.536752,
6,1430,,3.536974,
6,1430,,3.536983,
6,932,,3.537088,
6,517,,3.643354,
6,517,,3.643367,
6,0,,3.645434,
6,0,,3.64581,
6,933,,3.770485,
6,517,,3.831395,
6,0,,3.83142,
6,517,,3.831426,
6,517,,3.831432,
6,0,,3.833471,
6,0,,3.833768,
6,0,,3.833878,
6,931,,3.908355,
