protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0,
6,24,,0.168114,
6,0,,0.16812,
6,0,,0.685842,
6,0,,0.685853,
6,0,,0.688629,
6,0,,0.688865,
6,0,,1.059634,
6,0,,1.059642,
6,517,,1.059646,
6,517,,1.059649,
6,0,,1.05966,
6,0,,1.059665,
6,0,,1.059668,
6,0,,1.061899,
6,0,,1.061961,
6,0,,1.062208,
6,0,,1.062429,
6,0,,1.062441,
6,1430,,1.128572,
6,1430,,1.128593,
6,1430,,1.128796,
6,1430,,1.128927,
6,933,,1.128936,
6,1430,,1.131138,
6,1430,,1.131148,
6,1430,,1.131355,
6,1430,,1.131485,
6,933,,1.131498,
6,0,,1.246747,
6,0,,1.246758,
6,0,,1.246764,
6,0,,1.248974,
6,0,,1.249459,
6,0,,1.249469,
6,0,,1.43375,
6,0,,1.433758,
6,0,,1.433762,
6,517,,1.433765,
6,517,,1.433769,
6,0,,1.436087,
6,0,,1.436158,
6,1430,,1.505192,
6,1430,,1.505214,
6,1430,,1.505419,
6,1430,,1.50555,
6,932,,1.505559,
6,1430,,1.5063,
6,1430,,1.506418,
6,1430,,1.506534,
6,394,,1.506549,
6,517,,1.620774,
6,0,,1.620786,
6,0,,1.623025,
6,0,,1.625285,
6,31,,1.658449,
6,1430,,1.693427,
6,1430,,1.693443,
6,1430,,1.693672,
6,1430,,1.693681,
6,932,,1.693787,
6,0,,1.808032,
6,0,,1.894832,
6,0,,1.896225,
6,933,,1.942155,
6,0,,1.96713,
6,0,,1.967164,
6,517,,1.96734,
6,0,,1.98119,
6,0,,1.995281,
6,0,,2.037875,
6,1430,,2.039168,
6,0,,2.039178,
6,1430,,2.039282,
6,0,,2.039286,
6,1430,,2.039414,
6,0,,2.039418,
6,1430,,2.039529,
6,0,,2.039532,
6,923,,2.039534,
6,0,,2.039536,
6,64,,2.039925,
6,208,,2.040358,
6,0,,2.111311,
6,529,,2.11268,
6,87,,2.118741,
6,0,,2.118774,
6,34,,2.119885,
6,0,,2.159099,
6,0,,2.181642,
6,0,,2.181651,
6,517,,2.181655,
6,517,,2.181659,
6,0,,2.183835,
6,0,,2.184002,
6,53,,2.215607,
6,394,,2.259864,
6,0,,2.26721,
6,932,,2.288599,
6,0,,2.300639,
6,0,,2.306511,
6,110,,2.352737,
6,0,,2.356801,
6,110,,2.357606,
6,0,,2.357617,
6,517,,2.368736,
6,64,,2.368744,
6,92,,2.368747,
6,520,,2.36875,
6,0,,2.368755,
6,0,,2.368759,
6,0,,2.368763,
6,0,,2.368767,
6,0,,2.371135,
6,0,,2.371269,
6,0,,2.371273,
6,0,,2.371427,
6,0,,2.371436,
6,608,,2.371668,
6,0,,2.371677,
6,0,,2.371905,
6,31,,2.37219,
6,110,,2.413002,
6,110,,2.415083,
6,0,,2.415098,
6,0,,2.435101,
6,1048,,2.48457,
6,1430,,2.484591,
6,1430,,2.4848,
6,932,,2.485028,
6,1430,,2.497727,
6,0,,2.506078,
6,1430,,2.510798,
6,1430,,2.523923,
6,1430,,2.537033,
6,1430,,2.550109,
6,0,,2.552678,
6,0,,2.555996,
6,1430,,2.563247,
6,1430,,2.576352,
6,1430,,2.589459,
6,1430,,2.602552,
6,1430,,2.615658,
6,0,,2.74294,
6,172,,2.888945,
6,172,,2.889176,
6,172,,2.889324,
6,0,,2.897157,
6,0,,2.904627,
6,0,,2.904641,
6,239,,2.904704,
6,0,,2.909397,
6,1189,,2.918391,
6,0,,2.918401,
6,0,,2.930114,
6,520,,2.930122,
6,0,,2.9326,
6,0,,3.008502,
6,0,,3.117029,
6,0,,3.117052,
