protocol,tcp_bytes,quic_bytes,real_time,
6,39,,0.454534,
6,39,,0.81753,
6,110,,0.916283,
6,0,,0.918985,
6,110,,0.919634,
6,0,,0.919652,
6,110,,1.589905,
6,110,,1.591797,
6,0,,1.591825,
6,0,,1.723383,
6,0,,1.723409,
6,0,,1.723415,
6,0,,1.768374,
6,0,,1.769859,
6,0,,1.770845,
6,0,,1.9109,
6,0,,1.910912,
6,0,,1.910916,
6,0,,1.91092,
6,0,,1.910924,
6,0,,1.954189,
6,0,,1.954918,
6,0,,1.956156,
6,0,,1.956639,
6,0,,1.958372,
6,0,,2.097886,
6,0,,2.097898,
6,0,,2.097902,
6,517,,2.097906,
6,517,,2.097909,
6,0,,2.14248,
6,0,,2.144306,
6,1430,,2.202593,
6,1430,,2.202707,
6,1430,,2.202822,
6,1430,,2.202953,
6,933,,2.202956,
6,1430,,2.204441,
6,1430,,2.204543,
6,1430,,2.204674,
6,394,,2.204676,
6,517,,2.284991,
6,0,,2.285,
6,0,,2.285004,
6,0,,2.285007,
6,0,,2.285011,
6,0,,2.285015,
6,517,,2.285019,
6,0,,2.328211,
6,0,,2.332129,
6,1430,,2.388606,
6,1430,,2.388627,
6,1430,,2.388841,
6,1430,,2.388946,
6,933,,2.388959,
6,1430,,2.392255,
6,1430,,2.39237,
6,1430,,2.392485,
6,1430,,2.392601,
6,932,,2.392604,
6,517,,2.471761,
6,517,,2.471771,
6,517,,2.471775,
6,0,,2.515543,
6,0,,2.516735,
6,0,,2.517247,
6,1430,,2.575541,
6,1430,,2.575568,
6,1430,,2.575804,
6,395,,2.575812,
6,1430,,2.576852,
6,1430,,2.576968,
6,1430,,2.577098,
6,1430,,2.577213,
6,934,,2.577221,
6,1430,,2.57741,
6,1430,,2.577541,
6,1430,,2.577626,
6,1430,,2.57774,
6,932,,2.577822,
6,517,,2.659095,
6,0,,2.659116,
6,517,,2.65914,
6,0,,2.706286,
6,0,,2.706358,
6,1430,,2.766456,
6,1430,,2.766569,
6,1430,,2.766725,
6,1430,,2.766829,
6,933,,2.766843,
6,0,,2.84612,
6,0,,2.846129,
6,517,,2.846134,
6,517,,2.846137,
6,0,,2.889889,
6,0,,2.891082,
6,394,,2.974536,
6,110,,2.983664,
6,110,,2.987457,
6,0,,2.987482,
6,517,,3.033203,
6,0,,3.033214,
6,517,,3.033218,
6,517,,3.033222,
6,39,,3.06186,
6,0,,3.076362,
6,0,,3.078547,
6,0,,3.080511,
6,933,,3.16398,
6,932,,3.192899,
6,0,,3.219739,
6,64,,3.219748,
6,92,,3.219752,
6,520,,3.219755,
6,31,,3.243626,
6,0,,3.264053,
6,0,,3.264076,
6,0,,3.26417,
6,608,,3.264507,
6,997,,3.35208,
6,1430,,3.352186,
6,1430,,3.352302,
6,932,,3.362079,
6,934,,3.362818,
6,1430,,3.365308,
6,395,,3.365961,
6,1430,,3.378431,
6,1430,,3.391572,
6,1430,,3.404627,
6,0,,3.407165,
6,1225,,3.417801,
6,1430,,3.429087,
6,1430,,3.442229,
6,1430,,3.455354,
6,1430,,3.468498,
6,1430,,3.481612,
6,933,,3.532526,
6,0,,3.594005,
6,0,,3.781113,
6,0,,3.78112,
6,64,,3.781132,
6,92,,3.781142,
6,266,,3.781146,
6,517,,3.781154,
6,31,,3.805539,
6,0,,3.825,
6,0,,3.827274,
6,0,,3.827292,
6,0,,3.827334,
6,608,,3.827687,
6,517,,3.968199,
6,517,,3.968208,
6,0,,3.968213,
6,0,,4.013073,
6,0,,4.013596,
6,360,,4.040537,
6,1430,,4.040746,
6,1430,,4.04086,
6,892,,4.053815,
6,1430,,4.121589,
6,1430,,4.128153,
6,1,,4.129218,
6,1430,,4.14131,
6,1430,,4.154431,
6,520,,4.155169,
6,0,,4.155177,
6,517,,4.155181,
6,1430,,4.167558,
6,0,,4.178292,
6,1430,,4.180699,
6,1430,,4.193824,
6,0,,4.202473,
6,1430,,4.206961,
6,0,,4.341774,
6,1430,,4.344899,
6,1430,,4.514181,
6,1430,,4.514917,
6,1430,,4.518325,
6,0,,4.529145,
6,266,,4.529155,
6,0,,4.552419,
6,1430,,4.684739,
6,0,,4.691564,
6,1430,,4.701253,
6,0,,4.716019,
6,64,,4.716029,
6,92,,4.716033,
6,0,,4.739953,
6,0,,4.7591,
6,0,,4.75912,
6,608,,4.759512,
6,31,,4.759521,
6,1266,,4.9028,
6,0,,4.902819,
6,0,,4.931684,
6,1430,,4.950357,
6,1430,,4.950484,
6,1430,,4.950575,
6,932,,4.963385,
6,0,,5.090175,
6,676,,5.09019,
6,0,,5.113322,
6,596,,5.159878,
6,1430,,5.162827,
6,615,,5.172962,
6,105,,5.178523,
6,39,,5.179399,
6,0,,5.276373,
6,0,,5.463839,
6,0,,5.651205,
6,64,,5.651214,
6,422,,5.651218,
6,0,,5.67462,
6,0,,5.698254,
6,608,,5.698947,
6,0,,5.838337,
6,1430,,5.882341,
6,1430,,5.882363,
6,395,,5.882449,
6,110,,5.920025,
6,0,,5.967845,
6,110,,5.968764,
6,0,,5.968778,
6,0,,6.024425,
6,0,,6.212035,
6,0,,6.212045,
6,64,,6.212049,
6,0,,6.255738,
6,608,,6.256419,
6,517,,6.39876,
6,0,,6.398768,
6,1430,,6.444018,
6,1430,,6.444036,
6,1430,,6.444262,
6,0,,6.446022,
6,934,,6.457026,
6,0,,6.585935,
6,110,,6.592579,
6,110,,6.594505,
6,0,,6.594529,
6,639,,6.685147,
6,608,,6.712821,
6,0,,6.7731,
6,64,,6.77313,
6,0,,6.816815,
6,1430,,6.818508,
6,1422,,6.96012,
6,0,,6.96013,
6,0,,6.960133,
6,64,,6.960136,
6,92,,6.96014,
6,0,,6.984159,
6,1430,,6.988249,
6,0,,7.005201,
6,0,,7.005221,
6,608,,7.005668,
6,31,,7.010771,
6,999,,7.111234,
6,0,,7.147051,
6,676,,7.147063,
6,0,,7.170167,
6,1430,,7.192641,
6,1430,,7.192664,
6,1430,,7.205734,
6,932,,7.21876,
6,608,,7.2696,
6,0,,7.333627,
6,0,,7.52114,
6,252,,7.52116,
6,0,,7.549403,
6,39,,7.566806,
6,24,,7.576248,
6,491,,7.605804,
6,487,,7.608012,
6,70,,7.612407,
6,0,,7.707514,
6,24,,7.718274,
6,0,,7.7183,
6,0,,7.89497,
6,64,,7.894979,
6,0,,7.894988,
6,422,,7.894992,
6,0,,7.894999,
6,0,,7.918291,
6,0,,7.940294,
6,608,,7.940704,
6,0,,7.942075,
6,0,,7.942788,
6,110,,7.988033,
6,110,,7.991465,
6,0,,7.99148,
6,0,,8.082024,
6,1430,,8.129492,
6,1430,,8.12954,
6,1430,,8.142611,
6,933,,8.155596,
6,0,,8.26879,
6,70,,8.397876,
6,24,,8.413068,
6,0,,8.456117,
6,64,,8.456126,
6,0,,8.501413,
6,0,,8.643083,
6,64,,8.643092,
6,0,,8.686818,
6,0,,8.830132,
6,0,,8.830141,
6,64,,8.830144,
6,0,,8.830147,
6,1430,,8.853684,
6,1430,,8.860235,
6,892,,8.873277,
6,0,,8.877307,
6,0,,8.877714,
6,608,,8.878257,
6,608,,8.929991,
6,0,,8.986106,
6,608,,9.016794,
6,0,,9.017167,
6,0,,9.017174,
6,0,,9.064,
6,0,,9.203587,
6,0,,9.203595,
6,0,,9.203598,
6,31,,9.203601,
6,1430,,9.227018,
6,1430,,9.233541,
6,997,,9.246641,
6,1430,,9.255774,
6,0,,9.268666,
6,0,,9.391108,
6,252,,9.391116,
6,1430,,9.414407,
6,0,,9.415117,
6,1430,,9.420978,
6,608,,9.573573,
6,0,,9.57776,
17,,1358,9.577776,
6,1235,,9.609095,
17,,1358,9.622342,
17,,1358,9.681837,
17,,1358,9.681856,
17,,1358,9.682046,
17,,1358,9.682162,
6,318,,9.76481,
6,64,,9.76482,
6,0,,9.78788,
6,0,,9.812036,
6,608,,9.868499,
6,0,,9.904784,
6,1422,,9.951635,
6,0,,9.951659,
6,0,,9.951663,
6,1430,,9.975168,
6,0,,9.975656,
6,1430,,9.981728,
6,1430,,9.994854,
17,,1358,10.139123,
6,0,,10.139137,
6,0,,10.13914,
6,0,,10.139143,
6,318,,10.139147,
6,1225,,10.162584,
6,0,,10.167902,
17,,1358,10.183305,
17,,329,10.183317,
6,0,,10.325328,
17,,1358,10.325335,
6,1430,,10.34867,
6,1430,,10.355206,
6,1430,,10.368349,
17,,1358,10.369362,
6,1430,,10.381503,
6,1430,,10.39461,
6,1430,,10.40775,
6,1430,,10.420874,
6,1430,,10.434015,
6,1430,,10.447157,
6,1430,,10.460262,
6,1430,,10.47342,
6,1430,,10.486543,
6,1430,,10.499681,
6,0,,10.51281,
6,1430,,10.536136,
6,1430,,10.54269,
17,,1358,10.669752,
6,0,,10.700088,
6,1130,,10.70205,
6,1430,,10.723409,
6,1430,,10.729962,
6,0,,10.887093,
6,0,,10.887103,
6,0,,10.887106,
6,1430,,10.910417,
6,1430,,10.916969,
6,0,,10.93407,
6,0,,10.934788,
6,110,,10.969589,
6,0,,10.972114,
6,110,,10.972677,
6,0,,10.972695,
6,73,,11.056847,
6,0,,11.074125,
6,64,,11.074133,
6,1430,,11.097444,
6,1430,,11.103999,
6,0,,11.121187,
6,0,,11.261178,
17,,1358,11.270147,
6,1430,,11.284515,
6,0,,11.448131,
6,1430,,11.47146,
6,110,,11.595232,
6,110,,11.596898,
6,0,,11.596911,
17,,1358,11.635104,
6,0,,11.635139,
6,1430,,11.658646,
17,,1358,11.679159,
6,0,,12.009185,
6,0,,12.009208,
6,0,,12.009212,
6,408,,12.009217,
6,64,,12.009224,
6,31,,12.009229,
6,0,,12.009234,
6,1430,,12.032547,
6,0,,12.032561,
6,0,,12.033244,
6,0,,12.054567,
6,0,,12.196178,
6,1430,,12.219698,
6,1430,,12.226261,
6,0,,12.383047,
6,0,,12.570208,
6,0,,12.570218,
6,64,,12.570222,
6,1430,,12.59374,
6,1430,,12.600297,
6,0,,12.613918,
6,24,,12.718423,
6,0,,12.757028,
6,1430,,12.780535,
17,,1358,12.879872,
6,0,,12.910536,
6,0,,12.943296,
6,0,,12.954021,
6,1430,,12.966821,
6,0,,12.97688,
6,110,,12.99204,
6,110,,12.995154,
6,0,,12.995174,
6,0,,13.131082,
6,31,,13.131092,
6,1430,,13.154635,
6,1430,,13.161171,
6,0,,13.173998,
6,1418,,13.174296,
6,12,,13.187026,
6,1430,,13.18745,
6,1430,,13.200572,
6,1430,,13.213702,
6,1430,,13.226858,
6,1430,,13.239981,
6,1430,,13.253101,
6,1430,,13.266242,
6,1430,,13.279356,
6,39,,13.301076,
6,0,,13.318186,
6,1430,,13.341726,
6,1430,,13.348278,
6,608,,13.474008,
6,0,,13.505194,
17,,1358,13.505203,
6,1430,,13.528735,
6,112,,13.535068,
6,0,,13.691454,
6,0,,13.879146,
6,408,,13.879153,
6,64,,13.879157,
6,0,,13.90317,
6,0,,13.924488,
6,608,,13.944823,
6,0,,14.065995,
6,608,,14.245607,
6,0,,14.253189,
6,64,,14.253196,
6,0,,14.300339,
6,0,,14.439767,
6,0,,14.626798,
6,557,,14.65093,
6,608,,14.732511,
6,0,,14.814097,
6,0,,14.814106,
6,0,,14.861674,
6,1422,,15.001192,
6,0,,15.001204,
6,0,,15.001207,
6,0,,15.025257,
6,0,,15.048215,
6,1130,,15.37403,
6,0,,15.375103,
6,0,,15.37511,
6,31,,15.375113,
6,0,,15.375116,
6,0,,15.398891,
6,112,,15.559482,
6,0,,15.56179,
6,0,,15.748607,
6,0,,15.935874,
6,0,,15.935882,
6,110,,15.973197,
6,0,,15.975498,
6,110,,15.975951,
6,0,,15.975962,
6,0,,16.123139,
6,31,,16.123148,
6,1430,,16.147247,
6,759,,16.153667,
6,0,,16.160418,
6,0,,16.309401,
6,0,,16.49642,
6,0,,16.496429,
6,0,,16.496432,
6,0,,16.496435,
6,39,,16.496438,
6,0,,16.52025,
6,110,,16.597828,
6,110,,16.602213,
6,0,,16.602251,
6,0,,16.684347,
6,0,,16.870833,
6,0,,16.87086,
6,0,,17.058223,
6,0,,17.245321,
6,557,,17.269457,
6,0,,17.431585,
6,0,,17.618968,
6,64,,17.618978,
6,0,,17.666165,
6,0,,17.806199,
6,0,,17.806209,
6,408,,17.806212,
6,64,,17.806217,
6,0,,17.830232,
6,0,,17.851558,
6,0,,17.992808,
6,110,,17.996143,
6,110,,18.002735,
6,0,,18.002745,
6,0,,18.179658,
6,0,,18.366501,
6,0,,18.36651,
6,0,,18.366513,
6,0,,18.553707,
6,349,,18.553718,
6,0,,18.576856,
6,0,,18.740963,
6,0,,18.864749,
6,0,,18.927403,
6,0,,19.098226,
6,0,,19.114558,
6,0,,19.114565,
6,1430,,19.293051,
6,0,,19.302317,
6,31,,19.30233,
6,0,,19.302333,
6,35,,19.302337,
6,0,,19.326284,
6,0,,19.326304,
6,31,,19.488851,
6,0,,19.48886,
6,0,,19.488863,
6,0,,19.488867,
6,0,,19.488873,
6,517,,19.488878,
6,517,,19.488882,
6,0,,19.512072,
6,0,,19.53565,
6,0,,19.536482,
6,1430,,19.595561,
6,1430,,19.59642,
6,0,,19.863124,
6,39,,19.863135,
6,0,,19.887088,
6,0,,20.049562,
6,227,,20.119011,
6,0,,20.236641,
6,0,,20.236647,
6,0,,20.236651,
6,0,,20.423768,
6,0,,20.611267,
6,1430,,20.638107,
6,1430,,20.656058,
6,0,,20.798122,
6,0,,20.79813,
6,39,,20.798133,
6,0,,20.822105,
6,110,,20.977031,
6,0,,20.984702,
6,0,,20.984709,
6,0,,20.984714,
6,0,,20.984717,
