protocol,tcp_bytes,quic_bytes,real_time,
6,110,,0.725176,
6,0,,0.72526,
6,0,,0.725277,
6,0,,0.727575,
6,110,,0.727956,
6,0,,0.727972,
6,0,,0.728175,
6,0,,0.728195,
6,129,,0.847958,
6,0,,1.098126,
6,0,,1.098134,
6,517,,1.098138,
6,517,,1.098142,
6,0,,1.098151,
6,0,,1.098156,
6,0,,1.098161,
6,0,,1.098166,
6,0,,1.100669,
6,0,,1.100785,
6,0,,1.100799,
6,0,,1.100862,
6,0,,1.10102,
6,0,,1.101033,
6,1430,,1.167096,
6,1430,,1.167115,
6,1430,,1.16731,
6,1430,,1.16744,
6,932,,1.167454,
6,1430,,1.168244,
6,1430,,1.168358,
6,1430,,1.168466,
6,1430,,1.168597,
6,931,,1.168601,
6,0,,1.285499,
6,0,,1.285513,
6,0,,1.288054,
6,0,,1.288287,
6,0,,1.472549,
6,0,,1.47257,
6,0,,1.472576,
6,0,,1.472581,
6,517,,1.472587,
6,517,,1.472592,
6,0,,1.474932,
6,0,,1.475072,
6,1430,,1.540623,
6,1430,,1.540644,
6,1430,,1.540865,
6,394,,1.540874,
6,1430,,1.541193,
6,1430,,1.541323,
6,1430,,1.541332,
6,1430,,1.541552,
6,931,,1.541561,
17,,41,1.559604,
17,,33,1.608024,
6,517,,1.659986,
6,517,,1.659998,
6,0,,1.660016,
6,0,,1.662285,
6,0,,1.662498,
6,1430,,1.73238,
6,1430,,1.732399,
6,1430,,1.73261,
6,1430,,1.73274,
6,931,,1.732748,
6,1430,,1.734411,
6,1430,,1.734526,
6,1430,,1.734649,
6,393,,1.734657,
6,0,,1.846961,
6,517,,1.846971,
6,0,,1.849189,
6,0,,1.943608,
6,0,,1.944813,
6,931,,1.945662,
6,0,,2.01431,
6,0,,2.014339,
6,517,,2.014493,
6,0,,2.034082,
6,0,,2.083819,
6,1430,,2.0852,
6,0,,2.08521,
6,1430,,2.085313,
6,0,,2.085317,
6,1430,,2.085454,
6,0,,2.085459,
6,1430,,2.08556,
6,0,,2.085565,
6,924,,2.085567,
6,0,,2.085568,
6,64,,2.087221,
6,208,,2.087637,
6,0,,2.157349,
6,529,,2.15827,
6,87,,2.163185,
6,0,,2.163246,
6,34,,2.164501,
6,0,,2.202802,
6,0,,2.221001,
6,0,,2.221009,
6,517,,2.221013,
6,517,,2.221018,
6,0,,2.223269,
6,0,,2.223278,
6,394,,2.316787,
6,931,,2.318818,
6,0,,2.327398,
6,0,,2.347083,
6,517,,2.408002,
6,64,,2.408012,
6,92,,2.408016,
6,520,,2.408019,
6,0,,2.408025,
6,0,,2.408029,
6,0,,2.408034,
6,0,,2.410308,
6,0,,2.410317,
6,0,,2.410319,
6,0,,2.410486,
6,0,,2.410564,
6,608,,2.410734,
6,0,,2.410743,
6,31,,2.411362,
6,931,,2.484804,
6,393,,2.508529,
6,1048,,2.536072,
6,1430,,2.536198,
6,1430,,2.536302,
6,1430,,2.549196,
6,1430,,2.562238,
6,1430,,2.575304,
6,1430,,2.588318,
6,517,,2.594476,
6,0,,2.594484,
6,0,,2.59669,
6,1430,,2.601393,
6,0,,2.602822,
6,1430,,2.614417,
6,131,,2.614439,
6,1430,,2.627479,
6,1430,,2.640504,
6,1430,,2.653563,
6,1430,,2.666579,
6,0,,2.682316,
6,0,,2.781991,
6,0,,2.968944,
6,520,,2.968953,
6,0,,2.971214,
6,0,,3.155539,
6,0,,3.155563,
6,0,,3.155567,
6,64,,3.155573,
6,517,,3.155578,
6,517,,3.155583,
6,0,,3.157966,
6,0,,3.157978,
6,608,,3.158302,
6,0,,3.158305,
6,1430,,3.224091,
6,1430,,3.225834,
6,0,,3.343072,
6,517,,3.343081,
6,0,,3.345577,
6,1430,,3.470885,
6,0,,3.529941,
6,517,,3.529952,
6,0,,3.532157,
6,1430,,3.63676,
6,1430,,3.659943,
6,131,,3.696212,
6,0,,3.716961,
6,0,,3.716969,
6,64,,3.716973,
6,92,,3.716976,
6,266,,3.716981,
6,0,,3.719239,
6,0,,3.719247,
6,0,,3.719248,
6,110,,3.719642,
6,608,,3.719745,
6,31,,3.720253,
6,110,,3.721647,
6,0,,3.721657,
6,0,,3.904048,
6,64,,3.904057,
6,1430,,3.906462,
6,1430,,3.906516,
6,1430,,3.906588,
6,0,,3.906593,
6,931,,3.919465,
6,409,,3.939833,
6,1430,,3.94001,
6,1430,,3.940125,
6,1430,,3.945938,
6,892,,3.953018,
6,1430,,4.016474,
6,1430,,4.022586,
6,1430,,4.035722,
6,1430,,4.048869,
6,1430,,4.061924,
6,1430,,4.075018,
6,1430,,4.088121,
6,0,,4.091015,
6,676,,4.091022,
6,0,,4.09323,
6,1430,,4.10123,
6,1430,,4.247721,
6,1430,,4.266885,
6,0,,4.277531,
6,110,,4.326178,
6,110,,4.330643,
6,0,,4.33067,
6,0,,4.464293,
6,0,,4.651586,
6,0,,4.651601,
6,64,,4.651604,
6,92,,4.651608,
6,0,,4.65379,
6,0,,4.6538,
6,608,,4.654261,
6,0,,4.654348,
6,31,,4.659355,
6,1266,,4.839134,
6,0,,4.839145,
6,0,,4.839154,
6,1430,,4.84214,
6,1430,,4.84215,
6,1430,,4.842359,
6,0,,4.842364,
6,0,,4.847011,
6,931,,4.855103,
6,0,,5.026071,
6,64,,5.026079,
6,0,,5.028524,
6,595,,5.135155,
6,1430,,5.138215,
6,824,,5.151013,
6,77,,5.158434,
6,0,,5.213214,
6,0,,5.399962,
6,0,,5.399971,
6,64,,5.399974,
6,92,,5.399977,
6,0,,5.402533,
6,0,,5.402555,
6,608,,5.403636,
6,31,,5.408135,
6,131,,5.488101,
6,0,,5.587026,
6,0,,5.587039,
6,1430,,5.589537,
6,1430,,5.589558,
6,393,,5.589649,
6,0,,5.589749,
6,110,,5.728355,
6,0,,5.730351,
6,110,,5.730891,
6,0,,5.730898,
6,0,,5.77341,
6,0,,5.773436,
6,0,,5.777509,
6,0,,5.961133,
6,77,,5.966502,
6,0,,6.024985,
6,639,,6.1218,
6,0,,6.148096,
6,64,,6.148108,
6,252,,6.148112,
6,517,,6.148115,
6,0,,6.150538,
6,0,,6.150563,
6,608,,6.151051,
6,0,,6.15625,
6,31,,6.196009,
6,541,,6.218029,
6,487,,6.220404,
6,70,,6.224828,
6,0,,6.281577,
6,517,,6.335062,
6,422,,6.33507,
6,0,,6.335074,
6,0,,6.335077,
6,676,,6.335081,
6,0,,6.337351,
6,1430,,6.337571,
6,0,,6.337584,
6,0,,6.337586,
6,949,,6.447406,
6,1238,,6.472229,
6,0,,6.52202,
6,0,,6.522041,
6,0,,6.522045,
