protocol,tcp_bytes,quic_bytes,real_time,
17,,86,0.760084,
17,,41,0.766773,
6,0,,0.960169,
6,0,,0.960181,
6,0,,0.970347,
6,0,,0.970546,
6,12,,1.038949,
6,0,,1.146351,
6,0,,1.146362,
6,0,,1.146367,
6,0,,1.146371,
6,0,,1.148804,
6,0,,1.148969,
6,0,,1.148977,
6,0,,1.148985,
6,0,,1.333399,
6,0,,1.333408,
6,0,,1.333411,
6,0,,1.333414,
6,0,,1.333417,
6,0,,1.333422,
6,517,,1.333426,
6,517,,1.33343,
6,0,,1.339138,
6,0,,1.339715,
6,53,,1.367239,
6,1430,,1.402956,
6,1430,,1.402975,
6,1430,,1.403189,
6,1430,,1.403304,
6,931,,1.403317,
6,1430,,1.408709,
6,1430,,1.408718,
6,1430,,1.408953,
6,1430,,1.408961,
6,931,,1.409068,
6,517,,1.520676,
6,0,,1.520689,
6,517,,1.520692,
6,0,,1.525414,
6,0,,1.525748,
6,0,,1.525987,
6,1430,,1.590145,
6,1430,,1.590162,
6,1430,,1.590361,
6,1430,,1.590476,
6,932,,1.590479,
6,1430,,1.590672,
6,1430,,1.590787,
6,1430,,1.590918,
6,395,,1.590921,
6,517,,1.708112,
6,517,,1.708121,
6,0,,1.70813,
6,517,,1.708133,
6,0,,1.710594,
6,0,,1.710604,
6,0,,1.710724,
6,0,,1.710825,
6,1430,,1.77619,
6,1430,,1.776209,
6,1430,,1.776417,
6,1430,,1.776547,
6,931,,1.776555,
6,1430,,1.779005,
6,1430,,1.779015,
6,1430,,1.779235,
6,393,,1.779243,
6,110,,1.821829,
6,110,,1.825577,
6,0,,1.825602,
6,517,,1.894829,
6,517,,1.894854,
6,0,,1.897323,
6,0,,1.89751,
6,932,,1.970932,
6,395,,1.972853,
6,0,,2.000456,
6,0,,2.001333,
6,0,,2.081694,
6,0,,2.081723,
6,517,,2.081857,
6,517,,2.081863,
6,517,,2.081866,
6,0,,2.081872,
6,0,,2.081883,
