protocol,tcp_bytes,quic_bytes,real_time
17,,1350,0.112986
17,,1358,0.113013
17,,1358,0.113026
17,,1358,0.113038
17,,1358,0.113048
17,,1358,0.11306
17,,1358,0.113071
17,,1358,0.113081
17,,1358,0.113099
17,,1358,0.113109
17,,1358,0.113119
17,,1358,0.11313
17,,1358,0.113141
17,,1358,0.113152
17,,1358,0.113162
17,,1358,0.113173
17,,1358,0.113184
17,,1358,0.113195
17,,1358,0.113207
17,,1358,0.113219
17,,1358,0.11323
17,,1358,0.113241
17,,1358,0.113252
17,,1358,0.113262
17,,1358,0.113273
17,,1358,0.113283
17,,1358,0.113294
17,,1358,0.113304
17,,1358,0.11332
17,,1358,0.11333
17,,1358,0.113341
17,,1358,0.113352
17,,1358,0.114915
17,,1358,0.11494
17,,1358,0.114955
17,,1358,0.114966
17,,1358,0.114977
17,,1358,0.114988
17,,1358,0.114998
17,,1358,0.115009
17,,1358,0.115024
17,,1358,0.115036
17,,1358,0.115046
17,,1358,0.115057
17,,1358,0.115068
17,,1358,0.115078
17,,1358,0.115089
17,,35,0.116264
17,,1358,0.116614
17,,1358,0.116631
17,,35,0.117459
17,,1358,0.117616
17,,1358,0.117634
17,,1358,0.117646
17,,1358,0.117657
17,,1358,0.117667
17,,1358,0.117678
17,,1358,0.117688
17,,1358,0.117699
17,,1358,0.11771
17,,1358,0.117721
17,,1358,0.117732
17,,1358,0.117746
17,,1358,0.117757
17,,1358,0.117768
17,,1358,0.11778
17,,1358,0.11779
17,,1358,0.117801
17,,1358,0.117812
17,,1358,0.117822
17,,1358,0.117833
17,,1358,0.117844
17,,1358,0.117859
17,,1358,0.117869
17,,35,0.118595
17,,1358,0.119432
17,,1358,0.11945
17,,1358,0.119464
17,,1358,0.119475
17,,1358,0.119485
17,,1358,0.119496
17,,1358,0.119506
17,,1358,0.119516
17,,1358,0.119526
17,,1358,0.119536
17,,1358,0.119548
17,,1358,0.119559
17,,1358,0.119571
17,,1358,0.119581
17,,1358,0.119591
17,,35,0.119784
17,,35,0.120862
17,,1358,0.121135
