protocol,tcp_bytes,quic_bytes,real_time,
17,,317,0.911411,
17,,39,0.954267,
17,,41,0.962485,
6,107,,1.015336,
6,0,,1.184685,
6,0,,1.184706,
6,0,,1.187777,
6,0,,1.187997,
17,,473,1.207136,
17,,47,1.20732,
17,,43,1.213473,
17,,69,1.214208,
6,1491,,1.218817,
6,0,,1.22122,
6,0,,1.221235,
6,517,,1.221251,
6,517,,1.221259,
6,792,,1.221384,
17,,41,1.221753,
6,0,,1.223951,
6,0,,1.224326,
17,,33,1.251402,
6,284,,1.290858,
6,1430,,1.293707,
6,1430,,1.293818,
6,1430,,1.293933,
6,1430,,1.294065,
6,931,,1.294069,
6,1430,,1.296281,
6,1430,,1.29639,
6,1430,,1.296522,
6,1430,,1.296638,
6,932,,1.296644,
6,0,,1.328906,
6,0,,1.347034,
6,0,,1.365143,
6,932,,1.378597,
6,0,,1.382829,
6,0,,1.401009,
6,0,,1.419101,
6,0,,1.436958,
6,0,,1.455226,
6,0,,1.473338,
6,0,,1.490934,
6,0,,1.490954,
6,0,,1.490967,
6,0,,1.490975,
6,0,,1.491518,
6,0,,1.493737,
6,0,,1.494223,
6,0,,1.494722,
6,0,,1.527302,
6,0,,1.527316,
6,0,,1.527321,
6,517,,1.527326,
6,517,,1.527331,
6,0,,1.52979,
6,0,,1.530237,
6,517,,1.545371,
6,0,,1.54805,
6,110,,1.564739,
6,110,,1.566865,
6,0,,1.566893,
6,26,,1.574686,
6,1430,,1.59875,
6,1430,,1.598858,
6,1430,,1.598989,
6,1430,,1.599103,
6,932,,1.599185,
6,1430,,1.601017,
6,1430,,1.601119,
6,1430,,1.601233,
6,395,,1.601237,
6,1430,,1.620376,
6,1430,,1.620485,
6,1430,,1.6206,
6,1430,,1.620731,
6,932,,1.620736,
6,0,,1.635111,
6,64,,1.635131,
6,64,,1.635139,
6,0,,1.637675,
6,608,,1.638119,
6,0,,1.638125,
6,608,,1.638854,
6,129,,1.644969,
6,0,,1.653041,
6,0,,1.671111,
6,395,,1.680323,
6,0,,1.689239,
6,932,,1.699329,
6,0,,1.707121,
6,64,,1.707136,
6,92,,1.707141,
6,0,,1.709947,
6,0,,1.709961,
6,608,,1.71041,
6,31,,1.710416,
6,1266,,1.725546,
6,0,,1.725556,
6,0,,1.742669,
6,0,,1.760758,
6,0,,1.760765,
6,64,,1.760768,
6,92,,1.760771,
6,266,,1.760775,
6,0,,1.763223,
6,0,,1.763231,
6,0,,1.763233,
6,608,,1.763631,
6,31,,1.763858,
6,0,,1.771196,
6,1266,,1.778889,
6,0,,1.7789,
6,0,,1.783264,
6,0,,1.797392,
6,0,,1.815495,
6,266,,1.815503,
6,0,,1.818049,
6,0,,1.819102,
6,0,,1.833252,
6,0,,1.851372,
6,0,,1.851381,
6,64,,1.851385,
6,92,,1.851389,
6,252,,1.851393,
6,0,,1.854022,
6,0,,1.854032,
6,0,,1.854179,
6,608,,1.854643,
6,31,,1.854831,
6,0,,1.869007,
6,0,,1.869031,
6,31,,1.872188,
6,0,,1.887273,
6,0,,1.887722,
6,31,,1.887737,
6,0,,1.90164,
6,0,,1.902812,
6,0,,1.90483,
6,0,,1.904839,
6,0,,1.904846,
6,31,,1.904852,
6,31,,1.904858,
6,0,,1.907301,
6,0,,1.91283,
6,0,,1.923077,
6,550,,1.92439,
6,503,,1.9244,
6,31,,1.926713,
6,39,,1.926722,
6,0,,1.927811,
6,0,,1.959088,
6,0,,1.959096,
6,39,,1.959099,
6,35,,1.959102,
6,0,,1.961906,
6,0,,1.977407,
6,0,,1.977427,
6,517,,1.977836,
17,,1358,1.994836,
6,0,,1.994853,
6,0,,1.996392,
17,,1358,1.998261,
17,,1358,1.998378,
17,,1358,1.998492,
17,,1284,1.99859,
6,0,,2.030891,
6,517,,2.0309,
6,0,,2.031966,
6,1460,,2.03369,
6,1460,,2.033804,
6,1460,,2.033934,
6,589,,2.033943,
6,110,,2.044539,
6,110,,2.046643,
6,0,,2.046657,
17,,1358,2.04936,
17,,49,2.049414,
6,0,,2.052333,
6,1430,,2.053268,
6,0,,2.053279,
6,1430,,2.053284,
6,0,,2.053288,
6,1430,,2.053494,
6,0,,2.053501,
6,1430,,2.053605,
6,0,,2.05361,
6,924,,2.053613,
6,0,,2.053616,
6,64,,2.054016,
6,208,,2.054389,
17,,49,2.067521,
6,596,,2.072588,
6,1430,,2.075662,
