protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.219916,
6,0,,0.42797,
6,0,,0.428024,
6,129,,0.691792,
6,110,,2.147419,
6,0,,2.149783,
6,110,,2.153449,
6,0,,2.153461,
6,0,,2.224544,
6,0,,2.225956,
6,0,,2.300752,
6,0,,2.300769,
6,517,,2.300902,
6,0,,2.375141,
6,1430,,2.376471,
6,0,,2.376484,
6,1430,,2.376488,
6,0,,2.376492,
6,1430,,2.376717,
6,0,,2.376726,
6,1430,,2.376729,
6,0,,2.376731,
6,923,,2.376831,
6,0,,2.376841,
6,64,,2.377233,
6,208,,2.377716,
6,0,,2.451955,
6,529,,2.453278,
6,87,,2.458362,
6,0,,2.458388,
6,34,,2.459609,
6,0,,2.496042,
6,110,,2.646558,
6,110,,2.650767,
6,0,,2.650806,
6,0,,2.808015,
6,0,,2.897198,
6,129,,2.947675,
6,110,,3.084159,
6,110,,3.086396,
6,0,,3.086412,
6,0,,3.237358,
6,0,,3.241858,
6,0,,3.241874,
6,289,,3.241923,
6,254,,3.280681,
6,0,,3.280706,
6,1138,,3.280962,
6,0,,3.280972,
6,0,,3.670688,
6,0,,3.68941,
6,0,,3.689492,
6,0,,3.709723,
6,0,,3.724626,
6,517,,3.724646,
6,0,,3.731116,
6,0,,3.734281,
6,0,,3.743395,
6,0,,3.744191,
6,517,,3.744205,
6,517,,3.744213,
6,0,,3.763825,
6,0,,3.778888,
6,0,,3.778912,
6,0,,3.781478,
6,0,,3.785497,
6,0,,3.788637,
6,0,,3.814324,
6,517,,3.814343,
6,0,,3.817141,
6,1430,,3.824362,
6,1430,,3.824472,
6,1430,,3.824603,
6,393,,3.824607,
6,0,,3.830893,
6,1430,,3.846613,
6,1430,,3.846739,
6,1430,,3.846852,
6,1430,,3.846967,
6,933,,3.847049,
6,1430,,3.848364,
6,1430,,3.848476,
6,1430,,3.84859,
6,1430,,3.848723,
6,933,,3.848733,
6,0,,3.850929,
6,0,,3.850944,
6,0,,3.869051,
6,0,,3.88654,
6,0,,3.886554,
6,517,,3.886559,
6,1430,,3.889162,
6,1430,,3.889288,
6,1430,,3.889403,
6,1430,,3.889517,
6,933,,3.8896,
6,0,,3.906513,
6,0,,3.922909,
6,0,,3.938239,
6,0,,3.940427,
6,129,,3.955699,
6,0,,3.958579,
6,0,,3.958595,
6,933,,3.962742,
6,933,,3.968278,
6,0,,3.976553,
6,0,,3.994707,
6,1430,,3.998312,
6,1430,,3.998423,
6,1430,,3.998554,
6,1430,,3.998669,
6,931,,3.998677,
6,0,,4.012898,
6,0,,4.030981,
6,0,,4.049102,
6,0,,4.067191,
6,0,,4.084324,
6,0,,4.103024,
6,0,,4.121301,
6,0,,4.138934,
6,0,,4.138957,
6,64,,4.156532,
6,92,,4.156551,
6,252,,4.15656,
6,64,,4.156577,
6,64,,4.156584,
6,64,,4.156592,
6,92,,4.156598,
6,266,,4.156606,
6,0,,4.156613,
6,0,,4.15891,
6,0,,4.158933,
6,0,,4.15903,
6,608,,4.159377,
6,31,,4.159517,
6,0,,4.174714,
6,129,,4.178232,
6,31,,4.181866,
6,0,,4.194093,
6,0,,4.195297,
6,0,,4.195318,
6,0,,4.195323,
6,608,,4.19574,
6,0,,4.197884,
6,608,,4.198345,
6,0,,4.200918,
6,608,,4.201391,
6,252,,4.210841,
6,0,,4.21086,
6,0,,4.21325,
6,931,,4.21941,
6,0,,4.228639,
6,0,,4.228652,
6,541,,4.232289,
6,487,,4.232304,
6,31,,4.233304,
6,39,,4.233335,
6,64,,4.246658,
6,92,,4.246672,
6,1266,,4.264788,
6,0,,4.264798,
6,0,,4.264801,
6,0,,4.264805,
6,31,,4.264808,
6,0,,4.264821,
6,0,,4.264826,
6,0,,4.264831,
6,31,,4.264835,
6,0,,4.267442,
6,0,,4.282698,
6,0,,4.294083,
6,0,,4.294507,
6,0,,4.298303,
6,0,,4.298307,
6,608,,4.298801,
6,31,,4.298811,
6,0,,4.300808,
6,39,,4.300832,
6,35,,4.300837,
6,0,,4.303216,
6,0,,4.303229,
6,129,,4.307521,
6,0,,4.319228,
6,0,,4.319238,
6,31,,4.319241,
6,129,,4.328164,
17,,1358,4.336314,
6,0,,4.336325,
6,0,,4.338145,
17,,1358,4.340557,
17,,1358,4.340677,
17,,1358,4.340769,
17,,1278,4.340884,
6,0,,4.343472,
6,0,,4.354321,
6,517,,4.35433,
6,0,,4.355579,
6,1460,,4.356955,
6,1460,,4.356966,
6,1460,,4.357199,
6,589,,4.357208,
6,129,,4.36356,
17,,1358,4.372653,
17,,49,4.372665,
17,,49,4.390695,
6,589,,4.395491,
17,,1278,4.399307,
6,407,,4.422969,
6,1430,,4.423141,
6,1430,,4.423246,
6,892,,4.42326,
17,,49,4.426454,
17,,91,4.426461,
17,,77,4.426464,
17,,393,4.426468,
6,0,,4.426491,
17,,36,4.427652,
17,,1358,4.428238,
17,,84,4.428247,
17,,384,4.443919,
17,,1354,4.444069,
6,0,,4.444571,
17,,1358,4.446361,
17,,1358,4.446375,
17,,1358,4.449001,
17,,1358,4.449011,
17,,1358,4.449013,
17,,1358,4.451637,
17,,1358,4.451646,
17,,1358,4.451849,
17,,1358,4.453783,
17,,1358,4.453897,
17,,1358,4.45593,
17,,1358,4.455939,
17,,1358,4.458158,
17,,1358,4.458273,
17,,1358,4.458374,
17,,1358,4.461467,
17,,1358,4.461562,
17,,1358,4.461682,
6,0,,4.462603,
17,,1358,4.464649,
17,,1358,4.464777,
17,,1358,4.464786,
17,,1358,4.466865,
17,,1358,4.466925,
17,,1358,4.467098,
17,,1358,4.469546,
17,,1358,4.469647,
17,,1358,4.47173,
17,,1358,4.471856,
17,,1358,4.471967,
17,,1358,4.475019,
17,,1358,4.47503,
17,,1358,4.475242,
17,,1358,4.478147,
17,,1358,4.478156,
17,,1358,4.478355,
17,,1358,4.480314,
17,,1358,4.480436,
6,0,,4.480751,
6,0,,4.480759,
6,64,,4.480762,
6,0,,4.486385,
6,1430,,4.497544,
6,1430,,4.49845,
6,1430,,4.498564,
17,,160,4.498649,
17,,131,4.498659,
17,,36,4.500796,
6,1430,,4.502241,
6,1430,,4.502252,
6,1430,,4.506029,
6,1430,,4.506127,
6,1430,,4.509806,
6,1430,,4.509933,
6,1430,,4.513601,
6,1430,,4.513713,
6,0,,4.516918,
6,595,,4.517073,
6,1430,,4.517252,
6,927,,4.517258,
6,899,,4.520939,
6,39,,4.523054,
6,0,,4.552677,
17,,41,4.552687,
17,,41,4.570803,
17,,41,4.570815,
17,,45,4.570821,
17,,1358,4.573293,
17,,1358,4.573407,
17,,41,4.606832,
17,,1358,4.609337,
17,,1358,4.60935,
17,,1358,4.612514,
17,,1358,4.612526,
17,,41,4.643141,
17,,41,4.643149,
17,,1358,4.64561,
17,,1358,4.645724,
17,,1358,4.647689,
17,,1358,4.647791,
6,1430,,4.657866,
6,1430,,4.658887,
6,1430,,4.658999,
6,1430,,4.662623,
6,1430,,4.662734,
6,1430,,4.665495,
6,1061,,4.665508,
17,,41,4.67886,
17,,1358,4.681283,
17,,1358,4.681342,
17,,1358,4.684523,
17,,1358,4.684552,
17,,41,4.696897,
17,,1358,4.699317,
17,,1358,4.699327,
17,,1358,4.70241,
17,,1358,4.702514,
6,64,,4.71517,
6,0,,4.716417,
17,,41,4.732784,
17,,1358,4.735346,
17,,1358,4.735446,
17,,1358,4.73847,
17,,1358,4.738569,
17,,41,4.768965,
17,,1358,4.771346,
17,,1358,4.771459,
17,,1358,4.773684,
17,,1358,4.773785,
6,1061,,4.804819,
17,,41,4.80527,
17,,1358,4.807657,
17,,1358,4.807766,
17,,1358,4.810372,
17,,1358,4.810486,
6,39,,4.824222,
17,,41,4.840556,
17,,1358,4.842983,
17,,1358,4.843092,
17,,1358,4.846439,
17,,1358,4.846549,
6,0,,4.876553,
6,92,,4.876572,
6,31,,4.87658,
6,520,,4.876588,
17,,41,4.876596,
17,,1358,4.879116,
17,,1358,4.87923,
17,,1358,4.88164,
17,,1358,4.88174,
17,,41,4.895051,
17,,1358,4.897434,
17,,1358,4.897445,
17,,1358,4.90076,
17,,1358,4.900769,
6,0,,4.905377,
6,0,,4.917861,
6,31,,4.917883,
6,0,,4.921105,
17,,41,4.930589,
17,,1358,4.933007,
17,,1358,4.933022,
17,,1358,4.936362,
17,,1358,4.936373,
6,51,,4.937357,
17,,46,4.94912,
6,64,,4.949132,
6,0,,4.95055,
17,,1358,4.951513,
17,,1358,4.951618,
6,0,,4.963157,
17,,41,4.985077,
17,,1358,4.98762,
17,,1358,4.987731,
17,,1358,4.990676,
17,,1358,4.990696,
6,520,,5.003126,
6,1048,,5.011027,
6,1430,,5.011152,
6,1430,,5.011256,
6,1430,,5.012959,
6,1430,,5.012969,
6,1430,,5.016851,
6,1430,,5.01696,
17,,41,5.020371,
