protocol,tcp_bytes,quic_bytes,real_time
6,31,,0.979239
6,0,,0.979461
6,0,,1.081686
6,24,,1.151027
6,0,,1.151032
6,0,,1.22624
6,118,,1.233522
6,31,,1.341717
6,24,,1.465376
6,240,,1.500094
6,31,,1.851675
6,0,,1.887152
6,0,,1.88805
6,24,,1.937212
6,0,,1.956883
6,0,,1.956915
6,517,,1.95706
6,0,,2.025627
6,1430,,2.026495
6,0,,2.026505
6,1430,,2.026584
6,0,,2.026589
6,1430,,2.026715
6,0,,2.026721
6,1430,,2.026845
6,0,,2.026861
6,923,,2.026862
6,0,,2.026865
6,64,,2.027259
6,208,,2.027638
6,0,,2.09621
6,529,,2.096993
6,87,,2.105438
6,0,,2.105468
6,34,,2.107504
6,0,,2.145947
17,,41,2.187764
17,,33,2.218636
6,1238,,2.225173
6,1238,,2.225288
6,917,,2.225293
6,0,,2.421914
6,0,,2.48921
6,0,,2.646781
6,24,,2.881225
6,31,,2.881955
6,110,,3.031627
6,110,,3.036237
6,0,,3.036253
6,143,,3.078164
6,39,,3.138815
6,0,,3.194539
6,0,,3.214784
6,0,,3.214836
6,0,,3.232485
6,0,,3.232505
6,0,,3.234862
6,0,,3.234891
6,0,,3.260659
6,0,,3.262131
6,0,,3.268332
6,0,,3.268347
6,517,,3.268353
6,517,,3.268359
6,0,,3.270835
6,0,,3.270956
6,0,,3.286727
6,0,,3.286744
6,517,,3.286751
6,517,,3.286765
6,0,,3.332609
6,0,,3.333817
6,1430,,3.339204
6,1430,,3.339314
6,1430,,3.339429
6,1430,,3.33956
6,931,,3.339567
6,1430,,3.341316
6,1430,,3.341428
6,1430,,3.341542
6,395,,3.34155
6,0,,3.376814
6,1430,,3.39317
6,1430,,3.393283
6,1430,,3.393415
6,1430,,3.39353
6,931,,3.393537
6,0,,3.39466
6,0,,3.394675
6,1430,,3.395764
6,1430,,3.395889
6,1430,,3.396003
6,1430,,3.396117
6,932,,3.3962
6,77,,3.409428
6,0,,3.413022
6,395,,3.419191
6,0,,3.430364
6,0,,3.449991
17,,86,3.464708
6,0,,3.467122
17,,41,3.471502
6,0,,3.484219
6,0,,3.484233
6,0,,3.502265
6,0,,3.520441
6,0,,3.538502
6,932,,3.542547
6,931,,3.545884
6,0,,3.556659
6,0,,3.576299
6,0,,3.592383
6,0,,3.610473
6,0,,3.62875
6,0,,3.646646
6,0,,3.646667
6,0,,3.655836
6,0,,3.656729
6,0,,3.664246
6,0,,3.664254
6,0,,3.682337
6,0,,3.803818
6,64,,3.826797
6,92,,3.826875
6,266,,3.826941
6,64,,3.826984
6,92,,3.82701
6,0,,3.829009
6,0,,3.829293
6,0,,3.829305
6,0,,3.829308
6,0,,3.829311
6,608,,3.829447
6,31,,3.829607
6,608,,3.830003
6,31,,3.830163
6,1266,,3.844629
6,64,,3.844651
6,64,,3.84466
6,0,,3.851788
6,0,,3.86286
6,0,,3.862878
6,31,,3.862884
6,0,,3.869983
6,0,,3.88112
6,0,,3.881133
6,31,,3.881139
6,0,,3.883267
6,0,,3.890449
6,608,,3.890967
6,0,,3.891788
6,608,,3.892813
6,0,,3.917071
6,0,,3.935191
6,110,,3.938034
6,0,,3.995089
6,110,,3.99638
6,0,,3.996396
6,409,,4.071927
6,1430,,4.072059
6,1430,,4.07219
6,892,,4.072202
6,0,,4.114541
6,596,,4.114876
6,1430,,4.117736
6,682,,4.117749
6,91,,4.128842
6,39,,4.128854
6,0,,4.132661
6,1430,,4.156158
6,1430,,4.156754
6,1430,,4.156882
6,1430,,4.159296
6,1430,,4.159406
6,1430,,4.161831
6,1430,,4.161945
6,1430,,4.164379
6,1430,,4.164394
6,1430,,4.166905
6,1430,,4.166915
6,0,,4.168474
6,0,,4.168484
6,927,,4.169341
6,39,,4.186521
6,0,,4.186537
6,92,,4.186544
6,31,,4.18655
6,521,,4.186557
6,0,,4.188612
6,0,,4.204681
6,31,,4.215386
6,0,,4.232302
6,0,,4.233915
6,0,,4.24066
6,0,,4.276248
6,1430,,4.284705
6,1430,,4.285309
6,1430,,4.285399
6,1430,,4.287818
6,1430,,4.28794
6,1430,,4.290739
6,886,,4.29076
6,0,,4.312994
6,521,,4.313004
6,1033,,4.325719
6,1430,,4.32585
6,1430,,4.328273
6,1430,,4.328295
6,1430,,4.333291
6,1430,,4.335822
6,1430,,4.335834
6,1430,,4.34089
6,1430,,4.3409
6,1430,,4.345903
6,1430,,4.345917
6,0,,4.348534
6,1430,,4.350935
6,1430,,4.350995
6,0,,4.355668
6,1430,,4.355945
6,1406,,4.356059
6,0,,4.366317
6,0,,4.384557
6,0,,4.384595
6,0,,4.384607
6,0,,4.384617
6,0,,4.384634
6,0,,4.384645
6,0,,4.387043
6,0,,4.387281
6,24,,4.412459
6,0,,4.413092
6,0,,4.420924
6,0,,4.420941
6,0,,4.438334
6,0,,4.438351
6,0,,4.44064
6,0,,4.441108
6,0,,4.45643
6,0,,4.467895
6,0,,4.493154
6,39,,4.510408
6,0,,4.512582
6,0,,4.52855
6,0,,4.528564
6,0,,4.546517
17,,1358,4.546539
6,1430,,4.556751
6,1430,,4.55677
6,1430,,4.559322
6,1058,,4.559332
6,129,,4.563809
6,299,,4.5642
6,0,,4.582542
17,,1358,4.592011
6,0,,4.592123
6,332,,4.592975
6,1430,,4.593435
6,1430,,4.610717
6,1430,,4.610838
6,0,,4.618677
6,1430,,4.646834
6,1430,,4.646857
17,,1358,4.651435
17,,1358,4.65145
17,,1358,4.65165
17,,1358,4.651777
6,0,,4.654242
6,0,,4.655685
6,0,,4.655695
6,1430,,4.682472
6,1430,,4.682587
6,0,,4.691085
6,1430,,4.719225
6,1430,,4.719334
6,0,,4.727054
6,39,,4.727062
6,0,,4.729241
6,1430,,4.7552
6,1430,,4.755221
6,0,,4.762372
6,0,,4.762392
6,0,,4.762402
6,0,,4.762411
6,0,,4.76242
6,0,,4.762429
6,517,,4.762437
6,517,,4.762446
6,0,,4.764538
6,0,,4.764939
6,110,,4.766376
6,110,,4.768561
6,0,,4.768582
6,517,,4.780657
6,517,,4.780671
6,0,,4.782903
6,1430,,4.79057
6,1430,,4.790596
6,517,,4.798789
6,0,,4.798798
6,517,,4.798801
6,0,,4.798807
6,24,,4.801167
6,0,,4.80119
6,0,,4.816977
6,1430,,4.827032
6,1430,,4.827092
6,0,,4.827276
6,1430,,4.830857
6,1430,,4.830871
6,1430,,4.831027
6,31,,4.831049
6,0,,4.83517
