protocol,tcp_bytes,quic_bytes,real_time,
6,39,,0.083493,
6,73,,0.115625,
6,0,,0.433701,
6,0,,0.542089,
6,0,,0.542099,
6,73,,0.543879,
6,0,,0.544518,
6,0,,0.544767,
6,0,,0.550185,
6,0,,0.728519,
6,0,,0.728531,
6,73,,0.756356,
6,0,,0.844369,
6,517,,0.915493,
6,517,,0.915504,
6,0,,0.917661,
6,0,,0.917814,
6,73,,0.972795,
6,1430,,0.986061,
6,1430,,0.986123,
6,1430,,0.986289,
6,1430,,0.986403,
6,933,,0.986415,
6,1430,,0.98758,
6,1430,,0.987694,
6,1430,,0.987798,
6,1430,,0.987913,
6,933,,0.987923,
6,0,,1.055974,
6,0,,1.103118,
6,0,,1.103127,
6,0,,1.103131,
6,0,,1.103136,
6,0,,1.103155,
6,0,,1.10316,
6,0,,1.105624,
6,0,,1.105636,
6,0,,1.105848,
6,0,,1.105856,
6,0,,1.105859,
6,0,,1.106094,
6,0,,1.264113,
6,933,,1.363539,
6,933,,1.368461,
6,73,,1.396383,
6,0,,1.476764,
6,0,,1.476791,
6,0,,1.476812,
6,73,,1.57847,
6,0,,1.663569,
6,0,,1.679983,
6,1430,,1.690755,
17,,86,1.841483,
17,,41,1.848019,
6,0,,1.851154,
6,0,,1.92973,
6,0,,1.930887,
6,31,,1.945676,
6,1430,,1.987526,
6,0,,2.003674,
6,0,,2.003707,
6,517,,2.003855,
6,73,,2.014214,
6,0,,2.016679,
6,64,,2.037812,
6,92,,2.037824,
6,520,,2.037831,
6,0,,2.037841,
6,0,,2.037848,
6,0,,2.037853,
6,0,,2.03786,
6,0,,2.039853,
6,0,,2.039862,
6,0,,2.039869,
6,1430,,2.040374,
6,1430,,2.040504,
6,1430,,2.040514,
6,608,,2.040601,
6,0,,2.04061,
6,0,,2.040767,
6,0,,2.040776,
6,31,,2.040844,
6,933,,2.053456,
6,0,,2.076448,
6,1430,,2.077518,
6,0,,2.07753,
6,1430,,2.077632,
6,0,,2.077641,
6,1430,,2.077734,
6,0,,2.077743,
6,1430,,2.077856,
6,0,,2.077863,
6,925,,2.077867,
6,0,,2.07787,
6,64,,2.078256,
6,208,,2.078704,
6,39,,2.091658,
6,0,,2.119916,
6,0,,2.139084,
6,0,,2.151138,
6,0,,2.151377,
6,529,,2.15218,
6,87,,2.159522,
6,0,,2.159586,
6,925,,2.160651,
6,1430,,2.160762,
6,1430,,2.167239,
6,1430,,2.167255,
6,34,,2.174272,
6,1430,,2.180317,
6,1430,,2.18034,
6,1430,,2.193365,
6,1430,,2.193384,
6,1430,,2.206427,
6,1430,,2.206444,
6,0,,2.21178,
6,1430,,2.219552,
6,1430,,2.219567,
6,0,,2.224819,
6,0,,2.224831,
6,0,,2.224837,
6,0,,2.224844,
6,0,,2.227301,
6,0,,2.227319,
6,0,,2.227557,
6,1430,,2.232543,
6,73,,2.276504,
6,110,,2.341065,
6,0,,2.396869,
6,110,,2.40789,
6,0,,2.407913,
6,520,,2.411956,
6,0,,2.411969,
6,0,,2.414181,
6,129,,2.443198,
6,0,,2.463773,
6,0,,2.533291,
6,73,,2.550492,
6,0,,2.560092,
6,26,,2.564133,
6,73,,2.572894,
6,0,,2.598614,
6,0,,2.690841,
6,1,,2.743101,
6,73,,2.783302,
6,0,,2.785986,
6,0,,2.968147,
6,0,,2.970297,
6,0,,2.970313,
6,228,,2.970371,
6,0,,2.972443,
6,0,,2.972966,
6,0,,2.972975,
6,0,,2.972981,
6,0,,2.972987,
6,0,,2.972993,
6,0,,2.972999,
6,64,,2.973006,
6,517,,2.973011,
6,517,,2.973017,
6,1694,,2.974234,
6,0,,2.974242,
6,0,,2.974246,
6,0,,2.974558,
6,0,,2.975202,
6,0,,2.975228,
6,0,,2.975343,
6,608,,2.975829,
6,0,,2.977599,
6,73,,2.999297,
6,1430,,3.042132,
6,1430,,3.045583,
6,1430,,3.045654,
6,1430,,3.045784,
6,395,,3.045792,
6,0,,3.117504,
6,31,,3.128551,
6,517,,3.160102,
6,517,,3.160118,
6,0,,3.162469,
6,0,,3.162541,
6,1430,,3.229208,
6,1430,,3.232865,
6,1430,,3.232889,
6,1430,,3.233089,
6,1430,,3.233208,
6,933,,3.233218,
6,110,,3.288563,
6,110,,3.292346,
6,0,,3.292363,
6,517,,3.34648,
6,517,,3.346488,
6,0,,3.346494,
6,0,,3.346505,
6,0,,3.346515,
6,0,,3.346521,
6,0,,3.346527,
6,0,,3.34653,
6,1430,,3.348866,
6,0,,3.348876,
6,0,,3.348998,
6,0,,3.349123,
6,0,,3.349718,
6,1430,,3.418015,
6,1430,,3.418029,
6,1430,,3.418244,
6,1430,,3.418358,
6,933,,3.418377,
6,1430,,3.419013,
6,73,,3.42331,
6,68,,3.426753,
6,64,,3.533244,
6,0,,3.535534,
6,608,,3.587462,
6,73,,3.638282,
6,0,,3.720692,
6,0,,3.720716,
6,0,,3.907909,
6,73,,4.004388,
6,1430,,4.055973,
6,0,,4.094179,
6,0,,4.096881,
6,1430,,4.103775,
6,395,,4.103791,
6,0,,4.223928,
6,1430,,4.262602,
6,73,,4.263316,
6,0,,4.281876,
6,0,,4.281888,
6,0,,4.281894,
6,0,,4.281898,
6,0,,4.281903,
6,31,,4.281907,
6,64,,4.281912,
6,0,,4.281917,
6,0,,4.281921,
6,0,,4.281925,
6,0,,4.28193,
6,0,,4.281934,
6,1430,,4.28426,
6,0,,4.284285,
6,0,,4.284376,
6,1430,,4.28774,
6,1430,,4.287795,
6,933,,4.296492,
6,0,,4.300337,
6,110,,4.330124,
6,110,,4.334136,
6,0,,4.334214,
6,1430,,4.442731,
6,933,,4.453183,
6,0,,4.468437,
6,0,,4.46845,
6,439,,4.470586,
6,63,,4.518699,
6,0,,4.639527,
17,,1358,4.65543,
17,,1358,4.6589,
17,,1358,4.729698,
17,,1358,4.729715,
17,,1358,4.729925,
17,,1358,4.729935,
6,608,,4.739432,
6,206,,4.842747,
6,0,,4.842769,
6,0,,4.844836,
6,334,,4.845436,
6,1430,,4.846665,
6,1430,,4.853201,
6,1430,,4.853311,
17,,1358,5.030036,
6,0,,5.030052,
6,0,,5.030059,
6,1430,,5.032493,
17,,1358,5.032851,
17,,339,5.032861,
6,0,,5.133006,
6,0,,5.314645,
17,,1358,5.333533,
6,0,,5.403837,
17,,1358,5.403852,
6,0,,5.403857,
6,1430,,5.406164,
6,1430,,5.406179,
