protocol,tcp_bytes,quic_bytes,real_time,
6,0,,1.278042,
6,0,,1.278066,
6,0,,1.31752,
6,0,,1.320968,
6,0,,1.651265,
6,0,,1.651284,
6,517,,1.651291,
6,517,,1.651297,
6,0,,1.651311,
6,0,,1.651319,
6,0,,1.651325,
6,0,,1.651332,
6,0,,1.690695,
6,0,,1.691645,
6,0,,1.693583,
6,0,,1.694153,
6,0,,1.70313,
6,0,,1.703877,
6,1430,,1.753623,
6,1430,,1.753753,
6,1430,,1.753868,
6,1430,,1.753998,
6,1077,,1.754008,
6,1430,,1.755639,
6,1430,,1.755772,
6,1430,,1.755888,
6,1430,,1.755999,
6,1077,,1.756014,
6,110,,1.775772,
6,0,,1.781912,
6,110,,1.782475,
6,0,,1.782488,
6,0,,1.838466,
6,0,,1.838479,
6,0,,1.876885,
6,0,,1.881073,
6,0,,2.025454,
6,0,,2.025466,
6,0,,2.025473,
6,0,,2.025483,
6,517,,2.025489,
6,517,,2.025495,
6,0,,2.065374,
6,0,,2.067492,
6,1430,,2.128493,
6,1430,,2.128557,
6,1430,,2.128709,
6,391,,2.128723,
6,1430,,2.129332,
6,1430,,2.129461,
6,1430,,2.129576,
6,392,,2.12958,
6,0,,2.192663,
6,0,,2.193641,
6,517,,2.213043,
6,517,,2.213057,
6,0,,2.213065,
6,0,,2.26079,
6,0,,2.260816,
6,517,,2.260971,
6,0,,2.264584,
6,0,,2.26516,
6,1430,,2.315499,
6,1430,,2.315518,
6,1430,,2.315745,
6,1430,,2.315859,
6,933,,2.315869,
6,1430,,2.316221,
6,1430,,2.316334,
6,1430,,2.316467,
6,1430,,2.316476,
6,934,,2.327829,
6,0,,2.327853,
6,1430,,2.329111,
6,0,,2.32912,
6,1430,,2.3292,
6,0,,2.329206,
6,1430,,2.329345,
6,0,,2.329354,
6,1430,,2.329475,
6,0,,2.329484,
6,924,,2.329487,
6,0,,2.329489,
6,64,,2.329854,
6,208,,2.330304,
6,0,,2.396931,
6,529,,2.399206,
6,0,,2.39981,
6,517,,2.399829,
6,87,,2.408635,
6,0,,2.408714,
6,34,,2.411041,
6,0,,2.443268,
6,0,,2.448685,
6,1077,,2.506179,
6,0,,2.58682,
6,517,,2.586832,
6,0,,2.62945,
6,0,,2.728709,
6,0,,2.773967,
6,0,,2.77399,
6,517,,2.774,
6,517,,2.774007,
6,74,,2.774012,
6,92,,2.774017,
6,0,,2.796582,
6,910,,2.813464,
6,31,,2.813477,
6,0,,2.816313,
6,0,,2.816364,
6,0,,2.81638,
6,0,,2.816973,
6,31,,2.837354,
6,391,,2.888686,
6,392,,2.9187,
6,0,,2.935681,
6,0,,2.93887,
6,519,,2.960791,
6,0,,2.960803,
6,0,,2.96081,
6,0,,2.960819,
6,517,,2.960825,
6,0,,2.990293,
6,0,,2.999824,
6,0,,3.003508,
6,0,,3.013006,
6,933,,3.076643,
6,814,,3.086226,
6,1430,,3.086344,
6,1430,,3.086459,
6,1430,,3.099434,
6,1430,,3.11251,
6,934,,3.117768,
6,1430,,3.125579,
6,1430,,3.138639,
6,0,,3.148247,
