protocol,tcp_bytes,quic_bytes,real_time,
6,1238,,0.20303,
6,1238,,0.203035,
6,1238,,0.203241,
6,1238,,0.203246,
6,1238,,0.203455,
6,1238,,0.20346,
6,0,,1.266846,
6,0,,1.26687,
6,0,,1.269476,
6,0,,1.269715,
6,0,,1.640823,
6,0,,1.640835,
6,517,,1.64084,
6,517,,1.640844,
6,0,,1.640857,
6,0,,1.640862,
6,0,,1.640867,
6,0,,1.640872,
6,0,,1.643309,
6,0,,1.643526,
6,0,,1.643532,
6,0,,1.64371,
6,0,,1.643766,
6,0,,1.644005,
6,1430,,1.714057,
6,1430,,1.714073,
6,1430,,1.714296,
6,1430,,1.714401,
6,1076,,1.714416,
6,1430,,1.714722,
6,1430,,1.714828,
6,1430,,1.714942,
6,1430,,1.715057,
6,1076,,1.715155,
6,0,,1.828233,
6,0,,1.828246,
6,0,,1.830566,
6,0,,1.830806,
6,0,,1.907117,
6,0,,1.907674,
6,0,,1.97739,
6,0,,1.97742,
6,517,,1.977561,
6,0,,1.981281,
6,0,,2.015129,
6,0,,2.015147,
6,0,,2.015157,
6,0,,2.015163,
6,517,,2.01518,
6,517,,2.015187,
6,0,,2.017413,
6,0,,2.017499,
6,0,,2.046956,
6,1430,,2.048552,
6,0,,2.048563,
6,1430,,2.048567,
6,0,,2.04857,
6,1430,,2.048785,
6,0,,2.048799,
6,1430,,2.048914,
6,0,,2.048923,
6,924,,2.048926,
6,0,,2.048929,
6,64,,2.04928,
6,208,,2.049646,
6,1430,,2.085976,
6,1430,,2.085998,
6,1430,,2.086204,
6,1430,,2.086336,
6,933,,2.086346,
6,24,,2.087276,
6,0,,2.087299,
6,24,,2.08742,
6,1430,,2.087632,
6,1430,,2.087748,
6,1430,,2.087862,
6,392,,2.087876,
6,0,,2.119474,
6,529,,2.12043,
6,87,,2.147498,
6,0,,2.147544,
6,34,,2.149002,
6,0,,2.175631,
6,0,,2.188158,
6,517,,2.201809,
6,517,,2.201822,
6,0,,2.201828,
6,0,,2.204104,
6,0,,2.204203,
6,1430,,2.272643,
6,1430,,2.272665,
6,1430,,2.272884,
6,391,,2.272893,
6,1430,,2.273753,
6,1430,,2.273883,
6,1430,,2.273892,
6,1430,,2.274112,
6,933,,2.274122,
6,107,,2.311142,
6,0,,2.389293,
6,517,,2.389323,
6,0,,2.391422,
6,1076,,2.473714,
6,0,,2.575998,
6,0,,2.763333,
6,0,,2.763345,
6,517,,2.763353,
6,517,,2.763361,
6,0,,2.765425,
6,0,,2.765927,
6,933,,2.838208,
6,0,,2.876569,
6,0,,2.890341,
6,392,,2.896551,
6,0,,2.909807,
6,0,,2.91237,
6,0,,2.912381,
6,228,,2.91244,
6,0,,2.916313,
6,1694,,2.916627,
6,0,,2.916636,
6,0,,2.916639,
6,0,,2.916978,
6,0,,2.918866,
6,517,,2.950238,
6,74,,2.950253,
6,92,,2.950257,
6,520,,2.950261,
6,0,,2.950268,
6,0,,2.950272,
6,0,,2.950277,
6,0,,2.952537,
6,0,,2.952633,
6,0,,2.952643,
6,0,,2.952663,
6,0,,2.952747,
6,0,,2.952966,
6,910,,2.953567,
6,31,,2.954128,
6,933,,3.039125,
6,812,,3.069105,
6,1430,,3.069123,
6,1430,,3.06935,
6,391,,3.072004,
6,1430,,3.082342,
6,1430,,3.095421,
6,1430,,3.108521,
6,1430,,3.121632,
6,1430,,3.13474,
6,0,,3.137352,
6,517,,3.137361,
6,0,,3.13947,
6,1430,,3.14783,
6,1430,,3.160948,
6,1430,,3.174049,
6,1430,,3.187137,
6,1430,,3.200244,
6,0,,3.324247,
6,0,,3.51131,
6,520,,3.511322,
6,0,,3.513778,
6,0,,3.698758,
6,0,,3.69881,
6,0,,3.698823,
6,74,,3.698833,
6,517,,3.698841,
6,517,,3.698851,
6,92,,3.701168,
6,0,,3.701176,
6,0,,3.70133,
6,0,,3.701341,
6,910,,3.7017,
6,1430,,3.771768,
6,1430,,3.772504,
6,0,,3.885381,
6,517,,3.885395,
6,517,,3.885401,
6,0,,3.887655,
6,0,,3.887879,
6,1430,,4.048761,
6,0,,4.072409,
6,110,,4.072677,
6,0,,4.07423,
6,110,,4.074662,
6,0,,4.074673,
6,1430,,4.191171,
6,1430,,4.224179,
6,0,,4.258838,
6,0,,4.44649,
6,74,,4.446498,
6,0,,4.448799,
6,1430,,4.495585,
6,0,,4.633351,
6,64,,4.633361,
6,92,,4.633364,
6,0,,4.635367,
6,0,,4.635377,
6,608,,4.635766,
6,31,,4.635776,
6,1430,,4.79714,
6,1430,,4.8101,
6,1266,,4.820255,
6,686,,4.820273,
6,0,,4.820284,
6,1430,,4.822783,
6,1430,,4.822864,
6,392,,4.822874,
6,0,,4.822876,
6,0,,4.827442,
6,0,,5.007462,
6,451,,5.058678,
6,1430,,5.063431,
6,821,,5.07184,
6,112,,5.079278,
6,39,,5.0802,
6,0,,5.19432,
6,0,,5.194334,
6,64,,5.194343,
6,92,,5.194349,
6,0,,5.196431,
6,0,,5.19644,
6,608,,5.197119,
6,31,,5.201993,
6,0,,5.381655,
6,1430,,5.384348,
6,1430,,5.38446,
6,391,,5.38447,
6,0,,5.568299,
6,74,,5.568309,
6,266,,5.568319,
6,0,,5.570817,
6,0,,5.576178,
6,0,,5.755443,
6,0,,5.755454,
6,64,,5.755457,
6,0,,5.757932,
6,608,,5.758346,
6,263,,5.818955,
6,1430,,5.820443,
6,1430,,5.833373,
6,853,,5.84651,
6,1430,,5.9061,
6,1430,,5.912635,
6,1430,,5.92566,
6,1430,,5.938835,
6,0,,5.942544,
6,1430,,5.945011,
6,1430,,5.945129,
6,1430,,5.945243,
6,1430,,5.952,
6,933,,5.9581,
6,0,,6.129226,
6,0,,6.316651,
6,0,,6.503424,
6,64,,6.503441,
6,0,,6.505795,
6,941,,6.671553,
6,0,,6.690547,
6,0,,6.690581,
6,64,,6.690591,
6,92,,6.690599,
6,0,,6.690611,
6,517,,6.690621,
6,0,,6.692714,
6,0,,6.692725,
6,0,,6.69282,
6,608,,6.693085,
6,0,,6.693095,
6,0,,6.693316,
6,31,,6.698408,
6,608,,6.719981,
6,1430,,6.736746,
6,517,,6.877333,
6,0,,6.877352,
6,686,,6.87736,
6,266,,6.877376,
6,0,,6.879536,
6,0,,6.879621,
6,0,,6.879832,
6,0,,7.06419,
6,0,,7.064199,
6,0,,7.064202,
6,0,,7.064206,
6,0,,7.064209,
6,0,,7.064222,
6,24,,7.126064,
6,0,,7.126084,
6,0,,7.251478,
6,0,,7.251497,
6,31,,7.251505,
6,812,,7.254029,
6,1430,,7.257832,
6,1430,,7.270932,
6,1430,,7.284051,
6,0,,7.296951,
6,39,,7.31795,
6,0,,7.438363,
6,0,,7.440049,
6,1430,,7.442656,
6,1430,,7.449214,
6,31,,7.45532,
6,910,,7.529324,
6,0,,7.625248,
6,204,,7.625267,
6,0,,7.625294,
6,0,,7.625303,
6,74,,7.625323,
6,0,,7.627649,
6,0,,7.62769,
6,0,,7.627736,
6,0,,7.627785,
6,31,,7.631234,
6,1430,,7.805191,
6,0,,7.812351,
6,0,,7.812363,
6,1430,,7.815014,
6,1430,,7.818128,
6,0,,7.999649,
6,1430,,8.002256,
6,0,,8.18641,
6,252,,8.186427,
6,1430,,8.189064,
6,0,,8.193422,
6,395,,8.258352,
6,487,,8.260105,
6,31,,8.264449,
6,39,,8.264788,
6,0,,8.37341,
6,204,,8.373422,
6,1430,,8.376056,
6,0,,8.38238,
6,0,,8.560409,
6,1430,,8.563005,
6,1430,,8.569556,
6,1430,,8.58266,
6,1430,,8.595767,
6,1430,,8.608858,
6,0,,8.616158,
6,1430,,8.621965,
6,1430,,8.635076,
6,0,,8.640553,
6,1430,,8.648191,
6,0,,8.655642,
6,1430,,8.661287,
6,1430,,8.67438,
6,0,,8.682336,
6,1430,,8.687486,
6,1430,,8.700593,
6,1430,,8.713716,
6,0,,8.746871,
6,422,,8.74688,
6,0,,8.749004,
6,1430,,8.749499,
6,1430,,8.756037,
6,0,,8.93442,
6,1430,,8.937049,
6,1430,,8.943586,
6,1034,,8.993606,
6,608,,9.023961,
6,902,,9.040712,
6,110,,9.075713,
6,0,,9.077674,
6,110,,9.078246,
6,0,,9.078258,
6,0,,9.121391,
6,1430,,9.12414,
6,1430,,9.130683,
6,0,,9.308289,
6,1430,,9.310904,
6,1430,,9.317439,
6,1422,,9.495308,
6,0,,9.497647,
6,0,,9.68239,
6,0,,9.682402,
6,0,,9.682409,
6,1430,,9.684947,
6,0,,9.684974,
6,0,,9.685058,
6,0,,9.869677,
6,0,,9.869722,
6,1430,,9.872311,
6,0,,9.90367,
6,0,,10.056413,
6,422,,10.056427,
6,0,,10.058545,
6,1430,,10.058869,
6,1430,,10.058986,
6,934,,10.058995,
6,0,,10.242876,
6,408,,10.242892,
6,64,,10.242898,
6,1430,,10.245357,
6,1430,,10.245484,
6,932,,10.245494,
6,0,,10.245498,
6,0,,10.2455,
6,0,,10.430529,
6,1430,,10.432823,
6,1430,,10.439358,
6,853,,10.452386,
6,0,,10.617017,
6,0,,10.803871,
6,0,,11.178256,
6,0,,11.178273,
6,0,,11.17828,
6,1430,,11.180972,
6,0,,11.365668,
6,0,,11.459634,
6,0,,11.552555,
6,0,,11.690285,
6,0,,11.712162,
6,0,,11.739642,
6,1430,,11.74193,
6,0,,11.926565,
6,0,,11.926577,
6,31,,11.926583,
6,1430,,11.92879,
6,0,,11.928801,
6,1430,,11.935396,
6,0,,12.113465,
6,0,,12.113477,
6,0,,12.300191,
6,0,,12.300238,
6,0,,12.300248,
6,39,,12.300256,
6,0,,12.302322,
6,1430,,12.431539,
6,0,,12.487583,
6,0,,12.487595,
6,408,,12.487599,
6,64,,12.487605,
6,0,,12.490072,
6,0,,12.490086,
6,0,,12.67431,
6,266,,12.674325,
6,0,,12.676421,
6,0,,12.861289,
6,0,,12.861301,
6,31,,12.861308,
6,0,,12.863134,
6,0,,12.863355,
6,0,,13.048297,
6,0,,13.048315,
6,39,,13.048322,
6,1430,,13.050538,
6,0,,13.050548,
6,1430,,13.057183,
6,0,,13.235274,
6,31,,13.235284,
6,0,,13.23733,
6,0,,13.421788,
6,0,,13.421804,
6,0,,13.609046,
6,0,,13.60906,
6,0,,13.609063,
6,0,,13.6117,
6,0,,13.61171,
6,0,,13.711741,
6,0,,13.719392,
6,0,,13.795786,
6,1430,,13.798122,
6,0,,13.982815,
6,1034,,13.983621,
6,1430,,13.985163,
6,110,,14.078629,
6,0,,14.080515,
6,110,,14.081026,
6,0,,14.081038,
6,0,,14.170397,
6,1430,,14.172862,
6,0,,14.357706,
6,557,,14.360017,
6,0,,14.544405,
6,0,,14.731549,
6,0,,14.918345,
6,1430,,14.920666,
6,0,,15.105036,
6,0,,15.292542,
6,0,,15.292551,
6,0,,15.292555,
6,0,,15.292559,
6,0,,15.292562,
6,517,,15.292575,
6,517,,15.292579,
6,0,,15.295056,
6,0,,15.295514,
6,1430,,15.365236,
6,1430,,15.365527,
6,0,,15.479515,
6,235,,15.666279,
6,0,,15.666292,
6,0,,15.666299,
6,1430,,15.668589,
6,0,,15.668709,
6,1430,,15.675332,
6,1430,,15.688263,
6,1430,,15.701353,
6,1430,,15.714459,
6,1430,,15.727543,
6,1430,,15.740661,
6,1430,,15.753765,
6,1430,,15.766872,
6,1430,,15.77998,
6,0,,15.853317,
6,0,,16.040417,
6,0,,16.227662,
6,0,,16.227672,
6,1430,,16.38435,
6,0,,16.413915,
6,1430,,16.426697,
6,1430,,16.593284,
6,0,,16.600769,
6,0,,16.600783,
6,0,,16.78843,
6,0,,16.788453,
6,0,,16.788461,
6,0,,16.788487,
6,0,,16.788563,
6,0,,16.79096,
6,0,,16.790974,
6,1430,,16.848066,
6,0,,16.975387,
6,252,,16.9754,
6,0,,16.977579,
6,0,,17.16233,
6,1430,,17.165015,
6,1430,,17.171518,
6,1430,,17.184603,
6,0,,17.349109,
6,0,,17.536154,
6,0,,17.723374,
6,0,,17.723386,
6,0,,17.725625,
6,0,,17.810277,
6,0,,17.850229,
6,31,,17.910411,
6,0,,17.910422,
6,0,,17.910425,
6,0,,17.910428,
6,0,,17.910432,
6,39,,17.910453,
6,0,,17.910469,
6,0,,17.912555,
6,0,,17.912653,
6,0,,17.912915,
6,0,,18.097235,
6,0,,18.284466,
6,517,,18.284475,
