protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.330491,
6,129,,0.644736,
6,0,,1.069764,
6,0,,1.069783,
6,0,,1.07329,
6,0,,1.073303,
6,0,,1.256819,
6,0,,1.256837,
6,0,,1.256846,
6,0,,1.256855,
6,0,,1.256862,
6,0,,1.259821,
6,0,,1.259833,
6,0,,1.259836,
6,0,,1.260294,
6,0,,1.260309,
6,0,,1.267161,
6,0,,1.345978,
6,0,,1.444405,
6,0,,1.44442,
6,517,,1.444428,
6,517,,1.444437,
6,0,,1.444452,
6,0,,1.447096,
6,0,,1.44728,
6,0,,1.447385,
6,1430,,1.512774,
6,1430,,1.512888,
6,1430,,1.513033,
6,1430,,1.513124,
6,934,,1.513129,
6,1430,,1.513368,
6,1430,,1.513483,
6,1430,,1.513598,
6,1430,,1.513729,
6,934,,1.513732,
6,0,,1.631366,
6,0,,1.631381,
6,0,,1.631389,
6,0,,1.631396,
6,0,,1.631404,
6,517,,1.631413,
6,517,,1.63142,
6,0,,1.634376,
6,0,,1.634386,
6,1430,,1.699934,
6,1430,,1.699955,
6,1430,,1.700154,
6,391,,1.700161,
6,1430,,1.700507,
6,1430,,1.700634,
6,1430,,1.700747,
6,1430,,1.700862,
6,934,,1.700867,
6,73,,1.784771,
6,39,,1.800362,
6,517,,1.818317,
6,517,,1.818329,
6,0,,1.820656,
6,0,,1.821207,
6,1430,,1.886794,
6,1430,,1.886818,
6,1430,,1.887043,
6,1430,,1.887056,
6,933,,1.887153,
6,1430,,1.88735,
6,1430,,1.88748,
6,1430,,1.88749,
6,391,,1.887595,
6,39,,1.993641,
6,517,,2.005164,
6,0,,2.005176,
6,517,,2.005181,
6,0,,2.005185,
6,0,,2.007672,
6,0,,2.007982,
6,73,,2.055365,
6,1430,,2.07445,
6,1430,,2.07459,
6,1430,,2.074705,
6,1430,,2.074835,
6,933,,2.074847,
6,1430,,2.075034,
6,1430,,2.075148,
6,1430,,2.07528,
6,1430,,2.075395,
6,933,,2.075399,
6,31,,2.128104,
6,0,,2.192272,
6,517,,2.192286,
6,39,,2.192702,
6,0,,2.195215,
6,934,,2.27847,
6,73,,2.327264,
6,129,,2.336389,
