protocol,tcp_bytes,quic_bytes,real_time,
6,0,,1.466808,
6,0,,1.466828,
6,0,,1.507887,
6,0,,1.509102,
6,110,,1.599099,
6,0,,1.602036,
6,110,,1.60272,
6,0,,1.602729,
6,0,,1.653887,
6,0,,1.653904,
6,0,,1.653912,
6,0,,1.653923,
6,0,,1.65393,
6,0,,1.653936,
6,0,,1.69247,
6,0,,1.694918,
6,0,,1.695642,
6,0,,1.697132,
6,0,,1.697142,
6,0,,1.697866,
6,0,,1.841027,
6,0,,1.841039,
6,517,,1.841043,
6,517,,1.841048,
6,0,,1.881816,
6,0,,1.883084,
6,1430,,1.9386,
6,1430,,1.938623,
6,1430,,1.938846,
6,1430,,1.93896,
6,1077,,1.93897,
6,1430,,1.942824,
6,1430,,1.942945,
6,1430,,1.943052,
6,1430,,1.943167,
6,1077,,1.943256,
6,0,,1.982228,
6,0,,1.983811,
6,0,,2.027907,
6,0,,2.027918,
6,0,,2.027925,
6,0,,2.027932,
6,0,,2.027939,
6,0,,2.027945,
6,517,,2.027951,
6,517,,2.027957,
6,0,,2.052268,
6,0,,2.052308,
6,517,,2.052483,
6,0,,2.066242,
6,0,,2.068505,
6,0,,2.120916,
6,1430,,2.121856,
6,0,,2.121867,
6,1430,,2.121874,
6,0,,2.121878,
6,1430,,2.12207,
6,0,,2.122081,
6,1430,,2.122199,
6,0,,2.122209,
6,924,,2.122212,
6,0,,2.122214,
6,64,,2.122566,
6,208,,2.12298,
6,1430,,2.126119,
6,1430,,2.126234,
6,1430,,2.126358,
6,1430,,2.126508,
6,934,,2.126518,
6,1430,,2.138617,
6,1430,,2.138731,
6,1430,,2.138864,
6,1430,,2.138873,
6,933,,2.138977,
6,0,,2.191245,
6,529,,2.193635,
6,87,,2.202288,
6,0,,2.20238,
6,34,,2.203588,
6,517,,2.215171,
6,517,,2.215182,
6,0,,2.243079,
6,0,,2.256958,
6,0,,2.257823,
6,1430,,2.316853,
6,1430,,2.316963,
6,1430,,2.317094,
6,1430,,2.317209,
6,932,,2.317218,
6,1430,,2.318247,
6,1430,,2.318372,
6,1430,,2.318489,
6,391,,2.318506,
6,517,,2.401674,
6,517,,2.401692,
6,0,,2.401714,
6,0,,2.444688,
6,0,,2.445073,
6,1430,,2.505296,
6,1430,,2.505315,
6,1430,,2.505524,
6,391,,2.505534,
6,1430,,2.505687,
6,1430,,2.505802,
6,1430,,2.505934,
6,1430,,2.505944,
6,933,,2.506048,
6,0,,2.515083,
6,0,,2.583861,
6,0,,2.589248,
6,0,,2.589281,
6,517,,2.589294,
6,517,,2.589306,
6,0,,2.627609,
6,0,,2.632226,
6,1077,,2.723224,
6,517,,2.77634,
6,0,,2.77635,
6,517,,2.776354,
6,517,,2.776358,
6,0,,2.817569,
6,0,,2.819044,
6,0,,2.82634,
6,934,,2.919192,
6,933,,2.923813,
6,517,,2.96269,
6,0,,2.962707,
6,74,,2.962713,
6,92,,2.962718,
6,520,,2.962724,
6,0,,2.985076,
6,31,,2.987087,
6,0,,2.98875,
6,0,,2.988767,
6,239,,2.988829,
6,0,,2.993093,
6,1191,,2.998939,
6,0,,2.998967,
6,0,,2.999253,
6,0,,2.99927,
6,0,,2.999273,
6,910,,2.999972,
6,0,,3.005977,
6,813,,3.093515,
6,1430,,3.09363,
6,1430,,3.093734,
6,391,,3.100989,
6,1430,,3.106675,
6,1430,,3.119879,
6,932,,3.121635,
6,1430,,3.132938,
6,1430,,3.146029,
6,0,,3.150176,
6,1430,,3.159154,
6,1430,,3.172157,
6,1430,,3.185416,
6,1430,,3.198475,
6,1430,,3.211504,
6,1430,,3.224674,
6,933,,3.265947,
6,391,,3.305972,
6,0,,3.338092,
6,517,,3.338125,
6,0,,3.380865,
6,0,,3.524122,
6,0,,3.711252,
6,520,,3.711266,
6,517,,3.711274,
6,0,,3.734404,
6,0,,3.750743,
6,517,,3.898011,
6,0,,3.898312,
6,74,,3.898328,
6,517,,3.898337,
6,0,,3.939036,
6,0,,3.939582,
6,0,,3.94011,
6,910,,3.940546,
6,1430,,4.065605,
6,1430,,4.076088,
6,517,,4.085285,
6,517,,4.085318,
6,0,,4.085328,
6,0,,4.128277,
6,1430,,4.128484,
6,1430,,4.128598,
6,1430,,4.12865,
6,0,,4.128656,
6,934,,4.141695,
6,1430,,4.253694,
6,0,,4.271892,
6,1430,,4.274718,
6,1430,,4.418586,
6,1430,,4.426927,
6,1430,,4.454406,
6,0,,4.45857,
6,0,,4.645832,
6,74,,4.645843,
6,0,,4.687567,
6,110,,4.742356,
6,110,,4.746366,
6,0,,4.746383,
6,0,,4.832836,
6,64,,4.832975,
6,92,,4.832988,
6,686,,4.832998,
6,24,,4.853348,
6,0,,4.856168,
6,0,,4.86631,
6,608,,4.871639,
6,0,,4.875885,
6,0,,4.875904,
6,31,,4.876788,
6,0,,5.02024,
6,517,,5.02025,
6,0,,5.059517,
6,1430,,5.060913,
6,1430,,5.060975,
6,1430,,5.061112,
6,933,,5.073904,
6,0,,5.207185,
6,0,,5.39422,
6,1266,,5.394232,
6,0,,5.424274,
6,0,,5.581133,
6,0,,5.581148,
6,64,,5.581155,
6,92,,5.581162,
6,608,,5.621505,
6,0,,5.621524,
6,0,,5.621527,
6,31,,5.626727,
6,31,,5.658528,
6,0,,5.767781,
6,74,,5.767795,
6,1430,,5.805095,
6,1430,,5.805122,
6,1430,,5.80524,
6,0,,5.809176,
6,932,,5.818088,
6,0,,5.955182,
6,517,,5.955194,
6,0,,5.99752,
6,0,,6.141787,
6,252,,6.141803,
6,0,,6.170129,
6,395,,6.225774,
6,487,,6.227592,
6,31,,6.232049,
6,39,,6.232184,
6,0,,6.328614,
6,941,,6.411832,
6,0,,6.516089,
6,64,,6.5161,
6,0,,6.553059,
6,1430,,6.557225,
6,608,,6.558567,
6,110,,6.603222,
6,0,,6.606366,
6,110,,6.606753,
6,0,,6.606765,
6,450,,6.697416,
6,1430,,6.699767,
6,0,,6.702954,
6,832,,6.712628,
6,1430,,6.718492,
6,204,,6.720165,
6,1430,,6.745958,
6,1430,,6.745984,
6,391,,6.746072,
6,1430,,6.761846,
6,0,,6.890126,
6,39,,6.993105,
6,0,,7.077298,
6,0,,7.077312,
6,0,,7.077323,
6,64,,7.077328,
6,92,,7.077332,
6,686,,7.077337,
6,0,,7.080198,
6,0,,7.100367,
6,608,,7.1155,
6,1089,,7.117234,
6,0,,7.120263,
6,0,,7.120273,
6,31,,7.120608,
6,0,,7.263956,
6,64,,7.263986,
6,0,,7.264013,
6,0,,7.266979,
6,0,,7.306039,
6,1430,,7.306994,
6,1430,,7.307005,
6,391,,7.307109,
6,0,,7.45121,
6,608,,7.538325,
6,1422,,7.638218,
6,0,,7.638248,
6,0,,7.638264,
6,64,,7.638272,
6,266,,7.638279,
6,0,,7.664807,
6,0,,7.667845,
6,608,,7.676653,
6,0,,7.681076,
6,0,,7.825212,
6,74,,7.825225,
6,910,,7.83867,
6,0,,7.861571,
6,1430,,7.864843,
6,1430,,7.864856,
6,1430,,7.877869,
6,31,,7.882914,
6,933,,7.891008,
6,263,,7.899008,
6,1430,,7.900379,
6,0,,8.011916,
6,0,,8.01193,
6,0,,8.014605,
6,0,,8.198914,
6,64,,8.198927,
6,0,,8.198932,
6,408,,8.198937,
6,0,,8.201876,
6,0,,8.222099,
6,0,,8.236694,
6,0,,8.385981,
6,0,,8.573245,
6,64,,8.573258,
6,0,,8.612594,
6,608,,8.615843,
6,608,,8.676693,
6,0,,8.760034,
6,0,,8.947398,
6,0,,8.947415,
6,0,,8.947421,
6,0,,9.074101,
6,0,,9.134032,
6,31,,9.134048,
6,1430,,9.158538,
6,1430,,9.165065,
6,0,,9.177852,
6,813,,9.178064,
6,1430,,9.185616,
