protocol,tcp_bytes,quic_bytes,real_time,
6,0,,2.00227,
6,0,,2.002284,
6,0,,2.004819,
6,0,,2.004849,
6,0,,2.189187,
6,0,,2.189194,
6,0,,2.1892,
6,0,,2.189205,
6,0,,2.191605,
6,0,,2.191853,
6,0,,2.191862,
6,0,,2.191865,
6,0,,2.309076,
6,0,,2.311023,
6,0,,2.375978,
6,0,,2.375999,
6,517,,2.376006,
6,517,,2.376013,
6,0,,2.376028,
6,0,,2.376035,
6,0,,2.378212,
6,0,,2.378666,
6,0,,2.379099,
6,0,,2.379118,
6,1430,,2.444604,
6,1430,,2.444628,
6,1430,,2.444846,
6,1430,,2.444964,
6,1076,,2.444979,
6,1430,,2.445176,
6,1430,,2.445301,
6,1430,,2.445405,
6,1430,,2.445537,
6,1076,,2.445551,
6,33,,2.549023,
6,0,,2.562921,
6,0,,2.56294,
6,0,,2.562948,
6,0,,2.562955,
6,0,,2.562961,
6,0,,2.562968,
6,517,,2.562974,
6,517,,2.562981,
6,0,,2.565192,
6,0,,2.565311,
6,1430,,2.630573,
6,1430,,2.630687,
6,1430,,2.630737,
6,391,,2.630851,
6,1430,,2.633032,
6,1430,,2.633145,
6,1430,,2.633276,
6,392,,2.633281,
6,517,,2.750492,
6,517,,2.751181,
6,0,,2.751213,
6,0,,2.751222,
6,0,,2.752835,
6,0,,2.753409,
6,1430,,2.820116,
6,1430,,2.820243,
6,1430,,2.820359,
6,1430,,2.820501,
6,932,,2.820511,
6,1430,,2.820717,
6,1430,,2.820727,
6,1430,,2.820928,
6,1430,,2.821059,
6,932,,2.821069,
6,0,,2.863061,
6,0,,2.863747,
6,75,,2.863939,
6,34,,2.865204,
6,0,,2.866115,
6,0,,2.866215,
6,517,,2.937304,
6,517,,2.937322,
6,0,,2.937338,
6,0,,2.939393,
6,0,,2.939712,
6,1430,,3.005268,
6,1430,,3.005287,
6,1430,,3.005495,
6,1430,,3.005625,
6,932,,3.005635,
6,1430,,3.00751,
6,1430,,3.007625,
6,1430,,3.007755,
6,1430,,3.007765,
6,933,,3.00787,
6,0,,3.124092,
6,517,,3.124102,
6,0,,3.126577,
6,0,,3.311425,
6,517,,3.311437,
6,517,,3.311442,
6,0,,3.313474,
6,0,,3.313623,
6,391,,3.442527,
6,392,,3.445835,
6,1076,,3.487228,
6,517,,3.498136,
6,517,,3.498151,
6,517,,3.498159,
6,0,,3.498167,
6,0,,3.498173,
6,0,,3.500183,
6,0,,3.500378,
6,0,,3.500591,
6,932,,3.575989,
6,932,,3.602928,
6,74,,3.685152,
6,92,,3.685162,
6,520,,3.685182,
6,0,,3.685189,
6,0,,3.687241,
6,0,,3.687251,
6,0,,3.687253,
6,910,,3.687764,
6,31,,3.688124,
6,933,,3.767358,
6,932,,3.780974,
6,938,,3.81321,
6,1430,,3.813336,
6,1430,,3.813379,
6,1430,,3.830248,
6,1430,,3.84719,
6,1430,,3.864158,
6,0,,3.871873,
6,1430,,3.881127,
6,1430,,3.898086,
6,1430,,3.915025,
6,1430,,3.931982,
6,1430,,3.948938,
6,1430,,3.965889,
6,1430,,3.982822,
6,1430,,3.999784,
6,1430,,4.01672,
6,1430,,4.033675,
6,1430,,4.050638,
6,0,,4.058811,
6,1430,,4.067588,
6,0,,4.246399,
6,520,,4.246412,
6,517,,4.24642,
6,0,,4.248525,
6,0,,4.248711,
6,46,,4.266712,
6,0,,4.433547,
6,74,,4.4336,
6,517,,4.433611,
6,517,,4.433622,
6,0,,4.438729,
6,0,,4.438755,
6,0,,4.438778,
6,910,,4.438975,
6,1430,,4.594683,
6,1430,,4.597989,
6,517,,4.620172,
6,517,,4.620181,
6,0,,4.620202,
6,0,,4.622178,
6,1430,,4.622541,
6,1430,,4.62261,
6,391,,4.622616,
6,0,,4.622618,
6,1430,,4.728045,
6,1430,,4.755028,
6,0,,4.807222,
6,1430,,4.919424,
6,1430,,4.933039,
6,0,,4.994397,
6,0,,4.994407,
6,64,,4.994415,
6,92,,4.994419,
6,266,,4.994423,
6,0,,4.996375,
6,0,,4.996386,
6,0,,4.996397,
6,608,,4.996791,
6,31,,5.001974,
6,0,,5.181303,
6,74,,5.181319,
6,0,,5.183257,
6,1430,,5.183756,
6,1430,,5.18387,
6,392,,5.183875,
6,388,,5.217128,
6,1430,,5.219061,
6,1430,,5.232167,
6,853,,5.245175,
