protocol,tcp_bytes,quic_bytes,real_time,
6,61,,0.040368,
6,61,,0.040879,
6,61,,0.097661,
6,61,,0.097908,
6,46,,0.165242,
6,61,,0.177292,
6,61,,0.178023,
6,61,,0.338233,
6,61,,0.338745,
6,61,,0.658751,
6,61,,0.658976,
6,61,,1.299203,
6,61,,1.29994,
6,0,,1.424471,
6,0,,1.424493,
6,0,,1.427262,
6,0,,1.427755,
6,0,,1.610986,
6,0,,1.611004,
6,0,,1.611012,
6,0,,1.611028,
6,0,,1.611034,
6,0,,1.613797,
6,0,,1.614042,
6,0,,1.614051,
6,0,,1.614053,
6,0,,1.614282,
6,0,,1.798577,
6,0,,1.798585,
6,517,,1.79859,
6,517,,1.798595,
6,0,,1.798606,
6,0,,1.801198,
6,0,,1.801545,
6,0,,1.801601,
6,1430,,1.866998,
6,1430,,1.867017,
6,1430,,1.867993,
6,1430,,1.868003,
6,1076,,1.868535,
6,1430,,1.870649,
6,1430,,1.870775,
6,1430,,1.87088,
6,1430,,1.870994,
6,1075,,1.871009,
6,0,,1.883043,
6,0,,1.883692,
6,0,,1.956645,
6,0,,1.956685,
6,517,,1.956846,
6,0,,1.985134,
6,0,,1.985151,
6,0,,1.985159,
6,0,,1.985166,
6,0,,1.985172,
6,517,,1.985179,
6,517,,1.985185,
6,0,,1.987754,
6,0,,1.987936,
6,0,,2.029247,
6,1430,,2.030624,
6,0,,2.030636,
6,1430,,2.030641,
6,0,,2.030646,
6,1430,,2.030852,
6,0,,2.030862,
6,1430,,2.030983,
6,0,,2.030992,
6,925,,2.030996,
6,0,,2.030999,
6,64,,2.031356,
6,208,,2.031835,
6,1430,,2.054349,
6,1430,,2.05437,
6,1430,,2.054593,
6,1430,,2.054603,
6,933,,2.054707,
6,1430,,2.057296,
6,1430,,2.057411,
6,1430,,2.057542,
6,391,,2.057551,
6,0,,2.104446,
6,529,,2.105204,
6,87,,2.119327,
6,0,,2.119369,
6,34,,2.121015,
6,0,,2.158494,
6,517,,2.172209,
6,517,,2.172219,
6,0,,2.174882,
6,0,,2.174893,
6,1430,,2.240982,
6,1430,,2.241009,
6,1430,,2.241225,
6,1430,,2.241237,
6,933,,2.241339,
6,1430,,2.241536,
6,1430,,2.241662,
6,1430,,2.241767,
6,1430,,2.241881,
6,934,,2.241896,
6,517,,2.359129,
6,0,,2.359157,
6,517,,2.359163,
6,0,,2.359174,
6,517,,2.359179,
6,0,,2.361863,
6,0,,2.361982,
6,0,,2.361992,
6,0,,2.426467,
6,1430,,2.429276,
6,1430,,2.4294,
6,1430,,2.429515,
6,1430,,2.429645,
6,934,,2.429649,
6,1430,,2.429842,
