protocol,tcp_bytes,quic_bytes,real_time,
6,24,,1.040799,
6,0,,2.395938,
6,0,,4.495721,
6,0,,4.495735,
6,0,,4.49574,
6,0,,4.533649,
6,0,,4.534388,
6,0,,4.537336,
6,0,,4.683449,
6,0,,4.683462,
6,0,,4.683466,
6,0,,4.68347,
6,0,,4.683474,
6,0,,4.720433,
6,0,,4.721654,
6,0,,4.722377,
6,0,,4.72238,
6,0,,4.727075,
6,0,,4.870258,
6,0,,4.870267,
6,0,,4.870271,
6,517,,4.870275,
6,517,,4.870279,
6,0,,4.908064,
6,0,,4.908828,
6,1430,,4.968719,
6,1430,,4.96883,
6,1430,,4.968945,
6,391,,4.96895,
6,1430,,4.971353,
6,1430,,4.971442,
6,1430,,4.971573,
6,1430,,4.971689,
6,933,,4.971692,
6,129,,4.980542,
6,517,,5.057202,
6,0,,5.057214,
6,0,,5.057219,
6,0,,5.057224,
6,0,,5.057228,
6,0,,5.057232,
6,517,,5.057236,
6,0,,5.093854,
6,0,,5.098522,
6,1430,,5.158269,
6,1430,,5.15829,
6,1430,,5.158467,
6,1430,,5.158599,
6,933,,5.158602,
6,1430,,5.158795,
6,1430,,5.15891,
6,1430,,5.159042,
6,1430,,5.159157,
6,934,,5.159163,
6,517,,5.244423,
6,517,,5.244445,
6,517,,5.244453,
6,0,,5.282182,
6,0,,5.282776,
6,0,,5.282822,
6,1430,,5.342309,
6,1430,,5.342412,
6,1430,,5.342527,
6,1430,,5.342642,
6,933,,5.342724,
6,1430,,5.342855,
6,1430,,5.34297,
6,1430,,5.343084,
6,1430,,5.343216,
6,933,,5.343219,
6,1430,,5.348999,
6,1430,,5.349144,
6,1430,,5.349258,
6,1430,,5.349373,
6,934,,5.349382,
6,517,,5.430997,
6,0,,5.431013,
6,0,,5.474045,
6,24,,5.520873,
6,1430,,5.533636,
6,1430,,5.533756,
6,1430,,5.53387,
6,390,,5.533877,
6,0,,5.618039,
6,0,,5.618053,
6,517,,5.618057,
6,517,,5.618062,
6,0,,5.659402,
6,0,,5.660871,
6,933,,5.761356,
6,517,,5.805326,
6,0,,5.805338,
6,517,,5.805342,
6,517,,5.80535,
6,0,,5.842784,
6,0,,5.846665,
6,0,,5.85006,
6,934,,5.922113,
6,933,,5.97482,
6,517,,5.991687,
6,0,,5.991697,
6,0,,6.029385,
6,934,,6.124127,
6,933,,6.136644,
6,933,,6.150969,
6,0,,6.179156,
6,64,,6.17917,
6,92,,6.179177,
6,266,,6.179183,
6,31,,6.203269,
6,0,,6.217098,
6,0,,6.21712,
6,0,,6.217122,
6,608,,6.221321,
6,390,,6.329977,
6,39,,6.346712,
6,0,,6.366227,
6,387,,6.419331,
6,1430,,6.419471,
6,1430,,6.419601,
6,892,,6.41961,
6,1430,,6.494538,
6,1430,,6.501117,
6,1430,,6.514255,
6,1430,,6.527408,
6,1430,,6.540528,
6,0,,6.552656,
6,0,,6.552664,
