protocol,tcp_bytes,quic_bytes,real_time,
6,31,,0.338462,
6,0,,0.636031,
6,0,,0.636037,
6,0,,0.838544,
6,0,,0.951351,
6,0,,1.020179,
6,129,,1.382494,
6,0,,1.505538,
6,129,,1.810185,
17,,43,1.92643,
6,0,,1.964788,
6,46,,2.159963,
6,0,,2.618037,
6,0,,2.618061,
6,0,,2.621054,
6,0,,2.621079,
6,0,,2.804439,
6,0,,2.804494,
6,0,,2.807358,
6,0,,2.807373,
6,73,,2.851711,
6,0,,2.991518,
6,0,,2.991532,
6,517,,2.991537,
6,517,,2.991542,
6,0,,2.991556,
6,0,,2.991563,
6,0,,2.99157,
6,0,,2.991575,
6,0,,2.994159,
6,0,,2.994174,
6,0,,2.994387,
6,0,,2.994395,
6,0,,2.994414,
6,0,,2.994639,
6,0,,3.059774,
6,1430,,3.061492,
6,1430,,3.061514,
6,1430,,3.061737,
6,1430,,3.061748,
6,934,,3.061851,
6,1430,,3.062049,
6,1430,,3.062179,
6,1430,,3.062293,
6,1430,,3.062424,
6,932,,3.062433,
6,73,,3.069896,
6,0,,3.178692,
6,0,,3.178701,
6,517,,3.178707,
6,517,,3.178713,
6,0,,3.181206,
6,0,,3.181217,
6,1430,,3.247939,
6,1430,,3.248069,
6,1430,,3.248175,
6,392,,3.24819,
6,1430,,3.249076,
6,1430,,3.249174,
6,1430,,3.249305,
6,390,,3.249309,
6,73,,3.285818,
6,0,,3.365544,
6,0,,3.365558,
6,0,,3.365564,
6,0,,3.365568,
6,517,,3.365572,
6,517,,3.365577,
6,0,,3.367754,
6,0,,3.367956,
6,1430,,3.43425,
6,1430,,3.434275,
6,1430,,3.434478,
6,1430,,3.434578,
6,933,,3.434582,
6,1430,,3.435557,
6,1430,,3.435688,
6,1430,,3.435799,
6,1430,,3.435921,
6,933,,3.435935,
6,517,,3.552831,
6,517,,3.552846,
6,0,,3.552869,
6,0,,3.555116,
6,0,,3.555515,
6,1430,,3.621767,
6,1430,,3.621791,
6,1430,,3.621994,
6,1430,,3.622109,
6,933,,3.622124,
6,1430,,3.624434,
6,1430,,3.624445,
6,1430,,3.624662,
6,1430,,3.624793,
6,933,,3.624802,
6,73,,3.709815,
6,517,,3.739869,
6,0,,3.739883,
6,517,,3.739891,
6,517,,3.739899,
6,0,,3.741987,
6,0,,3.742228,
6,0,,3.7425,
6,932,,3.824996,
6,0,,3.926982,
6,517,,3.926995,
6,0,,3.929361,
6,0,,3.964919,
6,390,,4.022555,
6,392,,4.045148,
6,0,,4.071604,
6,0,,4.113352,
6,0,,4.113361,
6,517,,4.113365,
6,517,,4.113372,
6,64,,4.113376,
6,92,,4.11338,
6,0,,4.115729,
6,0,,4.11574,
6,0,,4.116052,
6,0,,4.116061,
6,608,,4.116907,
6,31,,4.116917,
6,0,,4.209093,
6,0,,4.210087,
6,933,,4.221163,
6,933,,4.240135,
6,31,,4.242409,
6,520,,4.300333,
6,0,,4.30035,
6,517,,4.300355,
6,0,,4.302673,
6,0,,4.308266,
6,925,,4.414656,
6,1430,,4.41468,
6,1430,,4.414837,
6,933,,4.418798,
6,1430,,4.427775,
6,933,,4.434911,
6,1430,,4.440874,
6,1430,,4.454324,
6,1430,,4.467037,
6,1430,,4.480245,
6,517,,4.48728,
6,517,,4.487297,
6,0,,4.487306,
6,0,,4.489473,
6,0,,4.489862,
6,1430,,4.49318,
6,1430,,4.506261,
6,1430,,4.519304,
6,1430,,4.53241,
6,1430,,4.545474,
6,73,,4.613809,
6,0,,4.674759,
6,625,,4.682486,
6,0,,4.86188,
6,520,,4.861895,
6,0,,4.864512,
6,0,,4.993252,
6,0,,5.048815,
6,64,,5.048832,
6,0,,5.0513,
6,608,,5.051724,
6,1430,,5.171211,
6,81,,5.178027,
6,1430,,5.197294,
6,0,,5.235464,
6,517,,5.235489,
6,517,,5.235502,
6,1430,,5.237991,
6,1430,,5.238002,
6,392,,5.23804,
6,0,,5.238045,
6,0,,5.238047,
6,1430,,5.373022,
6,1430,,5.392593,
6,0,,5.42276,
6,26,,5.555817,
6,32,,5.569247,
6,1430,,5.571122,
6,1430,,5.58696,
6,0,,5.609781,
6,0,,5.609802,
6,64,,5.609815,
6,92,,5.609831,
6,517,,5.609839,
6,517,,5.609846,
6,0,,5.611944,
6,0,,5.612041,
6,0,,5.61205,
6,608,,5.61243,
6,0,,5.61244,
6,31,,5.617634,
6,0,,5.796953,
6,64,,5.796966,
6,1430,,5.79949,
6,1430,,5.799578,
6,390,,5.799583,
6,0,,5.799585,
6,1430,,5.808473,
17,,47,5.899128,
17,,47,5.966061,
6,0,,5.983808,
6,266,,5.983885,
6,676,,5.983892,
6,0,,5.986491,
6,0,,5.990774,
6,0,,6.074105,
17,,47,6.099677,
6,129,,6.120681,
6,0,,6.170549,
6,0,,6.170565,
6,64,,6.170574,
6,0,,6.172929,
6,608,,6.173379,
6,0,,6.195919,
6,0,,6.197035,
6,388,,6.230581,
6,1430,,6.232429,
6,1430,,6.245551,
6,892,,6.258548,
6,32,,6.312772,
6,1430,,6.319906,
6,1430,,6.326526,
6,1430,,6.339653,
6,73,,6.341872,
6,1430,,6.352709,
6,0,,6.357903,
6,1430,,6.36024,
6,1430,,6.360372,
6,1430,,6.360382,
6,1430,,6.365862,
17,,47,6.366176,
6,933,,6.373251,
6,0,,6.419186,
6,0,,6.544561,
6,0,,6.731801,
17,,47,6.899096,
6,0,,6.918951,
6,64,,6.91896,
6,0,,6.921447,
6,32,,7.048761,
6,0,,7.10587,
6,64,,7.105883,
6,92,,7.105887,
6,422,,7.105893,
6,0,,7.107905,
6,0,,7.107917,
6,608,,7.108292,
6,0,,7.108302,
6,31,,7.113473,
6,608,,7.155152,
6,1430,,7.181267,
6,0,,7.292488,
6,517,,7.292502,
6,1430,,7.295035,
6,1430,,7.295051,
6,1430,,7.295227,
6,0,,7.295246,
6,933,,7.308047,
6,0,,7.479955,
6,1266,,7.479985,
6,0,,7.487262,
6,0,,7.666289,
6,575,,7.720508,
6,1430,,7.723548,
6,775,,7.736281,
6,236,,7.743324,
6,56,,7.852017,
6,0,,7.853565,
6,517,,7.85358,
6,0,,7.856151,
6,1430,,7.875176,
6,1430,,7.890965,
6,952,,7.932989,
17,,47,7.965632,
6,0,,7.97315,
6,639,,7.984337,
6,0,,8.040397,
6,64,,8.040409,
6,0,,8.04042,
6,0,,8.042694,
6,608,,8.043153,
6,0,,8.043229,
17,,107,8.20344,
6,0,,8.227544,
6,0,,8.227567,
6,676,,8.227574,
6,1430,,8.230263,
6,1430,,8.230281,
6,0,,8.230297,
6,0,,8.230299,
6,1430,,8.244025,
6,933,,8.256312,
6,0,,8.414613,
6,32,,8.492795,
6,236,,8.52847,
6,0,,8.601702,
6,0,,8.789297,
6,0,,8.789304,
6,64,,8.789308,
6,92,,8.789313,
6,64,,8.789317,
6,64,,8.789323,
6,0,,8.791707,
6,0,,8.791828,
6,0,,8.791838,
6,0,,8.79184,
6,608,,8.792221,
6,31,,8.797349,
6,62,,8.860202,
6,0,,8.922574,
6,608,,8.944954,
6,0,,8.975938,
6,0,,8.97595,
6,1430,,8.978492,
6,1430,,8.978509,
6,0,,8.978511,
6,1430,,8.99157,
6,933,,9.004593,
6,608,,9.021044,
6,0,,9.162346,
6,252,,9.16238,
6,64,,9.162385,
6,0,,9.162389,
6,0,,9.164653,
6,0,,9.16499,
6,0,,9.16901,
6,31,,9.222437,
6,529,,9.235871,
6,534,,9.238295,
6,0,,9.349548,
6,608,,9.459319,
6,1027,,9.485222,
6,77,,9.490144,
6,0,,9.535733,
6,0,,9.536413,
6,93,,9.618913,
6,0,,9.723747,
6,64,,9.723761,
6,422,,9.723767,
6,0,,9.726091,
6,0,,9.726111,
6,608,,9.726448,
6,129,,9.733948,
6,0,,9.74597,
6,85,,9.858796,
6,26,,9.907678,
6,1266,,9.910766,
6,0,,9.910782,
6,0,,9.910788,
6,0,,9.910792,
6,0,,9.913134,
6,1430,,9.913582,
6,1430,,9.920106,
6,892,,9.933131,
6,31,,9.953916,
6,0,,9.957991,
6,39,,10.002737,
6,0,,10.016001,
6,0,,10.079193,
17,,47,10.097638,
6,0,,10.097975,
6,0,,10.097985,
6,0,,10.09799,
6,252,,10.097994,
6,0,,10.100468,
6,925,,10.100723,
6,1430,,10.104975,
6,1430,,10.118075,
6,1430,,10.13115,
6,0,,10.179925,
6,0,,10.284422,
6,31,,10.284446,
6,0,,10.286919,
6,0,,10.343394,
6,0,,10.471402,
6,1430,,10.474139,
6,1430,,10.480671,
6,129,,10.571771,
6,31,,10.657975,
6,0,,10.658938,
17,,1358,10.658962,
17,,1358,10.662569,
6,608,,10.691029,
17,,1358,10.730157,
17,,1358,10.730179,
17,,1358,10.730368,
17,,350,10.730384,
6,129,,10.743368,
