protocol,tcp_bytes,quic_bytes,real_time,
6,24,,0.280927,
6,0,,0.280958,
6,0,,0.642782,
6,0,,0.642808,
6,0,,0.688133,
6,0,,0.688625,
6,73,,0.759774,
6,73,,1.006249,
6,0,,1.016646,
6,0,,1.016657,
6,517,,1.016663,
6,517,,1.01667,
6,0,,1.01668,
6,0,,1.016687,
6,0,,1.016694,
6,0,,1.016701,
6,0,,1.016708,
6,0,,1.056315,
6,0,,1.05926,
6,0,,1.05927,
6,0,,1.062033,
6,0,,1.06242,
6,0,,1.063407,
6,0,,1.06415,
6,1430,,1.118423,
6,1430,,1.118442,
6,1430,,1.118667,
6,1430,,1.118677,
6,933,,1.118768,
6,1430,,1.122742,
6,1430,,1.122861,
6,1430,,1.122976,
6,1430,,1.123091,
6,933,,1.123101,
6,0,,1.203949,
6,0,,1.246516,
6,73,,1.253997,
6,0,,1.391036,
6,0,,1.391054,
6,0,,1.39106,
6,0,,1.391067,
6,0,,1.391073,
6,517,,1.39108,
6,517,,1.391086,
6,0,,1.430421,
6,0,,1.433393,
6,1430,,1.490014,
6,1430,,1.490029,
6,1430,,1.490259,
6,1430,,1.490374,
6,933,,1.490384,
6,1430,,1.493274,
6,1430,,1.49339,
6,1430,,1.49352,
6,1430,,1.493529,
6,934,,1.493634,
6,517,,1.577587,
6,517,,1.577596,
6,0,,1.619969,
6,0,,1.623795,
6,1430,,1.683101,
6,1430,,1.68312,
6,1430,,1.683346,
6,1430,,1.683461,
6,932,,1.68347,
6,1430,,1.683757,
6,1430,,1.683866,
6,1430,,1.683987,
6,1430,,1.684103,
6,934,,1.684117,
6,517,,1.764639,
6,0,,1.76467,
6,0,,1.764712,
6,517,,1.764718,
6,517,,1.764725,
6,0,,1.806744,
6,0,,1.810273,
6,0,,1.81176,
6,1430,,1.871907,
6,1430,,1.872043,
6,1430,,1.872052,
6,391,,1.872157,
6,933,,1.886349,
6,0,,1.951263,
6,0,,2.138689,
6,0,,2.138701,
6,517,,2.138705,
6,517,,2.138709,
6,0,,2.177696,
6,0,,2.184893,
6,0,,2.249759,
6,934,,2.26276,
6,933,,2.280844,
6,517,,2.325114,
6,64,,2.325139,
6,92,,2.325147,
6,520,,2.325154,
6,0,,2.325162,
6,0,,2.325169,
6,31,,2.357958,
6,0,,2.36682,
6,0,,2.366842,
6,0,,2.366896,
6,608,,2.367478,
6,0,,2.367484,
6,0,,2.372308,
6,932,,2.436946,
6,934,,2.497202,
6,0,,2.511976,
6,517,,2.511998,
6,517,,2.512008,
6,925,,2.527163,
6,1430,,2.527174,
6,1430,,2.527389,
6,1430,,2.540351,
6,1430,,2.553442,
6,0,,2.553907,
6,0,,2.55819,
6,1430,,2.566535,
6,1430,,2.579658,
6,1430,,2.592767,
6,1430,,2.605872,
6,1430,,2.618961,
6,1430,,2.632062,
6,1430,,2.645181,
6,1430,,2.658257,
6,391,,2.66037,
6,0,,2.699605,
6,0,,2.88671,
6,520,,2.886728,
