protocol,tcp_bytes,quic_bytes,real_time,
6,50,,0.782627,
6,0,,1.052015,
6,0,,1.052038,
6,0,,1.090571,
6,0,,1.094732,
6,0,,1.425605,
6,0,,1.425618,
6,517,,1.425624,
6,517,,1.425631,
6,0,,1.425642,
6,0,,1.425649,
6,0,,1.425655,
6,0,,1.425662,
6,0,,1.425669,
6,0,,1.464122,
6,0,,1.468484,
6,0,,1.469305,
6,0,,1.469325,
6,0,,1.469543,
6,0,,1.470041,
6,0,,1.471975,
6,1430,,1.528907,
6,1430,,1.529017,
6,1430,,1.529132,
6,1430,,1.529262,
6,1077,,1.529406,
6,1430,,1.529417,
6,1430,,1.529601,
6,1430,,1.529731,
6,1430,,1.529846,
6,1077,,1.529851,
6,0,,1.612909,
6,0,,1.659783,
6,0,,1.800078,
6,0,,1.800092,
6,0,,1.8001,
6,0,,1.800107,
6,0,,1.800113,
6,517,,1.80012,
6,517,,1.800127,
6,0,,1.843109,
6,0,,1.843132,
6,1430,,1.904021,
6,1430,,1.904047,
6,1430,,1.90426,
6,1430,,1.90439,
6,933,,1.904399,
6,1430,,1.906718,
6,1430,,1.906827,
6,1430,,1.906949,
6,1430,,1.907077,
6,933,,1.907087,
6,517,,1.98725,
6,517,,1.987261,
6,0,,2.030321,
6,0,,2.03098,
6,1430,,2.090075,
6,1430,,2.090097,
6,1430,,2.090298,
6,391,,2.090307,
6,1430,,2.093989,
6,1430,,2.094003,
6,1430,,2.094217,
6,1430,,2.09435,
6,933,,2.094359,
6,517,,2.173604,
6,0,,2.173629,
6,0,,2.173637,
6,517,,2.17364,
6,517,,2.173645,
6,0,,2.216573,
6,0,,2.219398,
6,0,,2.220391,
6,1430,,2.276704,
6,1430,,2.276835,
6,1430,,2.276949,
6,390,,2.276959,
6,1077,,2.289752,
6,0,,2.360903,
6,0,,2.547498,
6,0,,2.547515,
6,517,,2.547521,
6,517,,2.547529,
6,0,,2.590852,
6,0,,2.594519,
6,933,,2.683903,
6,933,,2.697106,
6,0,,2.697132,
6,517,,2.735286,
6,0,,2.7353,
6,74,,2.735317,
6,92,,2.735322,
6,520,,2.735326,
6,0,,2.73533,
6,31,,2.762378,
6,0,,2.777696,
6,0,,2.778998,
6,0,,2.780799,
6,0,,2.78095,
6,0,,2.780959,
6,910,,2.781253,
6,933,,2.850744,
6,938,,2.873007,
6,1430,,2.873025,
6,1430,,2.87325,
6,391,,2.885916,
6,1430,,2.886178,
6,1430,,2.899304,
6,1430,,2.912412,
6,0,,2.921382,
6,517,,2.921392,
6,517,,2.921396,
6,1430,,2.925484,
