protocol,tcp_bytes,quic_bytes,real_time
6,160,,0.542621
6,0,,0.685802
6,0,,0.685811
6,0,,0.688157
6,0,,0.688643
6,0,,0.872955
6,0,,0.872967
6,0,,0.872972
6,0,,0.872978
6,0,,0.872983
6,0,,0.872989
6,0,,0.875687
6,0,,0.875943
6,0,,0.876174
6,0,,0.876189
6,0,,0.914781
6,0,,0.924336
6,0,,1.060639
6,0,,1.060649
6,517,,1.060653
6,517,,1.060656
6,0,,1.06302
6,0,,1.063153
6,1430,,1.129807
6,1430,,1.129822
6,1430,,1.130007
6,1430,,1.13014
6,1076,,1.13015
6,1430,,1.139965
6,1430,,1.14008
6,1430,,1.140217
6,1430,,1.140227
6,1075,,1.140392
6,0,,1.247336
6,0,,1.247346
6,0,,1.247357
6,0,,1.247361
6,0,,1.247366
6,0,,1.24737
6,517,,1.247375
6,517,,1.24738
6,0,,1.249904
6,0,,1.250141
6,1430,,1.31828
6,1430,,1.318392
6,1430,,1.318506
6,392,,1.318511
6,1430,,1.318671
6,1430,,1.318786
6,1430,,1.318916
6,1430,,1.31904
6,933,,1.319044
6,517,,1.434281
6,517,,1.434295
6,0,,1.43675
6,0,,1.436988
6,1430,,1.502073
6,1430,,1.502091
6,1430,,1.502317
6,392,,1.502327
6,1430,,1.51024
6,1430,,1.510366
6,1430,,1.51048
6,1430,,1.510652
6,932,,1.510662
6,517,,1.620861
6,517,,1.620871
6,0,,1.620885
6,0,,1.662481
6,0,,1.67263
6,1430,,1.726307
6,1430,,1.726325
6,1430,,1.72655
6,1430,,1.72656
6,934,,1.726664
6,1430,,1.731642
6,1430,,1.731764
6,1430,,1.731879
6,1430,,1.732026
6,933,,1.732032
6,0,,1.80824
6,0,,1.808251
6,517,,1.808255
6,517,,1.808259
6,0,,1.811155
6,0,,1.811165
6,0,,1.886645
6,0,,1.887728
6,1075,,1.894272
6,0,,1.959288
6,0,,1.959312
6,517,,1.959448
6,517,,1.995586
6,0,,1.995608
6,517,,1.995615
6,517,,1.995622
6,0,,1.998123
6,0,,1.998189
6,0,,2.030625
6,1430,,2.032569
6,0,,2.032594
6,1430,,2.032691
6,0,,2.032695
6,1430,,2.032805
6,0,,2.032809
6,1430,,2.03292
6,0,,2.032925
6,923,,2.032927
6,0,,2.03293
6,64,,2.033303
6,208,,2.033722
6,0,,2.046232
6,933,,2.085629
6,0,,2.10502
6,529,,2.106041
6,87,,2.113151
6,0,,2.113176
6,34,,2.114057
6,392,,2.131418
6,0,,2.153265
6,517,,2.182533
6,0,,2.182929
6,74,,2.182939
6,92,,2.182947
6,520,,2.182953
6,0,,2.185145
6,0,,2.185164
6,0,,2.18572
6,910,,2.185728
6,31,,2.186329
6,0,,2.227717
6,932,,2.26428
6,814,,2.302965
6,1430,,2.302987
6,1430,,2.303177
6,392,,2.303182
6,1430,,2.316219
6,1430,,2.32934
6,1430,,2.342503
6,1430,,2.355603
6,1430,,2.368717
6,0,,2.368793
6,1430,,2.381846
6,1430,,2.395026
6,1430,,2.408124
6,0,,2.421263
6,1430,,2.421285
6,1430,,2.434416
6,933,,2.489865
6,0,,2.491852
6,934,,2.504863
6,0,,2.556026
6,517,,2.556098
6,0,,2.558777
6,0,,2.743109
6,0,,2.93003
6,520,,2.930044
6,517,,2.930052
6,0,,2.93232
6,0,,2.932545
6,517,,3.117505
6,0,,3.117524
6,74,,3.117531
6,517,,3.117538
6,0,,3.120045
6,0,,3.120055
6,910,,3.120528
6,0,,3.168099
6,1430,,3.237858
6,1430,,3.283642
6,517,,3.303846
6,0,,3.303862
6,1430,,3.306672
6,1430,,3.306683
6,392,,3.306783
6,0,,3.345382
6,1430,,3.416321
6,1430,,3.455262
6,0,,3.491111
6,1430,,3.63935
6,1430,,3.642314
6,1430,,3.65621
6,0,,3.677863
6,0,,3.677882
6,64,,3.677888
6,92,,3.677895
6,266,,3.677902
6,0,,3.680276
6,0,,3.680455
6,0,,3.680463
6,608,,3.680869
6,31,,3.685929
6,0,,3.86523
6,74,,3.865244
6,1430,,3.867941
6,1430,,3.868051
6,1430,,3.868096
6,0,,3.868101
6,933,,3.880966
6,0,,3.88198
6,262,,3.923091
6,1430,,3.925842
6,1430,,3.93831
6,853,,3.950571
6,1430,,4.010254
6,1430,,4.016757
6,1430,,4.029881
6,1430,,4.042976
6,0,,4.052162
6,686,,4.052172
6,0,,4.054774
6,1430,,4.056057
6,0,,4.239427
6,517,,4.239435
6,0,,4.242169
6,0,,4.426498
6,0,,4.613693
6,64,,4.614011
6,92,,4.614035
6,0,,4.616554
6,0,,4.616565
6,608,,4.617133
6,31,,4.622041
6,110,,4.715756
6,0,,4.717395
6,110,,4.718052
6,0,,4.718069
6,0,,4.800355
6,74,,4.800373
6,0,,4.802826
6,1430,,4.803211
6,1430,,4.803321
6,392,,4.803343
6,1430,,4.883563
6,0,,4.987438
6,517,,4.987905
6,0,,5.047323
6,0,,5.174382
6,0,,5.174395
6,64,,5.174401
6,0,,5.176996
6,608,,5.177476
6,1266,,5.361756
6,517,,5.361767
6,0,,5.361771
6,1430,,5.364638
6,1430,,5.364754
6,1430,,5.364895
6,0,,5.369847
6,932,,5.377641
6,0,,5.403279
6,31,,5.413826
6,0,,5.54804
6,450,,5.602587
6,1430,,5.607756
6,660,,5.617815
6,941,,5.623254
6,164,,5.623777
6,39,,5.625301
6,0,,5.735473
6,64,,5.735484
6,0,,5.738026
6,0,,5.922462
6,1430,,5.94164
6,1430,,5.960833
6,0,,6.109109
6,64,,6.109118
6,0,,6.109129
6,686,,6.109133
