protocol,tcp_bytes,quic_bytes,real_time,
6,53,,0.64355,
6,39,,0.784222,
6,0,,1.830559,
6,0,,1.830575,
6,0,,1.833232,
6,0,,1.833456,
6,0,,2.017584,
6,0,,2.017597,
6,0,,2.017604,
6,0,,2.017614,
6,0,,2.017621,
6,0,,2.020247,
6,0,,2.056148,
6,0,,2.0596,
6,0,,2.05983,
6,0,,2.061295,
6,0,,2.20457,
6,0,,2.204577,
6,517,,2.20458,
6,517,,2.204584,
6,0,,2.204593,
6,0,,2.207374,
6,0,,2.207507,
6,0,,2.207516,
6,1430,,2.290376,
6,1430,,2.290388,
6,1430,,2.29059,
6,1430,,2.29072,
6,931,,2.290733,
6,1430,,2.291636,
6,1430,,2.291646,
6,1430,,2.291865,
6,1430,,2.291995,
6,932,,2.292004,
6,0,,2.391241,
6,0,,2.391248,
6,0,,2.391252,
6,0,,2.391255,
6,0,,2.391261,
6,517,,2.391266,
6,517,,2.39127,
6,0,,2.393312,
6,0,,2.429408,
6,1430,,2.461517,
6,1430,,2.461543,
6,1430,,2.461739,
6,390,,2.461746,
6,1430,,2.494059,
6,1430,,2.494173,
6,1430,,2.494286,
6,1430,,2.494401,
6,932,,2.494405,
6,517,,2.578547,
6,517,,2.578556,
6,0,,2.620275,
6,0,,2.620554,
6,1430,,2.676916,
6,1430,,2.677043,
6,1430,,2.677158,
6,1430,,2.677272,
6,932,,2.677278,
6,39,,2.677287,
6,1430,,2.680641,
6,1430,,2.680751,
6,1430,,2.68086,
6,1430,,2.680936,
6,933,,2.681072,
6,517,,2.765152,
6,0,,2.765167,
6,517,,2.765171,
6,0,,2.765175,
6,0,,2.767666,
6,0,,2.808589,
6,1238,,2.822168,
6,1430,,2.838162,
6,1430,,2.838185,
6,1430,,2.838377,
6,391,,2.838381,
6,1430,,2.868867,
6,1430,,2.868996,
6,1430,,2.869111,
6,1430,,2.869226,
6,932,,2.869236,
6,0,,2.952479,
6,517,,2.952493,
6,517,,2.952498,
6,0,,2.994353,
6,0,,2.996298,
6,932,,3.030099,
6,0,,3.139494,
6,517,,3.140852,
6,517,,3.140858,
6,0,,3.14301,
6,0,,3.178705,
6,932,,3.259678,
6,390,,3.265678,
6,517,,3.326021,
6,517,,3.326037,
6,0,,3.326048,
6,0,,3.32606,
6,64,,3.326067,
6,0,,3.328371,
6,0,,3.328757,
6,608,,3.329433,
6,0,,3.367761,
6,932,,3.442754,
6,933,,3.459951,
6,0,,3.513733,
6,92,,3.513756,
6,520,,3.513775,
6,0,,3.516456,
6,31,,3.51757,
6,932,,3.620229,
6,51,,3.666921,
6,926,,3.698925,
6,1430,,3.699054,
6,1430,,3.69917,
6,0,,3.701844,
6,1430,,3.711953,
6,1430,,3.725042,
6,1430,,3.738227,
6,1430,,3.751313,
6,1247,,3.764448,
6,1430,,3.775823,
6,1430,,3.789262,
6,1430,,3.802403,
6,1430,,3.815131,
6,1430,,3.828272,
6,0,,3.887595,
6,391,,3.964312,
6,0,,4.074563,
6,517,,4.074582,
6,517,,4.07459,
6,0,,4.114158,
6,0,,4.115753,
6,0,,4.261579,
6,64,,4.261591,
6,517,,4.261606,
6,517,,4.261613,
6,0,,4.263905,
6,0,,4.263975,
6,608,,4.264371,
6,0,,4.303697,
6,1430,,4.411811,
6,1430,,4.419314,
6,517,,4.448386,
6,520,,4.448397,
6,0,,4.448402,
6,1430,,4.450822,
6,1430,,4.450836,
6,390,,4.450934,
6,0,,4.451218,
6,0,,4.490309,
6,1430,,4.598692,
6,1430,,4.611514,
6,0,,4.634932,
6,1430,,4.771639,
6,0,,4.790209,
6,0,,4.822802,
6,0,,4.822817,
6,64,,4.822824,
6,92,,4.822833,
6,266,,4.82284,
6,0,,4.824834,
6,0,,4.824865,
6,0,,4.824905,
6,608,,4.825476,
6,31,,4.830453,
6,63,,4.85677,
6,0,,5.009573,
6,64,,5.009589,
6,0,,5.014531,
6,1430,,5.047098,
6,1430,,5.047206,
6,1430,,5.047351,
6,932,,5.060278,
6,387,,5.070896,
6,1430,,5.072631,
6,1430,,5.081546,
6,1430,,5.086145,
6,892,,5.09991,
6,1430,,5.157473,
6,1430,,5.164006,
6,1430,,5.177405,
6,1430,,5.190483,
6,0,,5.195864,
6,1430,,5.203233,
6,0,,5.383665,
6,676,,5.383678,
6,0,,5.387156,
6,0,,5.570743,
6,1430,,5.692511,
6,0,,5.757791,
6,64,,5.757807,
6,92,,5.757814,
6,0,,5.802901,
6,0,,5.802919,
6,608,,5.805607,
6,31,,5.807917,
6,0,,5.886637,
6,0,,5.902191,
6,0,,5.944478,
6,64,,5.944495,
6,0,,5.947106,
6,1430,,5.982958,
6,1430,,5.983069,
6,1430,,5.983183,
6,932,,5.995944,
6,1430,,6.017852,
6,0,,6.131471,
6,517,,6.131487,
6,517,,6.131494,
6,0,,6.133753,
6,0,,6.174436,
6,0,,6.318521,
6,252,,6.318542,
6,0,,6.346272,
6,39,,6.374858,
6,520,,6.40252,
6,487,,6.404798,
6,70,,6.409412,
6,0,,6.505901,
6,0,,6.505914,
6,64,,6.505918,
6,92,,6.505923,
6,102,,6.512487,
6,0,,6.544208,
6,0,,6.544227,
6,608,,6.549095,
6,31,,6.553628,
6,0,,6.692854,
6,1430,,6.7349,
6,1430,,6.734923,
6,1430,,6.735128,
6,933,,6.747656,
6,26,,6.767727,
6,0,,6.879814,
6,0,,7.066426,
6,1430,,7.076184,
6,70,,7.208808,
6,0,,7.253608,
6,1266,,7.253623,
6,639,,7.256966,
6,0,,7.281687,
6,31,,7.33158,
6,0,,7.440538,
6,64,,7.44055,
6,422,,7.440555,
6,0,,7.442632,
6,0,,7.48259,
6,608,,7.483248,
6,575,,7.511797,
6,1430,,7.514596,
6,676,,7.528877,
6,74,,7.53479,
6,0,,7.6276,
6,676,,7.627621,
6,1430,,7.630519,
6,1430,,7.630533,
6,391,,7.630605,
6,0,,7.630723,
6,0,,7.814212,
6,0,,8.001708,
6,0,,8.001719,
6,64,,8.001723,
6,0,,8.004019,
6,608,,8.004644,
6,293,,8.070588,
6,608,,8.149867,
6,0,,8.188488,
6,64,,8.188496,
6,64,,8.188517,
6,0,,8.191656,
6,0,,8.230627,
6,1430,,8.23115,
6,1430,,8.231164,
6,1430,,8.244352,
6,932,,8.257512,
6,1026,,8.321793,
6,0,,8.375492,
6,408,,8.375507,
6,0,,8.39935,
6,608,,8.453109,
6,0,,8.562493,
6,64,,8.562539,
6,0,,8.564769,
6,0,,8.74927,
6,1214,,8.773535,
6,0,,8.936913,
6,0,,8.936938,
6,64,,8.936949,
6,608,,8.976843,
6,0,,8.979361,
6,0,,9.123068,
6,0,,9.123082,
6,1430,,9.12571,
6,1430,,9.132016,
6,892,,9.145575,
6,0,,9.310875,
6,608,,9.341128,
6,0,,9.497525,
6,0,,9.497564,
6,31,,9.497578,
6,0,,9.497587,
6,0,,9.49761,
6,0,,9.497623,
