protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.682119,
6,0,,0.682132,
6,0,,0.723452,
6,0,,0.72935,
6,0,,1.055295,
6,0,,1.055313,
6,517,,1.05532,
6,517,,1.055327,
6,0,,1.055337,
6,0,,1.055346,
6,0,,1.055359,
6,0,,1.055366,
6,0,,1.055372,
6,31,,1.059089,
6,0,,1.096334,
6,0,,1.097264,
6,0,,1.097503,
6,0,,1.097994,
6,0,,1.101688,
6,0,,1.102446,
6,0,,1.102459,
6,1430,,1.157466,
6,1430,,1.157577,
6,1430,,1.157682,
6,1430,,1.157826,
6,933,,1.157836,
6,1430,,1.161032,
6,1430,,1.161043,
6,1430,,1.161251,
6,1430,,1.161366,
6,933,,1.161376,
6,33,,1.180116,
6,0,,1.242594,
6,0,,1.284791,
6,0,,1.31059,
6,0,,1.324795,
6,0,,1.325104,
6,0,,1.327796,
6,12,,1.327801,
6,0,,1.328404,
6,22,,1.328408,
6,0,,1.329739,
6,0,,1.330833,
6,22,,1.330835,
6,0,,1.332551,
6,0,,1.334194,
6,22,,1.334198,
6,0,,1.342846,
6,0,,1.430143,
6,0,,1.430162,
6,0,,1.430169,
6,0,,1.430175,
6,0,,1.430182,
6,517,,1.430188,
6,517,,1.430194,
6,0,,1.471525,
6,0,,1.471548,
6,0,,1.472124,
6,1430,,1.527964,
6,1430,,1.527989,
6,1430,,1.528205,
6,1430,,1.528215,
6,934,,1.528321,
6,1430,,1.532009,
6,1430,,1.532031,
6,1430,,1.53224,
6,391,,1.532247,
6,517,,1.616928,
6,517,,1.616947,
6,0,,1.659013,
6,0,,1.662765,
6,1430,,1.722563,
6,1430,,1.722588,
6,1430,,1.722801,
6,1430,,1.722811,
6,932,,1.722915,
6,1430,,1.726799,
6,1430,,1.726929,
6,1430,,1.72704,
6,1430,,1.727144,
6,932,,1.727158,
6,517,,1.803873,
6,0,,1.803899,
6,0,,1.803941,
6,517,,1.80395,
6,517,,1.803965,
6,0,,1.849518,
6,0,,1.850263,
6,0,,1.853807,
6,1430,,1.906212,
6,1430,,1.906235,
6,1430,,1.906435,
6,1430,,1.906549,
6,934,,1.906558,
6,933,,1.946824,
6,0,,1.990576,
6,0,,2.177891,
6,0,,2.177907,
6,517,,2.177914,
6,517,,2.177922,
6,0,,2.215839,
6,0,,2.219755,
6,934,,2.295263,
6,391,,2.308623,
6,0,,2.318994,
6,517,,2.364829,
6,64,,2.364895,
6,92,,2.364904,
6,521,,2.36491,
6,0,,2.364919,
6,0,,2.364926,
6,31,,2.391438,
6,608,,2.403945,
6,0,,2.406859,
6,0,,2.40687,
6,0,,2.406941,
6,0,,2.40695,
6,0,,2.407221,
6,932,,2.487402,
6,926,,2.499986,
6,1430,,2.500008,
6,1430,,2.500229,
6,932,,2.507094,
6,1430,,2.513141,
6,1430,,2.526206,
6,1430,,2.539289,
6,517,,2.551385,
6,517,,2.551406,
6,0,,2.551413,
6,1430,,2.55236,
6,1248,,2.565405,
6,1430,,2.576857,
6,1430,,2.589921,
6,0,,2.593548,
6,0,,2.60123,
6,1430,,2.603007,
6,1430,,2.616042,
6,1430,,2.629114,
6,934,,2.684832,
6,0,,2.738936,
6,0,,2.92594,
6,521,,2.925958,
6,0,,2.95161,
6,0,,3.11311,
6,0,,3.113125,
6,64,,3.113134,
6,517,,3.11314,
6,0,,3.155239,
6,608,,3.155462,
6,0,,3.158727,
6,1430,,3.218349,
6,0,,3.300349,
6,517,,3.300364,
6,0,,3.346173,
6,1430,,3.460556,
6,0,,3.48676,
6,1430,,3.639565,
6,1430,,3.651608,
6,0,,3.67405,
6,517,,3.674069,
6,517,,3.674075,
6,0,,3.719879,
6,0,,3.719973,
6,1430,,3.841158,
6,0,,3.860958,
6,64,,3.860971,
6,0,,3.902682,
6,1430,,3.932665,
6,0,,4.04791,
6,64,,4.047927,
6,92,,4.047934,
6,0,,4.085769,
6,0,,4.085793,
6,608,,4.090109,
6,31,,4.090141,
6,1266,,4.235123,
6,677,,4.235138,
6,0,,4.235146,
6,1430,,4.237817,
6,0,,4.26095,
6,0,,4.268601,
6,1430,,4.273437,
6,1430,,4.273534,
6,391,,4.273544,
6,0,,4.421637,
6,574,,4.492894,
6,1430,,4.493078,
6,832,,4.506044,
6,39,,4.513459,
6,0,,4.608778,
6,0,,4.608797,
6,64,,4.608803,
6,92,,4.60881,
6,266,,4.608816,
6,31,,4.637725,
6,0,,4.646603,
6,0,,4.646613,
6,0,,4.646615,
6,608,,4.650929,
6,0,,4.795846,
6,1266,,4.79586,
6,0,,4.823908,
6,1430,,4.841872,
6,1430,,4.841894,
6,1430,,4.842097,
6,387,,4.846473,
6,1430,,4.848406,
6,932,,4.854861,
6,1430,,4.861546,
6,892,,4.874591,
6,1430,,4.929084,
6,1430,,4.935621,
6,1430,,4.948776,
6,1430,,4.961905,
6,1430,,4.975038,
6,0,,4.983018,
6,64,,4.983027,
6,0,,5.024898,
6,0,,5.16941,
6,0,,5.356618,
6,0,,5.356636,
6,64,,5.356643,
6,92,,5.356649,
6,0,,5.402301,
6,0,,5.402328,
6,608,,5.40299,
6,31,,5.408104,
6,0,,5.543989,
6,517,,5.544003,
6,1430,,5.585809,
6,1430,,5.585832,
6,1430,,5.586051,
6,0,,5.586345,
6,932,,5.598799,
6,0,,5.730883,
6,252,,5.730905,
6,1430,,5.747797,
6,0,,5.764123,
6,520,,5.819215,
6,487,,5.821573,
6,70,,5.825965,
6,0,,5.918263,
6,0,,6.104976,
6,517,,6.104986,
6,1430,,6.144478,
6,0,,6.150215,
6,639,,6.172986,
6,0,,6.291906,
6,64,,6.292478,
6,0,,6.29249,
6,677,,6.292497,
6,0,,6.318248,
6,0,,6.333973,
6,0,,6.334364,
6,608,,6.338968,
6,0,,6.478982,
6,0,,6.478998,
6,1430,,6.52506,
6,1430,,6.52519,
6,0,,6.525318,
6,1430,,6.538167,
6,1430,,6.549555,
6,934,,6.551177,
6,70,,6.630004,
6,1422,,6.66588,
6,0,,6.665893,
6,252,,6.665897,
6,64,,6.665901,
6,0,,6.693958,
6,0,,6.694198,
6,0,,6.712132,
6,0,,6.852393,
6,0,,7.039762,
6,422,,7.03977,
6,0,,7.064595,
6,608,,7.071532,
6,64,,7.226219,
6,0,,7.22623,
6,0,,7.226234,
6,64,,7.226238,
6,0,,7.226242,
6,1430,,7.250639,
6,0,,7.271596,
6,0,,7.271957,
6,608,,7.272148,
6,0,,7.272692,
6,608,,7.303373,
6,0,,7.413945,
6,0,,7.413964,
6,0,,7.41397,
6,0,,7.413979,
6,0,,7.413995,
6,0,,7.460221,
6,0,,7.600931,
6,0,,7.600948,
6,0,,7.600954,
6,0,,7.600961,
6,0,,7.600968,
6,31,,7.600974,
6,1430,,7.625818,
6,1430,,7.632334,
6,926,,7.645299,
6,1430,,7.653885,
6,0,,7.666634,
6,0,,7.787915,
6,0,,7.787933,
6,1430,,7.812789,
6,1430,,7.819284,
6,0,,7.975286,
17,,1358,7.975306,
17,,1358,8.017837,
6,1026,,8.051377,
17,,1358,8.077066,
17,,1358,8.07708,
17,,1358,8.077294,
17,,360,8.077303,
6,206,,8.161793,
6,0,,8.161827,
6,0,,8.186382,
6,1430,,8.186707,
6,1430,,8.199751,
6,1430,,8.212842,
6,608,,8.256475,
6,0,,8.313038,
17,,1358,8.318026,
