protocol,tcp_bytes,quic_bytes,real_time,
6,56,,0.160538,
6,0,,0.271496,
6,63,,0.514825,
6,0,,0.679469,
6,0,,0.679485,
6,0,,0.720553,
6,0,,0.724999,
6,0,,0.866307,
6,0,,0.866318,
6,0,,0.866325,
6,0,,0.866332,
6,0,,0.866339,
6,0,,0.866346,
6,0,,0.905602,
6,0,,0.907591,
6,0,,0.907797,
6,0,,0.907807,
6,0,,0.90955,
6,0,,0.912241,
6,0,,1.053013,
6,0,,1.053034,
6,517,,1.053041,
6,517,,1.053049,
6,0,,1.093963,
6,0,,1.098655,
6,1430,,1.159029,
6,1430,,1.159144,
6,1430,,1.159288,
6,1430,,1.159404,
6,1076,,1.159415,
6,1430,,1.167054,
6,1430,,1.167076,
6,1430,,1.167269,
6,1430,,1.167401,
6,1076,,1.167415,
6,0,,1.240344,
6,0,,1.240352,
6,0,,1.240356,
6,0,,1.24036,
6,0,,1.240363,
6,0,,1.240374,
6,517,,1.240378,
6,517,,1.240382,
6,0,,1.279581,
6,0,,1.281474,
6,1430,,1.34238,
6,1430,,1.342445,
6,1430,,1.342607,
6,392,,1.342619,
6,1430,,1.345153,
6,1430,,1.345268,
6,1430,,1.345382,
6,1430,,1.345513,
6,934,,1.345516,
6,517,,1.427135,
6,517,,1.427147,
6,0,,1.468443,
6,0,,1.468489,
6,1430,,1.528635,
6,1430,,1.528701,
6,1430,,1.52884,
6,1430,,1.528966,
6,933,,1.528973,
6,1430,,1.529162,
6,1430,,1.529277,
6,1430,,1.529408,
6,1430,,1.529524,
6,932,,1.529527,
6,517,,1.614242,
6,517,,1.614251,
6,0,,1.614268,
6,0,,1.65702,
6,0,,1.659796,
6,1430,,1.718839,
6,1430,,1.718852,
6,1430,,1.719084,
6,391,,1.719094,
6,1430,,1.720133,
6,1430,,1.720265,
6,1430,,1.720274,
6,1430,,1.720493,
6,932,,1.720502,
6,0,,1.801546,
6,0,,1.801561,
6,517,,1.801568,
6,517,,1.801578,
6,0,,1.842438,
6,0,,1.845392,
6,0,,1.892643,
6,0,,1.893229,
6,1076,,1.956953,
6,0,,1.969043,
6,0,,1.969071,
6,517,,1.969208,
6,517,,1.988443,
6,0,,1.988455,
6,517,,1.98846,
6,517,,1.988465,
6,0,,2.029726,
6,0,,2.02983,
6,0,,2.033827,
6,0,,2.044765,
6,1430,,2.045083,
6,0,,2.045093,
6,1430,,2.045197,
6,0,,2.045203,
6,1430,,2.045312,
6,0,,2.045316,
6,1430,,2.045443,
6,0,,2.045446,
6,923,,2.045448,
6,0,,2.04545,
6,64,,2.045797,
6,208,,2.04621,
6,392,,2.096298,
6,0,,2.122014,
6,529,,2.123413,
6,87,,2.13031,
6,0,,2.130335,
6,34,,2.131668,
6,934,,2.150861,
6,0,,2.170401,
6,517,,2.175035,
6,0,,2.175043,
6,74,,2.175047,
6,92,,2.175051,
6,520,,2.175054,
6,31,,2.200319,
6,0,,2.218141,
6,0,,2.220364,
6,0,,2.220374,
6,0,,2.220385,
6,910,,2.220999,
6,932,,2.283504,
6,933,,2.29941,
6,815,,2.307553,
6,1430,,2.307668,
6,1430,,2.307799,
6,1430,,2.320722,
6,1430,,2.333803,
6,1430,,2.346876,
6,1430,,2.359943,
6,0,,2.362105,
6,1430,,2.373026,
6,1430,,2.386083,
6,1430,,2.399169,
6,1430,,2.412248,
6,1430,,2.425327,
6,0,,2.426391,
6,1430,,2.438415,
6,391,,2.491318,
6,0,,2.496192,
6,932,,2.532088,
6,0,,2.55178,
6,517,,2.551809,
6,0,,2.605,
6,0,,2.736068,
6,0,,2.923233,
6,520,,2.923246,
6,517,,2.923252,
6,0,,2.947617,
6,0,,2.967058,
6,81,,3.103333,
6,517,,3.110317,
6,0,,3.110327,
6,74,,3.110331,
6,517,,3.110335,
6,0,,3.150192,
6,910,,3.152793,
6,0,,3.163854,
6,0,,3.164455,
6,1430,,3.251944,
6,129,,3.278344,
6,517,,3.297154,
6,517,,3.297171,
6,0,,3.297179,
6,1430,,3.299706,
6,0,,3.338128,
6,1430,,3.338953,
6,1430,,3.338964,
6,392,,3.339066,
6,0,,3.342702,
6,1430,,3.447852,
6,1430,,3.449575,
6,0,,3.48414,
6,1430,,3.64309,
6,1430,,3.660867,
6,0,,3.67128,
6,0,,3.671292,
6,64,,3.671295,
6,92,,3.671299,
6,1430,,3.67989,
6,0,,3.712743,
6,0,,3.712759,
6,608,,3.713084,
6,31,,3.718219,
6,0,,3.858479,
6,74,,3.858489,
6,1430,,3.900187,
6,1430,,3.900291,
6,1430,,3.900348,
6,0,,3.900363,
6,934,,3.913122,
6,0,,3.950181,
6,0,,4.045399,
6,686,,4.045409,
6,0,,4.069706,
6,110,,4.104545,
6,0,,4.106497,
6,110,,4.106943,
6,0,,4.106954,
6,0,,4.232645,
6,266,,4.232655,
6,0,,4.26164,
6,129,,4.280982,
6,0,,4.419174,
6,265,,4.484204,
6,1430,,4.485596,
6,1430,,4.498752,
6,853,,4.511685,
6,1430,,4.565765,
6,1430,,4.572301,
6,1430,,4.58544,
6,1430,,4.598515,
6,0,,4.606292,
6,64,,4.6063,
6,92,,4.606303,
6,1430,,4.611987,
6,608,,4.647589,
6,0,,4.647723,
6,0,,4.647732,
6,31,,4.652714,
6,123,,4.735518,
6,0,,4.79353,
6,74,,4.793542,
6,0,,4.83864,
6,1430,,4.847243,
6,1430,,4.847254,
6,1430,,4.847471,
6,933,,4.860255,
6,0,,4.9802,
6,0,,5.167505,
6,252,,5.167518,
6,517,,5.167525,
6,517,,5.167534,
6,0,,5.195826,
6,0,,5.209746,
6,0,,5.210445,
6,396,,5.251668,
6,487,,5.253486,
6,70,,5.25801,
6,0,,5.354169,
6,0,,5.354182,
6,64,,5.354185,
6,92,,5.354189,
6,608,,5.396406,
6,31,,5.401187,
6,1430,,5.407265,
6,0,,5.407603,
6,0,,5.407613,
6,0,,5.541442,
6,1430,,5.58307,
6,1430,,5.583085,
6,1430,,5.5833,
6,932,,5.596064,
6,0,,5.618411,
6,941,,5.644985,
6,0,,5.693711,
6,0,,5.728094,
6,0,,5.914943,
6,422,,5.914957,
6,0,,5.938732,
6,1430,,5.946905,
6,1430,,5.988267,
6,70,,6.03466,
6,1266,,6.102495,
6,0,,6.102509,
6,686,,6.102516,
6,0,,6.127467,
6,0,,6.130678,
6,31,,6.185716,
6,129,,6.217513,
6,0,,6.28986,
6,64,,6.289877,
6,0,,6.289889,
6,0,,6.289896,
6,0,,6.329454,
6,608,,6.330563,
6,0,,6.331135,
6,0,,6.331917,
6,450,,6.364611,
6,1430,,6.367493,
6,828,,6.379722,
6,86,,6.387256,
6,0,,6.476172,
6,1430,,6.521948,
6,1430,,6.522011,
6,391,,6.522014,
6,0,,6.663326,
6,0,,6.850553,
6,0,,6.850561,
6,64,,6.850565,
6,64,,6.850568,
6,0,,6.89108,
6,608,,6.894228,
6,0,,6.896024,
6,51,,6.92668,
6,0,,7.037294,
6,74,,7.037303,
6,910,,7.067915,
6,1430,,7.078582,
6,1430,,7.078592,
6,0,,7.07964,
6,1430,,7.091623,
6,932,,7.104651,
6,0,,7.224531,
6,0,,7.224539,
6,0,,7.224543,
6,408,,7.224566,
6,0,,7.247864,
6,0,,7.266322,
6,0,,7.270016,
6,608,,7.338404,
6,85,,7.385116,
6,0,,7.411613,
6,0,,7.598655,
6,64,,7.598663,
6,1089,,7.625205,
6,0,,7.641641,
6,129,,7.659924,
6,904,,7.710538,
6,0,,7.785495,
6,64,,7.785503,
6,608,,7.826432,
6,0,,7.82645,
6,608,,7.86694,
6,0,,7.971967,
6,0,,7.971975,
6,1430,,7.995194,
6,1430,,8.001712,
6,121,,8.012891,
6,853,,8.014722,
6,0,,8.159509,
6,0,,8.159527,
6,1266,,8.159534,
6,0,,8.182752,
6,0,,8.320696,
6,1035,,8.338964,
6,0,,8.33935,
6,0,,8.346297,
6,0,,8.346319,
6,31,,8.346327,
6,1430,,8.371372,
6,1430,,8.377852,
6,0,,8.390784,
6,815,,8.390934,
6,1430,,8.398405,
6,0,,8.53366,
6,1430,,8.556935,
6,914,,8.563364,
6,64,,8.720638,
6,0,,8.720652,
6,1430,,8.745677,
6,1430,,8.752219,
6,0,,8.761245,
6,608,,8.79895,
6,697,,8.888083,
6,0,,8.90722,
6,205,,8.907231,
6,1430,,8.932263,
6,1430,,8.938885,
6,0,,8.951515,
6,52,,8.9737,
6,0,,9.094533,
6,41,,9.100289,
6,110,,9.1076,
6,0,,9.110357,
6,110,,9.110803,
6,0,,9.110815,
6,1430,,9.119576,
6,1430,,9.126087,
6,0,,9.281354,
6,0,,9.281459,
6,0,,9.281468,
6,422,,9.281475,
6,0,,9.305013,
6,1430,,9.306492,
6,1430,,9.313,
6,0,,9.322915,
6,0,,9.323911,
6,1430,,9.326075,
6,1430,,9.339065,
