protocol,tcp_bytes,quic_bytes,real_time,
6,118,,0.078157,
6,110,,0.315988,
6,0,,0.325677,
6,110,,0.326671,
6,0,,0.326683,
6,0,,1.342749,
6,0,,1.64061,
6,0,,2.029181,
6,24,,2.124523,
6,110,,2.989015,
6,110,,2.992043,
6,0,,2.99206,
6,129,,4.271906,
6,110,,5.327428,
6,0,,5.331206,
6,110,,5.331876,
6,0,,5.331884,
6,0,,5.93502,
6,0,,5.936226,
6,0,,6.733275,
6,0,,6.73329,
6,0,,6.733294,
6,0,,6.735891,
6,0,,6.735902,
6,0,,6.735906,
6,0,,6.920604,
6,0,,6.922885,
6,0,,7.10705,
6,0,,7.107067,
6,0,,7.107074,
6,517,,7.107081,
6,517,,7.107087,
6,0,,7.109487,
6,0,,7.109663,
6,1430,,7.17764,
6,1430,,7.177662,
6,1430,,7.177866,
6,1430,,7.177969,
6,932,,7.177979,
6,1430,,7.179647,
6,1430,,7.179769,
6,1430,,7.179884,
6,391,,7.179888,
6,517,,7.294801,
6,0,,7.294819,
6,0,,7.294828,
6,0,,7.294836,
6,517,,7.294842,
6,0,,7.294851,
6,0,,7.294858,
6,0,,7.296896,
6,0,,7.297373,
6,0,,7.297687,
6,0,,7.297698,
6,0,,7.338486,
6,0,,7.339708,
6,1430,,7.363676,
6,1430,,7.363779,
6,1430,,7.363887,
6,391,,7.363892,
6,1430,,7.366578,
6,1430,,7.366679,
6,1430,,7.366794,
6,1430,,7.366926,
6,934,,7.366929,
6,0,,7.670847,
6,0,,7.855504,
6,0,,7.855519,
6,517,,7.855526,
6,517,,7.855533,
6,0,,7.857641,
6,0,,7.858061,
6,391,,7.936324,
6,110,,7.99267,
6,110,,7.996643,
6,0,,7.996659,
6,0,,8.042271,
6,0,,8.042313,
6,0,,8.042321,
6,0,,8.081427,
6,0,,8.085846,
6,391,,8.126712,
6,934,,8.141537,
6,0,,8.229587,
6,0,,8.229605,
6,0,,8.232626,
6,0,,8.324497,
6,0,,8.406815,
6,0,,8.407175,
6,75,,8.407528,
6,33,,8.408352,
6,0,,8.415995,
6,0,,8.416008,
6,0,,8.418632,
6,0,,8.510322,
6,0,,8.603338,
6,0,,8.790227,
6,0,,8.790234,
6,0,,8.790239,
6,0,,8.790243,
6,517,,8.790247,
6,517,,8.790252,
6,0,,8.792734,
6,0,,8.792876,
6,1430,,8.858085,
6,1430,,8.861891,
6,1430,,8.862005,
6,1430,,8.86212,
6,1430,,8.862235,
6,934,,8.862252,
6,0,,8.977341,
6,0,,8.977352,
6,517,,8.977355,
6,517,,8.97736,
6,0,,9.016116,
6,0,,9.020746,
6,1430,,9.077346,
6,1430,,9.077456,
6,1430,,9.07757,
6,1430,,9.077693,
6,933,,9.077699,
6,1430,,9.081371,
6,1430,,9.081384,
6,1430,,9.081589,
6,1430,,9.08172,
6,934,,9.081729,
6,0,,9.165281,
6,1430,,9.293665,
6,0,,9.351564,
6,0,,9.538165,
6,0,,9.538205,
6,64,,9.538214,
6,64,,9.538223,
6,0,,9.53823,
6,92,,9.538239,
6,266,,9.538247,
6,64,,9.538256,
6,92,,9.538271,
6,0,,9.540222,
6,608,,9.540569,
6,0,,9.540579,
6,0,,9.540612,
6,0,,9.540631,
6,0,,9.540635,
6,0,,9.540642,
6,0,,9.540676,
6,608,,9.541017,
6,608,,9.541024,
6,31,,9.541028,
6,31,,9.541146,
6,520,,9.725431,
6,0,,9.725541,
6,1430,,9.728762,
6,1430,,9.728774,
6,1430,,9.728989,
6,0,,9.73277,
6,934,,9.741326,
6,387,,9.763657,
6,1430,,9.763749,
6,1430,,9.763867,
6,892,,9.776822,
6,1430,,9.841076,
6,925,,9.845106,
6,1430,,9.845135,
6,1430,,9.845368,
6,1430,,9.847695,
6,1430,,9.858312,
6,1430,,9.859898,
6,1430,,9.860732,
6,1430,,9.871388,
6,1430,,9.873767,
6,1430,,9.884479,
6,1430,,9.886947,
6,1430,,9.897615,
6,1430,,9.89995,
6,1430,,9.910729,
6,0,,9.912268,
6,1430,,9.913146,
6,934,,9.921683,
6,1430,,9.923811,
6,1430,,9.926233,
6,1430,,9.936901,
6,1430,,9.950049,
6,1430,,9.963114,
6,46,,9.974016,
6,1430,,9.97622,
6,46,,10.083977,
6,934,,10.099169,
