protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.574723,
6,0,,0.575104,
6,272,,0.575242,
6,131,,0.575244,
6,0,,0.580149,
6,0,,0.580811,
6,0,,0.580943,
6,0,,0.581441,
6,0,,0.582008,
6,0,,0.582378,
6,132,,0.582549,
6,0,,0.583119,
6,0,,0.58317,
6,0,,0.583585,
6,110,,0.611525,
6,110,,0.616073,
6,0,,0.616098,
6,110,,0.911419,
6,0,,0.914998,
6,110,,0.915439,
6,0,,0.91545,
6,0,,1.080837,
6,0,,1.080855,
6,0,,1.117547,
6,0,,1.122944,
6,0,,1.454934,
6,0,,1.454946,
6,517,,1.454952,
6,517,,1.454958,
6,0,,1.45497,
6,0,,1.454977,
6,0,,1.454983,
6,0,,1.45499,
6,0,,1.491448,
6,0,,1.496291,
6,0,,1.497106,
6,0,,1.497756,
6,0,,1.498502,
6,0,,1.498998,
6,1430,,1.556009,
6,1430,,1.55603,
6,1430,,1.556252,
6,1430,,1.556357,
6,933,,1.556371,
6,1430,,1.557038,
6,1430,,1.557144,
6,1430,,1.557258,
6,1430,,1.557389,
6,933,,1.557393,
6,0,,1.64135,
6,0,,1.641367,
6,0,,1.682386,
6,0,,1.684317,
6,0,,1.828264,
6,0,,1.828276,
6,0,,1.82828,
6,0,,1.828284,
6,517,,1.828288,
6,517,,1.828292,
6,0,,1.869297,
6,0,,1.870707,
6,1430,,1.926162,
6,1430,,1.926176,
6,1430,,1.926389,
6,391,,1.926399,
6,1430,,1.930651,
6,1430,,1.930748,
6,1430,,1.930879,
6,391,,1.930889,
6,517,,2.015091,
6,517,,2.015108,
6,0,,2.015115,
6,0,,2.058185,
6,0,,2.058544,
6,1430,,2.114333,
6,1430,,2.114352,
6,1430,,2.114577,
6,1430,,2.114693,
6,933,,2.114702,
6,1430,,2.118263,
6,1430,,2.118273,
6,1430,,2.118482,
6,1430,,2.11861,
6,933,,2.118624,
6,31,,2.192313,
6,0,,2.202641,
6,517,,2.202649,
6,0,,2.240146,
6,933,,2.324746,
6,0,,2.389977,
6,0,,2.576216,
6,0,,2.576225,
6,517,,2.57623,
6,517,,2.576235,
6,0,,2.615236,
6,0,,2.618438,
6,0,,2.694381,
6,391,,2.704358,
6,0,,2.707205,
6,391,,2.717568,
6,53,,2.756351,
6,517,,2.763591,
6,64,,2.7636,
6,92,,2.763603,
6,520,,2.763607,
6,0,,2.763612,
6,0,,2.763625,
6,0,,2.763629,
6,31,,2.788442,
6,608,,2.800353,
6,0,,2.80082,
6,0,,2.804623,
6,0,,2.804632,
6,0,,2.804651,
6,0,,2.806692,
6,0,,2.807211,
6,933,,2.870968,
6,926,,2.893072,
6,1430,,2.893141,
6,1430,,2.893305,
6,933,,2.904798,
6,1430,,2.906211,
6,1430,,2.919336,
6,1430,,2.932437,
6,1430,,2.945516,
6,517,,2.95068,
6,0,,2.950691,
6,1430,,2.958659,
6,1430,,2.971732,
6,1430,,2.98481,
6,0,,2.991719,
6,1430,,2.997946,
6,1430,,3.011055,
6,1430,,3.024167,
6,0,,3.137429,
6,0,,3.324606,
6,520,,3.324617,
6,0,,3.34822,
6,42,,3.381947,
6,0,,3.511527,
6,0,,3.511733,
6,0,,3.511744,
6,64,,3.511751,
6,517,,3.511758,
6,517,,3.511767,
6,0,,3.548664,
6,608,,3.553008,
6,0,,3.553351,
6,0,,3.554998,
6,1430,,3.609191,
6,1430,,3.60974,
6,0,,3.698725,
6,517,,3.698747,
6,517,,3.698755,
6,0,,3.740492,
6,0,,3.741797,
6,1430,,3.869817,
6,0,,3.885003,
6,1430,,4.026967,
6,1430,,4.054921,
6,0,,4.072095,
6,0,,4.072106,
6,64,,4.072113,
6,92,,4.072119,
6,608,,4.113151,
6,0,,4.113171,
6,0,,4.113178,
6,31,,4.113193,
6,24,,4.213638,
6,0,,4.213656,
6,0,,4.259441,
6,64,,4.259454,
6,1430,,4.298257,
6,1430,,4.298269,
6,391,,4.29837,
6,0,,4.300354,
6,1430,,4.331942,
6,0,,4.446188,
6,266,,4.446197,
6,676,,4.446202,
6,0,,4.469853,
6,0,,4.475273,
6,1430,,4.627055,
6,0,,4.633239,
6,1430,,4.673208,
6,388,,4.698066,
6,1430,,4.698242,
6,1430,,4.698357,
6,892,,4.711219,
6,1430,,4.740344,
6,1430,,4.746907,
6,1430,,4.759959,
6,1430,,4.773037,
6,1430,,4.78612,
6,1430,,4.799186,
6,1430,,4.810899,
6,0,,4.820084,
6,64,,4.8201,
6,0,,4.820113,
6,0,,4.820121,
6,1430,,4.824008,
6,0,,4.858184,
6,0,,4.858659,
6,0,,4.858669,
6,608,,4.86252,
6,0,,5.007371,
6,1430,,5.047132,
6,1430,,5.047159,
6,1430,,5.047356,
6,933,,5.060041,
6,0,,5.194328,
6,0,,5.381565,
6,64,,5.381575,
6,0,,5.422482,
6,0,,5.568628,
6,0,,5.568636,
6,64,,5.568639,
6,92,,5.568642,
6,422,,5.568656,
6,0,,5.59146,
6,0,,5.60815,
6,0,,5.608174,
6,608,,5.61161,
6,31,,5.616766,
6,110,,5.617175,
6,110,,5.624896,
6,0,,5.62491,
6,0,,5.75563,
6,0,,5.755649,
6,0,,5.755656,
6,1430,,5.797602,
6,1430,,5.797621,
6,1430,,5.797848,
6,0,,5.799204,
6,0,,5.799442,
6,933,,5.810579,
6,608,,5.85354,
6,110,,5.916683,
6,0,,5.930444,
6,110,,5.930453,
6,0,,5.930461,
6,0,,5.942058,
6,0,,6.128982,
6,63,,6.159554,
6,0,,6.31656,
6,252,,6.316589,
6,0,,6.345762,
6,31,,6.376006,
6,529,,6.401884,
6,503,,6.404318,
6,70,,6.408815,
6,0,,6.503075,
6,64,,6.503088,
6,92,,6.503109,
6,517,,6.503115,
6,517,,6.503119,
6,639,,6.508352,
6,0,,6.540246,
6,0,,6.541412,
6,0,,6.544819,
6,0,,6.544828,
6,608,,6.544997,
6,31,,6.549964,
6,0,,6.690287,
6,0,,6.69031,
6,0,,6.690319,
6,0,,6.690326,
6,0,,6.690333,
6,0,,6.690341,
6,1430,,6.713444,
6,0,,6.861667,
6,0,,6.861689,
6,0,,6.87761,
6,0,,6.877628,
6,0,,6.877633,
6,0,,6.87764,
6,0,,6.877647,
6,0,,6.877653,
6,31,,6.877659,
6,1430,,6.901861,
6,1430,,6.908381,
6,926,,6.92141,
6,1430,,6.929989,
6,0,,6.942787,
6,0,,7.064692,
6,0,,7.064719,
6,1430,,7.088888,
6,1430,,7.095437,
6,0,,7.252004,
17,,1358,7.252029,
6,63,,7.268228,
17,,1358,7.293936,
6,31,,7.318115,
17,,1358,7.353164,
17,,1358,7.353185,
17,,1358,7.35339,
17,,357,7.353399,
6,205,,7.438605,
6,0,,7.438626,
6,608,,7.439931,
6,0,,7.462575,
6,1430,,7.462935,
17,,1358,7.593807,
17,,1358,7.62502,
6,0,,7.625031,
6,64,,7.625036,
6,1430,,7.639183,
6,0,,7.662251,
17,,1358,7.666223,
6,1430,,7.687659,
6,0,,7.812529,
6,252,,7.812541,
6,0,,7.812548,
6,0,,7.812556,
6,1430,,7.836774,
6,0,,7.837191,
6,1430,,7.843316,
6,1168,,7.848044,
6,0,,7.8548,
6,0,,7.855535,
6,1430,,7.8564,
6,31,,7.89398,
6,205,,7.999608,
6,0,,7.99962,
6,0,,8.023502,
6,1430,,8.0238,
6,1430,,8.03688,
6,1430,,8.050016,
6,1430,,8.06312,
6,1430,,8.076213,
6,39,,8.086084,
6,1430,,8.089333,
6,1430,,8.102445,
6,1430,,8.115598,
6,1430,,8.128655,
6,1430,,8.141796,
6,1430,,8.154853,
6,608,,8.158136,
6,1430,,8.167953,
6,1430,,8.181052,
17,,1358,8.186213,
6,422,,8.186224,
6,0,,8.186229,
6,0,,8.210166,
6,1430,,8.210608,
6,1430,,8.217148,
17,,1358,8.227069,
6,0,,8.373792,
6,1266,,8.373841,
6,1430,,8.398014,
6,0,,8.403749,
6,1430,,8.404532,
6,0,,8.560691,
6,1430,,8.578203,
6,1430,,8.584889,
6,1430,,8.591462,
6,575,,8.66044,
6,1430,,8.663123,
6,981,,8.676213,
6,39,,8.684944,
6,0,,8.747661,
6,1430,,8.771899,
6,1430,,8.778433,
6,1214,,8.800997,
17,,1358,8.828064,
6,0,,8.934616,
6,1430,,8.958804,
6,64,,9.121754,
6,0,,9.164301,
6,0,,9.308556,
17,,1358,9.308567,
6,1430,,9.33273,
6,1430,,9.339318,
17,,1358,9.349422,
6,0,,9.495665,
6,0,,9.495675,
6,0,,9.682633,
6,0,,9.682653,
6,1430,,9.706862,
6,1430,,9.723816,
6,1430,,9.72393,
6,933,,9.72394,
6,0,,9.865187,
6,0,,9.869112,
6,0,,9.869375,
6,1430,,9.912445,
6,1430,,9.91246,
6,933,,9.91256,
6,1422,,10.056587,
6,408,,10.056598,
6,0,,10.056602,
6,0,,10.081179,
6,0,,10.081721,
6,0,,10.243988,
6,0,,10.250326,
6,573,,10.268509,
6,0,,10.430237,
17,,1358,10.549446,
6,0,,10.617678,
6,0,,10.617686,
6,0,,10.617689,
6,0,,10.617692,
6,110,,10.625576,
6,110,,10.629777,
6,0,,10.629804,
6,1430,,10.641999,
6,1430,,10.648289,
6,1430,,10.66134,
6,0,,10.804646,
6,110,,10.931529,
6,0,,10.934471,
6,110,,10.93513,
6,0,,10.935154,
6,46,,10.940106,
6,0,,10.991885,
6,0,,10.991898,
6,31,,11.178174,
17,,1358,11.178184,
6,0,,11.201916,
6,39,,11.27761,
6,0,,11.365196,
6,0,,11.365311,
6,1430,,11.389643,
6,0,,11.552637,
6,31,,11.552658,
