protocol,tcp_bytes,quic_bytes,real_time,
6,56,,0.36688,
6,0,,0.366888,
6,46,,0.508727,
6,705,,0.718313,
6,0,,1.014588,
6,0,,1.0146,
6,0,,1.017167,
6,0,,1.017399,
6,0,,1.201612,
6,0,,1.201626,
6,0,,1.201634,
6,0,,1.201642,
6,0,,1.203978,
6,0,,1.204201,
6,0,,1.204446,
6,0,,1.204456,
6,0,,1.388604,
6,0,,1.388617,
6,517,,1.388624,
6,517,,1.388631,
6,0,,1.388645,
6,0,,1.388653,
6,0,,1.390792,
6,0,,1.391184,
6,0,,1.391731,
6,0,,1.391759,
6,1430,,1.456126,
6,1430,,1.456144,
6,1430,,1.456353,
6,1430,,1.45648,
6,1076,,1.456486,
6,1430,,1.458916,
6,1430,,1.459028,
6,1430,,1.459158,
6,1430,,1.459273,
6,1075,,1.459371,
6,0,,1.575822,
6,0,,1.575834,
6,0,,1.575839,
6,0,,1.575843,
6,517,,1.575848,
6,517,,1.575852,
6,0,,1.578157,
6,0,,1.578447,
6,1430,,1.64423,
6,1430,,1.644361,
6,1430,,1.64437,
6,392,,1.644476,
6,1430,,1.646884,
6,1430,,1.646894,
6,1430,,1.647115,
6,1430,,1.647244,
6,932,,1.647254,
6,517,,1.762507,
6,517,,1.762524,
6,0,,1.762545,
6,0,,1.762549,
6,0,,1.764863,
6,0,,1.764875,
6,1430,,1.832599,
6,1430,,1.832626,
6,1430,,1.832911,
6,1430,,1.83292,
6,933,,1.833025,
6,1430,,1.833155,
6,1430,,1.833402,
6,1430,,1.833502,
6,390,,1.833509,
6,39,,1.886022,
6,517,,1.949697,
6,517,,1.949707,
6,0,,1.949724,
6,0,,1.952058,
6,0,,1.952176,
6,1430,,2.019903,
6,1430,,2.01992,
6,1430,,2.020148,
6,1430,,2.020262,
6,933,,2.020271,
6,1430,,2.023334,
6,1430,,2.023445,
6,1430,,2.023638,
6,1430,,2.023648,
6,934,,2.023807,
6,0,,2.136979,
6,517,,2.13699,
6,0,,2.139277,
6,1075,,2.231197,
6,0,,2.323457,
6,517,,2.323465,
6,517,,2.323469,
6,0,,2.325581,
6,0,,2.326112,
6,932,,2.430799,
6,392,,2.452461,
6,517,,2.510588,
6,517,,2.510597,
6,517,,2.510601,
6,0,,2.510606,
6,0,,2.51061,
6,0,,2.512962,
6,0,,2.512972,
6,0,,2.513237,
6,390,,2.630031,
6,933,,2.631686,
6,39,,2.682505,
6,74,,2.697845,
6,92,,2.697854,
6,520,,2.697867,
