protocol,tcp_bytes,quic_bytes,real_time,
6,0,,1.036986,
6,0,,1.342473,
6,0,,1.342506,
6,0,,1.34513,
6,0,,1.345583,
6,0,,1.529174,
6,0,,1.529195,
6,110,,1.641419,
6,0,,1.643428,
6,110,,1.643913,
6,0,,1.643925,
6,517,,1.716609,
6,517,,1.716655,
6,0,,1.716682,
6,0,,1.716694,
6,0,,1.716704,
6,0,,1.716712,
6,0,,1.719065,
6,0,,1.719384,
6,0,,1.719402,
6,0,,1.719419,
6,0,,1.719904,
6,0,,1.719924,
6,1430,,1.786196,
6,1430,,1.786215,
6,1430,,1.786441,
6,1430,,1.78645,
6,1075,,1.786554,
6,1430,,1.786764,
6,1430,,1.786869,
6,1430,,1.786993,
6,1430,,1.787108,
6,1077,,1.787113,
6,0,,1.903205,
6,0,,1.90323,
6,0,,1.903239,
6,0,,1.90621,
6,0,,1.906229,
6,0,,2.09062,
6,0,,2.090637,
6,0,,2.090646,
6,517,,2.090653,
6,517,,2.090661,
6,0,,2.093072,
6,0,,2.093213,
6,0,,2.108962,
6,0,,2.111955,
6,1430,,2.15938,
6,1430,,2.159403,
6,1430,,2.159618,
6,1430,,2.159736,
6,932,,2.159745,
6,1430,,2.160191,
6,1430,,2.160313,
6,1430,,2.160412,
6,1430,,2.160525,
6,933,,2.160608,
6,1077,,2.166078,
6,1075,,2.169224,
6,0,,2.184425,
6,0,,2.184461,
6,517,,2.184616,
6,0,,2.256733,
6,1430,,2.257877,
6,0,,2.257889,
6,1430,,2.257894,
6,0,,2.257896,
6,1430,,2.258106,
6,0,,2.258116,
6,1430,,2.258237,
6,0,,2.258246,
6,923,,2.258249,
6,0,,2.258252,
6,64,,2.258611,
6,208,,2.25904,
6,517,,2.277537,
6,517,,2.277549,
6,0,,2.277567,
6,0,,2.277576,
6,0,,2.280428,
6,0,,2.280503,
6,0,,2.331456,
6,529,,2.331724,
6,1430,,2.347764,
6,1430,,2.347785,
6,1430,,2.348006,
6,1430,,2.348138,
6,1430,,2.348148,
6,390,,2.348252,
6,1430,,2.348386,
6,390,,2.348391,
6,87,,2.350644,
6,0,,2.350689,
6,34,,2.351984,
6,0,,2.391739,
6,517,,2.464752,
6,0,,2.464778,
6,0,,2.467561,
6,932,,2.535691,
6,0,,2.651712,
6,0,,2.652051,
6,0,,2.652063,
6,0,,2.723625,
6,1430,,2.766153,
6,517,,2.838476,
6,517,,2.838494,
6,0,,2.840929,
6,0,,2.840955,
6,0,,2.909184,
6,933,,2.927384,
6,0,,2.960289,
6,517,,3.025602,
6,0,,3.025616,
6,0,,3.025619,
6,74,,3.025623,
6,92,,3.025626,
6,520,,3.02563,
6,0,,3.025635,
6,0,,3.025638,
6,0,,3.028119,
6,0,,3.02813,
6,0,,3.028135,
6,0,,3.028377,
6,1430,,3.028668,
6,1430,,3.028783,
6,1430,,3.028803,
6,0,,3.028809,
6,910,,3.028918,
6,0,,3.028927,
6,31,,3.029593,
6,1077,,3.041662,
6,1430,,3.119746,
6,390,,3.13954,
6,390,,3.143472,
6,813,,3.144476,
6,1430,,3.14462,
6,1430,,3.151126,
6,1430,,3.151152,
6,1430,,3.164177,
6,1430,,3.164211,
6,1430,,3.177261,
6,1165,,3.177284,
6,1430,,3.189135,
6,1430,,3.189266,
6,1430,,3.202308,
6,1430,,3.202327,
6,517,,3.212591,
6,0,,3.212603,
6,1430,,3.215283,
6,0,,3.215469,
6,0,,3.399833,
6,520,,3.58653,
6,0,,3.586561,
6,0,,3.586569,
6,0,,3.586576,
6,0,,3.588999,
6,74,,3.773324,
6,517,,3.773348,
6,517,,3.773357,
6,0,,3.775912,
6,0,,3.776009,
6,0,,3.776019,
6,910,,3.776587,
6,1430,,3.842639,
6,1430,,3.843585,
6,0,,3.960891,
6,517,,3.960904,
6,0,,3.960911,
6,1430,,3.963679,
6,1430,,3.96369,
6,1430,,3.963824,
6,0,,3.963839,
6,932,,3.97667,
6,1430,,4.079468,
6,0,,4.14734,
6,1430,,4.291712,
6,1430,,4.296158,
6,0,,4.335295,
6,910,,4.366712,
6,74,,4.522169,
6,0,,4.522195,
6,0,,4.52472,
6,0,,4.579154,
6,0,,4.580075,
6,0,,4.580305,
6,75,,4.580512,
6,941,,4.696707,
6,64,,4.708998,
6,92,,4.70901,
6,0,,4.711542,
6,0,,4.711552,
6,608,,4.712008,
6,31,,4.71429,
6,1430,,4.880013,
6,1430,,4.892986,
6,1266,,4.895243,
6,517,,4.895265,
6,686,,4.895291,
6,0,,4.895298,
6,0,,4.897905,
6,1430,,4.898246,
6,1430,,4.898356,
6,1430,,4.898397,
6,0,,4.898401,
6,0,,4.903305,
6,933,,4.911253,
6,0,,5.08263,
6,0,,5.08264,
6,31,,5.095914,
6,0,,5.270094,
6,0,,5.270112,
6,64,,5.456303,
6,92,,5.456315,
6,252,,5.456318,
6,0,,5.458725,
6,0,,5.458737,
6,0,,5.458738,
6,608,,5.459368,
6,31,,5.464331,
6,910,,5.51868,
6,404,,5.529148,
6,503,,5.531066,
6,31,,5.535451,
6,39,,5.535714,
6,0,,5.58126,
6,0,,5.643132,
6,0,,5.643147,
6,813,,5.645771,
6,1430,,5.647737,
6,1430,,5.65426,
6,0,,5.830648,
6,0,,5.830657,
6,0,,5.830661,
6,1430,,5.833732,
6,1430,,5.833744,
6,390,,5.833815,
6,0,,5.833824,
6,0,,5.833826,
6,0,,5.863748,
6,0,,6.013667,
6,449,,6.110687,
6,1430,,6.113636,
6,804,,6.118289,
6,87,,6.122335,
6,39,,6.122414,
6,0,,6.204731,
