protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.182084,
6,0,,0.183539,
6,75,,0.183965,
6,80,,0.451779,
6,0,,0.497505,
6,31,,0.714773,
6,63,,0.917859,
6,0,,1.844141,
6,0,,1.844164,
6,0,,1.844173,
6,0,,1.844196,
6,0,,1.883631,
6,0,,1.886812,
6,0,,1.888775,
6,0,,1.891499,
6,0,,2.002452,
6,0,,2.003499,
6,0,,2.077039,
6,0,,2.077072,
6,517,,2.077236,
6,0,,2.082496,
6,0,,2.090349,
6,0,,2.150702,
6,1430,,2.151012,
6,0,,2.15103,
6,1430,,2.151035,
6,0,,2.151039,
6,1430,,2.151242,
6,0,,2.151255,
6,1430,,2.151354,
6,0,,2.151368,
6,924,,2.151371,
6,0,,2.151373,
6,64,,2.151727,
6,208,,2.15208,
6,0,,2.218006,
6,0,,2.218023,
6,0,,2.218029,
6,0,,2.218038,
6,517,,2.218044,
6,517,,2.21805,
6,0,,2.224643,
6,529,,2.226906,
6,87,,2.234024,
6,0,,2.234072,
6,34,,2.236288,
6,0,,2.257599,
6,0,,2.260085,
6,0,,2.272962,
6,1430,,2.31934,
6,1430,,2.319357,
6,1430,,2.319586,
6,391,,2.319595,
6,1430,,2.331972,
6,1430,,2.331983,
6,1430,,2.332218,
6,391,,2.332227,
6,517,,2.405283,
6,517,,2.405298,
6,0,,2.40531,
6,0,,2.405316,
6,0,,2.405321,
6,0,,2.405326,
6,0,,2.446687,
6,0,,2.446704,
6,0,,2.449914,
6,0,,2.450622,
6,0,,2.453446,
6,0,,2.465133,
6,1430,,2.510035,
6,1430,,2.510054,
6,1430,,2.510264,
6,1430,,2.510395,
6,1075,,2.510405,
6,1430,,2.512771,
6,1430,,2.512869,
6,1430,,2.513016,
6,1430,,2.513131,
6,1076,,2.513141,
6,0,,2.566395,
6,0,,2.753679,
6,0,,2.754722,
6,75,,2.754862,
6,0,,2.756425,
6,0,,2.756461,
6,0,,2.778526,
6,0,,2.966219,
6,0,,2.966237,
6,517,,2.966244,
6,517,,2.966252,
6,0,,3.010725,
6,0,,3.01305,
6,391,,3.09926,
6,0,,3.153045,
6,0,,3.153063,
6,0,,3.153073,
6,64,,3.153079,
6,92,,3.153086,
6,266,,3.153093,
6,31,,3.177952,
6,0,,3.193835,
6,0,,3.1942,
6,0,,3.19421,
6,0,,3.194212,
6,0,,3.195295,
6,608,,3.195419,
6,1076,,3.31022,
