protocol,tcp_bytes,quic_bytes,real_time,
6,0,,1.188195,
6,0,,1.18821,
6,0,,1.230298,
6,0,,1.241855,
6,0,,1.376027,
6,0,,1.37604,
6,0,,1.376045,
6,0,,1.376051,
6,0,,1.376057,
6,0,,1.415387,
6,0,,1.418575,
6,0,,1.420283,
6,0,,1.421275,
6,0,,1.43013,
6,110,,1.521517,
6,0,,1.524277,
6,110,,1.525212,
6,0,,1.525224,
6,0,,1.562641,
6,0,,1.562657,
6,517,,1.562665,
6,517,,1.562673,
6,0,,1.562687,
6,0,,1.603886,
6,0,,1.60435,
6,0,,1.615743,
6,46,,1.63821,
6,1430,,1.664628,
6,1430,,1.664648,
6,1430,,1.664858,
6,1430,,1.664989,
6,1075,,1.664999,
6,1430,,1.666611,
6,1430,,1.666725,
6,1430,,1.666856,
6,1430,,1.666971,
6,1076,,1.666981,
6,0,,1.749346,
6,0,,1.749359,
6,0,,1.749362,
6,0,,1.749366,
6,0,,1.74937,
6,517,,1.749374,
6,517,,1.749378,
6,0,,1.788537,
6,0,,1.791688,
6,1430,,1.851015,
6,1430,,1.851146,
6,1430,,1.851156,
6,392,,1.85126,
6,1430,,1.853488,
6,1430,,1.853618,
6,1430,,1.853628,
6,1430,,1.853848,
6,933,,1.853857,
6,0,,1.90333,
6,0,,1.90444,
6,517,,1.936295,
6,517,,1.936313,
6,0,,1.975742,
6,0,,1.975773,
6,517,,1.975907,
6,0,,1.98017,
6,0,,1.981073,
6,1430,,2.037188,
6,1430,,2.037207,
6,1430,,2.037417,
6,1430,,2.037547,
6,934,,2.037556,
6,1430,,2.040903,
6,1430,,2.041017,
6,1430,,2.041123,
6,1430,,2.041252,
6,933,,2.041267,
6,1430,,2.046101,
6,0,,2.04612,
6,1430,,2.046123,
6,0,,2.046125,
6,1430,,2.046329,
6,0,,2.046338,
6,1430,,2.046444,
6,0,,2.046453,
6,924,,2.046456,
6,0,,2.046459,
6,64,,2.04683,
6,0,,2.047294,
6,0,,2.047304,
6,208,,2.04733,
6,0,,2.116526,
6,529,,2.119206,
6,517,,2.123459,
6,0,,2.12347,
6,517,,2.123475,
6,0,,2.123485,
6,0,,2.12349,
6,0,,2.123501,
6,87,,2.126985,
6,0,,2.127376,
6,34,,2.128039,
6,0,,2.163491,
6,0,,2.163994,
6,0,,2.164963,
6,0,,2.166518,
6,0,,2.177136,
6,1430,,2.224439,
6,1430,,2.224458,
6,1430,,2.224658,
6,392,,2.224673,
6,1430,,2.227851,
6,1430,,2.227964,
6,1430,,2.228082,
